,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
28,Weighted Average Shares Outstanding Diluted,- -,3043617,3191489,3404255,3804043,3878511,4044894,4993192,4764681,9098299,9889363,9905000,9929000,11310000,12574000,12777000,14957000,16737000,17608000,18542000,18933000,19826000,19449000,20005000
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095315/000095013403005023/0000950134-03-005023-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013404004345/0000950134-04-004345-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013405006568/0000950134-05-006568-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013406006427/0000950134-06-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013407007281/0000950134-07-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013408005735/0000950134-08-005735-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013409006620/0000950134-09-006620-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012310030919/0000950123-10-030919-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012311031470/0000950123-11-031470-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312512144018/0001193125-12-144018-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312513136642/0001193125-13-136642-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459014001224/0001564590-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459015001893/0001564590-15-001893-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459016014831/0001564590-16-014831-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459017004610/0001564590-17-004610-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459018006047/0001564590-18-006047-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459019008334/0001564590-19-008334-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531520000020/0001095315-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531521000034/0001095315-21-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,600000,24896000,- -,8595000,14743000,13592000,13683000,15066000,14272000,16050000,14812000,18430000,17695000,19626000,22418000,18128000,21781000,24425000,19078000,15419000,12434000,10751000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,600000,24896000,- -,8595000,14743000,13592000,13683000,15066000,14272000,16050000,14812000,18430000,17695000,19626000,22418000,18128000,21781000,24425000,19078000,15419000,12434000,10751000
34,Net Receivables,- -,- -,22200000,16809000,- -,33378000,34749000,49626000,54422000,59491000,58865000,57618000,51466000,55977000,64594000,53359000,60533000,64764000,79404000,86973000,77428000,76429000,75586000,80778000
35,Inventory,- -,- -,29900000,- -,- -,46291000,44589000,44947000,43654000,47670000,46392000,47186000,37949000,35161000,30487000,24654000,14169000,10534000,9262000,6632000,5326000,6090000,3281000,3644000
36,Other Current Assets,- -,- -,1400000,1052000,- -,3688000,3508000,6095000,5290000,6184000,4629000,5810000,6266000,8209000,5524000,4629000,4843000,7624000,5937000,7514000,6847000,7150000,7168000,13396000
37,Total Current Assets,- -,- -,54100000,42757000,- -,91952000,97589000,114260000,117049000,128411000,124158000,126664000,110493000,117777000,118300000,102268000,101963000,101050000,116384000,125544000,108679000,105088000,98469000,108569000
