,https://roic.ai/company/VNO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,32700000,40600000,40600000,48000000,87900000,102800000,117300000,202600000,454400000,663500000,803607000,979667000,1435070000,1503055000,1707262000,2547628000,2712095000,2973723000,2697051000,2742578000,2779727000,2915665000,2766457000,2760909000,2635940000,2502267000,2506202000,2084126000,2163720000,1924700000,1527951000,1589210000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541596000,583660000,679790000,1305027000,1366430000,- -,1070118000,1087785000,1099478000,1237421000,1248338000,1087107000,1064753000,1011249000,1024336000,886596000,963478000,917981000,789066000,797315000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,893474000,919395000,1027472000,1242601000,1345665000,- -,1626933000,1654793000,1680249000,1678244000,1518119000,1673802000,1571187000,1491018000,1481866000,1197530000,1200242000,1006719000,738885000,791895000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6226,0.6117,0.6018,0.4877,0.4962,- -,0.6032,0.6034,0.6045,0.5756,0.5488,0.6063,0.5961,0.5959,0.5913,0.5746,0.5547,0.5231,0.4836,0.4983
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226619000,32210000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,7600000,4800000,4200000,4200000,6500000,6700000,5200000,13600000,28600000,40200000,47911000,72572000,98458000,122405000,145218000,183001000,221356000,232068000,194027000,231688000,214225000,209981000,201894000,211100000,185924000,175307000,179279000,158999000,141871000,169920000,181509000,134545000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,7600000,4800000,4200000,4200000,6500000,6700000,5200000,13600000,28600000,40200000,47911000,72572000,98458000,122405000,145218000,183001000,221356000,232068000,194027000,231688000,214225000,209981000,201894000,211100000,185924000,175307000,179279000,158999000,141871000,169920000,181509000,134545000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233326000,215032000,242914000,334961000,397403000,1357932000,537427000,539503000,530704000,553811000,291192000,499002000,536230000,542952000,565059000,429389000,446570000,419107000,413064000,412347000
