,https://roic.ai/company/ALK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,433200000,468300000,709800000,814400000,916500000,1047000000,1104000000,1115400000,1128300000,1315620000,1417500000,1592200000,1739400000,1897700000,2082000000,2177200000,2140900000,2224100000,2444800000,2723800000,2975300000,3334400000,3506000000,3662600000,3399800000,3832300000,4317800000,4657000000,5156000000,5368000000,5598000000,5931000000,7933000000,8264000000,8781000000,3566000000,6176000000
2,COGS,230900000,228300000,375000000,400400000,516700000,633500000,673800000,744800000,733000000,837900000,900200000,1075300000,1030300000,1058600000,1180700000,1451100000,1463700000,1493100000,1605900000,1826500000,2133000000,1113900000,888400000,1508600000,705000000,966200000,2110100000,3709000000,3861000000,3929000000,3701000000,3875000000,5633000000,6591000000,6802000000,3980000000,- -
3,Gross Profit,202300000,240000000,334800000,414000000,399800000,413500000,430200000,370600000,395300000,477720000,517300000,516900000,709100000,839100000,901300000,726100000,677200000,731000000,838900000,897300000,842300000,2220500000,2617600000,2154000000,2694800000,2866100000,2207700000,948000000,1295000000,1439000000,1897000000,2056000000,2300000000,1673000000,1979000000,-414000000,6176000000
4,Gross Profit Ratio,0.4670,0.5125,0.4717,0.5083,0.4362,0.3949,0.3897,0.3323,0.3504,0.3631,0.3649,0.3246,0.4077,0.4422,0.4329,0.3335,0.3163,0.3287,0.3431,0.3294,0.2831,0.6659,0.7466,0.5881,0.7926,0.7479,0.5113,0.2036,0.2512,0.2681,0.3389,0.3467,0.2899,0.2024,0.2254,-0.1161,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,149700000,168800000,258200000,299700000,283700000,324400000,343800000,408700000,353700000,754000000,786100000,923600000,405500000,428800000,452200000,431300000,456400000,458700000,459900000,480900000,527800000,973800000,978700000,965100000,1099900000,1066100000,1062400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91900000,-93100000,-101500000,-26200000,-2700000,5100000,54100000,64700000,89900000,- -,- -,157700000,169300000,160500000,147100000,131800000,153800000,175300000,168000000,179000000,199000000,211000000,225000000,357000000,326000000,313000000,101000000,173000000
8,"Selling, General and Administrative Exp.",149700000,168800000,258200000,299700000,283700000,324400000,343800000,408700000,353700000,662100000,693000000,822100000,379300000,426100000,457300000,485400000,521100000,548600000,459900000,480900000,685500000,1143100000,1139200000,1112200000,1231700000,1219900000,1237700000,168000000,179000000,199000000,211000000,225000000,357000000,326000000,313000000,101000000,173000000
9,Other Expenses,21500000,33400000,42300000,43700000,46200000,60600000,51800000,56800000,58400000,747022000,820700000,924700000,1471200000,1536400000,1713100000,1975000000,2040900000,2095100000,2355800000,2601600000,2840000000,371500000,457600000,427500000,441900000,431200000,482200000,248000000,278000000,308000000,356000000,365000000,565000000,572000000,559000000,407000000,5318000000
10,Operating Expenses,171200000,202200000,300500000,343400000,329900000,385000000,395600000,465500000,412100000,1409122000,1513700000,1746800000,1850500000,1962500000,2170400000,2460400000,2562000000,2643700000,2815700000,3082500000,3525500000,1514600000,1596800000,1539700000,1673600000,1651100000,1719900000,416000000,457000000,507000000,567000000,590000000,922000000,898000000,872000000,508000000,5491000000
11,COGS and Expenses,402100000,430500000,675500000,743800000,846600000,1018500000,1069400000,1210300000,1145100000,2247022000,2413900000,2822100000,2880800000,3021100000,3351100000,3911500000,4025700000,4136800000,4421600000,4909000000,5658500000,2628500000,2485200000,3048300000,2378600000,2617300000,3830000000,4125000000,4318000000,4436000000,4268000000,4465000000,6555000000,7489000000,7674000000,4488000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54300000,53900000,42400000,32600000,35600000,34400000,19000000,18000000,21000000,21000000,27000000,34000000,38000000,42000000,31000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53300000,115800000,79100000,92900000,108300000,87300000,46000000,35000000,28000000,8000000,30000000,86000000,73000000,63000000,87000000,-128000000
14,Depreciation and Amortization,21500000,33400000,42300000,43700000,-46200000,-60600000,-51800000,-56800000,-58400000,77545000,92600000,102100000,103400000,116200000,134900000,170800000,205100000,194700000,202200000,205200000,143400000,157500000,177400000,204600000,219200000,230500000,246900000,264000000,270000000,294000000,320000000,363000000,372000000,398000000,423000000,420000000,394000000
15,EBITDA,55300000,61300000,64500000,106200000,23100000,-32600000,-35600000,-187100000,-104200000,118506000,126600000,166400000,227000000,320600000,355600000,98200000,147600000,41500000,231200000,184600000,190200000,193400000,494800000,70500000,515000000,744700000,727900000,824000000,1121000000,1297000000,1640000000,1738000000,1665000000,1056000000,1502000000,-1333000000,895000000
16,EBITDA ratio,0.1277,0.1309,0.0909,0.1304,0.0252,-0.0311,-0.0322,-0.1677,-0.0924,0.0901,0.0893,0.1045,0.1305,0.1689,0.1708,0.0451,0.0689,0.0187,0.0946,0.0678,0.0639,0.0580,0.1411,0.0192,0.1515,0.1943,0.1686,0.1769,0.2174,0.2416,0.2930,0.2930,0.2099,0.1278,0.1711,-0.3738,0.1449
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,74998000,75900000,89000000,139000000,211000000,199900000,-20600000,-121800000,-88900000,-11100000,-79800000,-7400000,-87300000,212000000,-172200000,267400000,471600000,448900000,532000000,838000000,962000000,1298000000,1349000000,1260000000,643000000,1063000000,-1775000000,685000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0570,0.0535,0.0559,0.0799,0.1112,0.0960,-0.0095,-0.0569,-0.0400,-0.0045,-0.0293,-0.0025,-0.0262,0.0605,-0.0470,0.0787,0.1231,0.1040,0.1142,0.1625,0.1792,0.2319,0.2274,0.1588,0.0778,0.1211,-0.4978,0.1109
19,Total Other Income Expenses (Gains),2700000,-9900000,-12100000,-8100000,-600000,-500000,-18400000,-30800000,-29000000,-34037000,-41900000,-24700000,-15400000,-6600000,20800000,4900000,64300000,-12900000,40100000,59200000,144600000,-500000,-10400000,-41000000,-64500000,-65700000,-55200000,-18000000,-22000000,13000000,14000000,-4000000,-53000000,-58000000,-47000000,-65000000,-56000000
20,Income Before Tax,33800000,27900000,22200000,62500000,69300000,28000000,16200000,-125700000,-45800000,40961000,34000000,64300000,123600000,204400000,220700000,-15700000,-57500000,-101800000,29000000,-20600000,137200000,-87800000,201600000,-213200000,202900000,405900000,393700000,514000000,816000000,975000000,1312000000,1345000000,1207000000,585000000,1016000000,-1840000000,629000000
21,Income Before Tax Ratio,0.0780,0.0596,0.0313,0.0767,0.0756,0.0267,0.0147,-0.1127,-0.0406,0.0311,0.0240,0.0404,0.0711,0.1077,0.1060,-0.0072,-0.0269,-0.0458,0.0119,-0.0076,0.0461,-0.0263,0.0575,-0.0582,0.0597,0.1059,0.0912,0.1104,0.1583,0.1816,0.2344,0.2268,0.1521,0.0708,0.1157,-0.5160,0.1018
22,Income Tax expense (Gain),7900000,10200000,8900000,25000000,26400000,10800000,5900000,-45400000,-14900000,18430000,16700000,26300000,51200000,80000000,86500000,-2300000,-18000000,-34600000,15500000,-5300000,52700000,35200000,76600000,-77300000,81300000,154800000,149200000,198000000,308000000,370000000,464000000,531000000,173000000,148000000,247000000,-516000000,151000000
23,Net Income,25900000,17700000,13300000,37500000,42900000,17200000,10300000,-84900000,-30900000,22531000,17300000,38000000,72400000,124400000,134200000,-70300000,-39500000,-118600000,13500000,-15300000,-5900000,-52600000,125000000,-135900000,121600000,251100000,244500000,316000000,508000000,605000000,848000000,814000000,1034000000,437000000,769000000,-1324000000,478000000
24,Net Income ratio,0.0598,0.0378,0.0187,0.0460,0.0468,0.0164,0.0093,-0.0761,-0.0274,0.0171,0.0122,0.0239,0.0416,0.0656,0.0645,-0.0323,-0.0185,-0.0533,0.0055,-0.0056,-0.0020,-0.0158,0.0357,-0.0371,0.0358,0.0655,0.0566,0.0679,0.0985,0.1127,0.1515,0.1372,0.1303,0.0529,0.0876,-0.3713,0.0774
25,EPS,0.53,0.35,0.21,0.59,0.68,0.20,0.07,-1.72,-0.63,0.42,0.32,0.66,1.23,1.33,1.27,-0.67,-0.37,-1.12,0.13,-0.14,-0.05,-0.35,0.78,-0.94,0.85,1.75,1.70,2.23,3.63,4.47,6.61,6.59,7.80,3.55,6.24,-10.59,3.87
26,EPS Diluted,0.46,0.33,0.21,0.57,0.63,0.20,0.07,-1.72,-0.63,0.41,0.32,0.51,0.88,1.20,1.26,-0.67,-0.37,-1.12,0.13,-0.14,-0.05,-0.35,0.77,-0.94,0.84,1.71,1.67,2.20,3.58,4.42,6.56,6.54,7.75,3.52,6.19,-10.59,3.87
27,Weighted Average Shares Outstanding,49333333,50212766,62588235,63291139,63321033,54634146,53333333,53333333,53227092,53512000,54000000,57200000,59140000,93552000,105488000,105760000,105996000,106184000,106592000,107436000,110436000,151756000,160500000,145372000,143260000,143288000,143512000,141416000,139910000,135445000,128373000,123557000,123060638,123230000,123279000,123450000,123450000
28,Weighted Average Shares Outstanding Diluted,56000000,54461538,62588235,65217391,68366534,54634146,53333333,53333333,53227092,78392000,83200000,90000000,90756000,105468000,106028000,105760000,105996000,106184000,106920000,107436000,135668000,151756000,161696000,145372000,144616000,147144000,146840000,143568000,141878000,136801000,129372000,124389000,123870968,123975000,124289000,123450000,123450000
