,https://roic.ai/company/THG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/944695/0000927016-98-001218-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944695/000092701603001434/0000927016-03-001434-index.html,- -,https://www.sec.gov/Archives/edgar/data/944695/000119312505036571/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312506056711/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312507043369/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312508039342/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312509040951/0001193125-09-040951-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312510043678/0001193125-10-043678-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312512083502/d305934d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312512086222/0001193125-12-086222-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312513075166/0001193125-13-075166-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312514066031/d628193d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000094469515000020/thg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000094469516000135/0000944695-16-000135-index.html,https://www.sec.gov/Archives/edgar/data/944695/000094469517000020/0000944695-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459018003531/0001564590-18-003531-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459019003788/0001564590-19-003788-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459020006025/0001564590-20-006025-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459021007746/0001564590-21-007746-index.htm,https://www.sec.gov/Archives/edgar/data/944695/000156459022006789/0001564590-22-006789-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,178500000,215100000,550300000,442200000,279200000,350200000,389800000,380500000,486500000,701500000,372700000,275400000,416900000,316500000,290400000,820400000,564800000,486200000,373300000,338800000,282600000,376400000,1020700000,215700000,120600000,230900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6952200000,6970600000,7378100000,6983400000,7331300000,7779700000,6161500000,6687100000,7454400000,- -
33,Cash and Short-Term Investments,- -,178500000,215100000,550300000,442200000,279200000,350200000,389800000,380500000,486500000,701500000,372700000,275400000,416900000,316500000,290400000,820400000,7517000000,7456800000,7751400000,7322200000,7613900000,8156100000,7182200000,6902800000,7575000000,230900000
34,Net Receivables,- -,533000000,1594700000,1646500000,1863400000,2040500000,2055200000,2640500000,2592100000,2511800000,2110500000,1935200000,2008400000,578500000,590800000,772000000,1168100000,3788500000,3659600000,3629100000,4026700000,4049900000,4624600000,2825300000,3074400000,3213600000,3376800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,22011900000,20592900000,7694000000,7427700000,7405800000,8065800000,6964400000,4247700000,5625000000,-3788500000,-3659600000,-2690000000,-2993800000,-2870000000,-3299900000,-1646200000,2335300000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,24984500000,23591200000,10506000000,9735600000,9689600000,9061200000,7871700000,5310100000,7613500000,7517000000,7456800000,8690500000,8355100000,8793800000,9480800000,8361300000,12312500000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,131200000,128200000,128200000,128200000,121400000,126000000,169900000,171400000,179200000,185500000,184900000,184900000,184600000,186000000,184800000,192600000,178800000,178800000,178800000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,131200000,128200000,128200000,128200000,121400000,126000000,169900000,171400000,179200000,185500000,184900000,184900000,184600000,186000000,184800000,192600000,178800000,178800000,178800000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,8055900000,7661800000,7839200000,5726200000,5646200000,5766900000,4253500000,4684800000,4926500000,6531100000,7268000000,7400800000,7958900000,7560000000,7915700000,8356200000,6625900000,7262800000,8052900000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-7662000000,-7839400000,-5726400000,-5646600000,-5766900000,-4254400000,-4685200000,-1845900000,-1705700000,-1485000000,-1663800000,-3074300000,-2310200000,-2673900000,-2560000000,-2766300000,-7263600000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,128000000,128000000,128000000,121000000,126000000,169000000,171000000,3259800000,5010900000,5967900000,5921900000,5069200000,5435800000,5426600000,5988800000,4038400000,178000000,- -,- -
46,Other Assets,- -,18997700000,22549000000,27607900000,30769600000,31588000000,30336100000,26578900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13443700000,14254300000
47,Total Assets,- -,18997700000,22549000000,27607900000,30769600000,31588000000,30336100000,26578900000,25112500000,23719200000,10634000000,9856600000,9815600000,9230200000,8042700000,8569900000,12624400000,13484900000,13378700000,13759700000,13790900000,14220400000,15469600000,12399700000,12490500000,13443700000,14254300000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61300000,58500000,34400000,378900000,466200000,374700000,226800000,205200000,251900000,344800000,37300000,53400000,48400000,- -
49,Short-Term Debt,- -,38400000,33000000,221300000,45000000,56600000,83300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630800000,603200000,541700000,642900000,775800000,637200000,695400000,724900000,728000000,716200000,909800000,627700000,687500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,17032600000,19933000000,24727700000,28284000000,28922400000,27661700000,24307000000,22392000000,20871000000,8174000000,7348000000,7005000000,6750700000,5191500000,5468600000,8825100000,9574800000,9505300000,9785200000,9928500000,10324600000,11340200000,8754800000,8867500000,- -,- -
53,Total Current Liabilities,- -,17071000000,19966000000,24949000000,28329000000,28979000000,27745000000,24307000000,22392000000,20871000000,8174000000,7348000000,7005000000,6812000000,5250000000,5503000000,9204000000,10041000000,9880000000,10012000000,10133700000,10576500000,11685000000,8792100000,8920900000,- -,- -
54,Long-Term Debt,- -,202200000,202100000,199500000,199500000,199500000,199500000,199500000,499500000,508800000,508800000,508800000,511900000,531400000,433900000,605900000,911100000,849400000,903900000,903500000,812800000,786400000,786900000,777900000,653400000,780800000,781600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,12900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51800000,97300000,- -
57,Other Non-Current Liabilities,- -,-200000,-13000000,500000,500000,500000,500000,500000,500000,200000,200000,200000,100000,-400000,100000,100000,-100000,-400000,100000,500000,-9700000,- -,- -,-125000000,-51800000,- -,- -
58,Total Non-Current Liabilities,- -,202000000,202000000,200000000,200000000,200000000,200000000,200000000,500000000,509000000,509000000,509000000,512000000,531000000,434000000,606000000,911000000,849000000,904000000,904000000,803100000,786400000,786900000,652900000,653400000,878100000,781600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1000300000,- -,- -,1018400000,- -,- -,868100000,1212400000,- -,- -,1808200000,- -,1615900000,- -,- -,- -,- -,11119600000,11891000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,16489000000,19714800000,24849300000,28229400000,28878900000,27645000000,24206700000,22892300000,21379700000,8682700000,7857400000,7516600000,7343000000,5684100000,6109400000,10114600000,10889500000,10784200000,10915700000,10946500000,11362900000,12471900000,9445000000,9574300000,10241500000,11109400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,- -
64,Retained Earnings,- -,210100000,407800000,599900000,882200000,1068700000,1052300000,746200000,833100000,943400000,589800000,712000000,946900000,949800000,1141100000,1246800000,1237100000,1211600000,1349100000,1558700000,1803500000,1875600000,1975000000,2182300000,2410900000,2668000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-37400000,16100000,3000000,-59500000,-39900000,-20400000,-384800000,29000000,136700000,210400000,325800000,177600000,206400000,53900000,62800000,107600000,-116500000,152600000,372500000,122000000
66,Other Total Stockholders Equity,- -,1514100000,1972900000,1858100000,1357400000,1339800000,1338200000,1362800000,1370400000,1392500000,1420400000,1326500000,1371900000,1321600000,1187900000,1076400000,1061700000,1057400000,1067200000,1078300000,986400000,918500000,914500000,888300000,352100000,161100000,- -
67,Total Stockholders Equity,- -,1724700000,2381300000,2458600000,2240200000,2409100000,2391100000,2072200000,2220200000,2339500000,1951300000,1999200000,2299000000,1887200000,2358600000,2460500000,2509800000,2595400000,2594500000,2844000000,2844400000,2857500000,2997700000,2954700000,2916200000,3202200000,3144900000
68,Total Liabilities And Stockholders Equity,- -,18213700000,22096100000,27307900000,30469600000,31288000000,30036100000,26278900000,25112500000,23719200000,10634000000,9856600000,9815600000,9230200000,8042700000,8569900000,12624400000,13484900000,13378700000,13759700000,13790900000,14220400000,15469600000,12399700000,12490500000,13443700000,14254300000
69,Minority Interest,- -,784000000,452900000,300000000,300000000,300000000,300000000,300000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18997700000,22549000000,27607900000,30769600000,31588000000,30336100000,26578900000,25112500000,23719200000,10634000000,9856600000,9815600000,9230200000,8042700000,8569900000,12624400000,13484900000,13378700000,13759700000,13790900000,14220400000,15469600000,12399700000,12490500000,13443700000,14254300000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/944695/0000927016-98-001218-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944695/000092701603001434/0000927016-03-001434-index.html,- -,https://www.sec.gov/Archives/edgar/data/944695/000119312505036571/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312506056711/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312507043369/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312508039342/d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312509040951/0001193125-09-040951-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312510043678/0001193125-10-043678-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312512083502/d305934d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000119312512086222/0001193125-12-086222-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312513075166/0001193125-13-075166-index.html,https://www.sec.gov/Archives/edgar/data/944695/000119312514066031/d628193d10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000094469515000020/thg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/944695/000094469516000135/0000944695-16-000135-index.html,https://www.sec.gov/Archives/edgar/data/944695/000094469517000020/0000944695-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459018003531/0001564590-18-003531-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459019003788/0001564590-19-003788-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459020006025/0001564590-20-006025-index.html,https://www.sec.gov/Archives/edgar/data/944695/000156459021007746/0001564590-21-007746-index.htm,https://www.sec.gov/Archives/edgar/data/944695/000156459022006789/0001564590-22-006789-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,133900000,181900000,209200000,201200000,295800000,199900000,-3100000,-306100000,86900000,125300000,-325200000,170300000,253100000,20600000,197200000,154800000,37100000,55900000,251000000,282000000,331500000,155100000,186200000,391000000,425100000,358700000,418700000
74,Depreciation and Amortization,- -,44700000,31600000,21900000,34200000,22800000,23000000,20600000,35800000,38200000,31600000,21400000,18900000,15100000,11800000,16700000,26700000,35600000,35000000,33500000,30200000,30700000,30100000,24600000,21600000,18200000,16000000
75,Deferred Income Tax,-37000000,-15700000,13900000,-16400000,18800000,1500000,-63100000,-228100000,-2000000,2500000,-1800000,65000000,88400000,53700000,31900000,52000000,-8900000,-35500000,74900000,68600000,53100000,-13200000,39800000,-23400000,12500000,-23000000,23000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,11700000,11300000,12000000,12800000,12400000,15100000,12300000,12000000,12300000,13400000,17400000,20100000,22000000
77,Change in Working Capital,42800000,-17071000000,-2895000000,-4983000000,-3380000000,-650000000,1234000000,3438000000,26899500000,127700000,-388200000,55600000,297000000,-435400000,372500000,-2814600000,-1397600000,-933500000,100800000,1101700000,-457100000,-4100000,-421500000,1773400000,3822400000,-3391600000,1685000000
78,Accounts Receivable,-117600000,107000000,19000000,-58700000,-194000000,-127300000,20600000,19200000,98700000,8500000,-290600000,156200000,-47100000,75000000,-14100000,-204900000,69400000,-270600000,41400000,-68200000,-79500000,-64000000,-443600000,-322000000,-257800000,-144000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,116200000,-184300000,-134700000,168100000,28700000,172400000,611800000,-196500000,-563200000,-261900000,158000000,-385100000,-232800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-17071000000,-19966000000,-24949000000,-28329000000,-28979000000,-27745000000,-24307000000,2592500000,2720200000,2332000000,2387600000,2684600000,2249200000,2621700000,-192900000,-1590500000,-2524000000,-2423200000,-1321500000,-1778600000,-1782700000,-2204200000,-430800000,3391600000,- -,1685000000
82,Other Non-Cash Items,-11000000,17016100000,2467100000,4814200000,3046400000,584800000,-593200000,-2880600000,-27194500000,-151300000,836700000,-270500000,-584100000,543900000,-533500000,2663400000,1552400000,1272900000,-90200000,-936200000,468400000,557100000,857700000,-1627700000,-3696100000,3725200000,-1341700000
83,Cash Provided by Operating Activities,128700000,156000000,-173200000,37900000,15200000,159000000,597600000,43800000,-174300000,142400000,153100000,41800000,73300000,209500000,91600000,83600000,221700000,408200000,383900000,564700000,438400000,737600000,704600000,551300000,602900000,707600000,823000000
84,CAPEX,-14100000,-12800000,-15300000,-700000,-30100000,-13700000,-32100000,-13100000,-5400000,-7800000,-8300000,-8800000,-9500000,-9500000,-118500000,-10900000,-1704500000,-21300000,-22900000,-11200000,-19500000,-15700000,-18600000,-13100000,-13300000,-14900000,-8000000
85,Acquisitions Net,- -,- -,-425600000,-208900000,- -,- -,- -,- -,- -,- -,121300000,50900000,12700000,-99800000,107300000,-13300000,287700000,5200000,- -,- -,44300000,6900000,- -,635700000,34700000,- -,- -
86,Purchases of Investments,-3552100000,-4090300000,-2969600000,-3174400000,-2746900000,-4011300000,-4740100000,-3454400000,-2497100000,-2116300000,-2089800000,-1920900000,-1691900000,-851100000,-2413600000,-1586400000,-128600000,-2449700000,-1947900000,-2089800000,-2221000000,-2372100000,-1868400000,-1603900000,-1920500000,-2084200000,-190000000
87,Sales/Maturities of Investments,3170200000,4523400000,3529700000,2761800000,3580400000,3204600000,4030300000,5310300000,3038400000,2165200000,2788300000,1987100000,1643600000,1136200000,2250600000,1499800000,1724600000,1903000000,1612100000,1498300000,2025800000,1873400000,1390200000,1252600000,1587200000,1490300000,- -
88,Other Investing Activites,267900000,4300000,1300000,5100000,-8500000,-64800000,-237900000,-374200000,-181600000,200000,- -,-10400000,-27200000,13400000,- -,12000000,3600000,-21300000,-22900000,-9200000,-20600000,-3600000,-28100000,-13100000,-13300000,-14900000,-270000000
89,Cash Used for Investing Activites,-128100000,424600000,120500000,-617100000,794900000,-885200000,-979800000,1468600000,354300000,41300000,811500000,97900000,-72300000,189200000,-174200000,-98800000,182800000,-562800000,-358700000,-600700000,-171500000,-495400000,-506300000,271300000,-311900000,-608800000,-460000000
90,Debt Repayment,- -,- -,-100000,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125900000,-46200000,-128900000,-73100000,-139900000,-700000,-114300000,-475400000,- -,-11600000,-151100000,-175800000,- -
91,Common Stock Issued,248000000,42000000,2800000,11400000,1100000,600000,5300000,1100000,300000,4300000,8600000,245000000,25400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-42000000,- -,-82700000,-244000000,-80800000,- -,- -,- -,- -,- -,-200200000,-1600000,-58500000,-148100000,-134700000,-21700000,-20000000,-78200000,-20400000,-127300000,-105600000,-37200000,-57700000,-563600000,-212800000,-162000000
93,Dividends Paid,-4100000,-13900000,-13700000,-9900000,-13500000,-13400000,-13300000,- -,- -,- -,-13400000,-15400000,-20800000,-23000000,-37500000,-47200000,-50900000,-55100000,-60000000,-67000000,-74200000,-80400000,-86800000,-94300000,-386200000,-99500000,-102000000
94,Other Financing Activites,-494700000,-671200000,101300000,982500000,-648600000,636100000,459300000,-1473900000,-189600000,-479600000,-744800000,-497900000,-101300000,-63100000,181300000,219500000,328800000,14800000,172600000,16400000,21100000,366400000,12300000,-7400000,1600000,294200000,11000000
95,Cash Used/Provided by Financing Activities,-250800000,-685100000,90300000,898700000,-905000000,542500000,451300000,-1472800000,-189300000,-475300000,-749600000,-468500000,-98300000,-144600000,-130200000,-8600000,127300000,-133400000,-105500000,-71700000,-294700000,-295000000,-111700000,-171000000,-1099300000,-193900000,-253000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3900000,32100000,1600000,-5200000,-6700000,-3400000,7200000,-4000000,- -,- -,- -
97,Net Change In Cash,-250800000,-111000000,36600000,335200000,-108100000,-163000000,69100000,39600000,-9300000,-291600000,215000000,-328800000,-97300000,206300000,-81200000,-26100000,530000000,-255600000,-78600000,-112900000,-34500000,-56200000,93800000,722800000,-805000000,-95100000,110000000
98,Cash at the End of Period,- -,178500000,215100000,550300000,442200000,279200000,350200000,389800000,380500000,486500000,701500000,372700000,275400000,416900000,316500000,290400000,820400000,564800000,486200000,373300000,338800000,282600000,376400000,1020700000,215700000,120600000,230000000
99,Cash at the Beginning of Period,539700000,289500000,178500000,215100000,550300000,442200000,281100000,350200000,389800000,778100000,486500000,701500000,372700000,210600000,397700000,316500000,290400000,820400000,564800000,486200000,373300000,338800000,282600000,297900000,1020700000,215700000,120000000
100,Free Cash Flow,114600000,143200000,-188500000,37200000,-14900000,145300000,565500000,30700000,-179700000,134600000,144800000,33000000,63800000,200000000,-26900000,72700000,-1482800000,386900000,361000000,553500000,418900000,721900000,686000000,538200000,589600000,692700000,815000000
