,https://roic.ai/company/MOG-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,49000000,62700000,63600000,69200000,61000000,75800000,84700000,89300000,84500000,91800000,104000000,112600000,120500000,135600000,163900000,154414000,137140000,150319000,158862000,191106000,219449000,282543000,354776000,404535000,381195000,416008000,459275000,501454000,531288000,542949000,503769000,487297000,500787000,523945000,531106000,508812000,537556000
11,COGS and Expenses,214500000,260400000,279200000,307300000,262500000,277200000,297500000,287900000,275900000,290500000,349300000,374700000,414600000,486900000,566700000,572673000,630375000,638696000,679166000,843553000,942499000,1163287000,1383628000,1697987000,1692813000,1917649000,2110478000,2225686000,2357849000,2393758000,2292597000,2187651000,2266789000,2460426000,2619937000,2649670000,2613826000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39321000,38742000,35666000,34312000,26962000,12513000,28967000,34605000,34551000,36238000,39269000,38897000,33892000
14,Depreciation and Amortization,10100000,12600000,14300000,16800000,16900000,17600000,17900000,17800000,15600000,15700000,19700000,19600000,21300000,22700000,30600000,30443000,31693000,25597000,29535000,35508000,36207000,47077000,52093000,63376000,76384000,91216000,96327000,100816000,108073000,109259000,103609000,98732000,90167000,88572000,85260000,86972000,90159000
15,EBITDA,27200000,31000000,33700000,-5400000,25200000,30900000,30100000,11500000,23800000,19200000,28500000,35100000,40900000,52600000,67300000,69058000,73706000,78587000,87784000,118977000,131125000,167226000,195844000,231411000,226266000,279394000,315778000,343969000,300041000,340695000,316410000,309309000,307299000,308526000,358287000,131286000,327825000
16,EBITDA ratio,0.1132,0.1074,0.1097,-0.0182,0.0893,0.1017,0.0937,0.0375,0.0810,0.0625,0.0761,0.0862,0.0897,0.0980,0.1068,0.1072,0.1046,0.1093,0.1162,0.1267,0.1247,0.1280,0.1257,0.1216,0.1224,0.1321,0.1355,0.1393,0.1149,0.1286,0.1253,0.1282,0.1230,0.1139,0.1233,0.0455,0.1149
17,Operating Income,25800000,28300000,27900000,-10400000,19800000,26500000,23800000,19100000,17800000,16900000,25000000,32500000,41300000,49700000,63300000,71333000,74003000,80266000,76324000,95299000,108843000,143207000,174471000,204679000,156105000,196603000,220202000,243850000,252462000,254627000,232935000,224286000,230735000,249042000,284726000,234884000,238167000
18,Operating Income ratio,0.1074,0.0980,0.0908,-0.0350,0.0701,0.0873,0.0741,0.0622,0.0606,0.0550,0.0668,0.0798,0.0906,0.0926,0.1005,0.1108,0.1051,0.1116,0.1010,0.1015,0.1035,0.1096,0.1120,0.1076,0.0844,0.0930,0.0945,0.0987,0.0967,0.0961,0.0922,0.0930,0.0924,0.0919,0.0980,0.0814,0.0835
19,Total Other Income Expenses (Gains),-8700000,-9900000,-11100000,-11600000,-11500000,-13200000,-11600000,-25400000,-9200000,-13900000,-16200000,-16500000,-21700000,-19800000,-26600000,-32718000,-31990000,-27276000,-18075000,-11830000,-13925000,-23058000,-30720000,-36644000,-45544000,-47167000,-36417000,-35009000,-87456000,-35704000,-49101000,-51426000,-49024000,-65205000,-50968000,-229467000,-34393000
20,Income Before Tax,17100000,18400000,16800000,-22000000,8300000,13300000,12200000,-6300000,8600000,3000000,8800000,16000000,19600000,29900000,36700000,38615000,42013000,52990000,58249000,83469000,94918000,120149000,143751000,168035000,110561000,149436000,183785000,208841000,165006000,218923000,183834000,172860000,181711000,183837000,233758000,5417000,203774000
21,Income Before Tax Ratio,0.0712,0.0637,0.0547,-0.0741,0.0294,0.0438,0.0380,-0.0205,0.0293,0.0098,0.0235,0.0393,0.0430,0.0557,0.0583,0.0600,0.0596,0.0737,0.0771,0.0889,0.0903,0.0920,0.0923,0.0883,0.0598,0.0707,0.0789,0.0846,0.0632,0.0827,0.0728,0.0717,0.0728,0.0678,0.0805,0.0019,0.0714
22,Income Tax expense (Gain),7300000,8200000,7600000,-5600000,3400000,6400000,4600000,500000,3500000,1400000,1000000,4800000,6000000,10600000,12300000,13215000,14075000,15391000,15554000,26182000,30126000,38803000,42815000,48967000,25516000,41342000,47764000,56379000,44509000,60725000,51951000,49227000,41301000,87209000,54010000,-3788000,46554000
23,Net Income,9800000,10200000,11800000,-16600000,4900000,6900000,7600000,-6800000,4700000,2100000,7800000,10700000,13600000,19300000,24400000,25400000,27938000,37599000,42695000,57287000,64792000,81346000,100936000,119068000,85045000,108094000,136021000,152462000,120497000,158198000,131883000,126745000,141280000,96507000,179748000,9205000,157220000
24,Net Income ratio,0.0408,0.0353,0.0384,-0.0559,0.0174,0.0227,0.0237,-0.0221,0.0160,0.0068,0.0208,0.0263,0.0298,0.0360,0.0387,0.0394,0.0397,0.0523,0.0565,0.0610,0.0616,0.0623,0.0648,0.0626,0.0460,0.0511,0.0584,0.0617,0.0462,0.0597,0.0522,0.0525,0.0566,0.0356,0.0619,0.0032,0.0551
25,EPS,0.10,0.10,0.12,-0.17,0.05,0.08,0.09,-0.08,0.05,0.03,0.30,0.41,0.56,0.69,0.81,0.85,0.95,1.13,1.24,1.47,1.68,2.01,2.38,2.79,2.00,2.38,2.99,3.37,2.66,3.57,3.39,3.49,3.94,2.71,5.16,0.28,4.90
26,EPS Diluted,0.10,0.10,0.12,-0.17,0.05,0.08,0.09,-0.08,0.05,0.03,0.30,0.41,0.56,0.67,0.80,0.84,0.94,1.11,1.23,1.45,1.64,1.97,2.34,2.75,1.98,2.36,2.95,3.33,2.63,3.52,3.35,3.47,3.90,2.68,5.11,0.28,4.87
27,Weighted Average Shares Outstanding,29702675,29898129,21422726,26777562,26844961,26858441,26184453,25992367,25992367,26012588,26061503,25782678,24383065,27956009,30054745,29765625,29511972,33306201,34302054,38882579,38608235,40558717,42429711,42604268,42598321,45363738,45501806,45246960,45335336,44362412,38945880,36277445,35852448,35661638,34854614,33257684,32112589
28,Weighted Average Shares Outstanding Diluted,29702675,29898129,21422726,26777562,26844961,26858441,26184453,25992367,25992367,26012588,26061503,25782678,24383065,28821903,30500000,30078947,29791706,33839100,34799185,39599309,39498834,41247689,43149481,43256888,42906495,45709020,46047422,45718324,45823720,44952437,39334520,36529344,36230043,36052307,35178968,33437801,32297956
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788713000043/0000067887-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788714000122/0000067887-14-000122-index.htm,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788716000213/0000067887-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788717000087/0000067887-17-000087-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788718000053/0000067887-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788719000086/0000067887-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788720000054/0000067887-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788721000065/0000067887-21-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77491000,56701000,33750000,57821000,83856000,86814000,81493000,112421000,113679000,148841000,157090000,231292000,309853000,325128000,368073000,125584000,89702000,84583000,99599000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77491000,56701000,33750000,57821000,83856000,86814000,81493000,112421000,113679000,148841000,157090000,231292000,309853000,325128000,368073000,125584000,89702000,84583000,99599000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262094000,261776000,296986000,333492000,431978000,517361000,547571000,619861000,655805000,744551000,811376000,780874000,698419000,688388000,727740000,793911000,- -,855535000,945929000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170578000,189649000,215425000,282720000,359250000,408295000,484261000,460857000,502373000,538262000,551674000,517056000,493360000,479040000,489127000,512522000,534974000,623043000,613095000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42036000,40963000,53897000,54068000,61767000,77915000,97073000,99140000,108589000,117254000,127235000,134842000,125863000,127591000,41499000,44404000,1004297000,50326000,60157000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,552199000,549089000,600058000,728101000,936851000,1090385000,1210398000,1292279000,1380446000,1548908000,1647375000,1664064000,1627495000,1620147000,1626439000,1476421000,1628973000,1613487000,1718780000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208169000,246743000,262841000,310011000,386813000,428120000,481726000,486944000,503872000,546179000,562363000,555348000,536756000,522369000,522991000,552865000,586767000,668891000,706133000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450971000,538433000,560735000,698459000,704816000,735021000,762854000,766924000,757852000,737212000,740162000,774268000,797217000,784240000,821856000,851605000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205886000,303034000,402991000,49922000,81916000,74755000,220311000,205874000,197545000,212195000,208756000,178070000,143723000,113560000,108818000,95537000,79646000,85046000,106095000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205886000,303034000,402991000,500893000,620349000,635490000,918770000,910690000,932566000,975049000,975680000,935922000,880935000,853722000,883086000,892754000,863886000,906902000,957700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26558000,17328000,- -,18924000,17769000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25326000,26062000,37437000,68649000,62166000,73252000,23423000,22221000,26083000,35771000,51677000,53118000,41285000,45621000,31518000,24680000,- -,17627000,32787000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439381000,575839000,703269000,879553000,1069328000,1136862000,1423919000,1419855000,1462521000,1556999000,1589720000,1544388000,1458976000,1421712000,1464153000,1487627000,1450653000,1612344000,1714389000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,991580000,1124928000,1303327000,1607654000,2006179000,2227247000,2634317000,2712134000,2842967000,3105907000,3237095000,3208452000,3086471000,3041859000,3090592000,2964048000,3079626000,3225831000,3433169000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47159000,54200000,70180000,99677000,113942000,128723000,125257000,154321000,165893000,169587000,181893000,162667000,165973000,144450000,170878000,213982000,257677000,176868000,200602000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,80365000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11785000,12908000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97331000,112204000,145854000,145500000,167423000,167514000,159274000,151687000,40528000,203338000,263686000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164264000,173084000,217172000,207929000,206286000,248370000,321004000,325153000,283166000,382085000,395483000,414637000,272109000,277268000,299282000,314955000,429453000,329998000,324708000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211423000,227284000,287352000,307606000,320228000,377093000,446261000,479474000,546390000,663876000,723230000,722804000,605505000,589232000,629434000,680624000,727658000,710554000,869361000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230913000,291666000,330977000,367457000,611633000,661994000,814574000,757320000,714757000,670662000,600687000,765114000,1075067000,1010304000,956653000,858836000,249000,929982000,823355000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31953000,34198000,36304000,83587000,80419000,80754000,76910000,69541000,56729000,36455000,104377000,83931000,60209000,42171000,13320000,46477000,- -,40474000,64642000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93143000,100124000,127657000,86148000,116687000,112996000,231539000,284843000,333200000,430124000,273036000,289188000,351158000,411741000,276881000,153125000,30552000,301738000,275667000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356009000,425988000,494938000,537192000,808739000,855744000,1123023000,1111704000,1104686000,1137241000,978100000,1138233000,1486434000,1464216000,1246854000,1058438000,30801000,1272194000,1163664000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094899000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567432000,653272000,782290000,844798000,1128967000,1232837000,1569284000,1591178000,1651076000,1801117000,1701330000,1861037000,2091939000,2053448000,1876288000,1739062000,1791756000,1982748000,2033025000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20326000,30491000,45370000,48605000,48605000,48605000,51280000,51280000,51280000,51280000,51280000,51280000,51280000,51280000,51280000,51280000,- -,51280000,51280000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265706000,322989000,387781000,469127000,570063000,688585000,772639000,880733000,1016754000,1169216000,1289713000,1447911000,1579794000,1706539000,1847819000,1973514000,2133328000,2112734000,2237848000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-277624000,-298387000,-293245000,-320036000,-361120000,-399806000,-445426000,-457916000,-513151000,-560856000,-613648000,-639076000,-677168000,-725809000,-771160000,-816837000,-420066000,-338551000,-311324000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415640000,416563000,381131000,565160000,619664000,657026000,686540000,646859000,637008000,645150000,808420000,487300000,40626000,-43599000,86365000,17029000,- -,-582380000,-577660000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424148000,471656000,521037000,762856000,877212000,994410000,1065033000,1120956000,1191891000,1304790000,1535765000,1347415000,994532000,988411000,1214304000,1224986000,1322481000,1243083000,1400144000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,991580000,1124928000,1303327000,1607654000,2006179000,2227247000,2634317000,2712134000,2842967000,3105907000,3237095000,3208452000,3086471000,3041859000,3090592000,2964048000,3114237000,3225831000,3433169000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34611000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,991580000,1124928000,1303327000,1607654000,2006179000,2227247000,2634317000,2712134000,2842967000,3105907000,3237095000,3208452000,3086471000,3041859000,3090592000,2964048000,3079626000,3225831000,3433169000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788713000043/0000067887-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788714000122/0000067887-14-000122-index.htm,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788716000213/0000067887-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788717000087/0000067887-17-000087-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788718000053/0000067887-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788719000086/0000067887-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788720000054/0000067887-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788721000065/0000067887-21-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4900000,6900000,7600000,-6800000,4700000,2100000,7800000,10700000,13600000,19300000,24400000,25400000,27938000,37599000,42695000,57287000,64792000,81346000,100936000,119068000,85045000,108094000,136021000,152462000,120497000,158198000,131883000,126745000,141280000,96507000,179748000,9205000,157220000
74,Depreciation and Amortization,- -,- -,- -,- -,16900000,17600000,17900000,17800000,15600000,15700000,19700000,19600000,21300000,22700000,30600000,30443000,31693000,25597000,29535000,35508000,36207000,47077000,52093000,63376000,76384000,91216000,96327000,100816000,108073000,109259000,103609000,98732000,90167000,88572000,85260000,86972000,90159000
75,Deferred Income Tax,- -,- -,- -,- -,1000000,-700000,-2800000,-2500000,800000,5400000,1600000,-600000,-2100000,-3200000,2100000,3934000,100000,3590000,15515000,571000,4453000,15715000,-545000,-5698000,13330000,11314000,2923000,-4113000,-8216000,5021000,12991000,4248000,10758000,30613000,-4598000,-40845000,8162000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5682000,5445000,6952000,6226000,6620000,7189000,5074000,3271000,4582000,5804000,6464000,5661000,7461000
77,Change in Working Capital,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340776000,-18971000,-9099000,107789000,196128000,96669000,50845000,48668000,21251000,50976000,39113000,17115000,80730000,8925000,-33910000,-201208000,105518000,26677000,27979000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,2100000,-11000000,-2100000,-3200000,-1000000,-1400000,-8600000,-17700000,-4500000,-20100000,-12200000,-5636000,-11077000,-8216000,-8674000,-3981000,-25918000,-64468000,-64737000,-62439000,984000,10220000,-56382000,-37274000,-6871000,23666000,3821000,12644000,-5999000,-32451000,-96652000,-99015000,19576000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7602000,10543000,-17783000,8107000,-21821000,25740000,39440000,52499000,-84065000,20520000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340776000,321805000,312706000,420495000,616623000,713292000,764137000,812805000,834056000,885032000,924145000,941260000,1021990000,1030915000,997005000,795797000,901315000,119712000,54399000
82,Other Non-Cash Items,- -,- -,- -,- -,9400000,-9800000,700000,12100000,-6800000,-12100000,-13900000,-14500000,-800000,-15400000,-14400000,-14836000,-6472000,-7981000,-351947000,53714000,10595000,-175052000,-323528000,-165523000,-113394000,-69481000,-67284000,-92027000,-14810000,-9680000,259000,-26067000,4903000,82119000,-190969000,191507000,2245000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,24200000,14000000,23400000,20600000,14300000,11100000,15200000,15200000,32000000,23400000,42700000,44941000,53259000,58805000,76574000,128109000,106948000,76875000,25084000,107892000,117892000,195256000,196190000,214340000,251277000,287102000,334546000,215854000,217780000,102407000,181423000,279177000,293226000
84,CAPEX,- -,- -,- -,- -,-15300000,-19800000,-16600000,-14900000,-9900000,-7700000,-10000000,-10300000,-13000000,-22500000,-197600000,-23961000,-26955000,-27280000,-27713000,-30414000,-41188000,-83555000,-96960000,-91761000,-81688000,-65949000,-83695000,-107030000,-93174000,-78771000,-80693000,-67208000,-75798000,-94517000,-118422000,-88284000,-128734000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54265000,-77600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,700000,1300000,600000,1800000,9700000,-77300000,9900000,-6300000,-49300000,-19800000,1300000,-2109000,-27278000,-5686000,61000,-150605000,-123325000,-86116000,-133920000,-57119000,-243055000,-32128000,-37543000,-108543000,-80224000,-8124000,13095000,-9760000,-33812000,-47125000,2702000,-3644000,15177000
