,https://roic.ai/company/LPLA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1397911/000104746908003848/a2183608z10-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000104746909003050/0001047469-09-003050-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000104746910001938/0001047469-10-001938-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000095012311023662/b84509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791112000009/0001397911-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791113000012/0001397911-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791114000038/lpla2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791115000007/lpla2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000219/0001397911-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000025/0001397911-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791118000011/0001397911-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791119000018/0001397911-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791120000023/0001397911-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791121000029/0001397911-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791122000014/0001397911-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,245163000,188003000,219239000,378594000,419208000,720772000,466261000,516584000,412332000,724529000,747709000,811136000,511096000,590209000,808612000,495246000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,245163000,188003000,219239000,378594000,419208000,720772000,466261000,516584000,412332000,724529000,747709000,811136000,511096000,590209000,808612000,495246000
34,Net Receivables,- -,468170000,668448000,620968000,568746000,787815000,632193000,769303000,819763000,834393000,680474000,705953000,769423000,828448000,910430000,944938000,1262875000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,118191000,344208000,431743000,397563000,507030000,-632193000,-769303000,-819763000,-834393000,-680474000,-705953000,-769423000,-828448000,-468687000,2131393000,3218326000
37,Total Current Assets,- -,831524000,1200659000,1271950000,1344903000,1714053000,720772000,466261000,516584000,412332000,724529000,747709000,811136000,511096000,1031952000,3884943000,4976447000
38,PP&E,- -,121594000,156797000,161760000,101584000,78671000,91317000,130847000,189059000,214154000,275419000,387368000,412684000,461418000,635521000,684789000,753916000
39,Goodwill,- -,1249159000,1287756000,1293366000,1293366000,1293366000,1334086000,1371523000,1361361000,1365838000,1365838000,1365838000,1427769000,1490247000,1503648000,1513866000,1642443000
40,Intangible Assets,- -,575108000,684123000,654703000,597083000,560077000,537670000,503528000,464522000,430704000,392031000,353996000,414093000,484171000,439838000,397486000,455028000
41,Intangible Assets,- -,1824267000,1971879000,1948069000,1890449000,1853443000,1871756000,1875051000,1825883000,1796542000,1757869000,1719834000,1841862000,1974418000,1943486000,1911352000,2097471000
42,Investments,- -,20159000,25737000,21704000,25815000,18822000,17457000,18290000,15817000,22060000,21842000,20266000,29712000,42268000,58253000,42487000,163766000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-67723000,-21704000,-25815000,-18822000,1115024000,1498075000,1495488000,1605905000,1741402000,1959749000,2263357000,2488268000,2211026000,- -,- -
45,Total Non-Current Assets,- -,1966020000,2086690000,2109829000,1992033000,1932114000,3095554000,3522263000,3526247000,3638661000,3796532000,4087217000,4547615000,4966372000,4848286000,2638628000,3015153000
46,Other Assets,- -,4763564000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9162199000,11006753000
47,Total Assets,- -,2797544000,3287349000,3381779000,3336936000,3646167000,3816326000,3988524000,4042831000,4050993000,4521061000,4834926000,5358751000,5477468000,5880238000,6523571000,7991600000
48,Accounts Payable,- -,324928000,454602000,484745000,512160000,422359000,491474000,1018674000,910005000,987567000,1127945000,1312342000,1478302000,1080203000,1219311000,1506810000,2266368000
49,Short-Term Debt,- -,3718000,- -,- -,- -,- -,- -,- -,- -,110000000,- -,- -,- -,- -,45000000,- -,90000000
50,Tax Payable,- -,969000,10648000,12281000,24226000,- -,906000,- -,4320000,- -,8680000,4607000,469000,32990000,20129000,28145000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,688698000,703655000,587440000,656141000,646126000,512026000,497795000,347533000,489266000,526153000,530419000,1051384000,1193236000,- -,- -
53,Total Current Liabilities,- -,328646000,1143300000,1188400000,1099600000,1078500000,1137600000,1530700000,1407800000,1445100000,1617211000,1838495000,2008721000,2131587000,2457547000,- -,2356368000
54,Long-Term Debt,- -,1344375000,1451071000,1467647000,1369223000,1386639000,1332668000,1317825000,1535096000,1524258000,2188240000,2175436000,2385022000,2371808000,2353818000,2592215000,2960415000
55,Deferred Revenue,- -,31113000,40897000,36658000,45844000,53618000,59537000,61808000,73739000,64482000,65480000,62785000,72222000,80524000,82842000,95328000,160926000
56,Deferred Tax Liabilities,- -,245897000,216903000,185169000,147608000,130211000,127766000,118240000,89369000,66181000,36303000,25614000,16004000,18325000,2098000,- -,- -
57,Other Non-Current Liabilities,- -,- -,-311971000,-286374000,-176175000,-176568000,-185971000,-180073000,-163104000,-29721000,-101783000,-88399000,-88226000,-98849000,-39940000,- -,- -
58,Total Non-Current Liabilities,- -,1621385000,1396900000,1403100000,1386500000,1393900000,1334000000,1317800000,1535100000,1625200000,2188240000,2175436000,2385022000,2371808000,2398818000,2687543000,3121341000
59,Other Liabilities,- -,3463366000,- -,- -,- -,2787812000,- -,2635604000,- -,3259493000,- -,- -,- -,- -,- -,7896260000,7086040000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59940000,105649000,107518000,104564000,250492000,246801000,236371000
61,Total Liabilities,- -,2170627000,2540183000,2591467000,2486061000,2472412000,2471578000,2848504000,2942860000,3079393000,3805451000,4013931000,4393743000,4503395000,4856365000,5208717000,6321067000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,83000,86000,87000,87000,109000,110000,116000,117000,118000,119000,120000,123000,125000,126000,127000,129000
64,Retained Earnings,- -,33642000,90266000,135762000,183282000,126420000,296802000,199827000,313570000,396121000,469130000,569949000,718336000,1070146000,1554567000,1943019000,2327602000
65,Other Comprehensive Income/Loss,- -,1938000,-6512000,-15498000,-11272000,-4496000,-850000,- -,115000,937000,553000,315000,-427344000,-308155000,-388355000,- -,- -
66,Other Total Stockholders Equity,- -,591254000,663326000,669961000,678778000,1051722000,1048686000,940077000,786169000,574424000,245808000,250611000,673893000,211957000,-142465000,-628292000,- -
67,Total Stockholders Equity,- -,626917000,747166000,790312000,850875000,1173755000,1344748000,1140020000,1099971000,971600000,715610000,820995000,965008000,974073000,1023873000,1314854000,1670533000
68,Total Liabilities And Stockholders Equity,- -,2797544000,3287349000,3381779000,3336936000,3646167000,3816326000,3988524000,4042831000,4050993000,4521061000,4834926000,5358751000,5477468000,5880238000,6523571000,7991600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2797544000,3287349000,3381779000,3336936000,3646167000,3816326000,3988524000,4042831000,4050993000,4521061000,4834926000,5358751000,5477468000,5880238000,6523571000,7991600000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1397911/000104746908003848/a2183608z10-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000104746909003050/0001047469-09-003050-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000104746910001938/0001047469-10-001938-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000095012311023662/b84509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791112000009/0001397911-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791113000012/0001397911-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791114000038/lpla2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791115000007/lpla2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000219/0001397911-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000025/0001397911-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791118000011/0001397911-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791119000018/0001397911-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791120000023/0001397911-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791121000029/0001397911-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791122000014/0001397911-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,43089000,33642000,61069000,45496000,47520000,-56862000,170382000,151918000,181857000,178043000,168784000,191931000,238863000,439459000,559880000,472640000,459866000
74,Depreciation and Amortization,17854000,65348000,78748000,100462000,108296000,86037000,72741000,71796000,83503000,96845000,111622000,113963000,122364000,147908000,161113000,177090000,230688000
75,Deferred Income Tax,51297000,-19404000,-21320000,-26138000,-41460000,-21619000,-8432000,-12219000,-28943000,-24100000,-30153000,-11550000,-9391000,-1754000,-18615000,-23684000,18464000
76,Stock Based Compensation,8807000,2878000,2160000,4859000,8124000,237119000,18250000,21122000,24672000,27579000,29213000,24896000,28522000,29162000,32864000,33975000,44175000
77,Change in Working Capital,-36040000,58766000,57359000,26191000,161753000,390250000,-1052381000,-647611000,173223000,-141552000,140086000,-198104000,-106799000,-422906000,194896000,1425595000,-480780000
78,Accounts Receivable,-44573000,-76799000,-85024000,114833000,38268000,-44954000,29537000,-68393000,-3862000,7628000,26081000,-2226000,-1916000,-68888000,-20602000,28475000,-174236000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,45224000,99468000,112103000,56334000,30932000,-110654000,73430000,313529000,-136174000,76988000,134393000,149856000,165530000,32042000,195137000,393731000,12390000
81,Other Working Capital,-58766000,- -,57359000,83550000,245303000,635553000,-416828000,-1064439000,-891216000,-1032768000,-892682000,-1090786000,-1197585000,-1620491000,-1425595000,- -,-8732000
82,Other Non-Cash Items,32988000,-2004000,-167944000,-61593000,-13076000,-657839000,1241818000,669262000,-274195000,95427000,-140101000,153701000,170220000,389711000,-306267000,-1295675000,180721000
83,Cash Provided by Operating Activities,117995000,139226000,10072000,89277000,271157000,-22914000,442378000,254268000,160117000,232242000,279451000,274837000,443779000,581580000,623871000,789941000,453134000
84,CAPEX,-19424000,-23038000,-74738000,-62812000,-8313000,-23095000,-36347000,-54786000,-78239000,-98648000,-72565000,-127646000,-272231000,-160616000,-156389000,-155532000,-215987000
85,Acquisitions Net,-2020000,- -,-88689000,-13258000,- -,- -,-41977000,-43684000,- -,- -,- -,- -,-162500000,- -,-25853000,-30556000,-245913000
86,Purchases of Investments,-3836000,-38490000,-10493000,-7732000,-3746000,-5392000,-7685000,-8785000,-5095000,-7498000,-4602000,-4020000,-5969000,-6137000,-3745000,-6511000,-1741000
87,Sales/Maturities of Investments,3212000,31114000,5604000,7600000,3731000,6200000,6000000,8100000,9210000,5750000,3350000,5000000,3000000,5000000,5000000,5100000,5000000
88,Other Investing Activites,-8156000,-23029000,-74697000,-62812000,-13709000,-40000000,-21896000,-47300000,-78924000,-91384000,-73696000,-126266000,-272223000,-160616000,-156389000,-155532000,-215987000
89,Cash Used for Investing Activites,-10800000,-30405000,-168275000,-76202000,-13724000,-39192000,-65558000,-91669000,-74809000,-93132000,-74948000,-125286000,-437692000,-161753000,-180987000,-187499000,-458641000
90,Debt Repayment,-68955000,-116563000,-142803000,-8424000,-98424000,-592147000,-53971000,-1364843000,-866579000,-10838000,-194221000,-17966000,-2407398000,-23807000,-889942000,-1862869000,-2432931000
91,Common Stock Issued,- -,- -,- -,4000000,- -,41802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1336514000,- -,- -,-3783000,-181000,- -,-89037000,-199121000,-219091000,-275079000,-390835000,-25013000,-113728000,-417891000,-500370000,-150036000,-90011000
93,Dividends Paid,-55086000,- -,- -,- -,- -,- -,- -,-248809000,-68008000,-95616000,-95814000,-89081000,-90273000,-88360000,-82597000,-79097000,-80095000
94,Other Financing Activites,1374513000,118313000,243846000,26368000,527000,653065000,67752000,1395663000,1118693000,138171000,788564000,5689000,2668739000,46695000,939684000,1816816000,2881874000
95,Cash Used/Provided by Financing Activities,-86042000,1750000,101043000,18161000,-98078000,102720000,-75256000,-417110000,-34985000,-243362000,107694000,-126371000,57340000,-483363000,-533225000,-275186000,278837000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21153000,110571000,-57160000,31236000,159355000,40614000,301564000,-254511000,50323000,-104252000,312197000,23180000,63427000,-63536000,-90341000,327256000,273330000
98,Cash at the End of Period,134592000,245163000,188003000,219239000,378594000,419208000,720772000,466261000,516584000,412332000,724529000,747709000,811136000,1562119000,1471778000,1799034000,2072364000
99,Cash at the Beginning of Period,113439000,134592000,245163000,188003000,219239000,378594000,419208000,720772000,466261000,516584000,412332000,724529000,747709000,1625655000,1562119000,1471778000,1799034000
100,Free Cash Flow,98571000,116188000,-64666000,26465000,262844000,-46009000,406031000,199482000,81878000,133594000,206886000,147191000,171548000,420964000,467482000,634409000,237147000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1397911/000104746908003848/a2183608z10-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000104746909003050/0001047469-09-003050-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000104746910001938/0001047469-10-001938-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000095012311023662/b84509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791112000009/0001397911-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791113000012/0001397911-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791114000038/lpla2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791115000007/lpla2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000219/0001397911-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000025/0001397911-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791118000011/0001397911-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791119000018/0001397911-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791120000023/0001397911-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1397911/000139791121000029/0001397911-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1397911/000139791122000014/0001397911-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,
