,https://roic.ai/company/BK,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,593000000,648000000,- -,- -,- -,- -,2173000000,2254600000,2234000000,2357000000,2816000000,3006000000,3525000000,4091000000,3992000000,3934000000,5194000000,4979000000,5221000000,4808000000,5615000000,6336000000,6865000000,6821000000,11331000000,13652000000,7687000000,13875000000,14730000000,14134000000,14548000000,15264000000,14813000000,14832000000,14904000000,15366000000,16462000000,15506000000,15633000000
2,COGS,747000000,929000000,- -,- -,- -,- -,3325000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-154000000,-281000000,- -,- -,- -,- -,-1152000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15506000000,- -
4,Gross Profit Ratio,-0.2597,-0.4336,- -,- -,- -,- -,-0.5301,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,445000000,501000000,- -,- -,- -,- -,2108000000,679500000,594000000,668000000,813000000,852000000,913000000,1014000000,1066000000,1178000000,1251000000,1488000000,1588000000,1581000000,2002000000,2324000000,2549000000,2640000000,4120000000,5115000000,5717000000,5625000000,6211000000,6036000000,6336000000,6113000000,6104000000,5978000000,6201000000,6373000000,6276000000,5966000000,6337000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426000000,377000000,416000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",445000000,501000000,- -,- -,- -,- -,700900000,679500000,594000000,668000000,813000000,852000000,913000000,1014000000,1066000000,1178000000,1251000000,1488000000,1588000000,1581000000,2002000000,2324000000,2549000000,2640000000,4120000000,5115000000,6143000000,6002000000,6627000000,5761000000,6019000000,5845000000,5837000000,5733000000,5972000000,6145000000,6063000000,5966000000,6337000000
9,Other Expenses,747000000,929000000,- -,- -,- -,- -,4732100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2857000000,4163000000,6984000000,8513000000,3929000000,4340000000,4700000000,5467000000,5525000000,5508000000,5337000000,5216000000,6035000000,7876000000,9172000000,5072000000,- -
