,https://roic.ai/company/CAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6725000000,7321000000,8180000000,10435000000,11126000000,11436000000,10182000000,10194000000,11615000000,14328000000,16072000000,16522000000,18925000000,20977000000,19702000000,20175000000,20450000000,20152000000,22763000000,30251000000,36339000000,41517000000,44958000000,51324000000,32396000000,42588000000,60138000000,65875000000,55656000000,55184000000,47011000000,38537000000,45462000000,54722000000,53800000000,41748000000,50971000000
2,COGS,4880000000,5516000000,6120000000,7577000000,8256000000,8685000000,7849000000,7790000000,8407000000,10151000000,11318000000,11136000000,12636000000,14166000000,13536000000,14497000000,15219000000,15125000000,17466000000,22420000000,26558000000,29549000000,32626000000,38415000000,23886000000,30367000000,43578000000,47852000000,41454000000,40391000000,34329000000,28905000000,31695000000,37719000000,37384000000,29671000000,35968000000
3,Gross Profit,1845000000,1805000000,2060000000,2858000000,2870000000,2751000000,2333000000,2404000000,3208000000,4177000000,4754000000,5386000000,6289000000,6811000000,6166000000,5678000000,5231000000,5027000000,5297000000,7831000000,9781000000,11968000000,12332000000,12909000000,8510000000,12221000000,16560000000,18023000000,14202000000,14793000000,12682000000,9632000000,13767000000,17003000000,16416000000,12077000000,15003000000
4,Gross Profit Ratio,0.2743,0.2466,0.2518,0.2739,0.2580,0.2406,0.2291,0.2358,0.2762,0.2915,0.2958,0.3260,0.3323,0.3247,0.3130,0.2814,0.2558,0.2495,0.2327,0.2589,0.2692,0.2883,0.2743,0.2515,0.2627,0.2870,0.2754,0.2736,0.2552,0.2681,0.2698,0.2499,0.3028,0.3107,0.3051,0.2893,0.2943
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000000,643000000,626000000,649000000,696000000,656000000,669000000,928000000,1084000000,1347000000,1404000000,1728000000,1421000000,1905000000,2297000000,2466000000,2046000000,2135000000,2165000000,1951000000,1905000000,1850000000,1693000000,1415000000,1686000000
6,General and Administrative Exp.,1067000000,1120000000,1175000000,1424000000,1573000000,1676000000,1911000000,1719000000,1742000000,1850000000,2098000000,2403000000,2232000000,2561000000,2541000000,2604000000,2567000000,2531000000,2470000000,3072000000,3190000000,3706000000,3821000000,4399000000,3645000000,4248000000,5203000000,5919000000,5547000000,5697000000,5199000000,4686000000,5177000000,5478000000,5162000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1067000000,1120000000,1175000000,1424000000,1573000000,1676000000,1911000000,1719000000,1742000000,1850000000,2098000000,2403000000,2232000000,2561000000,2541000000,2604000000,2567000000,2531000000,2470000000,3072000000,3190000000,3706000000,3821000000,4399000000,3645000000,4248000000,5203000000,5919000000,5547000000,5697000000,5199000000,4686000000,5177000000,5478000000,5162000000,4642000000,5365000000
9,Other Expenses,476000000,436000000,403000000,434000000,471000000,533000000,602000000,654000000,668000000,683000000,682000000,696000000,738000000,865000000,945000000,- -,657000000,521000000,470000000,578000000,955000000,971000000,1054000000,- -,- -,- -,- -,485000000,981000000,1633000000,2062000000,1902000000,2279000000,1382000000,1271000000,1467000000,1074000000
10,Operating Expenses,1543000000,1556000000,1578000000,1858000000,2044000000,2209000000,2513000000,2373000000,2410000000,2533000000,2780000000,3099000000,3498000000,4069000000,4112000000,3253000000,3920000000,3708000000,3609000000,4578000000,5229000000,6024000000,6279000000,6127000000,5066000000,6153000000,7500000000,8870000000,8574000000,9465000000,9426000000,8539000000,9361000000,8710000000,8126000000,7524000000,8125000000
11,COGS and Expenses,6423000000,7072000000,7698000000,9435000000,10300000000,10894000000,10362000000,10163000000,10817000000,12684000000,14098000000,14235000000,16134000000,18235000000,17648000000,17750000000,19139000000,18833000000,21075000000,26998000000,31787000000,35573000000,38905000000,44542000000,28952000000,36520000000,51078000000,56722000000,50028000000,49856000000,43755000000,37444000000,41056000000,46429000000,45510000000,37195000000,44093000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,98000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000000,1028000000,1297000000,1420000000,1427000000,1434000000,1257000000,1222000000,467000000,465000000,484000000,507000000,505000000,531000000,404000000,421000000,514000000,488000000
14,Depreciation and Amortization,476000000,436000000,403000000,434000000,471000000,533000000,602000000,654000000,668000000,683000000,682000000,696000000,738000000,865000000,945000000,1022000000,1169000000,1220000000,1347000000,1397000000,1477000000,1602000000,1797000000,1980000000,2336000000,2296000000,2527000000,2813000000,3087000000,3163000000,3046000000,3034000000,2877000000,2766000000,2577000000,2432000000,2352000000
15,EBITDA,701000000,535000000,838000000,1312000000,1130000000,821000000,46000000,-1895000000,1362000000,1992000000,2319000000,2670000000,3199000000,3043000000,2346000000,2522000000,2341000000,2330000000,2844000000,4913000000,6479000000,7841000000,8243000000,7917000000,4395000000,7221000000,10397000000,11489000000,8660000000,8722000000,6397000000,3664000000,7501000000,11015000000,10837000000,6950000000,11071000000
16,EBITDA ratio,0.1042,0.0731,0.1024,0.1257,0.1016,0.0718,0.0045,-0.1859,0.1173,0.1390,0.1443,0.1616,0.1690,0.1451,0.1191,0.1250,0.1145,0.1156,0.1249,0.1624,0.1783,0.1889,0.1833,0.1543,0.1357,0.1696,0.1729,0.1744,0.1556,0.1581,0.1361,0.0951,0.1650,0.2013,0.2014,0.1665,0.2172
17,Operating Income,302000000,249000000,482000000,1000000000,826000000,542000000,-180000000,31000000,798000000,1644000000,1974000000,2287000000,2791000000,2742000000,2054000000,2425000000,1311000000,1319000000,1688000000,2733000000,3784000000,4921000000,4921000000,4448000000,577000000,3963000000,7153000000,8573000000,5628000000,5328000000,3256000000,498000000,4406000000,8293000000,8290000000,4553000000,6878000000
18,Operating Income ratio,0.0449,0.0340,0.0589,0.0958,0.0742,0.0474,-0.0177,0.0030,0.0687,0.1147,0.1228,0.1384,0.1475,0.1307,0.1043,0.1202,0.0641,0.0655,0.0742,0.0903,0.1041,0.1185,0.1095,0.0867,0.0178,0.0931,0.1189,0.1301,0.1011,0.0965,0.0693,0.0129,0.0969,0.1515,0.1541,0.1091,0.1349
19,Total Other Income Expenses (Gains),-77000000,-150000000,-47000000,-122000000,-167000000,-254000000,-376000000,-363000000,-75000000,-335000000,-337000000,-313000000,-330000000,-564000000,-653000000,-925000000,-142000000,-205000000,-211000000,-26000000,117000000,-60000000,32000000,25000000,-8000000,-213000000,-428000000,-337000000,-500000000,-245000000,-401000000,-359000000,-324000000,-471000000,-478000000,-558000000,1326000000
20,Income Before Tax,225000000,99000000,435000000,878000000,659000000,288000000,-556000000,-332000000,723000000,1309000000,1637000000,1974000000,2461000000,2178000000,1401000000,1500000000,1169000000,1114000000,1477000000,2707000000,3901000000,4861000000,4953000000,4473000000,569000000,3750000000,6725000000,8236000000,5128000000,5083000000,2855000000,139000000,4082000000,7822000000,7812000000,3995000000,8204000000
21,Income Before Tax Ratio,0.0335,0.0135,0.0532,0.0841,0.0592,0.0252,-0.0546,-0.0326,0.0622,0.0914,0.1019,0.1195,0.1300,0.1038,0.0711,0.0743,0.0572,0.0553,0.0649,0.0895,0.1074,0.1171,0.1102,0.0872,0.0176,0.0881,0.1118,0.1250,0.0921,0.0921,0.0607,0.0036,0.0898,0.1429,0.1452,0.0957,0.1610
22,Income Tax expense (Gain),27000000,23000000,116000000,262000000,162000000,78000000,-152000000,-114000000,42000000,354000000,501000000,613000000,796000000,665000000,455000000,447000000,367000000,312000000,398000000,731000000,1120000000,1405000000,1485000000,953000000,-270000000,968000000,1720000000,2528000000,1319000000,1380000000,742000000,192000000,3339000000,1698000000,1746000000,1006000000,1742000000
23,Net Income,198000000,76000000,319000000,616000000,497000000,210000000,-404000000,-2435000000,652000000,955000000,1136000000,1361000000,1665000000,1513000000,946000000,1053000000,805000000,798000000,1099000000,2035000000,2854000000,3537000000,3541000000,3557000000,895000000,2700000000,4928000000,5681000000,3789000000,3695000000,2102000000,-67000000,754000000,6147000000,6093000000,2998000000,6489000000
24,Net Income ratio,0.0294,0.0104,0.0390,0.0590,0.0447,0.0184,-0.0397,-0.2389,0.0561,0.0667,0.0707,0.0824,0.0880,0.0721,0.0480,0.0522,0.0394,0.0396,0.0483,0.0673,0.0785,0.0852,0.0788,0.0693,0.0276,0.0634,0.0819,0.0862,0.0681,0.0670,0.0447,-0.0017,0.0166,0.1123,0.1133,0.0718,0.1273
25,EPS,0.26,0.10,0.40,0.76,0.61,0.26,-0.50,-3.02,0.77,1.18,1.43,1.77,2.22,2.08,1.33,1.52,1.18,1.16,1.59,2.98,4.21,5.37,5.55,5.83,1.45,4.28,7.64,8.71,5.87,5.99,4.23,-0.11,1.27,10.39,10.85,5.51,11.93
26,EPS Diluted,0.26,0.10,0.40,0.76,0.61,0.26,-0.50,-3.02,0.76,1.18,1.43,1.77,2.19,2.06,1.31,1.51,1.16,1.15,1.56,2.88,4.04,5.17,5.37,5.66,1.43,4.15,7.40,8.48,5.75,5.88,4.18,-0.11,1.26,10.26,10.74,5.46,11.93
27,Weighted Average Shares Outstanding,776470588,760000000,797500000,810526316,808130081,807692308,808000000,807628524,852287582,812765957,794405594,770014144,750000000,725659472,711278195,692763158,686600000,688000000,690400000,684600000,678400000,658700000,638200000,610500000,615200000,631500000,645000000,652600000,645200000,617200000,594300000,584300000,591800000,591400000,561600000,544100000,538700000
28,Weighted Average Shares Outstanding Diluted,776470588,760000000,797500000,810526316,808130081,807692308,808000000,807628524,857894737,822400000,796190476,777777778,762013730,736253041,719391635,697350993,694200000,693800000,702800000,707400000,705800000,683800000,659500000,627900000,626000000,650400000,666100000,669600000,658600000,628900000,601300000,584300000,599300000,599400000,567500000,548600000,542600000
