,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,2191000,15034000,16383000,24829000,14226000,10367000,10245000,16584000,12282000,20016000,18511000,-2114000,-12094000,7053000,-110000,35098000,56373000,27682000,17492000,27094000,-6072550000,1838658000
20,Income Before Tax,- -,4610000,1893000,4462000,-52231000,-4615000,24144000,54540000,306500000,343127000,285435000,739893000,873544000,304505000,897653000,850456000,427012000,589387000,742505000,844247000,567194000,855552000,757277000,841772000,1849110000,1577549000,2103351000
21,Income Before Tax Ratio,- -,0.0919,0.0156,0.0181,-0.1498,-0.0377,0.3158,0.0756,0.1308,0.1105,0.0901,0.2143,0.2530,0.1026,0.2564,0.2622,0.1394,0.1744,0.2135,0.2083,0.1426,0.1922,0.1410,0.1538,0.2726,0.1850,0.2357
22,Income Tax expense (Gain),100000,337000,-338000,235000,-19557000,5425000,2128000,556000,26725000,26228000,28949000,26679000,15601000,13539000,20708000,7868000,-9346000,-4010000,32774000,22987000,40612000,31374000,127568000,113951000,155810000,111838000,128582000
23,Net Income,1000000,4112000,2039000,3091000,-32436000,-8741000,22016000,58982000,280591000,316899000,256486000,713214000,857943000,290966000,876945000,842588000,436358000,593397000,709731000,834355000,537738000,692738000,619278000,757971000,1636319000,1465711000,2156849000
24,Net Income ratio,0.2000,0.0820,0.0169,0.0125,-0.0930,-0.0713,0.2880,0.0817,0.1197,0.1021,0.0810,0.2066,0.2485,0.0981,0.2504,0.2597,0.1424,0.1755,0.2041,0.2059,0.1352,0.1556,0.1153,0.1385,0.2412,0.1719,0.2417
25,EPS,0.01,0.03,0.01,0.02,-0.21,-0.07,0.19,0.33,1.19,1.12,0.81,1.05,1.30,0.47,1.59,1.81,1.03,1.38,1.75,2.07,1.41,1.83,1.40,1.76,3.97,3.38,5.35
26,EPS Diluted,0.01,0.03,0.01,0.02,-0.21,-0.07,0.14,0.11,0.46,0.49,0.38,1.01,1.25,0.45,1.53,1.73,0.99,1.34,1.69,2.01,1.36,1.78,1.36,1.73,3.87,3.32,5.26
