,https://roic.ai/company/ECL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,812900000,1020200000,1211900000,1305600000,1390000000,918000000,1004800000,1041500000,1207600000,1340900000,1490000000,1640400000,1888200000,2080000000,2264313000,2354723000,3403585000,3761819000,4184933000,4534832000,4895814000,5469600000,6137500000,5900600000,6089700000,6798500000,11838700000,13253400000,14280500000,13545100000,13152800000,13838300000,14668200000,14906300000,11790200000,12733100000
2,COGS,- -,357100000,426300000,529800000,574800000,586500000,367500000,393000000,393600000,466200000,527100000,585400000,621200000,729200000,803100000,877470000,1089631000,1687597000,1845202000,2031280000,2248831000,2416058000,2691700000,3141600000,2978000000,3013800000,3475600000,6483500000,7240100000,7679100000,7223500000,6898900000,7405100000,8625900000,8723400000,6905800000,7615800000
3,Gross Profit,- -,455800000,593900000,682100000,730800000,803500000,550500000,611800000,647900000,741400000,813800000,904600000,1019200000,1159000000,1276900000,1386843000,1265092000,1715988000,1916617000,2153653000,2286001000,2479756000,2777900000,2995900000,2922600000,3075900000,3322900000,5355200000,6013300000,6601400000,6321600000,6253900000,6433200000,6042300000,6182900000,4884400000,5117300000
4,Gross Profit Ratio,- -,0.5607,0.5821,0.5628,0.5597,0.5781,0.5997,0.6089,0.6221,0.6139,0.6069,0.6071,0.6213,0.6138,0.6139,0.6125,0.5373,0.5042,0.5095,0.5146,0.5041,0.5065,0.5079,0.4881,0.4953,0.5051,0.4888,0.4523,0.4537,0.4623,0.4667,0.4755,0.4649,0.4119,0.4148,0.4143,0.4019
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,629700000,699800000,775100000,852400000,916004000,946089000,1283091000,1433551000,1615064000,1743581000,1868114000,2090900000,2257500000,2174200000,2261600000,2438100000,3920200000,4281400000,4577600000,4345500000,4299400000,4417100000,3968600000,3957500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,345300000,394800000,503300000,562900000,599200000,385200000,434900000,466600000,529500000,575000000,629700000,699800000,775100000,852400000,916004000,946089000,1283091000,1433551000,1615064000,1743581000,1868114000,2090900000,2257500000,2174200000,2261600000,2438100000,3920200000,4281400000,4577600000,4345500000,4299400000,4417100000,3968600000,3957500000,3309100000,3416100000
9,Other Expenses,- -,35500000,56100000,69900000,75300000,82900000,55000000,59400000,59500000,66900000,76100000,89500000,100900000,122000000,134500000,148436000,1390000,37031000,408000,4467000,- -,- -,19700000,25900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,380800000,450900000,573200000,638200000,682100000,440200000,494300000,526100000,596400000,651100000,719200000,800700000,897100000,986900000,1064440000,947479000,1320122000,1433959000,1619531000,1743581000,1868114000,2110600000,2283400000,2174200000,2261600000,2438100000,3920200000,4281400000,4577600000,4345500000,4299400000,4417100000,3968600000,3957500000,3309100000,3416100000
11,COGS and Expenses,- -,737900000,877200000,1103000000,1213000000,1268600000,807700000,887300000,919700000,1062600000,1178200000,1304600000,1421900000,1626300000,1790000000,1941910000,2037110000,3007719000,3279161000,3650811000,3992412000,4284172000,4802300000,5425000000,5152200000,5275400000,5913700000,10403700000,11521500000,12256700000,11569000000,11198300000,11822200000,12594500000,12680900000,10214900000,11031900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6500000,7900000,8900000,10500000,11400000,10100000,20800000,19600000,14900000,24100000,14600000,12300000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67500000,65600000,82100000,285600000,272800000,268000000,253700000,285400000,274600000,237200000,215300000,304800000,230600000
14,Depreciation and Amortization,- -,35500000,56100000,69900000,75300000,82900000,55000000,59400000,59500000,66900000,76100000,89500000,100900000,122000000,134500000,148436000,162990000,223428000,229656000,247382000,256935000,268569000,291900000,334700000,334300000,347900000,395700000,714500000,816200000,872000000,859500000,850700000,893300000,938300000,973300000,812700000,843100000
15,EBITDA,- -,107800000,246200000,148000000,89000000,176300000,-159600000,151000000,169500000,201900000,235000000,273500000,320200000,416300000,420100000,484058000,468568000,573279000,678074000,736160000,755117000,835793000,908200000,985600000,1020500000,1160400000,1156600000,2015000000,2381500000,2819000000,2415800000,2769000000,2918700000,2968900000,3070200000,89000000,2473800000
16,EBITDA ratio,- -,0.1326,0.2413,0.1221,0.0682,0.1268,-0.1739,0.1503,0.1627,0.1672,0.1753,0.1836,0.1952,0.2205,0.2020,0.2138,0.1990,0.1684,0.1803,0.1759,0.1665,0.1707,0.1660,0.1606,0.1729,0.1906,0.1701,0.1702,0.1797,0.1974,0.1784,0.2105,0.2109,0.2024,0.2060,0.0075,0.1943
17,Operating Income,- -,75000000,143000000,108900000,92600000,121400000,110300000,117500000,121800000,145000000,162700000,185400000,218500000,261900000,290000000,322403000,318179000,395866000,482658000,534122000,542420000,611642000,667300000,712500000,681300000,806800000,753800000,1289300000,1560600000,1955000000,1561300000,1915000000,2019800000,1947000000,2013800000,1395700000,1598600000
18,Operating Income ratio,- -,0.0923,0.1402,0.0899,0.0709,0.0873,0.1202,0.1169,0.1169,0.1201,0.1213,0.1244,0.1332,0.1387,0.1394,0.1424,0.1351,0.1163,0.1283,0.1276,0.1196,0.1249,0.1220,0.1161,0.1155,0.1325,0.1109,0.1089,0.1178,0.1369,0.1153,0.1456,0.1460,0.1327,0.1351,0.1184,0.1255
19,Total Other Income Expenses (Gains),- -,-2700000,-53000000,-30800000,-78900000,-28000000,-25600000,-25900000,-12500000,-10000000,-3800000,-1400000,800000,-5600000,-4400000,15647000,-28434000,-43895000,-34240000,-45344000,-44238000,-44418000,-51000000,-61600000,-61200000,-59100000,-74200000,-276700000,-262300000,-256600000,-243600000,-264600000,-255000000,-142400000,-114900000,-234300000,-184400000
20,Income Before Tax,- -,72300000,90000000,78100000,13700000,93400000,84700000,91600000,109300000,135000000,158900000,184000000,219300000,256300000,285600000,338050000,289745000,351971000,448418000,488778000,498182000,567224000,616300000,650900000,620100000,747700000,679600000,1012600000,1298300000,1698400000,1317700000,1650400000,1764800000,1804600000,1898900000,1161400000,1414200000
21,Income Before Tax Ratio,- -,0.0889,0.0882,0.0644,0.0105,0.0672,0.0923,0.0912,0.1049,0.1118,0.1185,0.1235,0.1337,0.1357,0.1373,0.1493,0.1230,0.1034,0.1192,0.1168,0.1099,0.1159,0.1127,0.1061,0.1051,0.1228,0.1000,0.0855,0.0980,0.1189,0.0973,0.1255,0.1275,0.1230,0.1274,0.0985,0.1111
22,Income Tax expense (Gain),- -,28600000,48300000,34000000,10600000,39700000,29000000,27300000,33400000,50400000,59700000,70800000,85300000,101800000,109800000,129495000,117408000,140081000,171070000,178290000,178701000,198609000,189100000,202800000,201400000,216600000,216300000,311300000,324700000,476200000,300500000,403300000,242400000,364300000,322700000,176600000,270200000
23,Net Income,- -,43700000,141800000,44100000,3100000,53700000,-243600000,64300000,76600000,84600000,99200000,113200000,134000000,192500000,175800000,206127000,188170000,209770000,277348000,310488000,319481000,368615000,427200000,448100000,417300000,530300000,462500000,703600000,967800000,1202800000,1002100000,1229600000,1508400000,1429100000,1558900000,-1205100000,1129900000
24,Net Income ratio,- -,0.0538,0.1390,0.0364,0.0024,0.0386,-0.2654,0.0640,0.0735,0.0701,0.0740,0.0760,0.0817,0.1019,0.0845,0.0910,0.0799,0.0616,0.0737,0.0742,0.0705,0.0753,0.0781,0.0730,0.0707,0.0871,0.0680,0.0594,0.0730,0.0842,0.0740,0.0935,0.1090,0.0974,0.1046,-0.1022,0.0887
25,EPS,- -,0.20,0.67,0.20,0.01,0.24,-1.15,0.26,0.30,0.63,0.38,0.44,0.52,0.74,0.68,0.81,0.74,0.81,1.07,1.21,1.25,1.46,1.73,1.83,1.76,2.27,1.95,2.41,3.23,4.01,3.38,4.20,5.20,4.95,5.41,-4.20,3.95
26,EPS Diluted,- -,0.20,0.64,0.20,0.01,0.24,-1.15,0.26,0.30,0.63,0.38,0.42,0.50,0.72,0.66,0.78,0.72,0.80,1.06,1.19,1.23,1.43,1.70,1.80,1.74,2.23,1.91,2.35,3.16,3.93,3.32,4.14,5.12,4.88,5.33,-4.24,3.91
27,Weighted Average Shares Outstanding,- -,213170732,213233083,215121951,180000000,187755102,216331878,247307692,255333333,135100000,264388000,257984000,258892000,258314000,259100000,255506000,254832000,258146000,259454000,257575000,255741000,252132000,246800000,245400000,236700000,233400000,236900000,292500000,299900000,300100000,296400000,292500000,289600000,288600000,288100000,287000000,286300000
28,Weighted Average Shares Outstanding Diluted,- -,224102564,223307087,220500000,180000000,187755102,216331878,247307692,255333333,250980392,264642857,267928994,267644000,268094000,268838000,263892000,259856000,261574000,262737000,261776000,260098000,257144000,251800000,249300000,239900000,237600000,242100000,298900000,305900000,305900000,301400000,296700000,294000000,292800000,292500000,290300000,289100000
