,https://roic.ai/company/KLAC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,82500000,88200000,112900000,165500000,167900000,148400000,156000000,167200000,243700000,442400000,694900000,1031800000,1166300000,843200000,1498812000,2103757000,1637282000,1323049000,1496718000,2085153000,2070627000,2731229000,2521716000,1520216000,1820760000,3175167000,3171944000,2842781000,2929408000,2814049000,2984493000,3480014000,4036701000,4568904000,5806424000,6918734000
2,COGS,41100000,47400000,96000000,84800000,82300000,73700000,89300000,97900000,122300000,194000000,300300000,471900000,554900000,447100000,677805000,937152000,814393000,671505000,670013000,862353000,942091000,1190323000,1145416000,864824000,815662000,1259243000,1330016000,1237452000,1232962000,1215229000,1163391000,1287547000,1447369000,1869377000,2449561000,2772165000
3,Gross Profit,41400000,40800000,16900000,80700000,85600000,74700000,66700000,69300000,121400000,248400000,394600000,559900000,611400000,396100000,821007000,1166605000,822889000,651544000,826705000,1222800000,1128536000,1540906000,1376300000,655392000,1005098000,1915924000,1841928000,1605329000,1696446000,1598820000,1821102000,2192467000,2589332000,2699527000,3356863000,4146569000
4,Gross Profit Ratio,0.5018,0.4626,0.1497,0.4876,0.5098,0.5034,0.4276,0.4145,0.4982,0.5615,0.5679,0.5426,0.5242,0.4698,0.5478,0.5545,0.5026,0.4925,0.5523,0.5864,0.5450,0.5642,0.5458,0.4311,0.5520,0.6034,0.5807,0.5647,0.5791,0.5682,0.6102,0.6300,0.6414,0.5908,0.5781,0.5993
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134100000,181900000,164700000,246227000,355772000,287408000,268291000,280641000,340277000,393823000,437513000,409973000,371463000,329560000,386163000,452937000,487832000,539469000,530616000,481258000,526870000,608712000,711030000,863864000,928487000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,70600000,130500000,200800000,219400000,242400000,199100000,267877000,354368000,290588000,253933000,248706000,299961000,424922000,513525000,466951000,415126000,361372000,369431000,372666000,387812000,384907000,406864000,379399000,389336000,443426000,599124000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24100000,27100000,- -,56200000,64000000,60600000,69600000,48300000,70600000,130500000,200800000,219400000,242400000,199100000,267877000,354368000,290588000,253933000,248706000,299961000,424922000,513525000,466951000,415126000,361372000,369431000,372666000,387812000,384907000,406864000,379399000,389336000,443426000,599124000,734149000,729602000
9,Other Expenses,2900000,3700000,4700000,6400000,8700000,9100000,10700000,9600000,10700000,10600000,16300000,- -,- -,-100000,- -,- -,- -,19961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27000000,30800000,4700000,62600000,72700000,69700000,80300000,57900000,81300000,141100000,217100000,353500000,424300000,363700000,514104000,710140000,577996000,542185000,529347000,640238000,818745000,951038000,876924000,786589000,690932000,755594000,825603000,875644000,924376000,937480000,860657000,916206000,1052138000,1310154000,1598013000,1658089000
11,COGS and Expenses,68100000,78200000,100700000,147400000,155000000,143400000,169600000,155800000,203600000,335100000,517400000,825400000,979200000,810800000,1191909000,1647292000,1392389000,1213690000,1199360000,1502591000,1760836000,2141361000,2022340000,1651413000,1506594000,2014837000,2155619000,2113096000,2157338000,2152709000,2024048000,2203753000,2499507000,3179531000,4047574000,4430254000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30749000,17512000,15513000,15321000,14976000,13555000,12545000,14507000,23270000,36869000,40367000,21646000,8929000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55339000,54517000,54328000,54197000,54176000,53812000,106009000,122887000,122476000,114376000,124604000,160274000,157328000
14,Depreciation and Amortization,2900000,3700000,4700000,6400000,8700000,9100000,10700000,9600000,10700000,10600000,16300000,52300000,38900000,48200000,63338000,55649000,69590000,71448000,82926000,70853000,69436000,109290000,126376000,135848000,87348000,- -,92133000,87534000,83072000,80536000,66932000,57836000,62684000,233224000,348049000,333335000
15,EBITDA,19800000,16500000,18500000,24400000,22700000,-400000,-2800000,18900000,51000000,99400000,205200000,226300000,245200000,98500000,416415000,261858000,357046000,251966000,407642000,694548000,451395000,787897000,686610000,-411344000,433046000,1164394000,1120424000,832331000,871345000,620676000,1048011000,1353558000,1632991000,1654659000,1826794000,2852056000
