,https://roic.ai/company/HWBK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,2.4963,1.9626,1.8991,0.3445,0.3236,0.3667,0.3794,0.4021,0.3622,0.3479,0.3340,0.2337,-0.7756,0.1340,-0.1242,0.0666,0.0711,0.1586,0.2593,0.2831,0.2401,0.2346,0.2442,0.3709,0.2726,0.3758
22,Income Tax expense (Gain),1862000,1842000,2116775,2070736,2592319,3640956,3379380,4155865,3806556,4326700,4907867,3245239,-6145965,1856120,-3086813,591144,546000,2422000,4042000,4580000,3750000,7902000,1668000,3823000,3183000,5697000
23,Net Income,3842591,3856136,4352736,4464379,5484669,7102210,8093290,9043914,8304980,9915278,10875205,7799976,-30627356,4955757,-3551740,2857270,2822000,4974000,7654000,8599000,7282000,3414000,10714000,16114000,14293000,22517000
24,Net Income ratio,1.6815,1.3281,1.2778,0.2353,0.2198,0.2424,0.2676,0.2755,0.2484,0.2422,0.2301,0.1651,-0.6460,0.0975,-0.0664,0.0551,0.0596,0.1066,0.1697,0.1847,0.1585,0.0708,0.2113,0.2998,0.2229,0.2999
25,EPS,0.74,0.75,0.84,0.86,0.85,1.03,1.19,1.36,1.24,1.49,1.63,1.17,-4.62,0.45,-0.84,0.13,0.15,0.66,1.15,1.30,1.06,0.50,1.58,2.38,2.12,3.33
26,EPS Diluted,0.74,0.75,0.84,0.86,0.85,1.03,1.19,1.34,1.24,1.47,1.62,1.16,-4.62,0.45,-0.84,0.13,0.15,0.66,1.15,1.30,1.06,0.50,1.58,2.38,2.12,3.33
27,Weighted Average Shares Outstanding,5174674,5173574,5174904,5191972,6425218,6877541,6795954,6672626,6681679,6670033,6671093,6678082,6653488,6622662,6622661,6622661,6622661,6622662,6622662,6621518,6861610,6816000,6770670,6781674,6756691,6756691
28,Weighted Average Shares Outstanding Diluted,5174674,5173574,5174904,5191972,6425218,6877541,6819799,6734697,6715425,6726559,6722608,6750277,6653488,6622662,6622661,6622661,6622661,6622662,6622662,6621518,6861610,6822182,6770670,6781674,6756691,6756691
29,SEC Link,https://www.sec.gov/Archives/edgar/data/893847/0000927025-97-000036-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893847/000095013708003777/0000950137-08-003777-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095013709001858/0000950137-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012310024557/0000950123-10-024557-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012311030599/0000950123-11-030599-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000119312512141952/0001193125-12-141952-index.htm,- -,https://www.sec.gov/Archives/edgar/data/893847/000110465914024448/0001104659-14-024448-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104915002519/0001571049-15-002519-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104916013487/0001571049-16-013487-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104917003052/0001571049-17-003052-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000114420418015213/0001144204-18-015213-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837019002015/0001558370-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837020002742/0001558370-20-002742-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837021002878/0001558370-21-002878-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000089384722000011/0000893847-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25171641,34352050,46203744,22251208,25374115,31127216,77445395,57044915,24104458,35282568,43077605,35209201,53723075,24575943,50853985,43134530,58877000,27079000,22364000,20484000,25589000,26785000,35934000,33438000,28611000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200246000,205985000,198998000,235054000,214512000,226542000,218205000,175093000,198030000,- -
33,Cash and Short-Term Investments,25171641,34352050,46203744,22251208,25374115,31127216,77445395,57044915,24104458,35282568,43077605,35209201,53723075,24575943,50853985,43134530,259123000,233064000,221362000,255538000,240101000,253327000,254139000,208531000,226641000,- -
34,Net Receivables,2543421,4067232,3794092,4258341,6795268,6019680,5539661,5107980,5289083,7772573,8773686,8764196,7476093,6625557,5733684,5340610,5190000,4999000,4816000,4853000,5183000,5627000,6162000,6481000,6640000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,385877371,446059443,646308479,698923496,483893440,580502652,675491839,824186035,820952412,909578448,1017661978,1010194126,924292983,868075787,677342000,654959000,699573000,658203000,779350000,895159000,959676000,1059179000,1259061000,- -
37,Total Current Assets,- -,- -,435875207,472568992,678477862,736070392,566878496,642655547,704885380,867241176,872803703,953551845,1078861146,1041395626,980880652,916550927,941655000,893022000,925751000,918594000,1024634000,1154113000,1219977000,1274191000,1492342000,- -
38,PP&E,3341650,8654712,12064252,12361112,15791222,15193390,16586332,17774633,21276387,32890908,34706857,40543546,39260220,38623293,36980503,37953372,37021000,38079000,37498000,36389000,35522000,34811000,34894000,35388000,34561000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3524950,3333499,2851123,2684000,3036000,2762000,2847000,2584000,2713000,2931000,2482000,2445000,- -
41,Intangible Assets,- -,11508482,10763915,10016141,25334262,24561554,24262874,26209980,25994868,46646566,45428027,44340183,3301322,3524950,3333499,2851123,2684000,3036000,2762000,2847000,2584000,2713000,2931000,2482000,2445000,- -
42,Investments,- -,- -,- -,- -,- -,- -,186690210,188955832,171717635,179691826,189773310,157368505,158276179,152926685,178977550,213806001,200246000,205985000,203720000,243091000,224308000,237579000,223880000,180901000,204383000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,22828167,22377253,41125484,39754944,227539416,232940445,218988890,259229300,269908194,242252234,200837721,195074928,219291552,254610496,239951000,247100000,243980000,282327000,262414000,275103000,261705000,218771000,241389000,- -
46,Other Assets,284079435,450692194,- -,- -,- -,- -,1021957328,1108536437,1142863160,1385699776,1412620091,1438056313,1480536588,1431545482,1419463756,1425771919,1421557000,1387222000,1413711000,1483248000,1549462000,1704319000,1743387000,1711733000,1975120000,1831550000
47,Total Assets,284079435,450692194,458703374,494946245,719603346,775825336,794417912,875595992,923874270,1126470476,1142711897,1195804079,1279698867,1236470554,1200172204,1171161423,1181606000,1140122000,1169731000,1200921000,1287048000,1429216000,1481682000,1492962000,1733731000,1831550000
48,Accounts Payable,- -,- -,- -,2127719,4420054,3059714,1984745,1650292,1795267,3124365,4366250,4723965,3847415,2438121,1491503,1054202,909000,426000,373000,382000,498000,554000,1035000,1136000,837000,- -
49,Short-Term Debt,- -,- -,675941,2747936,543667,388122,3061503,688978,897470,1098337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,411224059,431424345,640536279,693652164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,411900000,436300000,645500000,697100000,5046248,2339270,2692737,4222702,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,- -,17603568,17150568,26450568,42377787,43137614,41795016,41629893,65298747,101665661,96854315,127401027,178543483,128803302,116471978,77895989,69612000,73486000,92486000,99486000,142878000,170868000,144639000,148629000,158297000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,289340,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-16450568,-23750568,-41877787,-42737614,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,17892908,700000,2700000,500000,400000,41795016,41629893,65298747,101665661,96854315,127401027,178543483,128803302,116471978,77895989,69612000,73486000,92486000,99486000,142878000,170868000,144639000,148629000,158297000,- -
59,Other Liabilities,243398133,425477500,- -,- -,1019609,- -,748339560,827103871,894709497,1127180570,1134621622,1212006283,1351823967,1257502573,1215155871,1146481639,1158998000,1139228000,1181649000,1213121000,1338909000,1508713000,1526907000,1526553000,1761439000,1682594000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2224000,2137000,- -
61,Total Liabilities,243398133,407584592,412590192,438998687,646019609,697472688,711590792,787813248,832103487,1029737611,1037767307,1084605256,1173280484,1128699271,1098683893,1068585650,1089386000,1065742000,1089163000,1113635000,1196031000,1337845000,1382268000,1377924000,1603142000,1682594000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27888294,28364768,28841242,29317716,17977000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,718511,718511,718511,1219025,2863493,2863493,2865601,4298353,4298353,4298353,4298353,4298353,4298353,4463813,4635891,4814852,5001000,5195000,5396000,5605000,5822000,6047000,6279000,6520000,6769000,- -
64,Retained Earnings,38696973,40986755,43730026,46460207,48106530,52783864,58363271,62789107,67716511,74129117,81431713,85728114,51598678,50576551,41857302,40354112,39118000,40086000,44016000,48700000,51671000,50595000,54105000,61590000,68935000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,2294471,1348079,393534,-1072170,-381286,1356538,1005553,912224,742149,1339919,1825000,-769000,-1228000,-2018000,-3801000,-5662000,-6099000,-3755000,1528000,- -
66,Other Total Stockholders Equity,1265818,1402336,1664645,8268326,22613714,22705291,19303777,19347205,19362385,19377565,19595810,19815818,21627505,23453927,25411727,26749174,28299000,29868000,32384000,34999000,37325000,40391000,45129000,50683000,53357000,- -
67,Total Stockholders Equity,40681302,43107602,46113182,55947558,73583737,78352648,82827120,87782744,91770783,96732865,104944590,111198823,106418383,107771283,101488311,102575773,92220000,74380000,80568000,87286000,91017000,91371000,99414000,115038000,130589000,148956000
68,Total Liabilities And Stockholders Equity,284079435,450692194,458703374,494946245,719603346,775825336,794417912,875595992,923874270,1126470476,1142711897,1195804079,1279698867,1236470554,1200172204,1171161423,1181606000,1140122000,1169731000,1200921000,1287048000,1429216000,1481682000,1492962000,1733731000,1831550000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,284079435,450692194,458703374,494946245,719603346,775825336,794417912,875595992,923874270,1126470476,1142711897,1195804079,1279698867,1236470554,1200172204,1171161423,1181606000,1140122000,1169731000,1200921000,1287048000,1429216000,1481682000,1492962000,1733731000,1831550000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/893847/0000927025-97-000036-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893847/000095013708003777/0000950137-08-003777-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095013709001858/0000950137-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012310024557/0000950123-10-024557-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012311030599/0000950123-11-030599-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000119312512141952/0001193125-12-141952-index.htm,- -,https://www.sec.gov/Archives/edgar/data/893847/000110465914024448/0001104659-14-024448-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104915002519/0001571049-15-002519-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104916013487/0001571049-16-013487-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104917003052/0001571049-17-003052-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000114420418015213/0001144204-18-015213-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837019002015/0001558370-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837020002742/0001558370-20-002742-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837021002878/0001558370-21-002878-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000089384722000011/0000893847-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3842591,3856136,4352736,4464379,5484669,7102210,8093290,9043914,8304980,9915278,10875205,7799976,-30627356,4955757,-3551740,2857270,2822000,4974000,7654000,8599000,7282000,3414000,10714000,16114000,14293000,22517000
74,Depreciation and Amortization,303679,542429,1379652,1971288,2201881,2300292,2724585,3414102,3177435,4252781,2929165,2926153,2860183,2670368,2490319,2375082,2266000,1740000,1758000,1810000,1782000,1735000,1797000,2062000,2265000,2283000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1016107,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130459,87310,57874,29000,19000,20000,10000,17000,3000,- -,- -,- -,- -
77,Change in Working Capital,-117482,23975207,12293785,-3291130,5992530,522861856,78484029,61876366,160825831,9785229,80748142,125309301,-37465520,-60514974,-64329725,25104073,-48633000,32729000,-7157000,106040000,129479000,65864000,54214000,218151000,-1492342000,1865000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000,191000,183000,-37000,-330000,-444000,-535000,-319000,-159000,19000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-243680,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1409294,-946618,-437301,-145000,-483000,-53000,9000,116000,56000,481000,101000,-299000,-555000
81,Other Working Capital,- -,23975207,36268992,32977862,38970392,561832248,640316277,702192643,863018474,872803703,953551845,1078861146,1041395626,980880652,916550927,941655000,893022000,925751000,918594000,1024634000,1154113000,1219977000,1274191000,1492342000,- -,-58000
82,Other Non-Cash Items,1041745,-23303764,-11506743,1889587,-2596743,-519429468,-81814219,-61694606,-161979316,-7061612,-77915169,-122647892,76759137,63525652,86760049,-9562421,58391000,-19219000,11279000,-103117000,-125029000,-58537000,-50423000,-217236000,1495935000,3947000
83,Cash Provided by Operating Activities,5070533,5070008,6519430,5034124,11082337,12834890,7487685,12639776,10328930,16891676,16637343,13387538,11526444,9751155,21456213,20831878,14875000,20243000,13554000,13342000,13531000,12479000,16302000,19091000,20151000,30612000
84,CAPEX,-1073284,-3221793,-3829625,-1277195,-9000056,-2304551,-2838819,-1073041,-5127948,-6387156,-2891901,-8210563,-982571,-2369890,-549285,-3392639,-1375000,-2680000,-1342000,-872000,-1262000,-1266000,-2326000,-2168000,-1828000,-591000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-814572,- -,-21800539,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6700000,- -,- -
86,Purchases of Investments,-20838529,-32236191,-11074244,-85387831,-87147656,-207926512,-124050131,-182219699,-345627441,-504908407,-147719121,-67763570,-285711387,-156459542,-189474225,-122871083,-76498000,-88137000,-48942000,-102367000,-113357000,-64611000,-103078000,-31106000,-100206000,-178576000
87,Sales/Maturities of Investments,41224343,26728386,88310641,72797962,101157574,184089722,120692755,177181946,305030837,519079185,138251138,102368565,287066537,154075267,162698133,91107549,88695000,74206000,57641000,63703000,130430000,50881000,113439000,77135000,80092000,60321000
88,Other Investing Activites,-52077239,-25827784,-71656718,-39603995,-28096438,1537203,-26366870,-70613304,-4488012,-53819455,-5096911,-108044268,-109483965,11083635,63649696,41537198,-17196000,7063000,-24453000,-10694000,-110046000,-97929000,-86609000,-20603000,-116753000,-9089000
89,Cash Used for Investing Activites,-32764709,-34557382,1750054,-52193864,-14086520,-22299587,-29724246,-76465629,-45084616,-61449216,-14564894,-73439273,-108128815,6329470,36324319,6381025,-6374000,-9548000,-17096000,-50230000,-94235000,-112925000,-78574000,16558000,-138695000,-127935000
90,Debt Repayment,- -,-6000000,-7755676,- -,-11037964,-2640173,-1342598,-3165123,-19105146,-15104177,-181436030,-108188926,-294157544,-69885181,-22331324,-38575989,-8284000,-15126000,-10000000,-85000000,-24000000,-183188000,-220542000,-176708000,-59245000,-29256000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-18255000,- -,-33000,-623000,-878000,-179000,- -,-906000,-2148000
93,Dividends Paid,-1322060,-1523243,-1609465,-1694696,-2114804,-2424876,-2493247,-2987715,-3377576,-3377576,-3502672,-3503575,-3486415,-4035436,-2897980,-2416505,-2143000,-1434000,-1017000,-1058000,-1097000,-1474000,-1993000,-2684000,-3030000,-3616000
94,Other Financing Activites,24130401,46191026,12947351,35251900,32480224,51214412,17908654,49612363,65901903,45061432,188136270,154617055,412200413,28678219,-6237123,6009321,29593000,-6318000,28929000,108547000,105042000,322869000,264191000,179781000,283967000,111889000
95,Cash Used/Provided by Financing Activities,22808341,38667783,3582210,33557204,19327456,46149363,14072809,43459525,43419181,26579679,3197568,42924554,114556454,-45242398,-31466427,-34983173,7166000,-41133000,17912000,22456000,79322000,137329000,41477000,389000,220786000,76869000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4885835,9180409,11851694,-13602536,16323273,36684666,-8163752,-20366328,8663495,-17977861,5270017,-17127181,17954083,-29161773,26314105,-7770270,15667000,-30438000,14370000,-14432000,-1382000,36883000,-20795000,36038000,102242000,-20454000
98,Cash at the End of Period,25171641,34352050,46203744,32601208,48924481,85609147,77445395,57044915,65708410,47730549,53000566,35873385,53827468,24665695,50979800,43209530,58877000,28439000,42809000,28377000,26995000,62878000,42083000,78121000,180363000,159909000
99,Cash at the Beginning of Period,30057476,25171641,34352050,46203744,32601208,48924481,85609147,77411243,57044915,65708410,47730549,53000566,35873385,53827468,24665695,50979800,43210000,58877000,28439000,42809000,28377000,25995000,62878000,42083000,78121000,180363000
100,Free Cash Flow,3997249,1848215,2689805,3756929,2082281,10530339,4648866,11566735,5200982,10504520,13745442,5176975,10543873,7381265,20906928,17439239,13500000,17563000,12212000,12470000,12269000,11213000,13976000,16923000,18323000,30021000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/893847/0000927025-97-000036-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893847/000095013708003777/0000950137-08-003777-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095013709001858/0000950137-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012310024557/0000950123-10-024557-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000095012311030599/0000950123-11-030599-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000119312512141952/0001193125-12-141952-index.htm,- -,https://www.sec.gov/Archives/edgar/data/893847/000110465914024448/0001104659-14-024448-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104915002519/0001571049-15-002519-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104916013487/0001571049-16-013487-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000157104917003052/0001571049-17-003052-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000114420418015213/0001144204-18-015213-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837019002015/0001558370-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837020002742/0001558370-20-002742-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000155837021002878/0001558370-21-002878-index.htm,https://www.sec.gov/Archives/edgar/data/893847/000089384722000011/0000893847-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
