,https://roic.ai/company/IPG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,666700000,814400000,943200000,1191900000,1256900000,1368200000,1677500000,1804400000,1793900000,1984300000,2179700000,2537500000,3125800000,3844300000,4427300000,5625845000,6723200000,6203600000,5863400000,6387000000,6274300000,6190800000,6554200000,6962700000,6027600000,6531900000,7014600000,6956200000,7122300000,7537100000,7613800000,7846600000,7882400000,9714400000,10221300000,9061000000,10240700000
2,COGS,-10000000,453000000,519800000,631300000,650800000,714200000,816500000,953500000,847200000,965000000,1058800000,1240700000,1554000000,-179100000,-215900000,-187063000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4391900000,4545500000,4820400000,4857700000,5038100000,5068100000,8336200000,8729100000,7709400000,8387800000
3,Gross Profit,676700000,361400000,423400000,560600000,606100000,654000000,861000000,850900000,946700000,1019300000,1120900000,1296800000,1571800000,4023400000,4643200000,5812908000,- -,- -,- -,- -,- -,- -,- -,- -,6027600000,6531900000,7014600000,2564300000,2576800000,2716700000,2756100000,2808500000,2814300000,1378200000,1492200000,1351600000,1852900000
4,Gross Profit Ratio,1.0150,0.4438,0.4489,0.4703,0.4822,0.4780,0.5133,0.4716,0.5277,0.5137,0.5142,0.5111,0.5028,1.0466,1.0488,1.0333,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,0.3686,0.3618,0.3604,0.3620,0.3579,0.3570,0.1419,0.1460,0.1492,0.1809
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,710000000,737600000,795400000,950300000,3347100000,3825900000,4679845000,5845000000,- -,- -,- -,- -,- -,- -,- -,5681700000,5979300000,6326400000,1886000000,1917900000,1928100000,1885000000,1870500000,1840700000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",605600000,254700000,320200000,397200000,412900000,436800000,578500000,622500000,618500000,710000000,737600000,795400000,950300000,3347100000,3825900000,4679845000,5845000000,5645600000,5337400000,5983300000,6287200000,6023100000,6184000000,6355900000,5681700000,5979300000,6326400000,1886000000,1917900000,1928100000,1885000000,1870500000,1840700000,166500000,93800000,58800000,122300000
9,Other Expenses,10000000,13100000,21000000,24900000,40500000,48800000,63700000,39600000,70000000,75600000,91200000,103500000,130800000,179100000,215900000,299541000,476200000,140100000,298200000,435800000,98600000,35300000,-16700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202900000,278500000,290600000,283800000
10,Operating Expenses,615600000,267800000,341200000,422100000,453400000,485600000,642200000,662100000,688500000,785600000,828800000,898900000,1081100000,3526200000,4041800000,4979386000,6321200000,5785700000,5635600000,6419100000,6385800000,6058400000,6167300000,6355900000,5681700000,5979300000,6326400000,1886000000,1917900000,1928100000,1885000000,1870500000,1840700000,369400000,372300000,349400000,406100000
11,COGS and Expenses,605600000,720800000,861000000,1053400000,1104200000,1199800000,1458700000,1615600000,1535700000,1750600000,1887600000,2139600000,2635100000,3347100000,3825900000,4792323000,6321200000,5785700000,5635600000,6419100000,6385800000,6058400000,6167300000,6355900000,5681700000,5979300000,6326400000,6277900000,6463400000,6748500000,6742700000,6908600000,6908800000,8705600000,9101400000,8058800000,8793900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,28700000,37800000,29500000,24700000,27400000,22800000,20100000,19400000,21800000,34500000,29500000,29700000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155600000,139700000,136800000,133500000,122700000,84900000,85800000,90600000,90800000,123000000,199300000,192200000,173100000
14,Depreciation and Amortization,- -,- -,- -,- -,40500000,48800000,63700000,39600000,70000000,75600000,91200000,103500000,130800000,179100000,215900000,299541000,451300000,300500000,277900000,239400000,220200000,260500000,287700000,173300000,169900000,148400000,150900000,147700000,157400000,163000000,157000000,160200000,157100000,202900000,278500000,290600000,283800000
