,https://roic.ai/company/BA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13636000000,16341000000,15355000000,16962000000,20276000000,27595000000,29314000000,30184000000,25438000000,21924000000,19515000000,22681000000,45800000000,56154000000,57993000000,51321000000,58198000000,54069000000,50485000000,52457000000,54845000000,61530000000,66387000000,60909000000,68281000000,64306000000,68735000000,81698000000,86623000000,90762000000,96114000000,94571000000,93392000000,101127000000,76559000000,58158000000,62286000000
2,COGS,11781000000,13885000000,-504000000,15947000000,19068000000,25387000000,26534000000,27183000000,22722000000,20773000000,18613000000,21327000000,40644000000,50546000000,51320000000,43712000000,48778000000,45499000000,44304000000,45025000000,46208000000,50437000000,53402000000,50352000000,56540000000,51843000000,55867000000,68644000000,73268000000,76752000000,82088000000,80790000000,76066000000,81490000000,72093000000,63843000000,59269000000
3,Gross Profit,1855000000,2456000000,15859000000,1015000000,1208000000,2208000000,2780000000,3001000000,2716000000,1151000000,902000000,1354000000,5156000000,5608000000,6673000000,7609000000,9420000000,8570000000,6181000000,7432000000,8637000000,11093000000,12985000000,10557000000,11741000000,12463000000,12868000000,13054000000,13355000000,14010000000,14026000000,13781000000,17326000000,19637000000,4466000000,-5685000000,3017000000
4,Gross Profit Ratio,0.1360,0.1503,1.0328,0.0598,0.0596,0.0800,0.0948,0.0994,0.1068,0.0525,0.0462,0.0597,0.1126,0.0999,0.1151,0.1483,0.1619,0.1585,0.1224,0.1417,0.1575,0.1803,0.1956,0.1733,0.1720,0.1938,0.1872,0.1598,0.1542,0.1544,0.1459,0.1457,0.1855,0.1942,0.0583,-0.0978,0.0484
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1924000000,1895000000,1341000000,1441000000,1936000000,1639000000,1651000000,1879000000,2205000000,3257000000,3850000000,3768000000,6506000000,4121000000,3918000000,3298000000,3071000000,3047000000,3331000000,4627000000,3179000000,3269000000,3219000000,2476000000,2249000000
6,General and Administrative Exp.,886000000,1363000000,15146000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2187000000,2146000000,2253000000,2651000000,2767000000,2981000000,3224000000,3657000000,- -,- -,- -,- -,- -,- -,- -,3717000000,3956000000,3767000000,3525000000,3616000000,4094000000,4567000000,3909000000,4817000000,4157000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",886000000,1363000000,15146000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2187000000,2146000000,2253000000,2651000000,2767000000,2981000000,3224000000,3657000000,4228000000,4171000000,3531000000,3084000000,3364000000,3644000000,3408000000,3717000000,3956000000,3767000000,3525000000,3616000000,4094000000,4567000000,3909000000,4817000000,4157000000
9,Other Expenses,386000000,463000000,504000000,567000000,627000000,678000000,826000000,961000000,1025000000,- -,600000000,- -,1400000000,- -,-91000000,-98000000,-135000000,38000000,-49000000,- -,-88000000,571000000,-188000000,-241000000,-249000000,-267000000,-278000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
