,https://roic.ai/company/STCN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1546,0.0982,-0.7193,-0.7535,-0.6536,-0.7211,-2.3653,-4.6629,-0.8350,-0.2114,-0.0595,0.0053,0.0005,0.0129,0.0022,-0.1663,-0.0075,-0.0399,-0.0620,-0.0374,-0.0075,-0.0255,-0.0884,-0.0453,-0.0129,-0.0308,0.0414,-0.0209
19,Total Other Income Expenses (Gains),-100000,4900000,51500000,28200000,106200000,875900000,638258000,232216000,-3530000,-39055000,42404000,2974000,31874000,41505000,21333000,-15054000,-3380000,-9186000,10329000,-7319000,-6097000,-2015000,-16055000,-4648000,-26982000,-36820000,-31810000,-29949000
20,Income Before Tax,2900000,6000000,31000000,-25000000,46400000,749200000,-1485866000,-5539111000,-594490000,-131433000,18741000,8639000,32459000,56270000,23704000,-182747000,-10307000,-44158000,-35564000,-35551000,-11546000,-16354000,-56627000,-24409000,-35288000,-62099000,633000,-42780000
21,Income Before Tax Ratio,0.1495,0.5357,1.0877,-0.3541,0.5071,4.2641,-1.6545,-4.4753,-0.8399,-0.3008,0.0472,0.0081,0.0283,0.0492,0.0222,-0.1812,-0.0112,-0.0504,-0.0481,-0.0471,-0.0160,-0.0291,-0.1234,-0.0559,-0.0547,-0.0757,0.0008,-0.0697
22,Income Tax expense (Gain),1100000,2200000,16700000,-3000000,29800000,325400000,-121173000,-161531000,-7431000,3249000,-69532000,-19933000,3780000,7135000,10425000,10831000,5162000,4527000,3035000,3779000,4682000,2283000,5443000,2696000,-71202000,4670000,5917000,1611000
23,Net Income,1800000,27200000,14300000,-22000000,16600000,476200000,-1364693000,-5377580000,-524918000,-216308000,86975000,26525000,14945000,49411000,9128000,-193452000,-17787000,-49015000,-38108000,-40355000,-16282000,-18429000,-61281000,-25827000,36715000,-66727000,-5284000,-44391000
24,Net Income ratio,0.0928,2.4286,0.5018,-0.3116,0.1814,2.7103,-1.5196,-4.3448,-0.7417,-0.4950,0.2188,0.0248,0.0130,0.0432,0.0085,-0.1918,-0.0193,-0.0559,-0.0515,-0.0535,-0.0225,-0.0328,-0.1335,-0.0592,0.0569,-0.0814,-0.0068,-0.0723
25,EPS,0.10,2.10,0.93,-1.46,0.99,25.45,-52.60,-163.40,-12.20,-5.50,2.20,0.60,0.30,1.00,0.19,-4.26,-0.40,-1.13,-0.87,-0.86,-0.32,-0.35,-1.18,-0.47,0.60,-1.13,-0.12,-0.75
26,EPS Diluted,0.10,2.00,0.91,-1.46,0.93,23.00,-52.60,-163.40,-12.20,-5.50,2.15,0.55,0.30,1.00,0.19,-4.26,-0.40,-1.13,-0.87,-0.86,-0.32,-0.35,-1.18,-0.47,0.53,-1.13,-0.12,-0.75
27,Weighted Average Shares Outstanding,18000000,12952381,15491200,15086400,16666400,18653200,26155500,32962300,37980000,39345500,39915300,47529400,48283700,48455400,47747000,45372000,44104000,43294000,43565000,46654000,51582000,51940000,51934000,55134000,59179000,61180000,61644000,62142000
28,Weighted Average Shares Outstanding Diluted,18000000,13600000,15836800,15086400,18012000,20683200,26155500,32962300,37980000,39345500,40424600,48357000,48617000,48832500,47901000,45372000,44104000,43294000,43565000,46654000,51582000,51940000,51934000,55134000,81899000,61180000,61644000,62142000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914712/000092701600003670/0000927016-00-003670-index.html,https://www.sec.gov/Archives/edgar/data/914712/000092701601503376/0000927016-01-503376-index.html,https://www.sec.gov/Archives/edgar/data/914712/000092701602005098/0000927016-02-005098-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312503063659/0001193125-03-063659-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312504171334/0001193125-04-171334-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312505201774/0001193125-05-201774-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312506208501/0001193125-06-208501-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312507218477/0001193125-07-218477-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312508210115/0001193125-08-210115-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312509207854/0001193125-09-207854-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312510229516/0001193125-10-229516-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312511271739/0001193125-11-271739-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312513010752/0001193125-13-010752-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312513399947/0001193125-13-399947-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312514370175/0001193125-14-370175-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312515343814/0001193125-15-343814-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312516738725/0001193125-16-738725-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312517310969/0001193125-17-310969-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312518341399/0001193125-18-341399-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828019012291/0001628280-19-012291-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828020014053/0001628280-20-014053-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828021020879/0001628280-21-020879-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,63400000,59800000,61500000,468900000,639666000,710704000,257210000,196916000,271871000,192450000,131728000,169481000,160585000,168767000,161364000,111225000,52369000,77916000,183515000,119431000,130790000,110670000,92138000,32548000,75887000,96931000
32,Short-Term Investments,- -,- -,- -,- -,- -,1532300000,1595011000,110134000,104606000,79151000,292000,278000,97004000,112809000,1517000,10440000,270000,131000,131000,61000,22793000,78716000,16768000,11898000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,63400000,59800000,61500000,2001200000,2234677000,820838000,361816000,276067000,272163000,192728000,228732000,282290000,162102000,179207000,161634000,111356000,52500000,77977000,206308000,198147000,147558000,122568000,92138000,32548000,75887000,96931000
34,Net Receivables,- -,- -,11700000,29000000,24000000,41800000,232104000,111593000,61142000,55209000,54296000,165492000,175391000,185574000,213096000,171090000,159768000,146411000,148931000,142098000,123948000,131216000,111336000,81450000,99254000,112141000,93072000,69805000
35,Inventory,- -,- -,- -,- -,8300000,8400000,- -,- -,47918000,30475000,34460000,78689000,77887000,60945000,85897000,63023000,74096000,77102000,83990000,61322000,65269000,48740000,40270000,34369000,47786000,23674000,15354000,16228000
36,Other Current Assets,- -,- -,15500000,17900000,11300000,5900000,105094000,93273000,87814000,24030000,21447000,12166000,13600000,11750000,12820000,12773000,14226000,10876000,10466000,9689000,10243000,35539000,20727000,19459000,25103000,44961000,39230000,30434000
37,Total Current Assets,- -,- -,90600000,106700000,105100000,2057300000,2571875000,1025704000,558690000,385781000,382366000,449075000,495610000,540559000,473915000,426093000,409724000,345745000,295887000,291086000,405768000,413642000,319891000,257846000,264281000,213324000,223543000,213398000
38,PP&E,- -,- -,8500000,11100000,14000000,24800000,259270000,209554000,68762000,8598000,7246000,42863000,46020000,55107000,74889000,61178000,52906000,47299000,40772000,34290000,25126000,22736000,22271000,18555000,106632000,91268000,135818000,109698000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181239000,178276000,190012000,25708000,16207000,3058000,3058000,3058000,3058000,- -,- -,- -,254352000,257128000,257128000,231470000
