,https://roic.ai/company/LNT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,4000000,4300000,4000000,400000,1800000,700000,500000,500000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154900000,163000000,158300000,156700000,172800000,180600000,187100000,196200000,215600000,247000000,272900000,275000000,277000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317700000,292300000,323800000,387900000,411100000,442300000,413700000,406800000,483500000,517500000,567200000,615000000,657000000
15,EBITDA,60700000,60500000,58800000,57900000,51500000,59500000,64900000,57000000,62500000,100700000,94500000,113700000,90000000,154800000,317067000,637478000,232202000,142989000,255370000,229300000,-60600000,518700000,681100000,446900000,593100000,906800000,859100000,969700000,1014000000,1060500000,1059600000,1044100000,1233300000,1334500000,1476200000,1457000000,1534000000
16,EBITDA ratio,0.1031,0.1063,0.1070,0.0964,0.0852,0.0962,0.1000,0.0875,0.0808,0.1234,0.1171,0.1219,0.0979,0.0726,0.1443,0.2651,0.0836,0.0548,0.0816,0.0775,-0.0185,0.1544,0.1981,0.1214,0.1728,0.2654,0.2344,0.3134,0.3094,0.3165,0.3257,0.3145,0.3646,0.3776,0.4047,0.4265,0.4181
17,Operating Income,588900000,569200000,549400000,600900000,604800000,618500000,648800000,651700000,773100000,129900000,149500000,141400000,128500000,283300000,376535000,381056000,370024000,294477000,394870000,410300000,141600000,402700000,763100000,488600000,397200000,556100000,478400000,519700000,533900000,543600000,577000000,537000000,653400000,694400000,777700000,740000000,795000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1592,0.1852,0.1516,0.1398,0.1330,0.1713,0.1584,0.1332,0.1129,0.1262,0.1387,0.0432,0.1199,0.2220,0.1327,0.1157,0.1628,0.1305,0.1679,0.1629,0.1623,0.1773,0.1617,0.1932,0.1965,0.2132,0.2166,0.2167
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-29200000,-41800000,-26400000,-38500000,-128500000,-59468000,239714000,-124954000,-182100000,-163342000,-115700000,-138100000,138600000,-82600000,-49700000,-277000000,-102900000,-102700000,-89500000,-97900000,-103600000,-115700000,-93600000,-120600000,-124400000,-141600000,-173000000,-195000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,100700000,107700000,115000000,90000000,154800000,317067000,620770000,245070000,112377000,231528000,294600000,3500000,541300000,680500000,438900000,120200000,453200000,375700000,430200000,436000000,440000000,461300000,443400000,532800000,570000000,636100000,567000000,600000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1234,0.1334,0.1233,0.0979,0.0726,0.1443,0.2581,0.0882,0.0431,0.0740,0.0996,0.0011,0.1611,0.1980,0.1192,0.0350,0.1327,0.1025,0.1390,0.1331,0.1313,0.1418,0.1336,0.1575,0.1613,0.1744,0.1660,0.1635
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,36100000,41800000,28700000,58100000,120486000,238816000,59840000,36108000,71827000,83800000,-52900000,203000000,255800000,140200000,-9200000,145200000,55100000,89400000,53900000,44300000,70400000,59400000,66700000,47700000,68700000,-57000000,-74000000
23,Net Income,60700000,60500000,58800000,57900000,51500000,59500000,64900000,57000000,62500000,65300000,58400000,71900000,61300000,96700000,196581000,398662000,172362000,106881000,183543000,145500000,-7700000,315700000,425300000,306700000,129700000,306300000,321900000,335700000,376200000,393300000,388400000,381700000,467500000,522300000,567400000,624000000,674000000
24,Net Income ratio,0.1031,0.1063,0.1070,0.0964,0.0852,0.0962,0.1000,0.0875,0.0808,0.0800,0.0723,0.0771,0.0667,0.0454,0.0894,0.1658,0.0621,0.0410,0.0587,0.0492,-0.0023,0.0940,0.1237,0.0833,0.0378,0.0897,0.0878,0.1085,0.1148,0.1174,0.1194,0.1150,0.1382,0.1478,0.1556,0.1827,0.1837
25,EPS,1.06,1.07,1.04,1.09,0.96,1.11,1.22,1.05,1.05,1.06,0.95,1.17,0.99,0.63,1.25,2.52,1.07,0.59,0.91,0.64,-0.04,1.35,1.90,1.30,0.51,1.30,1.37,1.45,1.61,1.73,1.68,1.64,1.99,2.19,2.34,2.47,2.63
26,EPS Diluted,1.06,1.07,1.04,1.09,0.96,1.11,1.22,1.05,1.05,1.06,0.95,1.17,0.99,0.63,1.25,2.52,1.07,0.59,0.90,0.64,-0.04,1.34,1.89,1.30,0.51,1.30,1.37,1.45,1.61,1.73,1.68,1.64,1.99,2.19,2.33,2.47,2.63
27,Weighted Average Shares Outstanding,52863850,52990654,52884615,53119266,53367876,53363229,53415638,54028436,59241706,61342000,61548000,61580000,61564000,153824000,156704000,158006000,160996000,181794000,202732000,226548000,232952000,233652000,224568000,220340000,220536000,220884000,221252000,221506000,221600000,221600000,225400000,227100000,229700000,233600000,238500000,248400000,250200000
28,Weighted Average Shares Outstanding Diluted,52863850,52990654,52884615,53119266,53367876,53363229,53415638,54028436,59241706,61342000,61548000,61580000,61793103,153824000,156704000,158386000,161272000,181918000,203088000,227402000,233586000,234380000,225042000,220616000,220704000,221042000,221356000,221536000,221600000,221600000,225400000,227100000,229700000,233600000,239000000,248700000,250700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352541/000089706995000018/0000897069-95-000018-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000089706999000197/0000897069-99-000197-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783200000027/0000107832-00-000027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000010783203000014/0000107832-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783204000096/0000107832-04-000096-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783205000069/0000107832-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783206000055/0000107832-06-000055-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783207000058/0000107832-07-000058-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783208000019/0000107832-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783209000001/0000107832-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254110000009/0000352541-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/0001193125-11-049662-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/0001193125-12-081622-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254113000007/0000352541-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254114000006/0000352541-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254115000005/0000352541-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254116000076/0000352541-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254117000017/0000352541-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254118000019/0000352541-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254119000013/0000352541-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254120000021/0000352541-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254121000022/0000352541-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254122000020/0000352541-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,11400000,11100000,14000000,31800000,113669000,148415000,86618000,73558000,242281000,262600000,205300000,265200000,745600000,346900000,175300000,159300000,11400000,21200000,9800000,56900000,5800000,8200000,27900000,20900000,16300000,54000000,39000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,11400000,11100000,14000000,31800000,113669000,148415000,86618000,73558000,242281000,262600000,205300000,265200000,745600000,346900000,199100000,178400000,11400000,21200000,9800000,56900000,5800000,8200000,27900000,20900000,16300000,54485000,39000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,71500000,94600000,88800000,78100000,142500000,166366000,303207000,225085000,289477000,279660000,357100000,386000000,349800000,346900000,420100000,672300000,455200000,379900000,403900000,473300000,427300000,397600000,493300000,482800000,350400000,402100000,224000000,226000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,45400000,41600000,45700000,50700000,133600000,125248000,143916000,166222000,184526000,205630000,186100000,185800000,179300000,208300000,167500000,238800000,233000000,218100000,203900000,211800000,223800000,223500000,222300000,222400000,211800000,227300000,217000000,246000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,30200000,28100000,26800000,30200000,80100000,80703000,115443000,148917000,1066587000,155332000,220400000,1006300000,379500000,171500000,511100000,267100000,226100000,257100000,365300000,316300000,335100000,199900000,153300000,172000000,202000000,229800000,391515000,558000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,154400000,175700000,172400000,173000000,388000000,485986000,710981000,626842000,1614148000,882903000,1026200000,1783400000,1173800000,1472300000,1445600000,1377300000,1092700000,866500000,994300000,1011200000,1043100000,826800000,877100000,905100000,785100000,875500000,887000000,1069000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1389500000,1444700000,1369900000,1356100000,3456800000,3486034000,3719307000,3862797000,3196988000,4432599000,4672800000,4866200000,4581500000,4679900000,5001200000,6203000000,6730600000,7037100000,7838000000,8326500000,8938400000,9519100000,10279200000,11234500000,12462400000,13527100000,14336000000,14987000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281500000,289200000,300800000,319000000,329600000,344900000,346300000,337600000,396100000,431300000,467800000,485000000,517000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000000,252000000,358200000,332700000,1114500000,2103663000,2303478000,1758043000,2190259000,2459944000,2576200000,1083500000,1328800000,1037500000,1754700000,1174200000,1170400000,1483500000,1634200000,1445100000,1759500000,1803000000,1879900000,1652100000,1747200000,1830300000,2002000000,1980000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1651500000,1696700000,1728100000,1688800000,4571300000,5589697000,6022785000,5620840000,5387247000,6892543000,7249000000,5949700000,5910300000,5717400000,6755900000,7658700000,8190200000,8821400000,9791200000,10101200000,11042800000,11668400000,12496700000,13282700000,14640900000,15825200000,16823000000,17484000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1805900000,1872400000,1900500000,1861800000,4959300000,6075683000,6733766000,6247682000,7001395000,7775446000,8275200000,7733100000,7084100000,7189700000,8201500000,9036000000,9282900000,9687900000,10785500000,11112400000,12085900000,12495200000,13373800000,14187800000,15426000000,16700700000,17710000000,18553000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,71900000,94900000,106500000,91200000,204300000,191149000,296959000,245480000,286690000,309816000,295800000,355300000,296600000,346700000,425100000,332200000,336300000,308200000,339300000,365000000,427900000,402400000,445300000,477300000,543300000,422300000,377000000,436000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,124300000,169900000,227400000,191600000,248700000,547935000,592312000,218328000,410912000,253376000,243300000,453800000,373400000,251400000,222500000,291500000,48700000,104200000,219000000,637900000,324300000,473200000,248700000,1270900000,697700000,994600000,397000000,1148000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45300000,47900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,54900000,56800000,73400000,56400000,196600000,194541000,265064000,275929000,428916000,290917000,339600000,771200000,432100000,338900000,390600000,450400000,481700000,442600000,461700000,430400000,462500000,483700000,468000000,400800000,403100000,637200000,523000000,470000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,251100000,321600000,407300000,339200000,649600000,933625000,1154335000,739737000,1126518000,854109000,878700000,1580300000,1102100000,937000000,1038200000,1074100000,866700000,855000000,1020000000,1433300000,1214700000,1359300000,1162000000,2149000000,1644100000,2054100000,1297000000,2054000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,448100000,430400000,362600000,457500000,1543100000,1486765000,1910116000,2457941000,2637803000,2123298000,2299500000,1914800000,1323300000,1404500000,1748300000,2404500000,2703400000,2703100000,3136600000,2977800000,3606700000,3522200000,4315600000,4010600000,5246300000,5533000000,6769000000,6735000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,264800000,280300000,282600000,288500000,768900000,1090339000,999039000,691870000,680792000,751733000,819500000,568000000,758300000,822900000,971200000,1186400000,1434300000,1592200000,1934200000,2112700000,2321100000,2381200000,2570200000,1478400000,1603100000,1714000000,1814000000,1927000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,184100000,182300000,180800000,109000000,278000000,294896000,519845000,325189000,514405000,1430969000,1472000000,986200000,1005400000,1100600000,1376500000,1412500000,1199100000,1317700000,1412900000,1105400000,1302900000,1308400000,1264000000,2167600000,2146800000,1994500000,1942000000,1847000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,897000000,893000000,826000000,855000000,2590000000,2872000000,3429000000,3475000000,3833000000,4306000000,4591000000,3469000000,3087000000,3328000000,4096000000,5003400000,5336800000,5613000000,6483700000,6195900000,7230700000,7211800000,8149800000,7656600000,8996200000,9241500000,10525000000,10509000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1786300000,- -,- -,- -,5744855000,6970959000,7021226000,7828262000,8803481000,9376500000,7176800000,6412800000,6895600000,8433700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1148100000,1214900000,1233100000,1194200000,3239500000,3806480000,4696294000,4285963000,5121780000,5351590000,5664200000,5288100000,4427900000,4504600000,5375900000,6077500000,6203500000,6468000000,7503700000,7629200000,8445400000,8571100000,9311800000,9805600000,10640300000,11295600000,11822000000,12563000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,300000,800000,790000,790000,897000,923000,1110000,1200000,1200000,1200000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,2300000,2300000,2400000,2500000,2000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000000,291900000,303200000,302900000,163000000,577464000,818162000,832293000,758187000,840417000,871900000,742300000,923600000,1205200000,1336200000,1281700000,1394700000,1510200000,1630700000,1780700000,1938000000,2068900000,2177000000,2346000000,2545900000,2765400000,2994000000,3250000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-808900000,-887600000,-967400000,-1065700000,-3030800000,-3262181000,-3296546000,-3374867000,-216839000,-113785000,-73800000,-91700000,-16500000,-8500000,-8700000,-1400000,-1400000,-800000,-800000,-200000,-600000,-400000,-400000,-500000,1700000,1300000,-1000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1173400000,1252900000,1331300000,1430100000,4586800000,4953130000,4515066000,4503396000,1293919000,1643572000,1762100000,1788700000,1743000000,1483400000,1494900000,1675000000,1683000000,1562500000,1503900000,1499800000,1500200000,1654500000,1683100000,1834400000,2035700000,2435900000,2693000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,657800000,657500000,667400000,667600000,1719800000,2269203000,2037472000,1961719000,1836190000,2371314000,2561400000,2440500000,2651300000,2681200000,2823500000,2956400000,3077400000,3218100000,3134900000,3281400000,3438700000,3724100000,3862000000,4182200000,4585700000,5205100000,5688000000,5990000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1805900000,1872400000,1900500000,1861800000,4959300000,6075683000,6733766000,6247682000,6957970000,7722904000,8225600000,7728600000,7079200000,7185800000,8199400000,9033900000,9280900000,9686100000,10638600000,10910600000,11884100000,12295200000,13173800000,13987800000,15226000000,16500700000,17510000000,18553000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43425000,52542000,49600000,4500000,4900000,3900000,2100000,2100000,2000000,1800000,146900000,201800000,201800000,200000000,200000000,200000000,200000000,200000000,200000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1805900000,1872400000,1900500000,1861800000,4959300000,6075683000,6733766000,6247682000,7001395000,7775446000,8275200000,7733100000,7084100000,7189700000,8201500000,9036000000,9282900000,9687900000,10785500000,11112400000,12085900000,12495200000,13373800000,14187800000,15426000000,16700700000,17710000000,18553000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/352541/000089706995000018/0000897069-95-000018-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000089706999000197/0000897069-99-000197-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783200000027/0000107832-00-000027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000010783203000014/0000107832-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783204000096/0000107832-04-000096-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783205000069/0000107832-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783206000055/0000107832-06-000055-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783207000058/0000107832-07-000058-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783208000019/0000107832-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783209000001/0000107832-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254110000009/0000352541-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/0001193125-11-049662-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/0001193125-12-081622-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254113000007/0000352541-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254114000006/0000352541-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254115000005/0000352541-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254116000076/0000352541-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254117000017/0000352541-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254118000019/0000352541-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254119000013/0000352541-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254120000021/0000352541-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254121000022/0000352541-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254122000020/0000352541-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,65300000,58400000,71900000,61300000,96700000,196581000,398662000,172362000,106881000,183543000,145500000,-7700000,315700000,425300000,306700000,129700000,306300000,321900000,335700000,376200000,393300000,388400000,381700000,467500000,522300000,567400000,624000000,674000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317700000,292300000,323800000,387900000,411100000,442300000,413700000,406800000,483500000,517500000,567200000,615000000,657000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,10700000,14500000,5000000,-27700000,-16258000,115045000,-3606000,9145000,59133000,58600000,-151000000,255600000,91200000,73500000,94300000,216600000,10200000,143300000,108300000,55200000,114200000,84600000,139600000,67000000,55600000,-66000000,-78000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,-49200000,-89000000,68700000,-95400000,-186039000,4285000,330459000,600525000,-458836000,118706000,55600000,-131400000,463600000,-127900000,-104200000,-77200000,-214500000,-37200000,-396400000,250500000,-360900000,247600000,-959000000,384900000,-319600000,768600000,-688000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48500000,81300000,20700000,51300000,-150200000,41700000,19800000,-105400000,20600000,-475400000,-471700000,-468000000,-530000000
