,https://roic.ai/company/MDU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,275300000,278500000,310400000,373500000,617000000,719000000,968293000,1363615000,1616882000,1793909000,2083997000,2614607000,3197691000,3028169000,3387955000,2904203000,492196000,516318000,535345000,575215000,593930000,370315000,368144000,374159000,388843000,452160000,502353000,510700000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,371400000,373800000,403300000,496200000,825700000,1120000000,1656684000,1950364000,1765420000,2040117000,2398539000,3007388000,3538448000,3690776000,4491241000,3709598000,3498968000,3644125000,3664424000,3969505000,4182333000,3937416000,3719708000,4014639000,4129829000,4855556000,4987825000,5146500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84099000,83011000,81354000,76699000,83917000,87016000,93068000,87848000,82788000,84614000,98587000,96519000,94000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285100000,- -
15,EBITDA,41200000,37900000,27900000,34900000,36700000,27900000,38000000,35400000,44300000,58600000,64700000,61600000,85300000,51600000,133400000,180678000,254190000,234674000,273896000,301041000,420862000,481005000,622144000,807169000,-135267000,446200000,404654000,44799000,499586000,505218000,-463764000,245413000,429032000,404417000,497319000,856414000,561000000
16,EBITDA ratio,0.1007,0.1043,0.0857,0.1015,0.1085,0.0848,0.1035,0.1004,0.1008,0.1303,0.1393,0.1197,0.1404,0.0575,0.1042,0.0964,0.1143,0.1155,0.1164,0.1107,0.1218,0.1182,0.1465,0.1613,-0.0324,0.1141,0.0999,0.0110,0.1120,0.1082,-0.1106,0.0594,0.0966,0.0892,0.0932,0.1548,0.0988
17,Operating Income,409100000,363500000,325500000,343800000,338300000,329200000,367300000,352500000,439600000,78200000,90500000,111400000,111500000,71000000,159800000,216987000,273268000,266117000,312072000,320718000,448026000,532236000,557120000,512037000,-153097000,410727000,406367000,19207000,492899000,488225000,254133000,409120000,428712000,401723000,481220000,544925000,534219000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1739,0.1949,0.2164,0.1835,0.0792,0.1249,0.1158,0.1229,0.1310,0.1327,0.1179,0.1297,0.1307,0.1312,0.1023,-0.0367,0.1051,0.1003,0.0047,0.1105,0.1045,0.0606,0.0991,0.0965,0.0887,0.0902,0.0985,0.0940
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-19600000,-25800000,-49800000,-26200000,-19400000,-26400000,-36309000,-19078000,-31443000,-30587000,-19677000,-27164000,-49071000,-44310000,-70888000,-66269000,-44177000,-70141000,-64674000,-77281000,-77095000,-73836000,-82892000,-78685000,-84852000,-82775000,-69808000,-67619000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,58600000,64700000,61600000,85300000,51600000,133400000,180678000,254190000,234674000,281485000,301041000,420862000,483165000,512810000,441149000,-219366000,366550000,336226000,-45467000,415618000,411130000,180297000,326228000,350027000,316871000,398445000,475117000,466600000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1303,0.1393,0.1197,0.1404,0.0575,0.1042,0.0964,0.1143,0.1155,0.1197,0.1107,0.1218,0.1187,0.1207,0.0882,-0.0525,0.0938,0.0830,-0.0112,0.0931,0.0880,0.0430,0.0790,0.0788,0.0699,0.0747,0.0859,0.0821
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,23100000,16100000,30700000,17500000,49300000,69650000,98341000,86230000,98572000,93974000,145779000,165248000,190024000,147476000,-96092000,122530000,110274000,-31146000,136736000,119969000,65603000,93132000,65041000,47485000,63279000,84590000,88900000
23,Net Income,41200000,37900000,27900000,34900000,36700000,27900000,38000000,35400000,44300000,39800000,41600000,45500000,54600000,34100000,84100000,111028000,155849000,148444000,175324000,207067000,275083000,315757000,432120000,293673000,-123274000,240659000,213026000,-754000,278933000,298233000,-622435000,64433000,281203000,272318000,335453000,390205000,378100000
24,Net Income ratio,0.1007,0.1043,0.0857,0.1015,0.1085,0.0848,0.1035,0.1004,0.1008,0.0885,0.0896,0.0884,0.0898,0.0380,0.0657,0.0593,0.0701,0.0731,0.0745,0.0761,0.0796,0.0776,0.1017,0.0587,-0.0295,0.0616,0.0526,-0.0002,0.0625,0.0639,-0.1485,0.0156,0.0633,0.0601,0.0629,0.0705,0.0666
25,EPS,0.42,0.38,0.29,0.36,0.37,0.28,0.39,0.36,0.45,0.41,0.42,0.47,0.55,0.29,0.68,0.80,1.03,0.93,1.05,1.18,1.54,1.75,2.37,1.60,-0.67,1.28,1.12,-0.01,1.47,1.55,-3.20,0.33,1.44,1.39,1.69,1.95,1.87
26,EPS Diluted,0.42,0.38,0.29,0.36,0.37,0.28,0.39,0.36,0.45,0.41,0.42,0.47,0.55,0.29,0.68,0.80,1.02,0.92,1.03,1.17,1.53,1.74,2.36,1.59,-0.67,1.27,1.12,-0.01,1.47,1.55,-3.20,0.33,1.43,1.39,1.69,1.95,1.87
27,Weighted Average Shares Outstanding,86490636,88720805,91430471,93935857,95940999,96834131,96255107,96159191,96003814,96111562,96109875,96109875,97620968,113706000,122883750,137452500,151362000,159171750,167224500,174723000,178365000,180234000,181946000,183100000,185200000,188137000,188800000,188800000,188900000,192500000,194900000,195300000,195300000,195700000,198600000,200500000,202100000
28,Weighted Average Shares Outstanding Diluted,86490636,88720805,91430471,93935857,95940999,96834131,96255107,96159191,96003814,96334968,96764764,96570129,97620968,114383250,123457500,138127500,152705250,160294500,168690000,176116500,179490000,181392000,182902000,183807000,185200000,188229000,188900000,188800000,189700000,192600000,195000000,195600000,195700000,196200000,198600000,200600000,202400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771695000002/0000067716-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771696000004/0000067716-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771697000002/0000067716-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771601500013/0000067716-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771602000023/0000067716-02-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771606000058/mdu200510k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771607000045/mdu200610k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771608000048/mdu10k.htm,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771610000030/0000067716-10-000030-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771611000021/mduform10-k2010.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771612000031/0000067716-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771613000021/0000067716-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771614000029/mdu-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771615000027/mdu-12312014form10xk.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771616000116/0000067716-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771617000017/0000067716-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771618000013/0000067716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771619000019/0000067716-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771620000010/0000067716-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771621000007/0000067716-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771622000012/0000067716-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,33400000,47800000,28200000,39200000,77500000,36512000,41811000,67556000,86341000,99377000,107435000,74921000,105820000,51714000,175114000,222074000,162772000,49042000,45225000,81855000,84591000,46107000,34599000,53948000,66459000,59547000,54161000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,33400000,47800000,28200000,39200000,77500000,36512000,41811000,67556000,86341000,99377000,107435000,74921000,105820000,51714000,177947000,222074000,162772000,49042000,45225000,81855000,84591000,46107000,34599000,53948000,66459000,59547000,54161000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,55400000,62000000,73200000,80600000,124100000,169600000,342354000,285081000,325395000,357677000,440903000,603959000,624682000,715484000,707109000,531980000,583743000,646251000,678123000,713067000,693318000,590105000,630243000,727030000,722945000,836605000,873986000,946741000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,27100000,23900000,27400000,41300000,44900000,64600000,64017000,95341000,93123000,114051000,143880000,172201000,204440000,229255000,261524000,249804000,252897000,274205000,317415000,282391000,300811000,253727000,238273000,226583000,287309000,278407000,291167000,335609000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,42900000,43300000,29800000,32400000,40000000,37403000,59259000,51474000,55471000,44018000,49601000,89692000,163773000,251945000,101927000,108454000,111410000,83501000,76005000,118989000,92619000,62852000,81783000,119930000,116230000,112647000,214432000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,158700000,162200000,191700000,179900000,240600000,351700000,480286000,481492000,537548000,613540000,728178000,933196000,993735000,1214332000,1272292000,1061658000,1167168000,1194638000,1128081000,1116688000,1194973000,1021042000,977475000,1069995000,1184132000,1297701000,1337347000,1550943000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,692300000,716300000,752600000,839500000,1084700000,1248200000,1601014000,1809318000,1924886000,2222293000,2572705000,3049893000,2993351000,3659555000,4300918000,3894117000,4115180000,4285014000,4498839000,4931379000,5526764000,4311097000,3931327000,4079188000,4578677000,5032465000,5287052000,5880526000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629463000,634633000,634931000,636039000,636039000,635204000,635204000,631791000,631791000,664922000,681358000,714963000,765386000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28977000,25271000,20843000,17129000,13099000,9840000,7342000,5925000,3837000,10815000,15246000,25496000,22578000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392881000,222012000,249924000,251826000,453490000,644127000,658440000,659904000,655774000,653168000,649138000,645044000,642546000,637716000,635628000,675737000,696604000,740459000,787964000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145416000,103661000,109424000,103243000,112939000,117920000,119704000,125866000,137613000,138620000,148656000,165022000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591962000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,153700000,178000000,144900000,94500000,127500000,166400000,231659000,332261000,474815000,151878000,210626000,190549000,664562000,265057000,370508000,231321000,257636000,311275000,299160000,251188000,325277000,533219000,612083000,412242000,410944000,507633000,523492000,99040000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,846000000,894300000,897500000,934000000,1212200000,1414600000,1832673000,2141579000,2399701000,2767052000,3005343000,3490366000,3909739000,4378102000,5315553000,4929294000,5136381000,5361487000,5554410000,5944644000,6615005000,5606566000,5306992000,5264671000,5803978000,6385358000,6716025000,7359492000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004700000,1056500000,1089200000,1113900000,1452800000,1766300000,2312959000,2623071000,2937249000,3380592000,3733521000,4423562000,4903474000,5592434000,6587845000,5990952000,6303549000,6556125000,6682491000,7061332000,7809978000,6627608000,6284467000,6334666000,6988110000,7683059000,8053372000,8910435000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,20200000,22300000,31600000,31600000,60000000,81300000,171929000,110649000,132120000,150316000,184993000,269021000,300050000,369235000,432358000,281906000,301132000,337228000,388015000,404961000,382671000,310466000,279962000,312327000,358505000,403391000,426264000,478933000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,17700000,15800000,11200000,18300000,19100000,27695000,11185000,42183000,27646000,72046000,101758000,84034000,163382000,183766000,22929000,92797000,139267000,162308000,23777000,269449000,289289000,43598000,148499000,251854000,16540000,85210000,183421000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88844000,80372000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,105100000,122300000,117700000,106200000,91200000,86900000,84849000,123493000,125342000,136099000,192054000,258149000,269878000,317271000,351351000,362350000,374147000,422258000,299792000,356162000,316574000,347884000,346099000,352032000,375691000,446496000,452048000,429886000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,146500000,162300000,165100000,149000000,169500000,187300000,284473000,245327000,299645000,314061000,449093000,628928000,653962000,849888000,967475000,667185000,768076000,898753000,850115000,784900000,968694000,947639000,669659000,812858000,986050000,866427000,963522000,1092240000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,217700000,237400000,280700000,298600000,413300000,563500000,728166000,783709000,819558000,939450000,873441000,1104752000,1170548000,1146781000,1568636000,1486677000,1433955000,1285411000,1610867000,1842286000,1825278000,1627443000,1746561000,1566354000,1856841000,2226567000,2298443000,237306000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591962000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,124700000,118500000,116200000,119700000,173100000,213800000,281000000,342412000,374097000,444779000,494589000,526176000,546602000,668016000,727857000,590968000,672269000,769166000,755102000,859306000,952413000,720319000,668226000,347271000,430085000,506583000,516098000,591962000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,83200000,184100000,159700000,143600000,129400000,115700000,121834000,125579000,144045000,231671000,235370000,272072000,367450000,396403000,- -,674475000,736447000,827228000,818159000,718938000,813809000,811659000,883777000,1179140000,1148359000,1236236000,1196204000,3014091000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,425600000,540000000,556600000,561900000,715800000,893000000,1131000000,1251700000,1337700000,1615900000,1603400000,1903000000,2084600000,2211200000,2296493000,2752120000,2842671000,2881805000,3184128000,3420530000,3591500000,3159421000,3298564000,3092765000,3435285000,3969386000,4010745000,4435321000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,939600000,- -,- -,- -,1431700000,- -,2262026000,- -,- -,- -,3206815000,3806012000,- -,4422427000,5155787000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115406000,120523000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,660500000,702300000,721700000,710900000,885400000,1080300000,1415499000,1497000000,1637304000,1929956000,2052508000,2531940000,2738561000,3061115000,3826769000,3419305000,3610747000,3780558000,4034243000,4205430000,4560194000,4107060000,3968223000,3905623000,4421335000,4835813000,4974267000,5527561000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16200000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,63200000,94800000,94800000,97000000,177400000,57300000,65268000,70017000,74282000,113717000,118586000,120263000,181558000,182947000,184208000,188389000,188901000,189332000,189369000,189869000,194755000,195805000,195843000,195843000,196565000,200923000,201061000,203889000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,168100000,178200000,191500000,212700000,205600000,243600000,300647000,394641000,474798000,575287000,699095000,884795000,1104210000,1433585000,1616830000,1377039000,1497439000,1586123000,1457146000,1603130000,1762827000,996355000,912282000,1040748000,1163602000,1336647000,1558363000,1762410000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-541800000,-570900000,-617700000,-670800000,-726100000,-794100000,-895109000,-947377000,-1079110000,-1175326000,-1358723000,-34000000,-6000000,-9000000,10365000,-21000000,-31000000,-47000000,-49000000,-38000000,-42000000,-37000000,-36000000,-37000000,-38000000,-42000000,-48078000,-41004000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,654700000,652100000,698900000,764100000,910500000,1179200000,1426654000,1608790000,1813775000,1921958000,2207055000,905564000,870145000,908787000,934673000,1012219000,1022462000,1032112000,1035733000,1053165000,1203459000,1226345000,1229119000,1229452000,1244608000,1351676000,1367759000,1457579000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,344200000,354200000,367500000,403000000,567400000,686000000,897460000,1126071000,1299945000,1450636000,1681013000,1891622000,2164913000,2531319000,2761076000,2571647000,2692802000,2775567000,2648248000,2823164000,3134041000,2396505000,2316244000,2429043000,2566775000,2847246000,3079105000,3382874000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004700000,1056500000,1089200000,1113900000,1452800000,1766300000,2312959000,2623071000,2937249000,3380592000,3733521000,4423562000,4903474000,5592434000,6587845000,5990952000,6303549000,6556125000,6682491000,7028594000,7694235000,6503565000,6284467000,6334666000,6988110000,7683059000,8053372000,8910435000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32738000,115743000,124043000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004700000,1056500000,1089200000,1113900000,1452800000,1766300000,2312959000,2623071000,2937249000,3380592000,3733521000,4423562000,4903474000,5592434000,6587845000,5990952000,6303549000,6556125000,6682491000,7061332000,7809978000,6627608000,6284467000,6334666000,6988110000,7683059000,8053372000,8910435000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/67716/000006771695000002/0000067716-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771696000004/0000067716-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771697000002/0000067716-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771601500013/0000067716-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771602000023/0000067716-02-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771606000058/mdu200510k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771607000045/mdu200610k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771608000048/mdu10k.htm,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771610000030/0000067716-10-000030-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771611000021/mduform10-k2010.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771612000031/0000067716-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771613000021/0000067716-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771614000029/mdu-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771615000027/mdu-12312014form10xk.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771616000116/0000067716-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771617000017/0000067716-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771618000013/0000067716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771619000019/0000067716-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771620000010/0000067716-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771621000007/0000067716-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771622000012/0000067716-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,39800000,41600000,45500000,54600000,34100000,84100000,111028000,155849000,148444000,175324000,207067000,275083000,315757000,432120000,293673000,-123274000,240659000,213026000,-754000,278933000,298233000,-622435000,64433000,281203000,272318000,335453000,390205000,378100000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285100000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,7600000,4600000,12900000,-17300000,15700000,36530000,21014000,30759000,64587000,33163000,30240000,40051000,67272000,64890000,-169764000,66585000,118925000,-7503000,86778000,87015000,301000,-2049000,-25423000,59735000,63415000,-1801000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11100000,-12300000,26700000,4300000,40200000,93300000,31413000,40352000,1738000,61576000,-20394000,25183000,35505000,24671000,-59627000,89656000,4619000,-103207000,-17919000,53822000,-105509000,-152876000,234413000,-50679000,-59055000,233192000,-57449000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6800000,3100000,-1200000,-4200000,1700000,-13500000,9578000,-26540000,6537000,-13023000,-23799000,-20225000,-29736000,-7130000,-18574000,13969000,-4728000,-24226000,-42334000,30452000,-18738000,-17100000,2433000,9135000,-46796000,9331000,-7221000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61867000,17833000,-12263000,6352000,15084000,-45065000,49117000,7039000,26013000,21109000,30079000,15955000,- -
