,https://roic.ai/company/MOD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,312000000,349000000,395200000,423900000,436300000,482000000,526600000,570800000,669600000,913000000,990500000,999000000,1040400000,1111400000,1139269000,1065395000,1074760000,1092075000,1199799000,1543930000,1628900000,1757472000,1849373000,1408714000,1163234000,1448235000,1577152000,1376000000,1477600000,1496400000,1352500000,1503000000,2103100000,2212700000,1975500000,1808400000
2,COGS,209800000,233500000,263400000,286400000,291200000,324000000,349100000,379400000,438500000,610300000,695500000,680100000,697900000,757300000,772957000,786691000,810291000,819368000,906683000,1193821000,1319294000,1475620000,1579778000,1221680000,993025000,1216868000,1320582000,1167400000,1239400000,1249900000,1129000000,1249700000,1746600000,1847200000,1668000000,1515000000
3,Gross Profit,102200000,115500000,131800000,137500000,145100000,158000000,177500000,191400000,231100000,302700000,295000000,318900000,342500000,354100000,366312000,278704000,264469000,272707000,293116000,350109000,309606000,281852000,269595000,187034000,170209000,231367000,256570000,208600000,238200000,246500000,223500000,253300000,356500000,365500000,307500000,293400000
4,Gross Profit Ratio,0.3276,0.3309,0.3335,0.3244,0.3326,0.3278,0.3371,0.3353,0.3451,0.3315,0.2978,0.3192,0.3292,0.3186,0.3215,0.2616,0.2461,0.2497,0.2443,0.2268,0.1901,0.1604,0.1458,0.1328,0.1463,0.1598,0.1627,0.1516,0.1612,0.1647,0.1652,0.1685,0.1695,0.1652,0.1557,0.1622
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,156200000,161100000,176600000,183300000,196600000,218452000,217003000,221733000,- -,243169000,264088000,220090000,237837000,235258000,199613000,157502000,185300000,189046000,166300000,181700000,184500000,204500000,205000000,249100000,247000000,252600000,214200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",52100000,64700000,74300000,79200000,86700000,101300000,106500000,108400000,126700000,156200000,161100000,176600000,183300000,196600000,218452000,217003000,221733000,221170000,243169000,264088000,220090000,237837000,235258000,199613000,157502000,185300000,189046000,166300000,181700000,184500000,204500000,205000000,245800000,244100000,249600000,210900000
9,Other Expenses,10000000,11900000,13900000,14600000,17000000,23200000,26800000,25500000,28100000,34500000,39600000,41500000,41800000,44200000,48822000,- -,- -,- -,- -,- -,- -,- -,47420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,2900000,3000000,3300000
