,https://roic.ai/company/NUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,758500000,755200000,851000000,1061400000,1269000000,1481600000,1465500000,1619200000,2253700000,2975600000,3462000000,3647000000,4184500000,4151200000,4009300000,4586145981,4139248578,4801776537,6265823467,11376828000,12700999000,14751270000,16592976000,23663324000,11190296000,15844627000,20023564000,19429273000,19052046000,21105141000,16439276000,16208122000,20252393000,25067279000,22588858000,20139658000,36483939000
2,COGS,569700000,575500000,671500000,832900000,1028700000,1208100000,1209200000,1319600000,1843500000,2334100000,2726300000,2957000000,3360100000,3338700000,3223900000,3925478540,3820303026,4332277330,5996547199,9128872000,10085396000,11283123000,13462927000,19612283000,11035903000,15000962000,18074967000,17915735000,17641421000,19198615000,14858014000,14182215000,17682986000,20771871000,19909773000,17911708000,25458525000
3,Gross Profit,188800000,179700000,179500000,228500000,240300000,273500000,256300000,299600000,410200000,641500000,735700000,690000000,824400000,812500000,785400000,660667441,318945552,469499207,269276268,2247956000,2615603000,3468147000,3130049000,4051041000,154393000,843665000,1948597000,1513538000,1410625000,1906526000,1581262000,2025907000,2569407000,4295408000,2679085000,2227950000,11025414000
4,Gross Profit Ratio,0.2489,0.2380,0.2109,0.2153,0.1894,0.1846,0.1749,0.1850,0.1820,0.2156,0.2125,0.1892,0.1970,0.1957,0.1959,0.1441,0.0771,0.0978,0.0430,0.1976,0.2059,0.2351,0.1886,0.1712,0.0138,0.0532,0.0973,0.0779,0.0740,0.0903,0.0962,0.1250,0.1269,0.1714,0.1186,0.1106,0.3022
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,113400000,130700000,120400000,145400000,148000000,154800000,183175557,138559488,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",59100000,65900000,55400000,62100000,67000000,70500000,67000000,76800000,87600000,113400000,130700000,120400000,145400000,148000000,154800000,183175557,138559488,175588347,165369035,415030000,493560000,592473000,577764000,750984000,348478000,391375000,520648000,454900000,481904000,546198000,458989000,596761000,687531000,860722000,711248000,615041000,1706609000
9,Other Expenses,31100000,34900000,41800000,56300000,76600000,85000000,93600000,97800000,122300000,157700000,173900000,182200000,218800000,253100000,256600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,82341000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,90200000,100800000,97200000,118400000,143600000,155500000,160600000,174600000,209900000,271100000,304600000,302600000,364200000,401100000,411400000,183175557,138559488,175588347,165369035,415030000,493560000,592473000,577764000,750984000,430819000,391375000,520648000,454900000,481904000,546198000,458989000,596761000,687531000,860722000,711248000,615041000,1706609000
11,COGS and Expenses,659900000,676300000,768700000,951300000,1172300000,1363600000,1369800000,1494200000,2053400000,2605200000,3030900000,3259600000,3724300000,3739800000,3635300000,4108654097,3958862514,4507865677,6161916234,9543902000,10578956000,11875596000,14040691000,20363267000,11466722000,15392337000,18595615000,18370635000,18123325000,19744813000,15317003000,14778976000,18370517000,21632593000,20621021000,18526749000,27165134000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44071000,15170000,- -,12718000,11128000,5091000,4886000,4012000,11935000,13702000,25721000,35933000,13415000,- -
