,https://roic.ai/company/PRA,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0287,0.0245,0.0709,0.1227,0.1687,0.2397,0.3347,0.4415,0.4739,0.4807,0.5784,0.5479,0.5421,0.3088,0.1677,0.2011,0.1499,0.0331,-0.0285,0.0003,0.1363
22,Income Tax expense (Gain),4600000,5300000,6900000,6400000,9000000,9600000,11700000,17700000,16500000,4000000,-2847000,188000,11450000,24657000,28837000,49843000,68153000,70661000,96736000,101079000,127502000,120496000,99636000,65440000,12658000,25120000,21359000,-18032000,-29808000,1746000,2483000
23,Net Income,17500000,22900000,30500000,24800000,29700000,31100000,37500000,47400000,46700000,24300000,12450000,12207000,38703000,72811000,113457000,236425000,168186000,177725000,222026000,231598000,287096000,275470000,297523000,196565000,116197000,151081000,107264000,47057000,1004000,-175727000,144124000
24,Net Income ratio,0.2303,0.2691,0.3478,0.2897,0.2693,0.2231,0.2334,0.2448,0.2245,0.1092,0.0325,0.0220,0.0545,0.0916,0.1758,0.3205,0.2382,0.3159,0.3301,0.3346,0.4005,0.3812,0.4061,0.2317,0.1512,0.1725,0.1250,0.0537,0.0010,-0.2008,0.1340
25,EPS,0.35,0.46,0.61,0.53,0.61,0.65,0.75,0.95,0.97,0.52,0.26,0.23,0.67,1.25,1.89,3.69,2.55,2.71,3.38,3.65,4.70,4.49,4.82,3.32,2.19,2.84,2.01,0.88,0.02,-3.26,2.67
26,EPS Diluted,0.35,0.46,0.61,0.53,0.61,0.65,0.75,0.95,0.97,0.52,0.26,0.23,0.67,1.19,1.77,3.42,2.39,2.61,3.35,3.60,4.66,4.46,4.80,3.30,2.11,2.83,2.00,0.88,0.02,-3.26,2.67
27,Weighted Average Shares Outstanding,50000000,49782609,49593496,47219208,48292683,48217054,50000000,49633508,47984000,46582000,48526000,52462000,57912000,58328000,60098000,64088000,65920000,65500000,65696000,63576000,61140000,61342000,61761000,59285000,53100558,53251257,53457021,53637048,53740000,53863000,53982000
28,Weighted Average Shares Outstanding Diluted,50000000,49782609,49593496,47219208,48292683,48217054,50000000,49633508,47984000,46582000,48526000,52508000,58288000,63968000,65816000,69850000,71646000,68724000,66300000,64352000,61684000,61833000,62020000,59525000,55017000,53448000,53611000,53749000,53841000,53906000,54078000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1127703/000095014402003258/0000950144-02-003258-index.html,https://www.sec.gov/Archives/edgar/data/1127703/000095014403004076/0000950144-03-004076-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1127703/000095014406001683/0000950144-06-001683-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014407001741/0000950144-07-001741-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014408001477/0000950144-08-001477-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014409001596/0000950144-09-001596-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095012310016533/0000950123-10-016533-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095012311017588/0000950123-11-017588-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000119312512072904/0001193125-12-072904-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123113000003/0001561231-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123114000003/0001561231-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123115000003/0001561231-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123116000015/0001561231-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123117000003/0001561231-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639718000004/0001706397-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639719000002/0001706397-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639720000003/0001706397-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639721000004/0001706397-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000187524622000003/0001875246-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53163000,143306000,47132000,30084000,34506000,29146000,39090000,3459000,40642000,50851000,130400000,118551000,129383000,197040000,241100000,117347000,134495000,80471000,175369000,215782000,143602000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136014000,252854000,109680000,41423000,93066000,184280000,220029000,441996000,187059000,168438000,119421000,3519736000,3366654000,3276286000,2879523000,3055490000,2712368000,308319000,2628692000,- -,4050709000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189177000,396160000,156812000,71507000,127572000,213426000,259119000,445455000,227701000,219289000,249821000,3638287000,3496037000,3473326000,3120623000,3172837000,2846863000,388790000,2804061000,215782000,4194311000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451822000,573040000,577066000,541075000,434242000,483786000,425804000,86137000,116403000,120950000,120220000,302474000,366152000,446988000,475633000,502401000,580987000,616844000,652987000,- -,707435000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-668066000,-645833000,-528133000,-303462000,-289388000,-239641000,-3822210000,-3732806000,-3723274000,-3355156000,-3557891000,-3293355000,-925163000,-3281679000,- -,-3497572000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29146000,39090000,3459000,40642000,50851000,130400000,118551000,129383000,197040000,241100000,117347000,134495000,80471000,175369000,215782000,1404174000
38,PP&E,1700000,1400000,12000000,11800000,- -,- -,- -,11600000,11300000,11237000,13122000,- -,- -,- -,- -,23135000,24004000,23496000,44496000,43951000,40432000,- -,- -,- -,- -,- -,- -,- -,21074000,- -,19595000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72213000,122317000,161453000,159625000,163055000,161115000,210725000,210725000,210725000,210725000,210725000,210725000,49610000,49610000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9973000,45781000,53703000,53300000,52000000,100800000,92500000,84400000,83000000,76800000,70800000,65720000,73336000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72213000,132290000,207234000,213328000,216355000,213115000,311525000,303225000,295125000,293725000,287525000,281525000,115330000,122946000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1661948000,1948457000,2338788000,2511715000,3384578000,3486392000,3466919000,3725961000,3901869000,3999666000,3843403000,3834431000,3867269000,3513784000,3783670000,3513568000,3250999000,3285348000,3274430000,4644762000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3490415000,-3770457000,-3945820000,-4040098000,-3334945000,-3082486000,-3418909000,-3017110000,-3280137000,-2937204000,-2629117000,-3306465000,-3274430000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72213000,132290000,207234000,213328000,724813000,965060000,759885000,799899000,798658000,870089000,909407000,281482000,115330000,4787303000
46,Other Assets,349100000,404800000,507500000,565700000,720500000,905300000,1063200000,1132200000,1117700000,1122836000,2238325000,2586650000,2879352000,3239198000,3909379000,4313707000,4400746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10978780000
47,Total Assets,349100000,404800000,507500000,565700000,720500000,905300000,1063200000,1132200000,1117700000,1122836000,2238325000,2586650000,2879352000,3239198000,3909379000,4342853000,4439836000,75672000,172932000,258085000,343728000,843364000,1094443000,956925000,1040999000,916005000,1004584000,989878000,456851000,331112000,6191477000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127877000,113994000,111680000,82039000,45591000,34321000,17451000,30114000,30001000,37726000,55614000,52946000,- -,22627000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,- -,- -,100000000,200000000,123000000,- -,- -,533463000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75227000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1742600000,2009000000,2228200000,2476700000,2977100000,3045100000,3020600000,2694623000,2778606000,2856420000,2702661000,2310409000,2472179000,2743765000,2469695000,2588276000,2761865000,2734353000,2954919000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1742600000,2009000000,2228200000,2476700000,2977100000,3045100000,3020600000,2822500000,2892600000,2968100000,2784700000,2481000000,2506500000,2761216000,2599809000,2818277000,2922591000,2789967000,3007865000,608690000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82500000,72500000,104789000,151480000,167240000,179177000,164158000,34930000,50203000,51104000,49687000,125000000,250000000,250000000,250000000,248202000,288811000,287757000,285821000,- -,445830000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14585000,- -,18818000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,20000,-40000,23000,42000,-30000,-3000,-4000,13000,-14585000,- -,-18818000,97858000,200000000,123000000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82500000,72500000,104800000,151500000,167200000,179200000,164200000,34900000,50200000,51100000,49700000,125000000,250000000,250000000,347858000,448202000,411811000,287757000,285821000,- -,445830000
59,Other Liabilities,256500000,288900000,352600000,404200000,512500000,660700000,776000000,808000000,792000000,777669000,- -,- -,209647000,- -,334433000,358406000,- -,- -,100419000,- -,99425000,- -,- -,- -,697858000,- -,- -,- -,- -,2210035000,5208920000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22051000,20116000,20844000
61,Total Liabilities,256500000,288900000,352600000,404200000,512500000,660700000,776000000,808000000,792000000,777669000,1802606000,2055086000,2333047000,2628179000,3144333000,3224306000,3184766000,2857353000,2942819000,3019193000,2834425000,2605998000,2756477000,3011216000,2949809000,3266479000,3334402000,3077724000,3293686000,2818725000,4763090000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,25100000,25107000,259000,290000,292000,293000,312000,334000,336000,341000,342000,344000,346000,619000,621000,623000,625000,627000,628000,630000,631000,632000,633000
64,Retained Earnings,30800000,44600000,65900000,79300000,91400000,103000000,109500000,91600000,112000000,136257000,148707000,160914000,199617000,272428000,385885000,622310000,793166000,970891000,1196428000,1428026000,1699853000,1782857000,2015603000,1991704000,1988035000,1824088000,1614186000,1571847000,1505738000,1301163000,1434491000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,- -,10000000,-36000000,59000000,79000000,130000000,145000000,60000000,58000000,24000000,17000000,15000000,-17000000,37000000,75227000,16284000
66,Other Total Stockholders Equity,60700000,69800000,87200000,80300000,114600000,141600000,177700000,232600000,188600000,183803000,264265000,343990000,346396000,338298000,387849000,495903000,451568000,488353000,448825000,348493000,334254000,342104000,318190000,107617000,-54306000,-43013000,-35019000,-32475000,-31456000,-27812000,- -
67,Total Stockholders Equity,91500000,114400000,153100000,159600000,206000000,244600000,287200000,324200000,325700000,345167000,413231000,505194000,546305000,611019000,765046000,1118547000,1255070000,1423585000,1704595000,1855863000,2164453000,2270580000,2394414000,2157944000,1958354000,1798702000,1594795000,1523002000,1511913000,1349210000,1428387000
68,Total Liabilities And Stockholders Equity,348000000,403300000,505700000,563800000,718500000,905300000,1063200000,1132200000,1117700000,1122836000,2215837000,2560280000,2879352000,3239198000,3909379000,4342853000,4439836000,4280938000,4647414000,4875056000,4998878000,4876578000,5150891000,5169160000,4908163000,5065181000,4929197000,4600726000,4805599000,4167935000,6191477000
69,Minority Interest,1100000,1500000,1800000,1900000,2000000,- -,- -,- -,- -,- -,22488000,26370000,- -,- -,- -,- -,- -,-4205266000,-4474482000,-4616971000,-4655150000,-4033214000,-4056448000,-4212235000,-3867164000,-4149176000,-3924613000,-3610848000,-4348748000,-3836823000,- -
70,Total Liabilities & Equity,349100000,404800000,507500000,565700000,720500000,905300000,1063200000,1132200000,1117700000,1122836000,2238325000,2586650000,2879352000,3239198000,3909379000,4342853000,4439836000,75672000,172932000,258085000,343728000,843364000,1094443000,956925000,1040999000,916005000,1004584000,989878000,456851000,331112000,6191477000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1127703/000095014402003258/0000950144-02-003258-index.html,https://www.sec.gov/Archives/edgar/data/1127703/000095014403004076/0000950144-03-004076-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1127703/000095014406001683/0000950144-06-001683-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014407001741/0000950144-07-001741-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014408001477/0000950144-08-001477-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095014409001596/0000950144-09-001596-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095012310016533/0000950123-10-016533-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000095012311017588/0000950123-11-017588-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000119312512072904/0001193125-12-072904-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123113000003/0001561231-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123114000003/0001561231-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123115000003/0001561231-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123116000015/0001561231-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000156123117000003/0001561231-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639718000004/0001706397-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639719000002/0001706397-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639720000003/0001706397-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000170639721000004/0001706397-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1127703/000187524622000003/0001875246-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17500000,22900000,30500000,24800000,29700000,31100000,37500000,47400000,46700000,24300000,12450000,12207000,38703000,72811000,113457000,236425000,168186000,177725000,222026000,231598000,287096000,275470000,297523000,196565000,116197000,151081000,107264000,47057000,1004000,-175727000,144124000
74,Depreciation and Amortization,1000000,3100000,3000000,3000000,2000000,200000,18400000,3200000,6400000,6332000,3243000,15044000,23512000,27026000,24001000,18828000,16087000,16571000,19655000,26671000,35689000,37573000,45967000,50323000,36400000,32789000,28796000,21255000,18665000,21375000,37247000
75,Deferred Income Tax,-1100000,-5100000,-4300000,-2500000,-3700000,-1700000,-700000,7700000,2300000,854000,1720000,87000,93000,1107000,707000,1387000,3824000,-233000,26614000,-4400000,-1051000,37744000,24659000,6795000,-15994000,8534000,1693000,-11824000,-28643000,-21148000,1319000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7763000,6210000,6138000,7119000,8639000,9242000,10056000,9166000,12455000,10615000,5321000,3527000,3840000,4390000
77,Change in Working Capital,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1742600000,-266400000,-219200000,-248500000,-500400000,-38854000,34444000,162469000,-32917000,-65291000,262949000,291851000,-14668000,-187059000,205467000,-342221000,-87166000,78600000,-123000000,2439588000,12902000
78,Accounts Receivable,400000,- -,-12900000,-16800000,-21300000,-22200000,-107600000,-7000000,5800000,23123000,4706000,-113673000,-10700000,35813000,7481000,-33080000,37334000,12556000,-11042000,8216000,730000,75022000,12121000,15241000,-28645000,-26768000,-14605000,-23381000,11926000,42985000,71205000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,30300000,31200000,42200000,67900000,116900000,-11600000,-15900000,-14275000,34724000,262758000,240161000,251506000,216288000,114047000,-33188000,- -,- -,- -,-29642000,-36583000,-13269000,-26377000,12663000,-113000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1742600000,-2009000000,-2228200000,-2476700000,-2977100000,-3015954000,-2981510000,-2819041000,-2851958000,-2917249000,-2654300000,-2362449000,-2377117000,-2564176000,-2358709000,-2700930000,-2788096000,-2709496000,-2832496000,-392908000,16925000
82,Other Non-Cash Items,21500000,29200000,6400000,12700000,19200000,45200000,-12000000,12700000,-9000000,4849000,1786448000,416023000,439693000,521097000,685825000,-34956000,21565000,-199520000,-166179000,-55525000,-432438000,-560027000,-324121000,19322000,-239276000,306482000,87794000,36856000,276613000,-2175585000,-126012000
83,Cash Provided by Operating Activities,39100000,50100000,35600000,38000000,47200000,74800000,43200000,71000000,46400000,36335000,61261000,176961000,282801000,373541000,323590000,182830000,244106000,164775000,75409000,139191000,159364000,91250000,38602000,96002000,111960000,169120000,148996000,177265000,148166000,92343000,73970000
84,CAPEX,-400000,-200000,- -,- -,-4200000,-7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9524000,-10922000,-13469000,-9636000,-9586000,-7478000,-3840000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15806000,-25752000,-127051000,-251334000,- -,-73805000,-52669000,-17203000,-73921000,-51909000,-42690000,-78141000,173867000,85680000,78310000
86,Purchases of Investments,-270000000,-122300000,-135200000,-114700000,-202300000,-195500000,-227500000,-390900000,-193800000,-145574000,-677699000,-1040701000,-1154702000,-1202052000,-955547000,-2410757000,-1431943000,-953009000,-964336000,-869736000,-933647000,-776730000,-641464000,-793041000,-885551000,-1090774000,-874690000,-1054552000,-769830000,-964209000,-1512126000
87,Sales/Maturities of Investments,178100000,93900000,102800000,84000000,161000000,135200000,184400000,325700000,179400000,154763000,706505000,920876000,1297876000,781640000,642245000,2327342000,1286904000,908769000,1113802000,1036911000,893800000,1035488000,920818000,998186000,1171271000,852927000,1107965000,1274181000,597589000,839465000,1352130000
88,Other Investing Activites,31200000,-21700000,1200000,-1700000,-2500000,2600000,-200000,-200000,6300000,-46826000,-127725000,-2785000,-522831000,-10032000,-124000,-106230000,-5610000,-21581000,-1572000,61812000,-9764000,-158110000,-294488000,79038000,15988000,10817000,34082000,83045000,58482000,38058000,-3840000
89,Cash Used for Investing Activites,-61100000,-50300000,-31200000,-32400000,-48000000,-65000000,-43300000,-65400000,-8100000,-37637000,-98919000,-122610000,-379657000,-430444000,-313426000,-189645000,-166455000,-91573000,20843000,-22347000,-49611000,26843000,-67803000,266980000,227787000,-278939000,224667000,214897000,50522000,-8484000,-85526000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27500000,-10000000,-72500000,- -,- -,- -,-15464000,- -,-7000000,-303000,-325000,-57660000,-127183000,- -,- -,- -,-77000000,-124396000,-1447000,-1502000,-36113000
91,Common Stock Issued,31900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-4100000,-2500000,- -,- -,-1600000,-8700000,-27900000,-9557000,-1337000,- -,- -,- -,- -,- -,-54201000,-105927000,-52045000,-106346000,-20569000,- -,-29089000,-222360000,-172772000,-2106000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7617000,-200118000,-46375000,-71252000,-217626000,-118812000,-315228000,-316476000,-93204000,-38664000,-10758000
94,Other Financing Activites,-12200000,200000,- -,- -,- -,- -,- -,- -,-100000,- -,111108000,-707000,73182000,44942000,3644000,1455000,1958000,5910000,-24000,14000,-1693000,127836000,242680000,-1713000,94711000,106984000,35713000,-5314000,-9139000,-3280000,-13753000
95,Cash Used/Provided by Financing Activities,19700000,200000,-4100000,-2500000,- -,- -,-1700000,-8800000,-28000000,-9557000,82271000,35792000,682000,44942000,3644000,1455000,-67707000,-100017000,-59069000,-106635000,-30204000,-129942000,40033000,-295325000,-295687000,-13934000,-356515000,-446186000,-103790000,-43446000,-60624000
