,https://roic.ai/company/CPSS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889609/000088960909000010/0000889609-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/889609/000088960910000006/0000889609-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/889609/000088960911000005/cpss10k_dtd101231.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/889609/000101968714000782/cpss_10k-123113.htm,https://www.sec.gov/Archives/edgar/data/889609/000101968715000711/cps_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/889609/000101968716005416/0001019687-16-005416-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316817000507/0001683168-17-000507-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316818000610/0001683168-18-000610-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316819000635/0001683168-19-000635-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316820000831/0001683168-20-000831-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316821000868/0001683168-21-000868-index.htm,https://www.sec.gov/Archives/edgar/data/889609/000168316822001705/0001683168-22-001705-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,14100000,18500000,25700000,-44500000,-22147000,320000,20408000,395000,-15888000,3372000,13200000,13858000,-26091000,-57207000,-33826000,-14460000,69408000,21005000,29516000,34681000,29300000,3765000,14862000,5406000,21677000,47524000
74,Depreciation and Amortization,- -,- -,- -,- -,6400000,14100000,36800000,37200000,1200000,1909000,5685000,3695000,-1873000,-5279000,-1527000,15235000,537000,707000,649000,672000,543000,437000,428000,637000,777000,934000,992000,1076000,1784000,- -
75,Deferred Income Tax,- -,- -,- -,- -,5400000,6100000,14100000,-20900000,-10300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1258000,1636000,1598000,1530000,1134000,3864000,3835000,5024000,5553000,5715000,3515000,2072000,1935000,- -
77,Change in Working Capital,- -,- -,- -,- -,-8600000,-64700000,-105600000,170900000,7400000,6600000,-19600000,-32400000,4000000,400000,-48800000,-168300000,240400000,8800000,-43000000,40507000,-14123000,55398000,3689000,1789000,3832000,5577000,-17705000,-43201000,-3606855000,3737494000
78,Accounts Receivable,- -,- -,- -,- -,-5100000,-54900000,-99000000,166800000,-9700000,- -,- -,- -,- -,- -,- -,- -,9195000,6330000,2409000,-267000,-3979000,-8259000,-4702000,-8175000,-4686000,-10520000,14784000,20324000,6628000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1267000,-2404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-22000000,-86700000,-192300000,-21400000,-14000000,-7400000,-27000000,-59400000,-55400000,-55000000,-103800000,-272100000,-31700000,-22900000,-65900000,-25393000,-39516000,15882000,19571000,21360000,25192000,30769000,13064000,-30137000,-3636992000,100502000
82,Other Non-Cash Items,- -,- -,- -,- -,-27000000,-100000,-42100000,-142500000,62547000,-5106000,140400000,128072000,23717000,38189000,94238000,292622000,-91130000,125564000,112720000,-17452000,-21973000,18668000,98359000,145424000,156871000,199657000,214541000,251431000,3820226000,-3785018000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-9700000,-26100000,-71100000,200000,38700000,3723000,146893000,99762000,9956000,36682000,57111000,153415000,124974000,79500000,38141000,10797000,34989000,99372000,135827000,187555000,196333000,215648000,216205000,216784000,238767000,- -
84,CAPEX,- -,- -,- -,- -,-400000,-1000000,-1300000,- -,-600000,-766000,-285000,-93000,-1408000,-166000,-412000,-1087000,-442000,-812000,-283000,-404000,-394000,-477000,-823000,-1191000,-1079000,-669000,-1077000,-751000,-24000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29467000,-10181000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175275000,-508776000,-691252000,-1019018000,-1282312000,-296817000,-8600000,-113023000,-199554000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595347000,775730000,423110000,376695000,364199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2100000,-6500000,4300000,3300000,- -,-536000,-285000,5648000,194718000,279564000,450625000,21574000,179169000,24968000,9522000,-319220000,-91099000,-409089000,-540333000,-440096000,-443419000,-209167000,-241118000,-228603000,93055000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2500000,-7500000,3000000,3300000,-600000,-536000,-29752000,-179808000,-314058000,-411688000,-568393000,-665391000,657640000,438666000,272911000,-154979000,-91493000,-409566000,-541156000,-441287000,-444498000,-209836000,-242195000,-229354000,93031000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14056000,-132278000,-126339000,-252953000,-328952000,-543947000,-761215000,-718573000,-527533000,-412785000,-387582000,-494131000,-465106000,-565088000,-668141000,-847022000,-853659000,-838545000,-972964000,-1043644000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,1400000,2000000,5500000,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,-3717000,-999000,-1448000,-523000,-435000,- -,- -,-5926000,-10468000,-12346000,-5307000,-1440000,-1215000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,33200000,62800000,-3800000,-19100000,-5612000,45514000,206647000,538212000,707381000,1051655000,1279856000,-59120000,715000,107000000,526129000,553942000,784446000,966164000,929262000,1100269000,858988000,875256000,997696000,716381000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1400000,35200000,68300000,-3800000,-20400000,-19668000,-86764000,80308000,285259000,378429000,507708000,518641000,-781410000,-527817000,-307233000,138024000,59376000,319340000,401076000,255195000,242779000,-7017000,31404000,23292000,-328478000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-10700000,1600000,200000,-300000,17800000,-16481000,30377000,262000,-18843000,3423000,-3574000,6665000,1204000,-9651000,3819000,-6158000,2872000,9146000,-4253000,1463000,-5386000,-1205000,5414000,10722000,3320000,- -
98,Cash at the End of Period,- -,- -,- -,- -,200000,1800000,1900000,1600000,19400000,2570000,32947000,33209000,14366000,17789000,14215000,20880000,22084000,12433000,16252000,10094000,12966000,22112000,17859000,19322000,13936000,12731000,130110000,140832000,144152000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,10900000,200000,1700000,1900000,1600000,19051000,2570000,32947000,33209000,14366000,17789000,14215000,20880000,22084000,12433000,16252000,10094000,12966000,22112000,17859000,19322000,13936000,124696000,130110000,140832000,144152000
100,Free Cash Flow,- -,- -,- -,- -,-10100000,-27100000,-72400000,200000,38100000,2957000,146608000,99669000,8548000,36516000,56699000,152328000,124532000,78688000,37858000,10393000,34595000,98895000,135004000,186364000,195254000,214979000,215128000,216033000,238743000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889609/000088960909000010/0000889609-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/889609/000088960910000006/0000889609-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/889609/000088960911000005/cpss10k_dtd101231.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/889609/000101968714000782/cpss_10k-123113.htm,https://www.sec.gov/Archives/edgar/data/889609/000101968715000711/cps_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/889609/000101968716005416/0001019687-16-005416-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316817000507/0001683168-17-000507-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316818000610/0001683168-18-000610-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316819000635/0001683168-19-000635-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316820000831/0001683168-20-000831-index.html,https://www.sec.gov/Archives/edgar/data/889609/000168316821000868/0001683168-21-000868-index.htm,https://www.sec.gov/Archives/edgar/data/889609/000168316822001705/0001683168-22-001705-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
