,https://roic.ai/company/UAL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6022000000,6968000000,5292000000,7119000000,8305000000,8982000000,9794000000,11037000000,11663000000,12889700000,14511000000,13950000000,14943000000,16362000000,17378000000,17561000000,18027000000,19352000000,16138000000,14286000000,13724000000,16391000000,17379000000,19340000000,20143000000,20194000000,16335000000,23229000000,37110000000,37152000000,38279000000,38901000000,37864000000,36556000000,37736000000,41303000000,43259000000,15355000000,24634000000
2,COGS,4311000000,4654000000,2039000000,2534000000,2895000000,3262000000,3877000000,5018000000,5589000000,3408100000,3658000000,- -,- -,- -,- -,- -,- -,1038000000,4271000000,1240000000,1003000000,709000000,685000000,679000000,316000000,9194000000,7455000000,7807000000,19459000000,29757000000,29925000000,29569000000,25952000000,24856000000,27056000000,30165000000,30786000000,20385000000,23913000000
3,Gross Profit,1711000000,2314000000,3253000000,4585000000,5410000000,5720000000,5917000000,6019000000,6074000000,9481600000,10853000000,- -,- -,- -,- -,- -,- -,18314000000,11867000000,13046000000,12721000000,15682000000,16694000000,18661000000,19827000000,11000000000,8880000000,15422000000,17651000000,7395000000,8354000000,9332000000,11912000000,11700000000,10680000000,11138000000,12473000000,-5030000000,721000000
4,Gross Profit Ratio,0.2841,0.3321,0.6147,0.6441,0.6514,0.6368,0.6041,0.5453,0.5208,0.7356,0.7479,- -,- -,- -,- -,- -,- -,0.9464,0.7353,0.9132,0.9269,0.9567,0.9606,0.9649,0.9843,0.5447,0.5436,0.6639,0.4756,0.1990,0.2182,0.2399,0.3146,0.3201,0.2830,0.2697,0.2883,-0.3276,0.0293
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2030000000,2558000000,2778000000,2838000000,3158000000,3550000000,4057000000,9293800000,9909000000,- -,- -,- -,- -,- -,- -,- -,8802000000,- -,- -,- -,- -,- -,5543000000,7559000000,3773000000,5002000000,7652000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,- -,- -,- -,- -,- -,- -,710000000,- -,- -,- -,- -,- -,- -,710000000,534000000,912000000,1435000000,1352000000,1390000000,1373000000,1342000000,1303000000,1349000000,1558000000,1651000000,459000000,677000000
8,"Selling, General and Administrative Exp.",- -,- -,2030000000,2558000000,2778000000,2838000000,3158000000,3550000000,4057000000,9293800000,9909000000,165000000,- -,- -,- -,- -,- -,- -,9512000000,- -,- -,- -,- -,4267000000,5543000000,8269000000,4307000000,5914000000,9087000000,1352000000,1390000000,1373000000,1342000000,1303000000,1349000000,1558000000,1651000000,459000000,677000000
9,Other Expenses,1495000000,1670000000,1465000000,1937000000,2385000000,2217000000,2294000000,2506000000,2511000000,725600000,681000000,13264000000,14838000000,15239000000,16119000000,16083000000,16636000000,17660000000,1026000000,15883000000,14081000000,16536000000,16913000000,13947000000,14573000000,2011000000,1858000000,4249000000,6150000000,4681000000,5195000000,5143000000,5078000000,5421000000,5657000000,5801000000,6275000000,-50000000,412000000
