,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.1232,-1.1048,-1.0813,-0.4750,-1.2824,0.0485,0.1034,0.0855,0.0093,-0.0283,-0.0859,-0.3305,-0.0844,-0.2063,-0.1038,0.0740,0.0701,0.0778,0.1635,0.1784,0.1915,0.1193,0.1617,-0.0723,0.0136,0.0181
25,EPS,-320.00,-2596.68,-7.00,-122.00,-125.00,1.00,129.00,1.17,0.22,-0.79,-1.42,-3.15,-0.40,-0.63,-0.23,0.21,0.24,0.36,1.67,3.84,4.84,2.10,2.75,-0.52,0.08,0.10
26,EPS Diluted,-320.00,-2596.68,-7.00,-122.00,-125.00,0.50,124.00,0.95,0.18,-0.79,-1.42,-3.15,-0.40,-0.63,-0.23,0.21,0.23,0.36,1.61,3.82,4.83,2.09,2.74,-0.52,0.07,0.09
27,Weighted Average Shares Outstanding,2803,9595,34407,72332,95887,1342068,31181,4609296,5580000,6934000,8079000,8555000,9677000,10144000,10507000,10704000,10944000,11154000,12131000,12302000,11382000,11251000,11304000,10871000,10630000,11017000
28,Weighted Average Shares Outstanding Diluted,2803,9595,34407,72332,95887,2393174,32466,5688099,6822000,6934000,8079000,8555000,9677000,10144000,10507000,10825000,11234000,11331000,12600000,12372000,11407000,11267000,11318000,10871000,11424000,11424000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912061/000095013405006593/d23901e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013406013790/d38059e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013407006821/d45036e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013408005706/d55366e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000136231009004213/0001362310-09-004213-index.html,- -,https://www.sec.gov/Archives/edgar/data/912061/000143774911008593/nhtc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774912002813/0001437749-12-002813-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774913002702/0001437749-13-002702-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774914003670/nhtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774915004253/nhtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206116000018/0000912061-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206117000012/0000912061-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206118000015/0000912061-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206119000029/nhtc2018123110k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206120000014/0000912061-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774921004259/0001437749-21-004259-index.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774922004467/0001437749-22-004467-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,517323,104784,294220,434063,108419,324315,3863946,11133075,22324000,18470000,11936000,6282000,3491000,1552000,648000,1617000,4207000,14550000,44816000,104914000,125921000,135311000,132653000,96035000,92367000,83843000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,517323,104784,294220,434063,108419,324315,3863946,11133075,22324000,18470000,13213000,6282000,3491000,1552000,648000,1617000,4207000,14550000,44816000,104914000,125921000,135311000,132653000,96035000,92367000,83843000
