,https://roic.ai/company/DX,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,12800000,21600000,38200000,54100000,49900000,36900000,73000000,74000000,19500000,-75135000,-91863000,-3085000,-14844000,-21107000,-3375000,9585000,4909000,8899000,15121000,17581000,29472000,39812000,74042000,68069000,27806000,16544000,43099000,33893000,7023000,-152668000,177530000,102261000
74,Depreciation and Amortization,- -,- -,- -,4800000,4200000,6800000,8000000,14100000,23000000,26700000,43900000,28133000,16117000,12278000,6446000,3072000,3726000,2607000,-538000,-583000,-1585000,2470000,6180000,32505000,90530000,136608000,8900000,5338000,1502000,1287000,1232000,1684000,1989000,118171000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527000,626000,917000,1828000,2314000,2719000,2965000,2709000,1954000,1231000,1205000,1823000,2516000
77,Change in Working Capital,- -,- -,-1900000,- -,- -,- -,- -,-2981200000,-325500000,3267200000,11500000,-18300000,34700000,6200000,3800000,-23900000,-49400000,68000000,700000,-800000,1100000,5900000,-15900000,539455000,-4029923000,12046000,4005462000,-130321000,1674000,108512000,-41402000,-5234486000,4784883000,16955
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6504000,-10464000,1370000,546000,-1607000,2368000,577000,-1200000,-5190000,11821000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-448000,-129000,1086000,730000,-347000,-600000,-204000,1413000,578000,6574000,5277000,-14175000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-2981200000,-3306700000,-39500000,-28000000,-46300000,-11600000,-5400000,-1600000,-25500000,-74900000,-6900000,-6200000,-7000000,-5900000,- -,-15900000,523555000,-3506368000,-3494322000,511140000,380819000,382493000,491005000,449603000,-4784883000,- -,16955
82,Other Non-Cash Items,- -,- -,-25600000,-74800000,72600000,-668500000,249000000,3265500000,288000000,-3257300000,8500000,119337000,61514000,54158000,41852000,71751000,72082000,-67855000,2354000,509000,-7845000,-6847000,9693000,-542048000,4012911000,-10277000,-3830336000,322462000,161530000,58802000,212476000,5559611000,-4792273000,-75994955
83,Cash Provided by Operating Activities,- -,- -,-14700000,-48400000,115000000,-607600000,306900000,335300000,58500000,110600000,83400000,54035000,20468000,69551000,37254000,29816000,23033000,12337000,7425000,8025000,6791000,19631000,30071000,70641000,149388000,208760000,214551000,216988000,210514000,204448000,180560000,175346000,173952000,146970000
84,CAPEX,- -,- -,- -,- -,-1600000,-700000,-2000000,-900000,-3200000,-2900000,-400000,-281000,-92000,-109000,-175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7245000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-143300000,-720600000,-1004800000,-1346600000,-892100000,-432900000,-106500000,-848700000,-638000000,-57085000,-30284000,-7865000,-150928000,-32196000,-71468000,-56246000,-17221000,-27882000,-375425000,-500864000,-1112804000,-1606819000,-2643091000,-1458157000,-614796000,-1168899000,-495634000,-1295973000,-1795407000,-3176231000,-2621810000,-1541678000
87,Sales/Maturities of Investments,- -,- -,10700000,246200000,365500000,405800000,687900000,895300000,810800000,909500000,564000000,151678000,49470000,28091000,21511000,17738000,53667000,132585000,126112000,82420000,121585000,136382000,372462000,663176000,913962000,1271300000,1022221000,944196000,547851000,1380234000,921962000,1570547000,4966604000,-6705000
88,Other Investing Activites,- -,- -,145600000,164000000,204600000,133900000,53000000,-503800000,-1168400000,-1463500000,72300000,768317000,727112000,609488000,414433000,298010000,286392000,144700000,-385000,18130000,3367000,26498000,54680000,27888000,37937000,21719000,16780000,15333000,15751000,3172000,4108000,1982000,2854000,993005000
89,Cash Used for Investing Activites,- -,- -,13000000,-310400000,-434700000,-806900000,-151200000,-41400000,-464100000,-1402700000,-1700000,862910000,746298000,629714000,285016000,283552000,268591000,221039000,108506000,72668000,-250473000,-345229000,-685662000,-915755000,-1691192000,-165138000,424205000,-209370000,67968000,87433000,-869337000,-1603702000,2347648000,-555378000
90,Debt Repayment,- -,- -,- -,- -,-374500000,-235800000,-194000000,-847600000,-1228600000,-254000000,-2078100000,-1960820000,-927920000,-1180297000,-486021000,-323603000,-297202000,-298163000,-48283000,-40547000,-24114000,-32764000,-100235000,-15296000,-40626000,-17840000,-2167000,-2395000,-2039000,-938000,-2094000,-738000,-2646000,-12222469000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12873000,116850000,95282000,123868000,7436000,177000,129000,137000,47182000,41858000,63889000,9891000,237130000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-921000,-6934000,- -,-41171000,-310000,- -,- -,-25034000,-100372000,- -
