,https://roic.ai/company/TMP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,122000000,138000000,143000000,146000000,140000000,133000000,155000000,183000000,178000000,173000000,185000000,201000000,225000000,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,35800000,36800000,35700000,34400000,35700000,40100000,43100000,46800000,48800000,77617000,92018000,94158000,93959000,90995000,94673000,106707000,121041000,132441000,140783000,146795000,144062000,137088000,158356000,185104000,184493000,188746000,202739000,226764000,251592000,261378000,254330000,241318000
13,Interest Expense (Gain),- -,- -,- -,- -,19600000,18400000,14000000,11900000,12900000,16500000,18000000,20200000,20600000,30551000,40076000,36175000,28818000,23493000,23327000,31686000,48184000,58412000,50393000,39758000,32287000,25682000,24213000,23975000,20683000,20365000,22103000,25460000,39792000,50750000,28991000,17526000
14,Depreciation and Amortization,- -,- -,- -,- -,700000,800000,800000,800000,900000,1000000,1000000,1300000,1300000,3119000,3613000,4881000,5820000,7875000,6462000,6195000,6395000,6430000,6902000,5399000,5427000,5347000,6590000,7903000,7805000,8481000,8919000,10201000,11325000,11717000,11676000,11567000
15,EBITDA,- -,- -,- -,- -,27600000,27200000,25900000,25200000,25300000,30800000,33300000,36700000,39000000,56719000,69453000,71102000,68844000,67637000,67897000,78773000,95062000,103204000,100939000,92371000,87965000,82821000,73178000,103511000,105933000,116229000,117407000,130775000,155230000,165201000,138179000,143539000
16,EBITDA ratio,- -,- -,- -,- -,1.3398,1.1525,0.9217,0.8542,0.8377,0.9935,1.0060,1.0397,1.0183,0.9634,1.0465,0.9134,0.7749,0.7292,0.6836,0.7445,0.8343,0.8740,0.7399,0.6022,0.5569,0.5193,0.3922,0.4548,0.4569,0.4890,0.4754,0.4896,0.5485,0.5843,0.4669,0.4799
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,7300000,8000000,11100000,12500000,11500000,13300000,14300000,15200000,17100000,23049000,25764000,30046000,34206000,36269000,38108000,40892000,40483000,38362000,43644000,47345000,50382000,51923000,42506000,71764000,77576000,87514000,86516000,95242000,104240000,102861000,97666000,114573000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.3544,0.3390,0.3950,0.4237,0.3808,0.4290,0.4320,0.4306,0.4465,0.3915,0.3882,0.3860,0.3850,0.3910,0.3837,0.3865,0.3553,0.3249,0.3199,0.3086,0.3189,0.3256,0.2278,0.3153,0.3346,0.3682,0.3504,0.3566,0.3683,0.3638,0.3300,0.3830
22,Income Tax expense (Gain),- -,- -,- -,- -,2600000,2800000,3900000,4400000,3400000,4600000,5100000,5300000,5900000,7849000,8252000,10419000,11292000,12064000,12493000,13207000,12716000,11991000,13810000,15383000,16420000,16373000,11090000,20777000,25404000,28962000,27045000,42620000,21805000,21016000,19924000,25182000
23,Net Income,3300000,3000000,3900000,4300000,4700000,5200000,7200000,8100000,8100000,8700000,9200000,9900000,11200000,15200000,17512000,19627000,22914000,24205000,25615000,27685000,27767000,26371000,29834000,31831000,33831000,35419000,31285000,50856000,52041000,58421000,59340000,52494000,82308000,81718000,77588000,89264000
24,Net Income ratio,Infinity,Infinity,Infinity,Infinity,0.2282,0.2203,0.2562,0.2746,0.2682,0.2806,0.2779,0.2805,0.2924,0.2582,0.2639,0.2521,0.2579,0.2610,0.2579,0.2617,0.2437,0.2233,0.2187,0.2075,0.2142,0.2221,0.1677,0.2235,0.2244,0.2458,0.2403,0.1965,0.2908,0.2890,0.2622,0.2984
25,EPS,0.11,0.11,0.14,0.24,0.27,0.31,0.42,0.47,0.47,0.56,1.20,1.38,1.58,1.47,1.69,1.81,2.11,2.24,2.15,2.55,2.56,2.47,2.81,2.71,3.13,3.21,2.44,3.48,3.51,3.91,3.94,3.46,5.39,5.39,5.22,6.07
26,EPS Diluted,0.11,0.11,0.14,0.24,0.27,0.31,0.42,0.47,0.47,0.56,1.20,1.37,1.55,1.45,1.67,1.79,2.07,2.19,2.11,2.52,2.53,2.45,2.78,2.69,3.11,3.20,2.43,3.46,3.48,3.87,3.91,3.43,5.35,5.37,5.20,6.06
27,Weighted Average Shares Outstanding,6215504,6833539,7041505,7072260,7072260,7089835,7146951,7146951,7146951,7860182,7654880,7151936,7098667,10350847,10380291,10843732,10857083,10811025,11920827,10841052,10831099,10664743,10616475,11749698,10819027,11002106,12797173,14477617,14676622,14728193,14812712,14950432,15039229,14907057,14703390,14703390
28,Weighted Average Shares Outstanding Diluted,6215504,6833539,7041505,7072260,7072260,7089835,7146951,7146951,7146951,7860182,7654880,7247295,7223753,10497321,10465028,10967897,11072075,11033170,12132941,10983230,10986942,10743741,10718842,11829088,10870760,11035384,12836043,14573919,14789621,14863026,14936231,15073255,15132257,14973951,14742040,14742040
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000095013097001271/0000950130-97-001271-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905698000152/0001019056-98-000152-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905699000161/0001019056-99-000161-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905600000194/0001019056-00-000194-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905601500028/0001019056-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905602000199/0001019056-02-000199-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905603000280/0001019056-03-000280-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905604000375/0001019056-04-000375-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905605000312/0001019056-05-000312-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000101905608000417/0001019056-08-000417-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905609000317/0001019056-09-000317-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905610000306/0001019056-10-000306-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905611000330/0001019056-11-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713112000608/0001387131-12-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713113000822/0001387131-13-000822-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713114000894/0001387131-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713115000903/0001387131-15-000903-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713116004584/0001387131-16-004584-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581717000004/0001005817-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581718000002/0001005817-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581719000003/0001005817-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581720000005/0001005817-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581721000004/0001005817-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581722000003/0001005817-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,28900000,28000000,26800000,28200000,28100000,20800000,25300000,25100000,26800000,35938000,45939000,43967000,63898000,65756000,40932000,63297000,49974000,49859000,52249000,45362000,49565000,49467000,118930000,82884000,56070000,58257000,63954000,84303000,80389000,137982000,388462000,63107000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393340000,1354811000,1402236000,1385684000,1429538000,1392775000,1332658000,1298587000,1627193000,2044513000
33,Cash and Short-Term Investments,- -,- -,- -,- -,28900000,28000000,26800000,28200000,28100000,20800000,25300000,25100000,26800000,35938000,45939000,43967000,63898000,65756000,40932000,63297000,49974000,49859000,52249000,45362000,49565000,49467000,1512270000,1437695000,1458306000,1443941000,1493492000,1477078000,1413047000,1436569000,2015655000,2107620000
34,Net Receivables,- -,- -,- -,- -,- -,- -,5200000,5100000,6000000,8500000,7800000,9200000,21700000,21878000,21075000,24670000,27162000,33398000,37321000,45948000,38152000,34186000,31672000,62920000,56766000,51788000,100044000,105523000,86225000,82087000,83841000,83494000,82091000,118122000,109750000,129714000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1103445000,1204161000,1312952000,1537926000,1721963000,1843862000,1946241000,2054152000,2204212000,-41011000,-64596000,-58992000,-53958000,-1494866000,-1461055000,-1490610000,-1469767000,-1515259000,-1482884000,-1416614000,3678405000,3682583000,3071718000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161261000,1271175000,1381589000,1628986000,1821117000,1922115000,2055486000,2142278000,2288257000,42910000,43686000,47339000,47297000,117448000,82163000,53921000,56261000,62074000,77688000,78524000,5233096000,5807988000,5309052000
38,PP&E,- -,- -,- -,- -,5000000,4500000,5100000,5700000,7100000,7200000,6900000,6800000,7400000,21147000,23861000,25034000,27111000,28466000,33118000,36938000,43273000,44811000,46613000,46650000,46103000,44712000,54581000,55932000,59800000,60331000,70016000,86995000,97202000,94355000,88709000,85416000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41589000,41649000,43898000,92305000,92140000,92243000,91792000,92623000,92291000,92283000,92447000,92447000,92447000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4864000,4207000,4096000,18643000,16298000,14649000,12448000,11349000,9263000,7628000,6223000,4905000,3643000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6271000,9858000,14072000,14106000,14863000,15062000,14446000,25286000,26391000,46778000,46453000,45856000,47994000,110948000,108438000,106892000,104240000,103972000,101554000,99911000,98670000,97352000,96090000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532502000,641665000,660323000,658900000,714360000,748876000,856747000,1005313000,1117418000,1189817000,1433852000,1384782000,1499396000,1539123000,1571657000,1531991000,1474124000,1299502000,1628122000,2329424000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-532502000,-641665000,-660323000,-658900000,-714360000,-748876000,-929511000,-1051963000,-1163521000,-1234529000,-1488433000,2016192000,2128649000,2542360000,2997619000,3450672000,3674152000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27418000,33719000,39106000,41217000,43329000,48180000,51384000,68559000,71202000,20627000,46453000,45856000,47994000,110948000,3565344000,3794737000,4246054000,4743264000,5171212000,5345389000,1492527000,1814183000,2510930000
46,Other Assets,- -,- -,- -,- -,383500000,427500000,459300000,492200000,511200000,537000000,591300000,626900000,673000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8218150000,9436354000,10330912000
47,Total Assets,- -,- -,- -,- -,383500000,427500000,459300000,492200000,511200000,537000000,591300000,626900000,673000000,1188679000,1304894000,1420695000,1670203000,1864446000,1970295000,2106870000,2210837000,2359459000,63537000,90139000,93195000,95291000,228396000,3647507000,3848658000,4302315000,4805338000,5248900000,5423913000,6725623000,7622171000,7819982000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647075000,239100000,- -,14000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523700000,543000000,564000000,1050100000,1122600000,1214000000,1437700000,1618400000,1736000000,1861900000,2020900000,2162200000,2625700000,2675700000,2719100000,2891500000,4333600000,4177900000,4387500000,4601187000,4766307000,4985077000,5471039000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523700000,543000000,564000000,1050100000,1122600000,1214000000,1437700000,1618400000,1736000000,1861900000,2020900000,2162200000,2625700000,2675700000,2719100000,2891500000,4333600000,4177900000,4387500000,4601187000,4766307000,4985077000,6118114000,239100000,- -,14000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,12000000,12000000,12000000,15000000,27000000,45000000,42012000,67257000,75581000,81930000,87111000,63303000,63673000,85941000,210862000,274791000,208965000,244193000,186075000,155516000,368700000,393878000,573794000,922496000,1088433000,445863000,436035000,278220000,110000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,43000,19000,-30000,-11000,-3000,27000,-85641000,-210762000,-250691000,25035000,25107000,25025000,-91816000,- -,22000,- -,- -,- -,-425000000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,12000000,12000000,12000000,15000000,27000000,45000000,42000000,67300000,75600000,81900000,87100000,63300000,63700000,300000,100000,24100000,234000000,269300000,211100000,63700000,368700000,393900000,573794000,922496000,1088433000,20863000,436035000,278220000,110000000
59,Other Liabilities,- -,- -,- -,- -,352600000,393100000,419500000,456800000,475400000,493900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6259504000,7182702000,7187041000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,352600000,393100000,419500000,444800000,463400000,481900000,538700000,570000000,609000000,1085863000,1188409000,1288131000,1518117000,1703987000,1797828000,1924197000,2019765000,2160812000,2648361000,2908252000,2986935000,3101105000,4395837000,4545100000,4779978000,5173529000,5687351000,6072088000,6137565000,6062569000,6904482000,7091041000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,710000,734000,744000,747000,819000,816000,900000,989000,962000,973000,978000,1093000,1116000,1443000,1479000,1493000,1502000,1517000,1530000,1535000,1501000,1496000,1470000
64,Retained Earnings,- -,- -,- -,- -,14000000,15400000,20300000,14900000,19800000,15600000,20900000,26800000,33400000,61078000,70894000,82385000,96722000,78676000,94522000,69228000,44429000,57255000,73779000,92402000,76446000,96445000,108709000,137102000,165160000,197445000,230182000,265007000,319396000,370477000,418413000,475262000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7597000,3015000,871000,-6308000,-12487000,-6900000,-7602000,-3087000,-1260000,-3677000,-2106000,-25119000,-24011000,-31001000,-37109000,-51296000,-63165000,-43564000,-32074000,-55950000
66,Other Total Stockholders Equity,- -,- -,- -,- -,16900000,19000000,19500000,32500000,28000000,39500000,31700000,30100000,30600000,34836000,43367000,47943000,45531000,76460000,74793000,117401000,156689000,145878000,150759000,153263000,195677000,203807000,331862000,343025000,345489000,347068000,353363000,359539000,361693000,333228000,328442000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,30900000,34400000,39800000,47400000,47800000,55100000,52600000,56900000,64000000,96624000,114995000,131072000,150597000,158970000,171002000,181221000,189620000,197195000,217909000,243556000,271956000,297691000,439908000,456487000,488131000,515014000,547953000,574780000,619459000,661642000,716277000,727529000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,383500000,427500000,459300000,492200000,511200000,537000000,591300000,626900000,673000000,1182487000,1303404000,1419203000,1668714000,1862957000,1968830000,2105418000,2209385000,2358007000,2866270000,3151808000,3258891000,3398796000,4835745000,5001587000,5268109000,5688543000,6235304000,6646868000,6757024000,6724211000,7620759000,7818570000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6192000,1490000,1492000,1489000,1489000,1465000,1452000,1452000,1452000,-2802733000,-3061669000,-3165696000,-3303505000,-4607349000,-1354080000,-1419451000,-1386228000,-1429966000,-1397968000,-1333111000,1412000,1412000,1412000
70,Total Liabilities & Equity,- -,- -,- -,- -,383500000,427500000,459300000,492200000,511200000,537000000,591300000,626900000,673000000,1188679000,1304894000,1420695000,1670203000,1864446000,1970295000,2106870000,2210837000,2359459000,63537000,90139000,93195000,95291000,228396000,3647507000,3848658000,4302315000,4805338000,5248900000,5423913000,6725623000,7622171000,7819982000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000095013097001271/0000950130-97-001271-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905698000152/0001019056-98-000152-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905699000161/0001019056-99-000161-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905600000194/0001019056-00-000194-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905601500028/0001019056-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905602000199/0001019056-02-000199-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905603000280/0001019056-03-000280-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905604000375/0001019056-04-000375-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905605000312/0001019056-05-000312-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000101905608000417/0001019056-08-000417-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905609000317/0001019056-09-000317-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905610000306/0001019056-10-000306-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905611000330/0001019056-11-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713112000608/0001387131-12-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713113000822/0001387131-13-000822-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713114000894/0001387131-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713115000903/0001387131-15-000903-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713116004584/0001387131-16-004584-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581717000004/0001005817-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581718000002/0001005817-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581719000003/0001005817-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581720000005/0001005817-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581721000004/0001005817-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581722000003/0001005817-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4700000,5200000,7200000,8100000,8100000,8700000,9200000,9900000,11200000,15200000,17512000,19627000,22914000,24205000,25615000,27685000,27767000,26371000,29834000,31831000,33831000,35419000,31285000,50856000,52041000,58421000,59340000,52494000,82308000,81718000,77588000,89264000
74,Depreciation and Amortization,- -,- -,- -,- -,700000,800000,800000,800000,900000,1000000,1000000,1300000,1300000,3119000,3613000,4881000,5820000,7875000,6462000,6195000,6395000,6430000,6902000,5399000,5427000,5347000,6590000,7903000,7805000,8481000,8919000,10201000,11325000,11717000,11676000,11567000
75,Deferred Income Tax,- -,- -,- -,- -,-900000,-900000,-600000,-100000,-200000,100000,-100000,-500000,-400000,-576000,-599000,-332000,-630000,188000,160000,-2222000,-2264000,-1529000,1124000,-1854000,2251000,-2100000,6930000,8018000,5031000,2904000,1859000,14598000,2354000,3073000,-6284000,1798000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938000,1219000,1261000,1310000,1382000,1506000,1903000,2270000,2956000,3477000,4235000,4733000,5145000
77,Change in Working Capital,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,-523700000,-19300000,-21000000,675161000,37414000,19014000,23697000,11431000,-16602000,7471000,-72208000,4679000,-2708847000,-49224000,-39747000,-172442000,-1371949000,120415000,-237842000,-211347000,-159307000,-203156000,-1132201000,1707000,-13352000,8602000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-907000,-122000,929000,68000,85000,-957000,-2731000,-800000,1629000,-12732000,9428000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-799000,-658000,-449000,-783000,-945000,-253000,105000,-71000,152000,355000,78000,-759000,-826000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-523700000,-543000000,-564000000,111161000,148575000,167589000,191286000,202717000,186115000,193586000,121378000,126057000,-2582790000,-2632014000,-2671761000,-2844203000,-4216152000,-4095737000,-4333579000,-4544926000,-4704233000,-4907389000,-6039590000,- -,139000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1000000,800000,100000,1300000,-100000,1400000,525100000,20500000,24400000,-677503000,-29570000,-23781000,-29309000,-9261000,20232000,-942000,77864000,1622000,2732518000,36774000,61873000,204506000,1387610000,-104868000,248822000,222082000,177779000,208972000,1140002000,-835000,27026000,4801000
