,https://roic.ai/company/SEE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3454100000,842800000,2506800000,2839600000,3067714000,3067482000,3204256000,3531900000,3798100000,4085100000,4327900000,4651200000,4843500000,4242800000,4490100000,5640900000,7648100000,7690800000,7750500000,7031500000,6778300000,4461600000,4732700000,4791100000,4903200000,5533800000
2,COGS,2071000000,477700000,1478100000,1636700000,1864227000,2077195000,2146643000,2419100000,2636000000,2927100000,3087800000,3350100000,3606900000,3024300000,3237300000,3999700000,5103800000,5103300000,5062900000,4444900000,4246700000,3044400000,3230600000,3226300000,3293900000,3852900000
3,Gross Profit,1383100000,365100000,1028700000,1202900000,1203487000,990287000,1057613000,1112800000,1162100000,1158000000,1240100000,1301100000,1236600000,1218500000,1252800000,1641200000,2544300000,2587500000,2687600000,2586600000,2531600000,1417200000,1502100000,1564800000,1609300000,1680900000
4,Gross Profit Ratio,0.4004,0.4332,0.4104,0.4236,0.3923,0.3228,0.3301,0.3151,0.3060,0.2835,0.2865,0.2797,0.2553,0.2872,0.2790,0.2909,0.3327,0.3364,0.3468,0.3679,0.3735,0.3176,0.3174,0.3266,0.3282,0.3038
5,Research and Development Exp.,93900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,713300000,172800000,486200000,527100000,516312000,513086000,542575000,574100000,626100000,645900000,701100000,750200000,755000000,719200000,710200000,1099700000,1785200000,1787300000,1845300000,1656200000,1604400000,796000000,782300000,915500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",713300000,172800000,486200000,527100000,516312000,513086000,542575000,574100000,626100000,645900000,701100000,750200000,755000000,719200000,710200000,1099700000,1785200000,1787300000,1845300000,1656200000,1604400000,796000000,782300000,915500000,772700000,772400000
9,Other Expenses,184400000,45800000,196000000,223600000,219959000,57005000,- -,- -,- -,- -,- -,-6800000,- -,- -,15200000,41300000,134000000,123200000,118900000,88700000,94900000,13100000,15700000,28900000,37500000,38800000
10,Operating Expenses,991600000,218600000,682200000,750700000,736271000,570091000,542575000,574100000,626100000,645900000,701100000,743400000,755000000,719200000,725400000,1141000000,1919200000,1910500000,1964200000,1744900000,1699300000,809100000,798000000,944400000,810200000,811200000
11,COGS and Expenses,3062600000,696300000,2160300000,2387400000,2600498000,2647286000,2689218000,2993200000,3262100000,3573000000,3788900000,4093500000,4361900000,3743500000,3962700000,5140700000,7023000000,7013800000,7027100000,6189800000,5946000000,3853500000,4028600000,4170700000,4104100000,4664100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,11000000,15500000,13500000,13000000,17600000,15100000,- -,10200000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154900000,161600000,217100000,384700000,361000000,287700000,227700000,213100000,201800000,193000000,184100000,184600000,167800000
14,Depreciation and Amortization,184400000,45800000,196000000,223600000,219959000,221177000,165699000,173600000,182700000,177800000,170800000,168800000,171500000,154500000,154700000,189500000,304000000,283400000,266700000,213300000,214000000,149300000,131200000,150800000,174200000,186400000
15,EBITDA,3176900000,179300000,394900000,619300000,633388000,518629000,-226234000,550500000,505600000,554400000,570900000,624800000,393800000,639300000,659700000,622700000,-983500000,852600000,821600000,866900000,993000000,1496500000,824800000,674500000,1003800000,1086000000
16,EBITDA ratio,0.9197,0.2127,0.1575,0.2181,0.2065,0.1691,-0.0706,0.1559,0.1331,0.1357,0.1319,0.1343,0.0813,0.1507,0.1469,0.1104,-0.1286,0.1109,0.1060,0.1233,0.1465,0.3354,0.1743,0.1408,0.2047,0.1962
17,Operating Income,391500000,146500000,346500000,452200000,467216000,387391000,516386000,539200000,503000000,510400000,526100000,549300000,396500000,492300000,535000000,447400000,-1417100000,602100000,653600000,763400000,819100000,596000000,656300000,578500000,788100000,900900000
18,Operating Income ratio,0.1133,0.1738,0.1382,0.1592,0.1523,0.1263,0.1612,0.1527,0.1324,0.1249,0.1216,0.1181,0.0819,0.1160,0.1192,0.0793,-0.1853,0.0783,0.0843,0.1086,0.1208,0.1336,0.1387,0.1207,0.1607,0.1628
19,Total Other Income Expenses (Gains),-42900000,-13000000,-147600000,-56500000,-53787000,-89939000,-908319000,-162300000,-180100000,-133800000,-126000000,-93300000,-174200000,-162400000,-191600000,-231300000,-454900000,-424400000,-386400000,-337500000,-253200000,-202700000,-198500000,-208200000,-161900000,-184700000
20,Income Before Tax,348600000,133500000,198900000,395700000,413429000,297452000,-391933000,376900000,322900000,376600000,400100000,456000000,222300000,329900000,343400000,216100000,-1872000000,177700000,267200000,425900000,565900000,393300000,457800000,370300000,626200000,716200000
21,Income Before Tax Ratio,0.1009,0.1584,0.0793,0.1394,0.1348,0.0970,-0.1223,0.1067,0.0850,0.0922,0.0924,0.0980,0.0459,0.0778,0.0765,0.0383,-0.2448,0.0231,0.0345,0.0606,0.0835,0.0882,0.0967,0.0773,0.1277,0.1294
22,Income Tax expense (Gain),134800000,53600000,125900000,184200000,188110000,140755000,-82864000,136500000,107300000,120800000,126000000,103000000,42400000,85600000,87500000,67000000,-261900000,84000000,9100000,90500000,79500000,330500000,307500000,76600000,142100000,225000000
23,Net Income,2857700000,79900000,73000000,211500000,225319000,156697000,-309069000,240400000,215600000,255800000,274100000,353000000,179900000,244300000,255900000,149100000,-1410300000,124200000,258100000,335400000,486400000,814900000,193100000,263000000,502900000,506800000
24,Net Income ratio,0.8273,0.0948,0.0291,0.0745,0.0734,0.0511,-0.0965,0.0681,0.0568,0.0626,0.0633,0.0759,0.0371,0.0576,0.0570,0.0264,-0.1844,0.0161,0.0333,0.0477,0.0718,0.1826,0.0408,0.0549,0.1026,0.0916
25,EPS,15.53,1.76,0.02,0.84,1.24,0.65,-2.10,1.10,1.28,1.54,1.69,2.21,1.14,1.55,1.61,0.89,-5.59,0.64,1.22,1.63,2.49,4.33,1.21,1.70,3.24,3.36
26,EPS Diluted,15.53,1.73,0.01,0.84,0.96,0.61,-2.15,1.00,1.13,1.34,1.47,1.89,0.99,1.34,1.44,0.80,-5.59,0.58,1.20,1.62,2.46,4.29,1.20,1.69,3.22,3.32
27,Weighted Average Shares Outstanding,184011590,85034014,166624000,165798817,130407287,156420000,172816190,145158371,168437500,165566343,162189349,159728507,157600000,157200000,158300000,167000000,192800000,194600000,210000000,203900000,194300000,186900000,159400000,154300000,155200000,150900000
