,https://roic.ai/company/DDD,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,1000000,1000000,- -,1200000,1100000,1100000,1500000,1600000,1400000,1500000,1400000,4700000,3210000,3329000,3397000,17789000,16803000,16281000,11878000,12901000,11744000,12198000,18016000,18056000,15496000,18260000,45048000,67258000,66983000,57406000,46474000,73840000,96505000,524360000
58,Total Non-Current Liabilities,1000000,1000000,5700000,1600000,1100000,1100000,1500000,1600000,6200000,6200000,6000000,9200000,7585000,33179000,17487000,54418000,43252000,42430000,27232000,12901000,11744000,12198000,18016000,149163000,121956000,53608000,83354000,93158000,92048000,73687000,85785000,130452000,126602000,528706000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8844000,8663000,8662000,8467000,8279000,7772000,7617000,7464000,9589000,8716000,8159000,7722000,7046000,44971000,58003000,- -
61,Total Liabilities,5800000,5300000,13400000,9300000,7000000,9900000,10500000,18600000,23500000,26700000,28500000,31100000,38101000,86286000,72367000,94767000,78432000,81466000,96525000,62616000,50768000,45633000,75681000,208186000,197109000,164064000,231845000,238629000,222453000,280816000,249845000,293416000,302332000,706718000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,13000,13000,13000,14000,15000,19000,22000,22000,23000,23000,51000,60000,104000,112000,113000,115000,115000,117000,120000,128000,128000
64,Retained Earnings,-7000000,-9000000,-11300000,-20100000,-22900000,-22300000,-17800000,-8900000,-4300000,-8900000,-6800000,-12100000,-3922000,-5263000,-21419000,-47442000,-44881000,-34798000,-64455000,-72403000,-78557000,-77491000,-57925000,-22531000,16410000,60487000,72124000,-583368000,-621787000,-677772000,-722701000,-793709000,-943303000,-621251000
65,Other Comprehensive Income/Loss,-200000,-600000,-1300000,-2300000,-3600000,-4300000,-5200000,-6400000,-7900000,-10300000,-13800000,-15800000,-17757000,-21478000,-3659000,-1461000,-2261000,-2470000,1628000,3616000,4709000,4617000,4958000,2940000,3866000,5789000,-24406000,-39548000,-53225000,-21536000,-38978000,-37047000,-8476000,-37706000
66,Other Total Stockholders Equity,8800000,24800000,31200000,32700000,41500000,41300000,43000000,78300000,80900000,83800000,87200000,87500000,93463000,106447000,84931000,85588000,100192000,106729000,132477000,173534000,176060000,177548000,186063000,274328000,459997000,866266000,1245088000,1278712000,1304770000,1318047000,1339931000,1352795000,1382374000,1501210000
67,Total Stockholders Equity,1600000,15200000,18600000,10300000,15000000,14700000,20000000,63000000,68700000,64600000,66600000,59600000,71796000,79719000,59866000,36698000,53064000,69476000,69669000,104769000,102234000,104697000,133119000,254788000,480333000,932646000,1292918000,655909000,629873000,618854000,578369000,522159000,430723000,842381000
68,Total Liabilities And Stockholders Equity,7400000,20500000,32000000,19600000,22000000,24600000,30500000,81600000,92200000,91300000,95100000,90700000,109897000,166005000,132233000,131465000,131496000,150942000,166194000,167385000,153002000,150330000,208800000,462974000,677442000,1096710000,1524763000,894538000,852326000,899670000,828214000,815575000,733055000,1549099000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,1146000,1207000,-1263000,-3173000,-2906000,-2382000,-8263000,- -,- -
70,Total Liabilities & Equity,7400000,20500000,32000000,19600000,22000000,24600000,30500000,81600000,92200000,91300000,95100000,90700000,109897000,166005000,132233000,131465000,131496000,150942000,166194000,167385000,153002000,150403000,208800000,462974000,677442000,1097856000,1525970000,893275000,849153000,896764000,825832000,807312000,733055000,1549099000
