,https://roic.ai/company/DDD,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-1410000,-2820000,-4500000,-1700000,-1400000,-2100000,-3100000,-5100000,-9400000,-8400000,-5800000,-7700000,-4893000,-3317000,-3210000,-874000,-781000,-2603000,-11264000,-2226000,-6108000,-1197000,-1585000,-3206000,-3953000,-8620000,-23480000,-23306000,-17699000,-32040000,-41664000,-23985000,-13643000,-18791000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4098000,-19195000,-92677000,-183701000,-162318000,-345361000,-91799000,-3533000,-36541000,- -,-2500000,-12500000,-139685000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,-3500000,-6700000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,4700000,3800000,6700000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,130000,-1700000,1100000,100000,800000,700000,400000,600000,-100000,1600000,-1800000,2249000,-54771000,-7805000,-1257000,-1154000,-243000,248000,21000,3157000,-171000,-296000,-162000,-729000,-4467000,-7353000,-6657000,-1782000,-3237000,-1133000,-387000,1910000,419031000
89,Cash Used for Investing Activites,-1610000,-2690000,-6200000,-600000,-1300000,-1300000,-2400000,-4700000,-12500000,-8200000,-4200000,-6000000,-2644000,-58088000,-11015000,-2131000,-1935000,-2846000,-11016000,-2205000,-2654000,-5243000,-20774000,-95709000,-187654000,-173757000,-375441000,-120855000,-21882000,-70659000,-41827000,-26872000,-24233000,260555000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-423000,-3280000,-216000,-221000,-163000,-157000,-696000,-1049000,-1055000,-437000,-694000,-76768000,-46840000,-21392000
91,Common Stock Issued,- -,- -,5700000,- -,7300000,- -,- -,32000000,500000,400000,600000,400000,4399000,2369000,13544000,15539000,4898000,8135000,2713000,23257000,- -,- -,- -,62054000,106889000,272076000,299729000,- -,- -,- -,- -,- -,24702000,- -
92,Common Stock Repurchased,1170000,15630000,- -,- -,- -,- -,- -,- -,- -,-200000,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2871000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1420000,-1617000,-752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4000000,- -,-200000,-400000,-1700000,-200000,-900000,1800000,4900000,900000,-100000,-100000,-240000,38538000,-7701000,6690000,-2331000,-801000,7974000,-8588000,-1011000,3553000,1257000,148142000,4400000,26777000,9549000,-1108000,- -,-8751000,14958000,95468000,15158000,427192000
95,Cash Used/Provided by Financing Activities,5170000,15630000,5500000,-400000,5600000,-200000,-900000,33800000,5400000,1100000,-900000,300000,4159000,40907000,5843000,22229000,1147000,5717000,9935000,14669000,-1434000,273000,1041000,209975000,111126000,298696000,308582000,-2157000,-3926000,-9188000,14264000,18700000,-6980000,405800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-100000,300000,-200000,200000,500000,700000,800000,-195000,-2519000,189000,395000,182000,773000,-586000,269000,42000,-15000,325000,-155000,223000,334000,-5706000,-3079000,-1790000,5303000,-3145000,289000,1428000,-9243000
97,Net Change In Cash,-1350000,7320000,5500000,-400000,5600000,-200000,-900000,33800000,5400000,1100000,-900000,-3300000,6446000,-13051000,-3669000,21675000,2322000,-2164000,-9997000,15358000,-7525000,2749000,12436000,141771000,-23261000,150457000,-21454000,-129219000,29304000,-48603000,-25912000,23698000,-49906000,705259000
98,Cash at the End of Period,-1350000,9120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,18999000,5948000,2279000,23954000,26276000,24112000,14331000,29689000,22164000,24913000,37349000,179120000,155859000,306316000,284862000,155643000,184947000,136344000,110919000,134617000,84711000,789970000
99,Cash at the Beginning of Period,- -,1800000,9200000,5500000,1700000,3000000,6500000,6400000,38300000,24400000,12700000,15900000,12553000,18999000,5948000,2279000,23954000,26276000,24328000,14331000,29689000,22164000,24913000,37349000,179120000,155859000,306316000,284862000,155643000,184947000,136831000,110919000,134617000,84711000
100,Free Cash Flow,-6320000,-8430000,-7400000,-4400000,-4400000,3000000,-100000,-2100000,-16400000,-13400000,1800000,-6100000,233000,3332000,-1896000,308000,2147000,-8411000,-19594000,399000,-9587000,6537000,30259000,24454000,49091000,16564000,27631000,-26434000,39203000,-6099000,-36868000,7596000,-33764000,29356000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910638/0001011438-96-000039-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910638/000110465902000979/j3109_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/910638/000104746904007939/a2130492z10-k.htm,https://www.sec.gov/Archives/edgar/data/910638/000104746905005988/a2152505z10-k.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465906013362/a06-5831_110k.htm,https://www.sec.gov/Archives/edgar/data/910638/000110465907033500/a07-5903_110k.htm,https://www.sec.gov/Archives/edgar/data/910638/000095014408002028/g11938ke10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095014409001865/g17897e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012310016364/g22206e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000095012311014949/g26111e10vk.htm,https://www.sec.gov/Archives/edgar/data/910638/000119312512074109/d282229d10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000119312513072822/d491966d10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000156276214000032/c638-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063815000003/ddd-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063816000016/ddd-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063817000003/ddd-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063818000006/ddd-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063819000004/ddd2018-12x31form10xk.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063820000010/ddd-20191231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063821000008/0000910638-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063822000013/0000910638-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
