,https://roic.ai/company/X,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6073000000,4864000000,4947000000,5612000000,6066000000,6456000000,6547000000,6814000000,6184000000,5380000000,6132000000,6286000000,6949000000,9328000000,13969000000,14039000000,15715000000,16873000000,23754000000,11048000000,17374000000,19884000000,19328000000,17424000000,17507000000,11574000000,10261000000,12250000000,14178000000,12937000000,9741000000,20275000000
2,COGS,5320000000,5228000000,4776000000,4962000000,5342000000,5565000000,5829000000,5762000000,5410000000,4928000000,5656000000,6435000000,6158000000,8469000000,11407000000,11601000000,12968000000,14633000000,19723000000,11597000000,16259000000,18326000000,17630000000,16016000000,15455000000,11141000000,9623000000,10864000000,12305000000,12082000000,9558000000,14533000000
3,Gross Profit,753000000,-364000000,171000000,650000000,724000000,891000000,718000000,1052000000,774000000,452000000,476000000,-149000000,791000000,859000000,2562000000,2438000000,2747000000,2240000000,4031000000,-549000000,1115000000,1558000000,1698000000,1408000000,2052000000,433000000,638000000,1386000000,1873000000,855000000,183000000,5742000000
4,Gross Profit Ratio,0.1240,-0.0748,0.0346,0.1158,0.1194,0.1380,0.1097,0.1544,0.1252,0.0840,0.0776,-0.0237,0.1138,0.0921,0.1834,0.1737,0.1748,0.1328,0.1697,-0.0497,0.0642,0.0784,0.0879,0.0808,0.1172,0.0374,0.0622,0.1131,0.1321,0.0661,0.0188,0.2832
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000000,673000000,739000000,698000000,604000000,589000000,625000000,618000000,610000000,733000000,654000000,610000000,523000000,415000000,255000000,375000000,336000000,289000000,274000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,-122000000,-108000000,-121000000,-134000000,-165000000,-137000000,-201000000,-283000000,-223000000,92000000,418000000,673000000,739000000,698000000,604000000,589000000,625000000,618000000,610000000,733000000,654000000,610000000,523000000,415000000,255000000,375000000,336000000,289000000,274000000,426000000
9,Other Expenses,278000000,253000000,496000000,523000000,532000000,528000000,523000000,543000000,495000000,519000000,595000000,250000000,307000000,307000000,357000000,352000000,428000000,487000000,447000000,612000000,643000000,670000000,645000000,684000000,615000000,546000000,505000000,493000000,518000000,601000000,643000000,763000000
10,Operating Expenses,278000000,253000000,374000000,415000000,411000000,394000000,358000000,406000000,294000000,236000000,372000000,342000000,725000000,980000000,1096000000,1050000000,1032000000,1076000000,1072000000,1230000000,1253000000,1403000000,1299000000,1294000000,1138000000,961000000,760000000,868000000,854000000,890000000,917000000,1189000000
11,COGS and Expenses,5598000000,5481000000,5150000000,5377000000,5753000000,5959000000,6187000000,6168000000,5704000000,5164000000,6028000000,6777000000,6883000000,9449000000,12503000000,12651000000,14000000000,15709000000,20795000000,12827000000,17512000000,19729000000,18929000000,17310000000,16593000000,12102000000,10383000000,11732000000,13159000000,12972000000,10475000000,15722000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,5000000,6000000,14000000,40000000,57000000,52000000,14000000,- -,7000000,6000000,7000000,3000000,12000000,3000000,5000000,17000000,23000000,17000000,7000000,4000000
