,https://roic.ai/company/PEP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8056700000,9290800000,11485200000,13007000000,15242400000,17802700000,19607900000,21970000000,25020700000,28472400000,30421000000,31645000000,20917000000,22348000000,20367000000,20438000000,26935000000,25112000000,26971000000,29261000000,32562000000,35137000000,39474000000,43251000000,43232000000,57838000000,66504000000,65492000000,66415000000,66683000000,63056000000,62799000000,63525000000,64661000000,67161000000,70372000000,79474000000
2,COGS,2857500000,3331100000,3896200000,5626500000,6695700000,7725900000,8361000000,9277700000,10805600000,12451100000,14886000000,15383000000,8525000000,9330000000,8198000000,7943000000,10754000000,11497000000,12379000000,13406000000,14176000000,15762000000,18038000000,20351000000,20099000000,26575000000,31593000000,31291000000,31075000000,31238000000,28731000000,28209000000,28796000000,29378000000,29983000000,31797000000,37075000000
3,Gross Profit,5199200000,5959700000,7589000000,7380500000,8546700000,10076800000,11246900000,12692300000,14215100000,16021300000,15535000000,16262000000,12392000000,13018000000,12169000000,12495000000,16181000000,13615000000,14592000000,15855000000,18386000000,19375000000,21436000000,22900000000,23133000000,31263000000,34911000000,34201000000,35340000000,35445000000,34325000000,34590000000,34729000000,35283000000,37178000000,38575000000,42399000000
4,Gross Profit Ratio,0.6453,0.6415,0.6608,0.5674,0.5607,0.5660,0.5736,0.5777,0.5681,0.5627,0.5107,0.5139,0.5924,0.5825,0.5975,0.6114,0.6007,0.5422,0.5410,0.5418,0.5646,0.5514,0.5430,0.5295,0.5351,0.5405,0.5249,0.5222,0.5321,0.5315,0.5444,0.5508,0.5467,0.5457,0.5536,0.5482,0.5335
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364000000,414000000,488000000,- -,- -,665000000,718000000,754000000,- -,737000000,680000000,711000000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11712000000,12593000000,9241000000,9924000000,9103000000,9132000000,11608000000,8523000000,- -,10299000000,12314000000,12774000000,14208000000,15537000000,14612000000,22326000000,25145000000,24675000000,24417000000,24636000000,23568000000,24735000000,23502000000,24137000000,25809000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4171300000,4738400000,5882700000,5391200000,5991800000,6948100000,7880800000,8840300000,9864400000,11243600000,12548000000,12593000000,9241000000,9924000000,9103000000,9132000000,11608000000,8523000000,9460000000,10299000000,12314000000,12774000000,14208000000,15901000000,15026000000,22814000000,25145000000,24970000000,25357000000,26126000000,24885000000,24735000000,24231000000,25170000000,26738000000,28495000000,31237000000
9,Other Expenses,290800000,400700000,563000000,629300000,772000000,884000000,1034500000,1214900000,1444200000,1576500000,- -,1123000000,489000000,510000000,248000000,138000000,552000000,362000000,145000000,297000000,150000000,162000000,58000000,-300000000,-351000000,-371000000,133000000,119000000,-387000000,-980000000,333000000,70000000,-515000000,-677000000,-560000000,- -,- -
10,Operating Expenses,4462100000,5139100000,6445700000,6020500000,6763800000,7832100000,8915300000,10055200000,11308600000,12820100000,12548000000,13716000000,9730000000,10434000000,9351000000,9270000000,12160000000,8885000000,9605000000,10596000000,12464000000,12936000000,14266000000,15965000000,15089000000,22931000000,25278000000,25089000000,25635000000,25864000000,25972000000,24805000000,24453000000,25173000000,26889000000,28495000000,31237000000
