,https://roic.ai/company/HNRG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,1718000,1893000,2500000,10000000,10000000,17500000,- -,- -,21875000,26250000,28796000,33171000,25392000,33044000,39801000,23098000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000,- -,5125000,1660000,- -,- -,- -,- -,2751000,2763000,2835000,2566000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2824000,- -
52,Other Current Liabilities,900000,1100000,3100000,300000,74000,440000,180000,185000,598000,1629000,1702000,1351000,1801000,915000,643000,692000,5185000,1660000,- -,- -,- -,- -,17107000,20577000,15685000,13800000,41528000
53,Total Current Liabilities,900000,1100000,3100000,600000,1110000,1066000,1013000,712000,1981000,2271000,3048000,5613000,9244000,14978000,20593000,19501000,33096000,11046000,10357000,49980000,52434000,45752000,54286000,51813000,64844000,71210000,64626000
54,Long-Term Debt,6200000,5200000,2800000,3200000,1231000,231000,- -,251000,- -,- -,- -,23500000,33464000,39790000,27500000,17500000,- -,11400000,16000000,284470000,223220000,204944000,165773000,155655000,140594000,101817000,61569000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2850000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1699000,17435000,31100000,35884000,43304000,41581000,49033000,45174000,28728000,26441000,4619000,2824000,2850000
57,Other Non-Current Liabilities,200000,300000,5200000,4900000,234000,295000,679000,862000,1547000,- -,- -,4531000,4992000,5031000,6671000,5495000,7239000,8868000,7418000,13679000,13983000,15746000,20083000,26716000,24040000,23019000,35850000
58,Total Non-Current Liabilities,6400000,5500000,8000000,8100000,1465000,526000,679000,1113000,1547000,- -,- -,28031000,38456000,46521000,35870000,40430000,38339000,56152000,66722000,339730000,286236000,265864000,214584000,208812000,169253000,127660000,103119000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7300000,6600000,11100000,8700000,2575000,1592000,1692000,1825000,3528000,2271000,3048000,33644000,47700000,61499000,56463000,59931000,71435000,67198000,77079000,389710000,338670000,311616000,268870000,260625000,234097000,198870000,103119000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,700000,100000,100000,100000,71000,71000,71000,71000,71000,71000,90000,121000,163000,224000,277000,279000,283000,285000,287000,289000,292000,294000,299000,302000,304000,306000,308000
64,Retained Earnings,-13500000,-12300000,-14800000,-15500000,-15158000,-13575000,-13403000,-15159000,-14495000,-4625000,-2741000,-3565000,-5980000,2920000,23105000,42381000,74685000,75118000,94796000,99003000,114341000,122052000,150236000,153830000,89011000,81555000,77801000
65,Other Comprehensive Income/Loss,-32100000,-32700000,-13000000,-300000,-14247000,-15123000,-16497000,-18836000,-19749000,-1740000,-1776000,- -,-2743000,-7233000,-16958000,-28435000,41000,30000,379000,365000,-88000,728000,915000,- -,-220780000,- -,- -
66,Other Total Stockholders Equity,49500000,50700000,31100000,18000000,37071000,38625000,40074000,36897000,37810000,19801000,23983000,- -,47733000,76972000,102203000,112508000,85984000,86576000,87872000,90218000,92275000,93816000,97873000,100742000,322995000,103399000,104126000
67,Total Stockholders Equity,4600000,5800000,3400000,2300000,7737000,9998000,10245000,2973000,3637000,13507000,19556000,28179000,39173000,72883000,108627000,126733000,160993000,162009000,183334000,189875000,206820000,216890000,249323000,254874000,191530000,185260000,182235000
68,Total Liabilities And Stockholders Equity,11900000,12400000,14500000,11000000,10312000,11590000,11937000,4798000,7165000,15778000,22604000,61823000,86873000,134382000,165090000,186664000,232428000,229207000,260413000,579585000,545490000,528506000,518193000,515499000,425627000,384130000,285354000
69,Minority Interest,- -,- -,- -,100000,- -,- -,- -,4763000,5047000,9742000,- -,- -,384000,1683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68626000
70,Total Liabilities & Equity,11900000,12400000,14500000,11100000,10312000,11590000,11937000,9561000,12212000,25520000,22604000,61823000,87257000,136065000,165090000,186664000,232428000,229207000,260413000,579585000,545490000,528506000,518193000,515499000,425627000,384130000,353980000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788965/000078896508000002/dec10k2007.htm,https://www.sec.gov/Archives/edgar/data/788965/000078896509000008/0000788965-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896510000009/0000788965-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896511000010/form10k_2010.htm,https://www.sec.gov/Archives/edgar/data/788965/000078896512000006/0000788965-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896513000006/0000788965-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896514000008/form10k2013.htm,https://www.sec.gov/Archives/edgar/data/788965/000114420415014611/v403834_10k.htm,https://www.sec.gov/Archives/edgar/data/788965/000114420416087556/0001144204-16-087556-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420417014028/0001144204-17-014028-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420418014211/0001144204-18-014211-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420419013338/0001144204-19-013338-index.html,https://www.sec.gov/Archives/edgar/data/788965/000155837020002242/0001558370-20-002242-index.html,https://www.sec.gov/Archives/edgar/data/788965/000143774921005315/0001437749-21-005315-index.htm,https://www.sec.gov/Archives/edgar/data/788965/000143774922007411/0001437749-22-007411-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1000000,-500000,-700000,349000,1583000,175000,-1756000,665000,9870000,162000,-824000,-2415000,8900000,20185000,22375000,35809000,23807000,23154000,10219000,20132000,12510000,33076000,7621000,-59854000,-6220000,-3660000
74,Depreciation and Amortization,610000,420000,480000,470000,638000,976000,1300000,2279000,1160000,721000,43000,56000,2420000,4630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,13044000,13369000,13665000,4024000,6661000,-2790000,6423000,-4957000,-19655000,-2287000,-21822000,-2060000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000,2194000,2331000,2655000,2155000,3220000,3134000,2539000,7266000,3170000,1833000,1211000,- -
77,Change in Working Capital,8500000,200000,1800000,-900000,-2842000,1064000,-777000,-184000,1139000,19497000,-11036000,-8192000,-321000,13535000,-6707000,-2945000,9049000,8037000,5187000,5425000,-20248000,20000000,-16830000,15814000,-15561000,-25481000,-17510000
78,Accounts Receivable,- -,-100000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,-163000,221000,-1058000,-2394000,-324000,10627000,-5632000,5533000,-1666000,-7312000,11166000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000,-684000,-1389000,66000,236000,-479000,-2436000,7623000,8471000,5979000,-2656000,-8105000,-10733000,5765000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000,1130000,1409000,-1686000,-11193000,-815000,5701000,- -,- -,8520000
81,Other Working Capital,3400000,3600000,5400000,4500000,1658000,2722000,1945000,1761000,2900000,22397000,11361000,3169000,2848000,16383000,9676000,6731000,15780000,23817000,29004000,34429000,14181000,34181000,17351000,33165000,17604000,-7877000,-25387000
82,Other Non-Cash Items,-8520000,150000,-1330000,890000,2568000,-160000,1337000,344000,-452000,-29932000,11344000,6862000,-9000,-10013000,18164000,10552000,-134000,-1481000,-9976000,39792000,85215000,30826000,57711000,27252000,133647000,85126000,21170000
83,Cash Provided by Operating Activities,590000,1770000,450000,-240000,713000,3463000,2035000,683000,2512000,156000,513000,-2098000,-325000,18752000,45220000,45545000,60720000,37042000,27181000,55866000,94656000,60918000,61568000,51570000,38243000,52576000,- -
84,CAPEX,-210000,-380000,-840000,-620000,-1571000,-1715000,-2181000,-1052000,-816000,-253000,-4696000,-10647000,-17244000,-33670000,-43491000,-35629000,-34705000,-26209000,-31392000,-25835000,-31167000,-42190000,-28622000,-35091000,-35533000,-20688000,-28050000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5895000,- -,- -,- -,-2828000,- -,-506000,- -,-311453000,- -,- -,- -,8000000,- -,-113000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6020000,- -,- -,- -,-2257000,-1221000,- -,- -,- -,-7315000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5820000,1007000,2252000,2555000,- -
88,Other Investing Activites,360000,-900000,-990000,-300000,-74000,-216000,-65000,-62000,-91000,18010000,840000,4405000,836000,2676000,-46662000,-34214000,-18935000,-26257000,-33965000,-25835000,-30526000,-19643000,-28116000,-35014000,-32450000,-20632000,-27525000
89,Cash Used for Investing Activites,150000,-1280000,-1830000,-920000,455000,-1931000,-2246000,-1114000,-907000,17757000,-3856000,-12137000,-22217000,-30994000,-46662000,-37042000,-21192000,-20354000,-33965000,-337288000,-30526000,-49316000,-22296000,-26007000,-30198000,-18190000,-27525000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6500000,-10000000,-10000000,-7500000,- -,-59655000,-56875000,-34855000,-36625000,-38793000,-42063000,-49662000,-46249000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4165000,7000000,460000,21984000,24900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,2770000,- -,- -,- -,- -,- -,- -,- -,- -,-1305000,-407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8081000,- -,- -,- -,-909000,-3100000,-3505000,-23374000,-3476000,-4798000,-4794000,-4799000,-4892000,-4942000,-4965000,-1236000,- -
94,Other Financing Activites,-490000,-1050000,4530000,-1810000,-2284000,-1000000,-200000,- -,67000,- -,- -,2180000,21854000,4293000,-21836000,-352000,1242000,-1468000,4600000,343116000,- -,21910000,4940000,21972000,32200000,15272000,19558000
95,Cash Used/Provided by Financing Activities,2280000,-1050000,4530000,-1810000,-2284000,-1000000,-200000,- -,67000,-1305000,-4323000,9180000,22314000,26277000,-4345000,-13452000,-12263000,-32342000,1124000,278663000,-61669000,-17744000,-36577000,-21763000,-14828000,-35626000,-26691000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3020000,-560000,3150000,-2970000,-1116000,532000,-411000,-431000,1672000,16608000,-7666000,-5055000,-228000,14035000,-5787000,-4949000,27265000,-15654000,-5660000,-2759000,2461000,-6142000,2695000,3800000,-6783000,-1240000,-6242000
98,Cash at the End of Period,3420000,2940000,6050000,3030000,1957000,2489000,2078000,1647000,3319000,19927000,12261000,7206000,6978000,21013000,15226000,10277000,37542000,21888000,16228000,13469000,15930000,9788000,12483000,20094000,13311000,12071000,5829000
99,Cash at the Beginning of Period,400000,3500000,2900000,6000000,3073000,1957000,2489000,2078000,1647000,3319000,19927000,12261000,7206000,6978000,21013000,15226000,10277000,37542000,21888000,16228000,13469000,15930000,9788000,16294000,20094000,13311000,12071000
100,Free Cash Flow,380000,1390000,-390000,-860000,-858000,1748000,-146000,-369000,1696000,-97000,-4183000,-12745000,-17569000,-14918000,1729000,9916000,26015000,10833000,-4211000,30031000,63489000,18728000,32946000,16479000,2710000,31888000,-28050000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788965/000078896508000002/dec10k2007.htm,https://www.sec.gov/Archives/edgar/data/788965/000078896509000008/0000788965-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896510000009/0000788965-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896511000010/form10k_2010.htm,https://www.sec.gov/Archives/edgar/data/788965/000078896512000006/0000788965-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896513000006/0000788965-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/788965/000078896514000008/form10k2013.htm,https://www.sec.gov/Archives/edgar/data/788965/000114420415014611/v403834_10k.htm,https://www.sec.gov/Archives/edgar/data/788965/000114420416087556/0001144204-16-087556-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420417014028/0001144204-17-014028-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420418014211/0001144204-18-014211-index.html,https://www.sec.gov/Archives/edgar/data/788965/000114420419013338/0001144204-19-013338-index.html,https://www.sec.gov/Archives/edgar/data/788965/000155837020002242/0001558370-20-002242-index.html,https://www.sec.gov/Archives/edgar/data/788965/000143774921005315/0001437749-21-005315-index.htm,https://www.sec.gov/Archives/edgar/data/788965/000143774922007411/0001437749-22-007411-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
