,https://roic.ai/company/NBSE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,6439556,9619141,12707441,- -,2761000,-640000,-932883,-1015591,-1243401,-3286408,-4620916,-9122924,-17805280,-24596053,-23780073,-13903955,-26336407,-17069306,-26565447
18,Operating Income ratio,- -,1.6764,1.6883,1.7772,- -,7.0977,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-6332951,-9164475,-12579439,- -,-1616000,11000,68434,1509968,-3858118,1831524,-1031572,-7740,2607415,-1170145,-30923,667055,-621840,-315214,1156146
20,Income Before Tax,- -,106605,454666,128002,-85003,- -,-629000,-864449,494377,-5101519,-1454884,-5652488,-9130664,-15197865,-25766198,-23810996,-13236900,-26958247,-17384520,-25409301
21,Income Before Tax Ratio,- -,0.0278,0.0798,0.0179,-Infinity,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,4754,169638,52140,-24687,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,101851,285028,75862,63737,-6304000,25000,-864449,494377,-5101519,-1454884,-5652488,-9130664,-15197865,-25766198,-23810996,-13236900,-26958247,-17384520,-25409301
24,Net Income ratio,- -,0.0265,0.0500,0.0106,Infinity,-16.2057,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,2.40,9.00,1.80,1.80,-26.40,1.20,-1.80,1.20,-7.80,-1.80,-6.00,-8.20,-10.80,-16.40,-10.60,-4.60,-3.26,-0.89,-0.93
26,EPS Diluted,- -,2.40,9.00,1.80,1.80,-26.40,0.11,-2.05,0.90,-7.92,-2.04,-6.04,-8.20,-10.80,-16.40,-10.60,-4.60,-3.26,-0.89,-0.93
27,Weighted Average Shares Outstanding,- -,47916,48899,49075,34661,237583,420782,420783,547030,644445,712138,935387,1107076,1420220,1567461,2238534,2819993,8271707,19620291,27306043
28,Weighted Average Shares Outstanding Diluted,- -,47916,48899,49075,34661,237583,638716,420783,547030,644445,712138,935387,1107076,1420220,1567461,2238534,2819993,8271707,19620291,27306043
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173281/000114420408002430/0001144204-08-002430-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000101629509000004/0001016295-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000135448810000035/0001354488-10-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713111000025/0001387131-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713112000055/0001387131-12-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113000067/0001387131-13-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113004795/0001387131-13-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713114004117/0001387131-14-004117-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713115003603/0001387131-15-003603-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713116008696/0001387131-16-008696-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713117005845/0001387131-17-005845-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713119000051/0001387131-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920003043/0001104659-20-003043-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920139139/0001104659-20-139139-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000141057821000599/0001410578-21-000599-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,96000,345604,507439,469786,2632413,5122895,13220494,28697323,12546890,12801085,3750436,10313966,31992283,52893387
32,Short-Term Investments,- -,281176,291016,2497,372268,328000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323557,- -
33,Cash and Short-Term Investments,- -,281176,291016,2497,372268,328000,96000,345604,507439,469786,2632413,5122895,13220494,28697323,12546890,12801085,3750436,10313966,32315840,52893387
34,Net Receivables,- -,7333,11333,37844,- -,- -,- -,- -,65122,179358,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-128000,- -,- -,34889,42611,218242,45350,133527,338713,738118,223278,247998,715269,492700,2035247
37,Total Current Assets,- -,- -,- -,- -,- -,200000,96000,345604,607450,691755,2850655,5168245,13354021,29036036,13285008,13024363,3998434,11029235,32808540,54928634
38,PP&E,- -,134967,162903,144278,- -,61000,- -,- -,24168,19164,43111,29755,104425,248753,198631,63757,15763,430995,1166934,5945295
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,740912,740912,740912,740912,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,800000,780407,701927,623654,- -,17810400,16332863,15208219,14087602,7611918,145833,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,800000,780407,701927,623654,545865,18551312,17073775,15949131,14828514,7611918,145833,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,85025,- -,- -,- -,- -,3143,- -,- -,- -,- -,586418,323557,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,439000,85000,- -,- -,- -,- -,- -,12243,12243,12243,12243,- -,338916,145250,3293664
45,Total Non-Current Assets,- -,- -,- -,- -,- -,500000,85000,885025,804575,721091,666765,575620,18671123,17334771,16160005,14904514,7627681,1502162,1635741,9238959
46,Other Assets,- -,1299313,1826977,1734548,387347,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1299313,1826977,1734548,387347,700000,181000,1230629,1412025,1412846,3517420,5743865,32025144,46370807,29445013,27928877,11626115,12531397,34444281,64167593
48,Accounts Payable,- -,- -,- -,- -,- -,- -,56000,77399,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477152,1505042,1807885
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,180000,68601,- -,22037,14051,43899,48063,87798,106387,73217,122919,138557,872784
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,640000,92000,80557,338225,6194599,1069158,465686,5229223,3831951,4394068,4827525,651781,901942,1506034,1513555
53,Total Current Liabilities,- -,- -,- -,- -,- -,640000,148000,337956,406826,6194599,1091195,479737,5273122,3880014,4481866,4933912,724998,2502013,3149633,4194224
54,Long-Term Debt,- -,12817,32277,23034,- -,328000,- -,279988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5903596
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2000,- -,- -,1387656,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,12817,32277,23034,- -,330000,- -,279988,1387656,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,5903596
59,Other Liabilities,- -,388307,650403,577833,395552,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,375490,618126,554799,395552,965000,148000,617944,1794482,6194599,1091195,479737,5273122,3880014,4481866,5083912,724998,2502013,3149633,10097820
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,558,558,558,558,50,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,907427,907427,964802,- -,21366000,21637000,2525,3545,3970,4726,1974,2525,3033,3207,5619,5647,1708,2315,3272
64,Retained Earnings,- -,94151,379179,301125,-123691,-21629000,-21604000,-22468370,-21973993,-21628748,-28530396,-21628748,-43313548,-58511413,-84277611,-108088607,-121325507,-27000199,-43558602,-68967903
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-850,- -,- -,- -,-46515,-87138,-151770,-107873,-94157,-24205,-158666,- -
66,Other Total Stockholders Equity,- -,-77755,-77755,-86178,115486,- -,- -,23077972,21588283,16842467,30951337,26890852,70109560,101086311,109389321,131035826,132315134,37052080,75009601,123034404
67,Total Stockholders Equity,- -,923823,1208851,1179749,-8205,-263000,33000,612685,-382457,-4781753,2426225,5264128,26752022,42490793,24963147,22844965,10901117,10029384,31294648,54069773
68,Total Liabilities And Stockholders Equity,- -,1299313,1826977,1734548,387347,702000,181000,1230629,1412025,1412846,3517420,5743865,32025144,46370807,29445013,27928877,11626115,12531397,34444281,64167593
69,Minority Interest,- -,- -,- -,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1299313,1826977,1734548,387347,700000,181000,1230629,1412025,1412846,3517420,5743865,32025144,46370807,29445013,27928877,11626115,12531397,34444281,64167593
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173281/000114420408002430/0001144204-08-002430-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000101629509000004/0001016295-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000135448810000035/0001354488-10-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713111000025/0001387131-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713112000055/0001387131-12-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113000067/0001387131-13-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113004795/0001387131-13-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713114004117/0001387131-14-004117-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713115003603/0001387131-15-003603-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713116008696/0001387131-16-008696-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713117005845/0001387131-17-005845-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713119000051/0001387131-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920003043/0001104659-20-003043-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920139139/0001104659-20-139139-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000141057821000599/0001410578-21-000599-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,101851,285028,75862,63737,-6304000,25000,-864449,494377,-5101519,-1454884,-5652488,-9130664,-15197865,-25766198,-23810996,-13236900,-26958247,-17384520,-25409301
74,Depreciation and Amortization,- -,48192,49868,61495,- -,163000,- -,- -,20443,83484,87729,91145,466306,1179254,1189276,1165689,1124569,128372,280463,403043
75,Deferred Income Tax,- -,-12329,89186,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406267,- -,2074487,4215076,2913626,1293932,877751,9785083,5194784,3696384
77,Change in Working Capital,- -,-269828,- -,- -,- -,-440000,388000,59648,192976,-5703468,7262304,2929048,3392391,17075123,-16352880,-712691,-4817015,5253786,21131685,21075503
78,Accounts Receivable,- -,-209703,-86271,-38357,- -,-93000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,74789,137139,60772,23284,-882000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,962434,-129088,294548
81,Other Working Capital,- -,- -,- -,- -,- -,-440000,-52000,7648,200624,-5502844,1759460,4688508,8080899,25156022,8803142,8090451,3273436,8527222,29658907,50734410
82,Other Non-Cash Items,- -,108223,-196630,75432,-634805,1219000,-932000,389635,-1229581,9716976,-8055245,-57392,-2162652,-17964573,22030287,2773094,6559172,8945518,-19932483,-18639313
83,Cash Provided by Operating Activities,- -,-23891,227452,212789,-571068,-5362000,-519000,-415166,-521785,-1004527,-1753829,-2689687,-5360132,-10692985,-15985889,-19290972,-9492423,-2845488,-10710071,-18873684
84,CAPEX,- -,-18508,-43581,-42870,- -,-376000,- -,-300000,-25018,- -,-33403,- -,-3501083,-184951,-14510,-4833,- -,-552663,-716820,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-273246,-96603,-401530,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59988511
87,Sales/Maturities of Investments,- -,- -,354443,17207,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59963499
88,Other Investing Activites,- -,- -,- -,- -,- -,-4000,418000,-300000,- -,70500,- -,- -,-3513786,-100000,- -,93285,528038,-230025,- -,-2538455
89,Cash Used for Investing Activites,- -,-291754,214259,-427193,- -,-380000,418000,-300000,-25018,70500,-33403,- -,-3514869,-284951,-14510,88452,528038,-685225,-716820,-2563467
90,Debt Repayment,- -,-79351,-13710,-18430,- -,-358000,- -,-40012,-445795,-68601,-52701,-71586,-164152,-208236,-176075,-242737,-356264,- -,- -,-8770
91,Common Stock Issued,- -,709664,- -,- -,- -,12000,- -,- -,- -,1050000,1100000,- -,16876000,26582998,- -,19580651,- -,13227028,33283970,1759220
92,Common Stock Repurchased,- -,- -,- -,-8423,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,6251000,- -,1005000,1069408,- -,2902560,5251755,260752,80003,26041,118801,270000,368065,-178762,40587805
95,Cash Used/Provided by Financing Activities,- -,630313,-13710,-26853,- -,5905000,- -,964988,623613,981399,3949859,5180169,16972600,26454765,-150034,19456715,-86264,13595079,33105208,42338255
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,314668,428001,-241257,-571068,163000,-101000,249822,76810,47372,2162627,2490482,8097599,15476829,-16150433,254195,-9050649,10064366,21678317,20901104
98,Cash at the End of Period,- -,399403,827404,586147,15079,197000,96000,345604,422414,469786,2632413,5122895,13220494,28697323,12546890,12801085,3750436,10313966,31992283,52893387
99,Cash at the Beginning of Period,- -,84735,399403,827404,586147,34000,197000,95782,345604,422414,469786,2632413,5122895,13220494,28697323,12546890,12801085,249600,10313966,31992283
100,Free Cash Flow,- -,-42399,183871,169919,-571068,-5738000,-519000,-715166,-546803,-1004527,-1787232,-2689687,-8861215,-10877936,-16000399,-19295805,-9492423,-3398151,-11426891,-18873684
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173281/000114420408002430/0001144204-08-002430-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000101629509000004/0001016295-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000135448810000035/0001354488-10-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713111000025/0001387131-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713112000055/0001387131-12-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113000067/0001387131-13-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713113004795/0001387131-13-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713114004117/0001387131-14-004117-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713115003603/0001387131-15-003603-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713116008696/0001387131-16-008696-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713117005845/0001387131-17-005845-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000138713119000051/0001387131-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920003043/0001104659-20-003043-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000110465920139139/0001104659-20-139139-index.htm,https://www.sec.gov/Archives/edgar/data/1173281/000141057821000599/0001410578-21-000599-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
