,https://roic.ai/company/RAD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1564100000,1756700000,2486300000,2868300000,3172800000,3447500000,3748400000,4085100000,4059000000,4534000000,5446000000,6970000000,11375100000,12732000000,14681000000,14517000000,15171000000,15801000000,16600000000,16816000000,17271000000,17508000000,24327000000,26289268000,25669000000,25215000000,26121000000,25392000000,25526000000,26528377000,20770237000,22927540000,21528968000,21639557000,21928393000,24043240000
2,COGS,1078600000,1209900000,1730000000,1983300000,2199800000,2394200000,2630200000,2891500000,2970000000,3328000000,4017000000,5113000000,8016700000,9396000000,11413000000,11151000000,11742000000,12109000000,12569000000,12609000000,12572000000,12792000000,17689000000,19253616000,18845000000,18522000000,19328000000,18074000000,18203000000,18951645000,15778258000,17862833000,16748863000,16963205000,17201635000,19338918000
3,Gross Profit,485500000,546800000,756300000,885000000,973000000,1053300000,1118200000,1193600000,1089000000,1206000000,1429000000,1857000000,3358400000,3336000000,3268000000,3366000000,3429000000,3692000000,4031000000,4207000000,4699000000,4716000000,6638000000,7035652000,6824000000,6693000000,6793000000,7318000000,7323000000,7576732000,4991979000,5064707000,4780105000,4676352000,4726758000,4704322000
4,Gross Profit Ratio,0.3104,0.3113,0.3042,0.3085,0.3067,0.3055,0.2983,0.2922,0.2683,0.2660,0.2624,0.2664,0.2952,0.2620,0.2226,0.2319,0.2260,0.2337,0.2428,0.2502,0.2721,0.2694,0.2729,0.2676,0.2658,0.2654,0.2601,0.2882,0.2869,0.2856,0.2403,0.2209,0.2220,0.2161,0.2156,0.1957
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,865000000,932000000,1104000000,1434000000,2394400000,2640000000,3712000000,3458000000,3367000000,3410000000,3624000000,3721000000,4307000000,4370000000,6366000000,- -,6603000000,6458000000,6531000000,6601000000,6561000000,- -,4581171000,4776995000,4651262000,4592375000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",304500000,346600000,506500000,613600000,700100000,732900000,781900000,847700000,1014300000,932200000,1104100000,1433700000,2394400000,2639700000,3712279000,3458307000,3367071000,3412375000,3646692000,3757097000,4307421000,4370481000,6366137000,6985367000,6603372000,6457833000,6531411000,6600765000,6561162000,6695642000,7013346000,7242359000,4651262000,4592375000,4587336000,4657185000
9,Other Expenses,37200000,44300000,61000000,76800000,84400000,93300000,93500000,98300000,-300000,-200000,-100000,113300000,274200000,302300000,151721000,546693000,547929000,122625000,34308000,18903000,77579000,67519000,98863000,- -,208628000,255167000,133589000,211235000,103838000,- -,-2358493000,-2419586000,-4508000,483738000,- -,- -
10,Operating Expenses,341700000,390900000,567500000,690400000,784500000,826200000,875400000,946000000,1014000000,932000000,1104000000,1547000000,2668600000,2942000000,3864000000,4005000000,3915000000,3535000000,3681000000,3776000000,4385000000,4438000000,6465000000,6985367000,6812000000,6713000000,6665000000,6812000000,6665000000,6695642000,4654853000,4822773000,4646754000,5076113000,4587336000,4657185000
11,COGS and Expenses,1420300000,1600800000,2297500000,2673700000,2984300000,3220400000,3505600000,3837500000,3984000000,4260000000,5121000000,6660000000,10685300000,12338000000,15277000000,15156000000,15657000000,15644000000,16250000000,16385000000,16957000000,17230000000,24154000000,26238983000,25657000000,25235000000,25993000000,24886000000,24868000000,25647287000,20433111000,22685606000,21395617000,22039318000,21788971000,23996103000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515763000,547581000,529255000,515421000,424591000,397612000,449574000,431991000,202768000,227728000,229657000,201388000
14,Depreciation and Amortization,37200000,44300000,61000000,76800000,84400000,93300000,93500000,98300000,95700000,98600000,118700000,168100000,274200000,302600000,500997000,384066000,349840000,285334000,264288000,246742000,249755000,270307000,472473000,586208000,534238000,505546000,440582000,414111000,403741000,416628000,509212000,568231000,386057000,357882000,328277000,327124000
15,EBITDA,159700000,182100000,264700000,231100000,238400000,268000000,295500000,312900000,123700000,329600000,374700000,381100000,804200000,502600000,-642003000,-1055934000,-490160000,131334000,298288000,380742000,292755000,284307000,196174000,-1999955000,569759000,507969000,577151000,936932000,1078136000,1241060000,1237190000,1048667000,1838282000,240874000,493367000,417446000
16,EBITDA ratio,0.1021,0.1037,0.1065,0.0806,0.0751,0.0777,0.0788,0.0766,0.0305,0.0727,0.0688,0.0547,0.0707,0.0395,-0.0437,-0.0727,-0.0323,0.0083,0.0180,0.0226,0.0170,0.0162,0.0081,-0.0761,0.0222,0.0201,0.0221,0.0369,0.0422,0.0468,0.0596,0.0457,0.0854,0.0111,0.0225,0.0174
17,Operating Income,143800000,155900000,188800000,194600000,188500000,227100000,242800000,247600000,74000000,274000000,325000000,310000000,689800000,394000000,-595000000,-639000000,-486000000,157000000,350000000,431000000,314000000,278000000,172000000,50285000,12000000,-20000000,128000000,506000000,659000000,881090000,337126000,241934000,133351000,-399761000,139422000,47137000
18,Operating Income ratio,0.0919,0.0887,0.0759,0.0678,0.0594,0.0659,0.0648,0.0606,0.0182,0.0604,0.0597,0.0445,0.0606,0.0309,-0.0405,-0.0440,-0.0320,0.0099,0.0211,0.0256,0.0182,0.0159,0.0071,0.0019,0.0005,-0.0008,0.0049,0.0199,0.0258,0.0332,0.0162,0.0106,0.0062,-0.0185,0.0064,0.0020
19,Total Other Income Expenses (Gains),-15900000,-18100000,-32200000,-40300000,-54700000,-52400000,-40800000,-33000000,-28000000,-43000000,-69000000,-96000000,-159800000,-194000000,-521000000,-644000000,-353000000,-311000000,-315000000,-297000000,-271000000,-264000000,-445000000,-2633079000,-492000000,-526000000,-520000000,-498000000,-409000000,-454270000,-185526000,-193416000,-176896000,-189716000,-221034000,-167364000
20,Income Before Tax,127900000,137800000,156600000,154300000,133800000,174700000,202000000,214600000,46000000,231000000,256000000,214000000,530000000,200000000,-1116000000,-1283000000,-839000000,-154000000,35000000,134000000,43000000,14000000,-273000000,-2582794000,-480000000,-546000000,-392000000,8000000,250000000,426820000,151600000,48518000,-43545000,-589477000,-81612000,-120227000
21,Income Before Tax Ratio,0.0818,0.0784,0.0630,0.0538,0.0422,0.0507,0.0539,0.0525,0.0113,0.0509,0.0470,0.0307,0.0466,0.0157,-0.0760,-0.0884,-0.0553,-0.0097,0.0021,0.0080,0.0025,0.0008,-0.0112,-0.0982,-0.0187,-0.0217,-0.0150,0.0003,0.0098,0.0161,0.0073,0.0021,-0.0020,-0.0272,-0.0037,-0.0050
22,Income Tax expense (Gain),60000000,59800000,62800000,59100000,51900000,67400000,78000000,82200000,19000000,90000000,97000000,98000000,213600000,56000000,- -,149000000,-12000000,-42000000,-49000000,-168000000,-1230000000,-13000000,802701000,329257000,26758000,9842000,-23686000,-110600000,804000,-1682353000,112939000,44392000,305987000,77477000,387607000,-20157000
23,Net Income,62500000,78000000,140900000,95200000,102100000,107300000,124000000,132400000,9000000,141000000,159000000,115000000,316400000,144000000,-1143000000,-1589000000,-828000000,-112000000,83000000,302000000,1273000000,27000000,-1079000000,-2915420000,-507000000,-555000000,-369000000,118000000,249000000,2109173000,165465000,4053000,943470000,-422213000,-452174000,-90909000
24,Net Income ratio,0.0400,0.0444,0.0567,0.0332,0.0322,0.0311,0.0331,0.0324,0.0022,0.0311,0.0292,0.0165,0.0278,0.0113,-0.0779,-0.1095,-0.0546,-0.0071,0.0050,0.0180,0.0737,0.0015,-0.0444,-0.1109,-0.0198,-0.0220,-0.0141,0.0046,0.0098,0.0795,0.0080,0.0002,0.0438,-0.0195,-0.0206,-0.0038
