,https://roic.ai/company/MAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1050900000,1058700000,1020100000,990000000,1237000000,1470600000,1621700000,1847900000,2704400000,3205000000,3638800000,3786000000,4834600000,4781900000,5515000000,4669942000,4804062000,4885340000,4960100000,5102786000,5179016000,5650156000,5970090000,5918002000,5430846000,5856195000,6266037000,6420881000,6484892000,6023819000,5702613000,5456650000,4881951000,4510852000,4504571000,4583660000,5457700000
2,COGS,512200000,533600000,544100000,475500000,579800000,719100000,767000000,858800000,1251500000,1479200000,1716700000,1728300000,2244700000,2245900000,2707200000,2312768000,2537178000,2524353000,2530617000,2692061000,2806148000,3038363000,3192790000,3233596000,2716149000,2901222000,3120211000,3011684000,3006009000,3022797000,2896255000,2902259000,3061122000,2716127000,2523792000,2340066000,2831100000
3,Gross Profit,538700000,525100000,476000000,514500000,657200000,751500000,854700000,989100000,1452900000,1725800000,1922100000,2057700000,2589900000,2536000000,2807800000,2357174000,2266884000,2360987000,2429483000,2410725000,2372868000,2611793000,2777300000,2684406000,2714697000,2954973000,3145826000,3409197000,3478883000,3001022000,2806358000,2554391000,1820829000,1794725000,1980779000,2243594000,2626600000
4,Gross Profit Ratio,0.5126,0.4960,0.4666,0.5197,0.5313,0.5110,0.5270,0.5353,0.5372,0.5385,0.5282,0.5435,0.5357,0.5303,0.5091,0.5048,0.4719,0.4833,0.4898,0.4724,0.4582,0.4623,0.4652,0.4536,0.4999,0.5046,0.5020,0.5310,0.5365,0.4982,0.4921,0.4681,0.3730,0.3979,0.4397,0.4895,0.4813
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1152400000,1187600000,1261500000,1576100000,1695400000,2136900000,1652875000,936078000,1050344000,1002899000,1036941000,1079224000,1232000000,1338454000,1423455000,1373776000,1405801000,1405478000,1670379000,1560575000,1614065000,1547584000,1400211000,1521366000,1504796000,1390022000,1345906000,1351400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661504000,552501000,636105000,642967000,629115000,650975000,708768000,719159000,609753000,647270000,699247000,717803000,750205000,733243000,717852000,634947000,642286000,526436000,551517000,516803000,545700000
8,"Selling, General and Administrative Exp.",393000000,427100000,482300000,379600000,451400000,518500000,559300000,664200000,1061700000,1152400000,1187600000,1261500000,1576100000,1695400000,2136900000,1652875000,1597582000,1602845000,1639004000,1679908000,1708339000,1882975000,2047222000,2142614000,1983529000,2053071000,2104725000,2388182000,2310780000,2347308000,2265436000,2035158000,2163652000,2031232000,1941539000,1862709000,1897100000
9,Other Expenses,8800000,10400000,15900000,35200000,42700000,50300000,57700000,63600000,92000000,124300000,133000000,149000000,189900000,214900000,298600000,256389000,51144000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
