,https://roic.ai/company/KMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4072900000,4303100000,4884700000,5393500000,5733600000,6407300000,6776900000,7091100000,6972900000,7364200000,13788600000,13149100000,12546600000,12297800000,13006800000,13982000000,14524400000,13566300000,14348000000,15083200000,15902600000,16746900000,18266000000,19415000000,19115000000,19746000000,20846000000,21063000000,21152000000,19724000000,18591000000,18202000000,18259000000,18486000000,18450000000,19140000000,19440000000
2,COGS,2371200000,2709100000,2879900000,3216600000,3443200000,3982300000,4066900000,4245500000,4285500000,4595500000,8246400000,7680400000,7481700000,7088600000,7095400000,7636800000,8615500000,8750700000,9448100000,10014700000,10827400000,11664800000,12562100000,13557000000,12695000000,13196000000,14694000000,14314000000,13912000000,13041000000,11967000000,11551000000,11706000000,12889000000,12415000000,12318000000,13452000000
3,Gross Profit,1701700000,1594000000,2004800000,2176900000,2290400000,2425000000,2710000000,2845600000,2687400000,2768700000,5542200000,5468700000,5064900000,5209200000,5911400000,6345200000,5908900000,4815600000,4899900000,5068500000,5075200000,5082100000,5703900000,5858000000,6420000000,6550000000,6152000000,6749000000,7240000000,6683000000,6624000000,6651000000,6553000000,5597000000,6035000000,6822000000,5988000000
4,Gross Profit Ratio,0.4178,0.3704,0.4104,0.4036,0.3995,0.3785,0.3999,0.4013,0.3854,0.3760,0.4019,0.4159,0.4037,0.4236,0.4545,0.4538,0.4068,0.3550,0.3415,0.3360,0.3191,0.3035,0.3123,0.3017,0.3359,0.3317,0.2951,0.3204,0.3423,0.3388,0.3563,0.3654,0.3589,0.3028,0.3271,0.3564,0.3080
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211800000,224800000,249800000,277400000,295300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1620000000,3307500000,2854000000,2577900000,2664300000,2805200000,2864800000,767900000,2278500000,2375600000,2510900000,2737400000,2948300000,- -,3291000000,- -,- -,- -,4069000000,- -,3709000000,3443000000,- -,3227000000,3367000000,3254000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2334400000,- -,- -,- -,- -,- -,- -,- -,3498000000,3673000000,3761000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1075100000,939700000,1232700000,1348700000,1406100000,1431100000,1702700000,2013500000,1598000000,1620000000,3307500000,2854000000,2577900000,2664300000,2805200000,2864800000,3102300000,2278500000,2375600000,2510900000,2737400000,2948300000,3105900000,3291000000,3498000000,3673000000,3761000000,4069000000,4028000000,3709000000,3443000000,3326000000,3227000000,3367000000,3254000000,3632000000,3399000000
9,Other Expenses,140300000,169300000,186000000,187600000,210900000,240300000,265500000,289000000,295900000,329600000,581700000,561000000,490900000,542500000,628000000,673400000,173100000,73300000,111900000,51200000,27200000,32300000,-18400000,20000000,97000000,104000000,-51000000,-6000000,4000000,453000000,1568000000,8000000,27000000,1000000,-210000000,-54000000,28000000
