,https://roic.ai/company/AVD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15900000,18900000,17900000,19000000,22300000,29300000,38700000,45500000,45100000,55400000,48600000,67700000,67000000,69211700,77979700,87016500,100671400,124863000,150855000,189796000,193771000,216662000,237538000,209329000,229620000,304429000,366190000,381021000,298634000,289382000,312113000,355047000,454272000,468186000,458704000,556872000
2,COGS,9000000,10700000,10200000,10100000,12700000,14300000,17800000,20900000,21900000,27300000,26000000,37600000,36800000,32734100,38457200,45196400,56795800,65989000,78597000,104117000,111413000,120932000,136407000,148903000,140538000,181361000,205065000,209674000,184138000,177480000,183825000,207655000,271641000,290832000,286114000,343629000
3,Gross Profit,6900000,8200000,7700000,8900000,9600000,15000000,20900000,24600000,23200000,28100000,22600000,30100000,30200000,36477600,39522500,41820100,43875600,58874000,72258000,85679000,82358000,95730000,101131000,60426000,89082000,123068000,161125000,171347000,114496000,111902000,128288000,147392000,182631000,177354000,172590000,213243000
4,Gross Profit Ratio,0.4340,0.4339,0.4302,0.4684,0.4305,0.5119,0.5401,0.5407,0.5144,0.5072,0.4650,0.4446,0.4507,0.5270,0.5068,0.4806,0.4358,0.4715,0.4790,0.4514,0.4250,0.4418,0.4257,0.2887,0.3880,0.4043,0.4400,0.4497,0.3834,0.3867,0.4110,0.4151,0.4020,0.3788,0.3763,0.3829
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10630000,12635000,18041000,20750000,21644000,21206000,18808000,21298000,26076000,26428000,24070000,- -,- -
6,General and Administrative Exp.,4400000,4900000,5300000,5800000,8500000,10300000,13900000,17000000,16200000,18700000,16800000,22600000,23000000,26284600,27745100,32214600,31996100,42332000,47300000,53412000,53142000,59717000,64987000,34066000,34842000,42483000,29715000,33536000,27057000,28516000,32128000,37660000,42981000,46593000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22059000,22414000,23318000,51337000,60432000,59523000,53054000,54322000,56862000,74201000,80470000,- -,- -
8,"Selling, General and Administrative Exp.",4400000,4900000,5300000,5800000,8500000,10300000,13900000,17000000,16200000,18700000,16800000,22600000,23000000,26284600,27745100,32214600,31996100,42332000,47300000,53412000,53142000,59717000,64987000,56125000,57256000,65801000,81052000,93968000,86580000,81570000,86450000,94522000,117182000,127063000,128029000,- -
9,Other Expenses,500000,600000,700000,1000000,1400000,2900000,3200000,3500000,3500000,3400000,2300000,2700000,3100000,3214800,2949200,-761900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25593000,-526097000
10,Operating Expenses,4900000,5500000,6000000,6800000,9900000,13200000,17100000,20500000,19700000,22100000,19100000,25300000,26100000,29499400,30694300,31452700,31996100,42332000,47300000,53412000,53142000,59717000,64987000,66755000,69891000,83842000,101802000,115612000,107786000,100378000,107748000,120598000,143610000,151133000,153622000,-526097000
11,COGS and Expenses,13900000,16200000,16200000,16900000,22600000,27500000,34900000,41400000,41600000,49400000,45100000,62900000,62900000,62233500,69151500,76649100,88791900,108321000,125897000,157529000,164555000,180649000,201394000,215658000,210429000,265203000,306867000,325286000,291924000,277858000,291573000,328253000,415251000,441965000,439736000,525926000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600,18900,371400,626000,85000,392000,30000,214000,75000,44000,- -,112000,1000,1000,19000,- -,7000,41000,174000,182000,89000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3253000,3017000,3569000,1740000,1555000,2435000,2136000,1343000,1607000,3568000,6708000,5178000,-3687000
