,https://roic.ai/company/FDX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2606200000,3178300000,3882800000,5167000000,7015100000,7688300000,7550100000,7808000000,8479500000,9392100000,10273600000,11519800000,15872810000,16773470000,18256945000,19629040000,20607000000,22487000000,24710000000,29363000000,32294000000,35214000000,37953000000,35497000000,34734000000,39304000000,42680000000,44287000000,45567000000,47453000000,50365000000,60319000000,65450000000,69693000000,69217000000,83959000000
2,COGS,679300000,966200000,2164100000,1767100000,3077100000,3314600000,3058900000,3056000000,3244700000,4542100000,5269400000,6018600000,1285655000,1396694000,3077426000,3300096000,3560000000,3606000000,3836000000,4628000000,4780000000,4686000000,8670000000,5709000000,4821000000,14266000000,15758000000,35404000000,36194000000,38895000000,40037000000,46530000000,50750000000,54866000000,55873000000,66005000000
3,Gross Profit,1926900000,2212100000,1718700000,3399900000,3938000000,4373700000,4491200000,4752000000,5234800000,4850000000,5004200000,5501200000,14587155000,15376776000,15179519000,16328944000,17047000000,18881000000,20874000000,24735000000,27514000000,30528000000,29283000000,29788000000,29913000000,25038000000,26922000000,8883000000,9373000000,8558000000,10328000000,13789000000,14700000000,14827000000,13344000000,17954000000
4,Gross Profit Ratio,0.7394,0.6960,0.4426,0.6580,0.5614,0.5689,0.5949,0.6086,0.6173,0.5164,0.4871,0.4775,0.9190,0.9167,0.8314,0.8319,0.8272,0.8396,0.8448,0.8424,0.8520,0.8669,0.7716,0.8392,0.8612,0.6370,0.6308,0.2006,0.2057,0.1803,0.2051,0.2286,0.2246,0.2127,0.1928,0.2138
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,4104800000,5243800000,5579100000,6166200000,7932800000,8484400000,9136677000,9913461000,10879000000,11581000000,12646000000,14277000000,14961000000,16083000000,14202000000,20730000000,21114000000,15276000000,16099000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1502400000,1608000000,1049700000,2588100000,3045300000,3438400000,3637100000,3807500000,4104800000,5243800000,5579100000,6166200000,7932800000,8484400000,9136677000,9913461000,10879000000,11581000000,12646000000,14277000000,14961000000,16083000000,14202000000,20730000000,21114000000,15276000000,16099000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,212400000,239300000,289600000,387300000,479200000,534500000,577200000,579900000,2203700000,2510600000,2874500000,3239800000,6130627000,6521061000,6980681000,7501948000,7426000000,8086000000,8708000000,10298000000,14319000000,15855000000,7242000000,1975000000,1958000000,1973000000,2113000000,5672000000,5927000000,6415000000,7251000000,8752000000,9450000000,10041000000,10492000000,11981000000
10,Operating Expenses,1714800000,1847300000,1339300000,2975400000,3524500000,3972900000,4214300000,4387400000,6308500000,7754400000,8453600000,9406000000,14063427000,15005461000,16117358000,17415409000,18305000000,19667000000,21354000000,24575000000,29280000000,31938000000,21444000000,22705000000,23072000000,17249000000,18212000000,5672000000,5927000000,6415000000,7251000000,8752000000,9450000000,10041000000,10492000000,11981000000
