,https://roic.ai/company/VRSN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9400000,38900000,84776000,474766000,983564000,1221668000,1054780000,1166455000,1609494000,1575249000,1496289000,961735000,1030619000,680578000,771978000,873592000,965087000,1010117000,1059366000,1142167000,1165095000,1214969000,1231661000,1265052000,1327576000
2,COGS,5200000,15500000,26494000,133472000,343721000,571367000,446207000,444759000,512225000,580739000,596517000,227351000,245896000,156676000,165246000,167600000,187013000,188425000,192788000,198242000,193326000,192134000,180467000,180177000,191933000
3,Gross Profit,4200000,23400000,58282000,341294000,639843000,650301000,608573000,721696000,1097269000,994510000,899772000,734384000,784723000,523902000,606732000,705992000,778074000,821692000,866578000,943925000,971769000,1022835000,1051194000,1084875000,1135643000
4,Gross Profit Ratio,0.4468,0.6015,0.6875,0.7189,0.6505,0.5323,0.5770,0.6187,0.6817,0.6313,0.6013,0.7636,0.7614,0.7698,0.7859,0.8081,0.8062,0.8135,0.8180,0.8264,0.8341,0.8419,0.8535,0.8576,0.8554
5,Research and Development Exp.,5200000,8400000,13303000,41256000,78134000,48353000,55806000,67346000,95339000,129343000,160186000,91508000,83560000,53664000,53277000,61694000,70297000,67777000,63718000,59100000,52342000,57884000,60805000,74671000,80529000
6,General and Administrative Exp.,- -,30600000,42885000,227820000,402882000,420293000,363710000,418402000,675140000,634351000,552762000,373478000,181992000,137704000,111122000,89927000,90208000,97487000,106730000,118003000,129754000,132668000,137625000,112423000,148434000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177029000,83390000,97432000,97809000,89337000,92001000,90184000,80250000,81951000,64891000,46637000,36790000,39877000
8,"Selling, General and Administrative Exp.",- -,30600000,42885000,227820000,402882000,420293000,363710000,418402000,675140000,634351000,552762000,373478000,359021000,221094000,208554000,187736000,179545000,189488000,196914000,198253000,211705000,197559000,184262000,149213000,188311000
9,Other Expenses,18000000,3900000,5404000,3218527000,13569653000,4894714000,342674000,79440000,101638000,122767000,450101000,90652000,12199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36790000,- -
10,Operating Expenses,23200000,42900000,61592000,3487603000,14050669000,5363360000,762190000,565188000,872117000,886461000,1163049000,555638000,454780000,274758000,261831000,249430000,249842000,257265000,260632000,257353000,264047000,255443000,245067000,260674000,268840000
11,COGS and Expenses,28400000,58400000,88086000,3621075000,14394390000,5934727000,1208397000,1009947000,1384342000,1467200000,1759566000,782989000,700676000,431434000,427077000,417030000,436855000,445690000,453420000,455595000,457373000,447577000,425534000,440851000,460773000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4371000,7652000,5017000,2957000,1897000,922000,2128000,6191000,17944000,26490000,26596000,7815000,582000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47351000,157667000,147332000,50196000,74761000,85994000,107631000,115564000,136336000,114845000,90611000,87063000,83255000
14,Depreciation and Amortization,2600000,3900000,5404000,3218527000,13636318000,5019152000,457370000,168217000,197259000,231529000,231505000,128031000,86266000,67655000,55706000,54819000,60655000,63690000,61491000,58167000,49878000,48367000,46330000,46352000,47940000
15,EBITDA,-16600000,-15800000,9359000,103053000,202444000,68230000,220844000,382022000,708375000,369259000,103083000,-203861000,459275000,1081611000,400960000,525257000,592187000,632995000,656772000,754904000,785226000,892728000,895717000,1012947000,913414000
16,EBITDA ratio,-1.7660,-0.4062,0.1104,0.2171,0.2058,0.0558,0.2094,0.3275,0.4401,0.2344,0.0689,-0.2120,0.4456,1.5893,0.5194,0.6013,0.6136,0.6267,0.6200,0.6609,0.6740,0.7348,0.7272,0.8007,0.6880
17,Operating Income,-19000000,-19500000,-3310000,-3146309000,-13410826000,-4801633000,-228250000,131728000,196429000,95820000,-221501000,70778000,313727000,232283000,329389000,457327000,528232000,564427000,605946000,686572000,707722000,767392000,806127000,824201000,866803000
18,Operating Income ratio,-2.0213,-0.5013,-0.0390,-6.6271,-13.6349,-3.9304,-0.2164,0.1129,0.1220,0.0608,-0.1480,0.0736,0.3044,0.3413,0.4267,0.5235,0.5473,0.5588,0.5720,0.6011,0.6074,0.6316,0.6545,0.6515,0.6529
19,Total Other Income Expenses (Gains),-1700000,-1500000,-936000,-20482000,-23048000,-148873000,-8276000,82077000,46804000,40865000,93759000,52473000,-32437000,-136929000,-135802000,-44632000,-71461000,-81116000,-118296000,-105399000,-108710000,-37876000,-47351000,-73957000,-84584000
20,Income Before Tax,- -,- -,- -,- -,-13433874000,-4950506000,-236526000,213805000,243233000,136685000,-127742000,123251000,281290000,95354000,193587000,412695000,456771000,483311000,487650000,581173000,599012000,729516000,758776000,750244000,782219000
21,Income Before Tax Ratio,- -,- -,- -,- -,-13.6584,-4.0523,-0.2242,0.1833,0.1511,0.0868,-0.0854,0.1282,0.2729,0.1401,0.2508,0.4724,0.4733,0.4785,0.4603,0.5088,0.5141,0.6004,0.6161,0.5931,0.5892
22,Income Tax expense (Gain),- -,- -,- -,- -,-77922000,10375000,23353000,27580000,104655000,-241285000,11080000,42800000,80105000,25322000,55031000,100210000,-87679000,128051000,112414000,140528000,141764000,147027000,146477000,64644000,-2611000
23,Net Income,-19200000,-19700000,3955000,-3115474000,-13355952000,-4961297000,-259879000,186225000,406461000,379015000,-139502000,-374692000,245553000,830967000,142891000,320032000,544450000,355260000,375236000,440645000,457248000,582489000,612299000,814888000,784830000
24,Net Income ratio,-2.0426,-0.5064,0.0467,-6.5621,-13.5791,-4.0611,-0.2464,0.1597,0.2525,0.2406,-0.0932,-0.3896,0.2383,1.2210,0.1851,0.3663,0.5641,0.3517,0.3542,0.3858,0.3925,0.4794,0.4971,0.6442,0.5912
25,EPS,-0.66,-0.24,0.04,-19.57,-65.64,-20.97,-1.08,0.74,1.58,1.55,-0.59,-1.90,1.28,4.68,0.87,2.04,3.77,2.80,3.29,4.12,4.56,5.13,5.17,7.08,6.82
26,EPS Diluted,-0.66,-0.24,0.03,-19.57,-65.64,-20.97,-1.08,0.72,1.54,1.53,-0.59,-1.90,1.28,4.64,0.86,1.95,3.49,2.52,2.82,3.42,3.68,4.75,5.15,7.07,6.81
27,Weighted Average Shares Outstanding,82972000,83492000,100531000,159169000,203478000,236552000,239780000,250564000,257369000,244421000,237707000,197201000,191821000,177534000,165408000,156953000,144591000,126710000,114155000,107001000,100325000,113452000,118513000,115058000,115058000
28,Weighted Average Shares Outstanding Diluted,82972000,83492000,114610000,159169000,203478000,236552000,239780000,257992000,264513000,247073000,237707000,200602000,192575000,178965000,166887000,163909000,155786000,140895000,133031000,128833000,124180000,122661000,118968000,115298000,115298000
