,https://roic.ai/company/HE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-48100000,-54400000,-54800000,-64400000,-73100000,-84000000,-88363000,-43889000,-84524000,-81152000,-70741000,-70078000,-68341000,-72675000,-64901000,-58840000,-72964000,-73644000,-66789000,-67672000,-67002000,-67765000,25666000,-61711000,-78895000,-77265000,-70869000,-75203000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000000,133200000,133500000,141700000,151600000,149900000,66984000,144814000,181909000,182415000,200219000,201344000,171055000,131057000,139256000,128824000,183247000,216052000,217407000,247747000,261922000,254788000,373841000,276580000,254461000,271409000,240624000,310863000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1060,0.1028,0.0946,0.0968,0.1021,0.0984,0.0390,0.1128,0.1100,0.1024,0.1041,0.0909,0.0695,0.0517,0.0433,0.0558,0.0688,0.0666,0.0644,0.0765,0.0809,0.0979,0.1570,0.1082,0.0889,0.0944,0.0933,0.1091
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,55700000,54800000,55300000,57000000,57000000,21240000,55434000,63692000,64367000,92480000,73900000,63054000,46278000,48978000,43923000,67822000,75932000,76859000,84341000,91712000,93021000,123695000,109393000,50797000,51637000,40910000,62807000
23,Net Income,39000000,43100000,37800000,55000000,64100000,43600000,54800000,-11600000,48700000,73000000,77500000,78700000,86400000,84800000,96900000,45744000,89380000,118217000,114178000,109652000,126689000,108001000,84779000,90278000,83011000,115425000,140120000,140548000,163406000,170210000,161767000,250146000,167187000,203664000,219772000,199714000,248056000
24,Net Income ratio,0.0602,0.0772,0.0595,0.0749,0.0725,0.0431,0.0506,-0.0112,0.0426,0.0614,0.0598,0.0558,0.0590,0.0571,0.0636,0.0266,0.0696,0.0715,0.0641,0.0570,0.0572,0.0439,0.0334,0.0280,0.0359,0.0433,0.0432,0.0416,0.0505,0.0525,0.0621,0.1051,0.0654,0.0712,0.0765,0.0774,0.0870
25,EPS,0.60,0.64,0.55,0.72,0.77,0.51,0.60,-0.12,0.47,1.30,1.33,1.30,1.38,1.32,1.50,0.70,1.24,1.63,1.53,1.38,1.57,1.33,1.03,1.07,0.91,1.22,1.45,1.43,1.63,1.65,1.50,2.30,1.52,1.85,2.00,1.81,2.25
26,EPS Diluted,0.60,0.64,0.55,0.72,0.77,0.51,0.60,-0.12,0.47,1.30,1.33,1.30,1.38,1.32,1.50,0.70,1.24,1.62,1.52,1.38,1.56,1.33,1.03,1.07,0.91,1.21,1.44,1.42,1.62,1.64,1.50,2.29,1.52,1.85,1.99,1.81,2.25
27,Weighted Average Shares Outstanding,33152000,33950000,35008000,41362000,42532000,43836000,47734000,49524000,55350000,56274000,58374000,60620000,62750000,64028000,64376000,65090000,67508000,72556000,74696000,79562000,80828000,81145000,82215000,84631000,91396000,93421000,95510000,96908000,98968000,101968000,106418000,108102000,108749000,108855000,108949000,109140000,109282000
28,Weighted Average Shares Outstanding Diluted,33152000,33950000,35008000,41362000,42532000,43836000,47734000,49524000,55350000,56274000,58374000,60620000,62940000,64258000,64582000,65374000,67884000,72954000,74974000,79719000,81200000,81373000,82419000,84720000,91516000,93693000,95820000,97338000,99623000,102937000,106721000,108309000,108933000,109146000,109407000,109356000,109580000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46207/000089843095000363/0000898430-95-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/46207/000089843097001195/0000898430-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/354707/000089843098001092/0000898430-98-001092-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354707/000119312507086449/0001193125-07-086449-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312504037155/0001193125-04-037155-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312505047722/0001193125-05-047722-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312506047190/0001193125-06-047190-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312507042436/0001193125-07-042436-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312508042234/0001193125-08-042234-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312509041009/0001193125-09-041009-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312510042821/0001193125-10-042821-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465911008405/0001104659-11-008405-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465912010751/0001104659-12-010751-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465913011461/0001104659-13-011461-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470714000026/0000354707-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470715000016/0000354707-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470716000128/0000354707-16-000128-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470717000020/0000354707-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470718000024/0000354707-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470719000043/0000354707-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470720000045/0000354707-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470721000036/0000354707-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470722000049/0000354707-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,87600000,130800000,97400000,254400000,412300000,199900000,215034000,1858000,244525000,223310000,132138000,151513000,177630000,145855000,182903000,502443000,330651000,270265000,219662000,220036000,175542000,300478000,278452000,261881000,169208000,196813000,341421000,305551000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1479000,775916000,722095000,671358000,529007000,550394000,820648000,1105182000,1401198000,1388533000,1232826000,1970417000,2574618000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,87600000,130800000,97400000,254400000,412300000,199900000,215034000,1858000,244525000,223310000,132138000,151513000,177630000,145855000,182903000,503922000,1106567000,992360000,891020000,749043000,725936000,1121126000,1383634000,1663079000,1557741000,1429639000,2311838000,2880169000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1954900000,1830300000,2152900000,3194100000,3299400000,3366500000,3402826000,137147000,176327000,187716000,208533000,249473000,248639000,294447000,300666000,3911609000,3756876000,3987140000,4126061000,4462200000,4711153000,4813178000,4939927000,4891590000,5118379000,5380901000,5542133000,5494601000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,43100000,35300000,48700000,45400000,- -,- -,- -,44142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1211100000,1588900000,1483500000,2075800000,1902900000,2159900000,2270505000,53744000,- -,56678000,3092228000,6351383000,6325323000,6403729000,4962505000,- -,7849000,9601000,- -,- -,- -,- -,- -,- -,- -,30872000,17558000,5911000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3296700000,3585300000,3782500000,5569700000,5614600000,5726300000,5888365000,236891000,420852000,467704000,3432899000,6752369000,6751592000,6844031000,5446074000,4415531000,4871292000,4989101000,5017081000,5211243000,5437089000,5934304000,6323561000,6554669000,6676120000,6841412000,7871529000,8380681000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1677800000,1808200000,1941800000,2019600000,2093400000,2066200000,2091345000,2004523000,2079325000,2311888000,2422303000,2542776000,2647490000,2743410000,2907376000,3088611000,3165918000,2049821000,3594829000,3858947000,4148774000,4377658000,4603465000,5025916000,4830118000,5308799000,5418804000,5514484000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,45500000,41200000,37000000,122500000,115000000,106700000,99128000,- -,97572000,93987000,91263000,89580000,87140000,83080000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000,82190000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2727000000,2465000000,2239000000,755000000,530645000,776000000,- -,96022000,92546000,69302000,10678000,11218000,54221000,151833000,147885000,235627000,532270000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,154500000,169000000,174500000,242100000,376300000,391800000,390484000,148324000,6278754000,6327579000,3664162000,-2160148000,-2060013000,-1615605000,104442000,808025000,189944000,2471619000,1359010000,1095118000,1446806000,1385366000,1405072000,1382832000,1363790000,1364965000,1395857000,1313012000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877800000,2018400000,2153300000,2384200000,2584700000,2564700000,2580957000,2152847000,8455651000,8733454000,6177728000,3199208000,3139617000,3449885000,3849008000,4509471000,4214052000,4603630000,5132051000,5128801000,5747072000,5855892000,6101945000,6545159000,6427931000,6903839000,7132478000,7441956000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5174500000,5603700000,5935800000,7953900000,8199300000,8291000000,8469322000,2389738000,8876503000,9201158000,9610627000,9951577000,9891209000,10293916000,9295082000,8925002000,9085344000,9592731000,10149132000,10340044000,11184161000,11790196000,12425506000,13099828000,13104051000,13745251000,15004007000,15822637000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,97200000,94800000,107900000,149300000,107900000,117400000,127565000,53966000,134416000,132780000,153943000,183336000,165505000,202299000,183584000,186994000,202446000,216176000,212379000,212331000,186425000,138523000,143279000,193714000,214773000,220633000,182347000,205544000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,753200000,683100000,1380600000,1034500000,1028400000,1340900000,1353650000,62892000,- -,- -,76611000,1764052000,1744857000,91780000,680973000,339617000,262242000,302050000,83693000,105482000,118972000,103063000,- -,117945000,73992000,185710000,129379000,53998000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2252600000,2636300000,2150300000,4292000000,4381000000,4152900000,4181150000,127622000,- -,- -,- -,4557419000,4575548000,4347260000,4180175000,4058760000,4003186000,4095073000,26258000,26716000,25336000,26042000,25225000,25837000,28254000,24941000,23547000,19889000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3103000000,3414200000,3638800000,5475800000,5517300000,5611200000,5662365000,244480000,134416000,132780000,230554000,6504807000,6485910000,4641339000,5044732000,4585371000,4467874000,4613299000,322330000,344529000,330733000,267628000,168504000,337496000,317019000,431284000,335273000,279431000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,718200000,758500000,810100000,802600000,899600000,977500000,1088731000,670674000,1106270000,1064420000,1166735000,1142993000,1133185000,1242099000,1211501000,1364815000,1364942000,1340070000,1618798000,1737459000,1797202000,1915128000,1811637000,1874656000,1989681000,2079475000,2208799000,2547002000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,218900000,229100000,234500000,186200000,186100000,181300000,147513000,194120000,235431000,226590000,229765000,207997000,106780000,155337000,143308000,188875000,278958000,354051000,439329000,529260000,631734000,680877000,728806000,388430000,372518000,379324000,395089000,384760000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219100000,-229600000,-234600000,-185800000,14300000,19200000,52756000,481206000,-35701000,-27010000,-229500000,-207990000,-106965000,-155436000,-142809000,1310000000,1489933000,1753362000,6174810000,6001726000,6633064000,6998923000,7649806000,8401860000,8262553000,8574908000,9727344000,10220560000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,718000000,758000000,810000000,803000000,1100000000,1178000000,1289000000,1346000000,1306000000,1264000000,1167000000,1143000000,1133000000,1242000000,1212000000,2863690000,3133833000,3447483000,8232937000,8268445000,9062000000,9594928000,10190249000,10664946000,10624752000,11033707000,12331232000,13152322000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2107400000,2217900000,2334100000,2466400000,2951300000,3009400000,3256059000,- -,9001787000,9243347000,9336128000,3373140000,3408766000,5584857000,4038603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199571000,160432000,136760000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4492400000,4874100000,5162900000,7139200000,7368600000,7442600000,7629424000,1512584000,7830203000,8112127000,8399682000,8734947000,8761676000,8984196000,7871335000,7449061000,7601707000,8060782000,8555267000,8612974000,9392733000,9862556000,10358753000,11002442000,10941771000,11464991000,12666505000,13431753000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,546300000,585400000,623000000,654800000,661700000,665300000,691735000,85387000,839503000,888431000,1010090000,1018966000,- -,- -,- -,- -,- -,- -,1403484000,1488126000,1521297000,1629136000,1660910000,1662491000,1669267000,1678257000,1678368000,1685496000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,135800000,144200000,149900000,159900000,165300000,182300000,147324000,495961000,176118000,197774000,208998000,235394000,242667000,225168000,210840000,184213000,181910000,201640000,216804000,255694000,297509000,324766000,438972000,476836000,543623000,622042000,660398000,757921000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-747500000,-815500000,-890100000,-974800000,-1063000000,-1129100000,-1230691000,-1266332000,30679000,2826000,-8143000,-37730000,-175528000,-21842000,-53015000,-7722000,-12472000,-19137000,-26423000,-16750000,-27378000,-26262000,-33129000,-41941000,-50610000,-20039000,-1264000,-52533000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,747500000,815500000,890100000,974800000,1066700000,1129900000,1231530000,1562138000,- -,- -,- -,- -,2537954000,2833938000,3064720000,3237210000,3339325000,4664810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,682100000,729600000,772900000,814700000,830700000,848400000,839898000,877154000,1046300000,1089031000,1210945000,1216630000,1095240000,1275427000,1389454000,1441648000,1483637000,1531949000,1593865000,1727070000,1791428000,1927640000,2066753000,2097386000,2162280000,2280260000,2337502000,2390884000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5174500000,5603700000,5935800000,7953900000,8199300000,8291000000,8469322000,2389738000,8876503000,9201158000,9610627000,9951577000,9856916000,10259623000,9260789000,8890709000,9085344000,9592731000,10149132000,10340044000,11184161000,11790196000,12425506000,13099828000,13104051000,13745251000,15004007000,15822637000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34293000,34293000,34293000,34293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5174500000,5603700000,5935800000,7953900000,8199300000,8291000000,8469322000,2389738000,8876503000,9201158000,9610627000,9951577000,9891209000,10293916000,9295082000,8925002000,9085344000,9592731000,10149132000,10340044000,11184161000,11790196000,12425506000,13099828000,13104051000,13745251000,15004007000,15822637000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/46207/000089843095000363/0000898430-95-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/46207/000089843097001195/0000898430-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/354707/000089843098001092/0000898430-98-001092-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354707/000119312507086449/0001193125-07-086449-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312504037155/0001193125-04-037155-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312505047722/0001193125-05-047722-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312506047190/0001193125-06-047190-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312507042436/0001193125-07-042436-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312508042234/0001193125-08-042234-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312509041009/0001193125-09-041009-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000119312510042821/0001193125-10-042821-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465911008405/0001104659-11-008405-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465912010751/0001104659-12-010751-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000110465913011461/0001104659-13-011461-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470714000026/0000354707-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470715000016/0000354707-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470716000128/0000354707-16-000128-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470717000020/0000354707-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470718000024/0000354707-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470719000043/0000354707-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470720000045/0000354707-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470721000036/0000354707-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/354707/000035470722000049/0000354707-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,77500000,78700000,86400000,84800000,96900000,45744000,89380000,118217000,114178000,109652000,126689000,108001000,84779000,90278000,83011000,115425000,140120000,140548000,163406000,170210000,161767000,250146000,167187000,203664000,219772000,199714000,248056000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156671000,159128000,167470000,158347000,164728000,181238000,195585000,204746000,221998000,255629000,278113000,290778000,278702000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,12700000,6100000,-1700000,-3800000,-4900000,-33829000,8557000,35197000,2838000,12349000,43000,-12946000,-34624000,5134000,12787000,97791000,79444000,90848000,80399000,59184000,41433000,47118000,37835000,-9368000,-15085000,-1706000,-5398000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6542000,4789000,5404000,7792000,9986000,5810000,9135000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,-22600000,-27400000,-49800000,3400000,17800000,110900000,-233589000,294025000,48488000,2867421000,-2954783000,18120000,1937010000,-1801350000,-571182000,573258000,-27616000,4318949000,171963000,239642000,560320000,488381000,62116000,141928000,51027000,1126128000,-126432000
