,https://roic.ai/company/SCS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,Total Other Income Expenses (Gains),-175100000,30500000,20200000,24600000,- -,-21000000,-6000000,-18500000,-13200000,-6100000,10900000,8600000,-9800000,-19600000,-100000,-15100000,-4400000,-18700000,-7900000,200000,-3900000,5500000,-19700000,-11800000,-17100000,-18500000
20,Income Before Tax,51300000,347900000,337400000,296400000,303700000,-1300000,-59200000,-92000000,5000000,76400000,124600000,211400000,-8800000,-31100000,51400000,82000000,54900000,147200000,137000000,174800000,196300000,161500000,163900000,245200000,25900000,1600000
21,Income Before Tax Ratio,0.0213,0.1261,0.1230,0.0894,0.0782,-0.0004,-0.0229,-0.0392,0.0019,0.0266,0.0402,0.0618,-0.0028,-0.0136,0.0211,0.0298,0.0191,0.0492,0.0448,0.0571,0.0647,0.0529,0.0476,0.0658,0.0100,0.0006
22,Income Tax expense (Gain),23600000,130900000,124900000,115500000,110900000,-1500000,-22200000,-50600000,-6700000,27000000,17000000,78200000,2000000,-17000000,31000000,25300000,16100000,59500000,50900000,4500000,71700000,80800000,37900000,45500000,-200000,-2400000
23,Net Income,27700000,217000000,221400000,184200000,193700000,1000000,-266100000,-23200000,12700000,48900000,106900000,133200000,-11700000,-13600000,20400000,56700000,38800000,87700000,86100000,170300000,124600000,80700000,126000000,199700000,26100000,4000000
24,Net Income ratio,0.0115,0.0786,0.0807,0.0555,0.0498,0.0003,-0.1029,-0.0099,0.0049,0.0170,0.0345,0.0389,-0.0037,-0.0059,0.0084,0.0206,0.0135,0.0293,0.0281,0.0557,0.0411,0.0264,0.0366,0.0536,0.0101,0.0014
25,EPS,0.18,1.40,1.44,1.21,1.30,0.01,-1.80,-0.16,0.09,0.33,0.72,0.93,-0.09,-0.10,0.15,0.43,0.30,0.70,0.69,1.37,1.03,0.68,1.06,1.67,0.22,0.03
26,EPS Diluted,0.18,1.40,1.44,1.21,1.29,0.01,-1.80,-0.16,0.09,0.33,0.71,0.93,-0.09,-0.10,0.15,0.43,0.30,0.69,0.68,1.36,1.03,0.68,1.05,1.66,0.22,0.03
27,Weighted Average Shares Outstanding,153888889,155000000,153750000,152231405,149000000,147083333,147833333,145000000,141111111,148181818,148472222,143225806,133000000,132900000,132900000,131900000,127400000,124100000,122100000,121800000,118400000,116900000,116700000,117300000,114900000,117500000
28,Weighted Average Shares Outstanding Diluted,153888889,155523810,154070796,154891304,150155039,147600000,147833333,147800000,178000000,148500000,150563380,143225806,133000000,132900000,132900000,131900000,129100000,125400000,123700000,122800000,118900000,117100000,117100000,117900000,115200000,117800000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1050825/000106731299000170/0001067312-99-000170-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000106731200000219/0001067312-00-000219-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000104596901500393/0001045969-01-500393-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000095013102001867/0000950131-02-001867-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000095012403001835/0000950124-03-001835-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012404002098/0000950124-04-002098-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012405003045/0000950124-05-003045-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012406002403/0000950124-06-002403-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012407002299/0000950124-07-002299-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012408002069/0000950124-08-002069-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095015209004134/0000950152-09-004134-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012310038235/0000950123-10-038235-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012311038698/0000950123-11-038698-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000119312512175731/0001193125-12-175731-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082513000083/0001050825-13-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082514000092/0001050825-14-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082515000091/0001050825-15-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082516000276/0001050825-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082517000105/0001050825-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082518000069/0001050825-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082519000077/0001050825-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082520000098/0001050825-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082521000131/0001050825-21-000131-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,174000000,103100000,67500000,73700000,25300000,69400000,128900000,262200000,216600000,423800000,527200000,213900000,117600000,111100000,142200000,112100000,150400000,201800000,176500000,181900000,197100000,283100000,261300000,541000000,- -,200900000
32,Short-Term Investments,- -,- -,8600000,14900000,14200000,1800000,2200000,23000000,131600000,- -,33100000,50100000,76000000,68200000,350800000,79100000,100500000,119500000,68000000,84100000,73400000,48000000,56000000,52000000,- -,- -
33,Cash and Short-Term Investments,174000000,103100000,76100000,88600000,39500000,71200000,131100000,285200000,348200000,423800000,560300000,264000000,193600000,179300000,493000000,191200000,250900000,321300000,244500000,266000000,270500000,331100000,317300000,593000000,- -,200900000
34,Net Receivables,475100000,539200000,489300000,781600000,873600000,561700000,414300000,413700000,378100000,381900000,352600000,397000000,306500000,242500000,274900000,274400000,292000000,306800000,325600000,322700000,307600000,300300000,390300000,372400000,- -,390100000
35,Inventory,108000000,105800000,96500000,166500000,184700000,147100000,129800000,114400000,132900000,147900000,144000000,146700000,129900000,98400000,127100000,139500000,137500000,151500000,166200000,159400000,163100000,184600000,224800000,215000000,- -,326200000
36,Other Current Assets,67500000,76900000,75500000,90600000,107900000,102000000,138900000,128700000,198100000,174500000,172700000,127000000,121400000,123400000,117300000,97000000,98200000,110300000,72300000,75800000,78000000,37900000,16200000,8400000,- -,42000000
37,Total Current Assets,824600000,825000000,737400000,1127300000,1205700000,882000000,814100000,942000000,1057300000,1128100000,1229600000,934700000,751400000,643600000,1012300000,702100000,778600000,889900000,808600000,823900000,819200000,853900000,948600000,1188800000,- -,959200000
38,PP&E,644700000,671200000,739000000,939100000,933800000,896800000,774000000,713800000,606000000,524800000,477100000,478400000,433300000,415700000,345800000,346900000,353200000,377000000,389500000,411600000,408100000,435100000,455500000,664200000,- -,602600000
39,Goodwill,- -,- -,99600000,422600000,405100000,540200000,- -,210200000,210200000,211100000,213400000,216700000,181100000,183800000,174800000,176600000,121400000,108100000,107200000,106400000,106700000,138200000,240800000,233600000,- -,242800000
40,Intangible Assets,69500000,66300000,- -,- -,- -,- -,306000000,88100000,79800000,73700000,64600000,48900000,29600000,25000000,21700000,18800000,19200000,16600000,14700000,13700000,16800000,45600000,119300000,102900000,- -,85500000
41,Intangible Assets,69500000,66300000,99600000,422600000,405100000,540200000,306000000,298300000,290000000,284800000,278000000,265600000,210700000,208800000,196500000,195400000,140600000,124700000,121900000,120100000,123500000,183800000,360100000,336500000,- -,328300000
42,Investments,- -,- -,223300000,47500000,54900000,53800000,- -,- -,- -,- -,- -,- -,- -,- -,45200000,47700000,53300000,53000000,59100000,51000000,50500000,48400000,56900000,52300000,- -,53100000
43,Tax Assets,- -,- -,- -,29500000,14700000,7100000,101700000,- -,- -,- -,- -,161300000,- -,- -,- -,- -,- -,85100000,- -,- -,- -,- -,- -,- -,- -,121200000
44,Other Non-Current Assets,383300000,444700000,383200000,471600000,542800000,587600000,346400000,396300000,411300000,406800000,414700000,284400000,354600000,409100000,396700000,408900000,363900000,197000000,340500000,402000000,390700000,338000000,321300000,323600000,- -,196600000
45,Total Non-Current Assets,1097500000,1182200000,1445100000,1910300000,1951300000,2085500000,1528100000,1408400000,1307300000,1216400000,1169800000,1189700000,998600000,1033600000,984200000,998900000,911000000,836800000,911000000,984700000,972800000,1005300000,1193800000,1376600000,- -,1301800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1922100000,2007200000,2182500000,3037600000,3157000000,2967500000,2342200000,2350400000,2364600000,2344500000,2399400000,2124400000,1750000000,1677200000,1996500000,1701000000,1689600000,1726700000,1719600000,1808600000,1792000000,1859200000,2142400000,2565400000,- -,2261000000
48,Accounts Payable,105100000,117800000,102100000,219800000,254100000,163500000,145400000,161800000,175900000,189600000,222000000,246900000,174600000,159200000,195000000,191300000,198600000,212500000,215000000,209600000,216800000,223100000,241200000,244300000,- -,243600000
49,Short-Term Debt,- -,- -,- -,209000000,209700000,160100000,30000000,34400000,67600000,261800000,5100000,8200000,4900000,7400000,255000000,2000000,2000000,2600000,2000000,2000000,2000000,2000000,4000000,500000,- -,5100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,31000000,22000000,28000000,24000000,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41700000
51,Deferred Revenue,- -,- -,- -,- -,- -,73000000,- -,99000000,90000000,80000000,60000000,- -,63000000,57000000,58000000,42000000,56000000,16000000,46000000,211000000,179000000,135000000,135000000,124000000,- -,53400000
52,Other Current Liabilities,244900000,352100000,344700000,498400000,422100000,276500000,327100000,248100000,276000000,304800000,357000000,427900000,277100000,210100000,228800000,226600000,228200000,307100000,280700000,134900000,125600000,194600000,215000000,322100000,- -,265100000
53,Total Current Liabilities,350000000,469900000,446800000,927200000,885900000,673100000,502500000,543300000,609500000,836200000,644100000,683000000,519600000,433700000,736800000,461900000,484800000,538200000,543700000,557500000,523400000,554700000,595200000,690900000,- -,567200000
54,Long-Term Debt,- -,- -,- -,257800000,327500000,433600000,294200000,319600000,258100000,2200000,250000000,250500000,250800000,293400000,291300000,288900000,286400000,284400000,279600000,296600000,294600000,292200000,482900000,481400000,- -,659600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,- -,- -,- -,42400000,56200000,- -,46400000,- -,- -,- -,- -,124600000,- -,- -
57,Other Non-Current Liabilities,192100000,204900000,235700000,290400000,307100000,305300000,284900000,282200000,300400000,301200000,267400000,280000000,246800000,252500000,250000000,199200000,194200000,227000000,186100000,217600000,207500000,199000000,214500000,298100000,- -,-385200000
58,Total Non-Current Liabilities,192100000,204900000,235700000,548200000,634600000,738900000,584600000,601800000,558500000,303400000,517400000,530500000,497600000,545900000,541300000,530500000,536800000,511400000,512100000,514200000,502100000,491200000,697400000,904100000,- -,274400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257100000,- -,- -
61,Total Liabilities,542100000,674800000,682500000,1475400000,1520500000,1412000000,1087100000,1145100000,1168000000,1139600000,1161500000,1213500000,1017200000,979600000,1278100000,992400000,1021600000,1049600000,1055800000,1071700000,1025500000,1045900000,1292600000,1595000000,- -,841600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,379400000,342700000,286200000,282300000,286100000,289800000,297400000,309900000,259400000,114700000,59800000,57000000,48500000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,1354400000,977300000,1135600000,1252500000,1380300000,1320600000,1019100000,960400000,934100000,933800000,973500000,773800000,690800000,650300000,649100000,674100000,645000000,676300000,688200000,776500000,817100000,819000000,880700000,1011300000,- -,901300000
65,Other Comprehensive Income/Loss,-1101800000,-1138400000,-30000000,-66000000,-60000000,-94800000,-1553400000,-89800000,-33000000,-39000000,-1000000,17000000,-23000000,-18000000,1000000,1000000,-4000000,1000000,-29000000,-40000000,-51000000,-10000000,-47000000,-69000000,- -,-50600000
66,Other Total Stockholders Equity,1127400000,1493500000,15000000,33000000,30000000,47400000,1503300000,44900000,-1900000,200000,6000000,5400000,5200000,8300000,19800000,32400000,27000000,- -,4600000,400000,400000,4300000,16100000,28100000,- -,1500000
67,Total Stockholders Equity,1380000000,1332400000,1500000000,1562200000,1636500000,1555500000,1255100000,1205300000,1196600000,1204900000,1237900000,910900000,732800000,697600000,718400000,708600000,668000000,677100000,663800000,736900000,766500000,813300000,849800000,970400000,- -,852200000
68,Total Liabilities And Stockholders Equity,1922100000,2007200000,2182500000,3037600000,3157000000,2967500000,2342200000,2350400000,2364600000,2344500000,2399400000,2124400000,1750000000,1677200000,1996500000,1701000000,1689600000,1726700000,1719600000,1808600000,1792000000,1859200000,2142400000,2565400000,- -,1693800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567200000
70,Total Liabilities & Equity,1922100000,2007200000,2182500000,3037600000,3157000000,2967500000,2342200000,2350400000,2364600000,2344500000,2399400000,2124400000,1750000000,1677200000,1996500000,1701000000,1689600000,1726700000,1719600000,1808600000,1792000000,1859200000,2142400000,2565400000,- -,2261000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1050825/000106731299000170/0001067312-99-000170-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000106731200000219/0001067312-00-000219-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000104596901500393/0001045969-01-500393-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000095013102001867/0000950131-02-001867-index.html,https://www.sec.gov/Archives/edgar/data/1050825/000095012403001835/0000950124-03-001835-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012404002098/0000950124-04-002098-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012405003045/0000950124-05-003045-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012406002403/0000950124-06-002403-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012407002299/0000950124-07-002299-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012408002069/0000950124-08-002069-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095015209004134/0000950152-09-004134-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012310038235/0000950123-10-038235-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000095012311038698/0000950123-11-038698-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000119312512175731/0001193125-12-175731-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082513000083/0001050825-13-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082514000092/0001050825-14-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082515000091/0001050825-15-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082516000276/0001050825-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082517000105/0001050825-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082518000069/0001050825-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082519000077/0001050825-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1050825/000105082520000098/0001050825-20-000098-index.htm,undefined,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,27700000,217000000,221400000,184200000,193700000,1000000,-266100000,-23200000,12700000,48900000,106900000,133200000,-11700000,-13600000,20400000,56700000,38800000,87700000,86100000,170300000,124600000,80700000,126000000,199700000,26100000,4000000
74,Depreciation and Amortization,93400000,95300000,107000000,141800000,162500000,172400000,157000000,141400000,127600000,119400000,101400000,92400000,87300000,74200000,64400000,56400000,58300000,60000000,59900000,65700000,60300000,65900000,81600000,85600000,85200000,83200000
75,Deferred Income Tax,1800000,-4700000,-2700000,-4500000,-19000000,-16500000,-31200000,-30500000,-13700000,200000,30900000,11300000,-4800000,-18200000,11300000,13600000,-3000000,14100000,400000,-68300000,26800000,52900000,-800000,12100000,15900000,-14100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,9600000,16800000,18400000,21000000,19800000,19100000,17700000,16700000,20900000,16100000
77,Change in Working Capital,-70300000,-119500000,-64500000,-90500000,119700000,-110900000,102700000,87100000,49100000,-155900000,293600000,-333800000,-19900000,-21900000,65600000,-35300000,53600000,57900000,-86800000,1500000,29400000,3400000,54200000,144500000,32500000,-138400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70200000,44700000,-65200000,8000000,-12800000,-15700000,-43700000,700000,11900000,18500000,-66400000,7200000,120900000,-74900000
79,Inventory,31500000,2200000,9300000,-21200000,-19300000,46900000,24800000,19400000,-15800000,-17000000,5400000,7800000,3600000,33900000,-28500000,-17100000,2100000,-13100000,-27200000,6800000,-5100000,-8500000,-24000000,-6200000,27100000,-133400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50500000,-16700000,34200000,-2000000,3400000,12700000,12600000,-4100000,9500000,-700000,8500000,10800000,-69000000,62900000
81,Other Working Capital,474600000,355100000,290600000,200100000,319800000,208900000,311600000,398700000,447800000,291900000,585500000,251700000,231800000,209900000,275500000,240200000,293800000,351700000,264900000,266400000,295800000,299200000,353400000,497900000,530400000,392000000
82,Other Non-Cash Items,28200000,145300000,46500000,74700000,-247100000,248600000,79400000,-86900000,-61000000,162900000,-252300000,346600000,52800000,-31400000,-89000000,-1300000,30000000,-57700000,6200000,-3800000,-90200000,5000000,-147500000,-97800000,-115800000,-53400000
