,https://roic.ai/company/CVX,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/93410/000009341095000012/0000093410-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93410/000095014903000567/f87939e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/f04196e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014906000076/f16935e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014907000074/f27542e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095013408003672/f37829e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/0000891618-09-000054-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012310016846/0000950123-10-016846-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012311017688/f56670e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/0000950123-12-002976-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341013000003/0000093410-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341015000010/cvx-123114x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/0000093410-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/0000093410-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/0000093410-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/0000093410-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1644000000,413000000,621000000,892000000,1015000000,569000000,1997000000,2328000000,2117000000,2957000000,4266000000,9291000000,10043000000,10493000000,7362000000,9347000000,8716000000,14060000000,15864000000,20939000000,16245000000,12785000000,11022000000,6988000000,4813000000,9342000000,5686000000,5596000000,5640000000
32,Short-Term Investments,- -,372000000,893000000,773000000,745000000,655000000,844000000,971000000,913000000,1033000000,824000000,1001000000,1451000000,1101000000,953000000,732000000,213000000,106000000,155000000,249000000,974000000,271000000,430000000,310000000,13000000,9000000,1003000000,63000000,31000000,35000000
33,Cash and Short-Term Investments,- -,2016000000,1306000000,1394000000,1637000000,1670000000,1413000000,2968000000,3241000000,3150000000,3781000000,5267000000,10742000000,11144000000,11446000000,8094000000,9560000000,8822000000,14215000000,16113000000,21913000000,16516000000,13215000000,11332000000,7001000000,4822000000,10345000000,5749000000,5627000000,5675000000
34,Net Receivables,- -,3808000000,3923000000,4014000000,4035000000,3374000000,2813000000,9205000000,10763000000,8279000000,9385000000,9722000000,12429000000,17184000000,17628000000,22446000000,15856000000,17703000000,20759000000,21793000000,20997000000,21622000000,16736000000,12860000000,14092000000,15353000000,15050000000,13325000000,11471000000,18419000000
35,Inventory,- -,1801000000,1710000000,1598000000,1431000000,1378000000,1455000000,3207000000,2654000000,2948000000,2763000000,2648000000,2983000000,4121000000,4656000000,5310000000,6854000000,5529000000,5493000000,5543000000,6144000000,6380000000,6505000000,6334000000,5419000000,5585000000,5704000000,5848000000,5676000000,6305000000
36,Other Current Assets,- -,1057000000,652000000,861000000,839000000,584000000,616000000,1663000000,1255000000,3950000000,1847000000,1789000000,2349000000,1887000000,2574000000,3527000000,4200000000,5162000000,8374000000,9785000000,6666000000,5732000000,5776000000,4821000000,3107000000,2800000000,2922000000,3407000000,3304000000,3339000000
37,Total Current Assets,- -,8682000000,7591000000,7867000000,7942000000,7006000000,6297000000,17043000000,17913000000,18327000000,17776000000,19426000000,28503000000,34336000000,36304000000,39377000000,36470000000,37216000000,48841000000,53234000000,55720000000,50250000000,42232000000,35347000000,29619000000,28560000000,34021000000,28329000000,26078000000,33738000000
38,PP&E,- -,21865000000,22173000000,21696000000,21496000000,22671000000,23729000000,46487000000,44319000000,43233000000,44155000000,44538000000,44458000000,63690000000,68858000000,78610000000,91780000000,96468000000,104504000000,122608000000,141348000000,164829000000,183173000000,188396000000,182186000000,177712000000,169207000000,150494000000,156618000000,146961000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4636000000,4623000000,4637000000,4619000000,4618000000,4617000000,4642000000,4640000000,4639000000,4593000000,4588000000,4581000000,4531000000,4518000000,4463000000,4402000000,4385000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4636000000,4623000000,4637000000,4619000000,4618000000,4617000000,4642000000,4640000000,4639000000,4593000000,4588000000,4581000000,4531000000,4518000000,4463000000,4402000000,4385000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21158000000,21520000000,22868000000,23718000000,25502000000,26912000000,27110000000,30250000000,32497000000,35546000000,38688000000,39052000000,40696000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4189000000,4643000000,4767000000,5416000000,5796000000,6514000000,11850000000,15389000000,16012000000,15428000000,17506000000,20247000000,23171000000,22843000000,26162000000,28296000000,5161000000,5287000000,6122000000,7556000000,8533000000,9116000000,10662000000,13442000000,10506000000,10571000000,15454000000,13640000000,13755000000
45,Total Non-Current Assets,- -,26054000000,26816000000,26463000000,26912000000,28467000000,30243000000,58337000000,59708000000,59245000000,59583000000,62044000000,64705000000,91497000000,96324000000,109409000000,124695000000,127405000000,135928000000,156240000000,177262000000,203503000000,223794000000,230756000000,230459000000,225246000000,219842000000,209099000000,213712000000,205797000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,34736000000,34407000000,34330000000,34854000000,35473000000,36540000000,75380000000,77621000000,77572000000,77359000000,81470000000,93208000000,125833000000,132628000000,148786000000,161165000000,164621000000,184769000000,209474000000,232982000000,253753000000,266026000000,266103000000,260078000000,253806000000,253863000000,237428000000,239790000000,239535000000
48,Accounts Payable,- -,3325000000,2990000000,3294000000,3502000000,2735000000,2170000000,6812000000,7563000000,6427000000,8455000000,8675000000,10747000000,16074000000,16675000000,21756000000,16580000000,16437000000,19259000000,22147000000,22776000000,22815000000,19000000000,13516000000,13986000000,14565000000,13953000000,14103000000,10950000000,16454000000
49,Short-Term Debt,- -,3456000000,4014000000,3806000000,2706000000,1637000000,3165000000,6063000000,3094000000,8429000000,5358000000,1703000000,816000000,739000000,2159000000,1162000000,2818000000,384000000,187000000,340000000,127000000,374000000,3790000000,4928000000,10840000000,5192000000,5726000000,3282000000,1548000000,256000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4015000000,4242000000,5826000000,5571000000,4427000000,3808000000,3187000000,2077000000,2713000000,2565000000,2556000000,1873000000,3109000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3825000000,2388000000,2345000000,2699000000,2574000000,1831000000,4808000000,6004000000,5798000000,6063000000,5733000000,7232000000,8198000000,9575000000,10880000000,12625000000,9390000000,9566000000,11113000000,11309000000,9829000000,9136000000,8020000000,6959000000,7980000000,7492000000,9145000000,9685000000,10081000000
53,Total Current Liabilities,- -,10606000000,9392000000,9445000000,8907000000,6946000000,7166000000,17683000000,16661000000,20654000000,19876000000,16111000000,18795000000,25011000000,28409000000,33798000000,32023000000,26211000000,29012000000,33600000000,34212000000,33018000000,31926000000,26464000000,31785000000,27737000000,27171000000,26530000000,22183000000,26791000000
54,Long-Term Debt,- -,4082000000,4128000000,4133000000,3650000000,4139000000,4128000000,12787000000,12494000000,8704000000,10911000000,10894000000,10456000000,12131000000,7679000000,6070000000,6083000000,10130000000,11289000000,9812000000,12065000000,20057000000,24028000000,33664000000,35286000000,33571000000,28733000000,23691000000,42767000000,31113000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21502000000,22982000000,23549000000,23465000000,21553000000,21106000000,19742000000,20445000000,20328000000,20778000000
56,Deferred Tax Liabilities,- -,2916000000,2674000000,2433000000,2851000000,3215000000,3645000000,6712000000,6687000000,6132000000,5619000000,6417000000,7268000000,11262000000,11647000000,12170000000,11539000000,11521000000,12697000000,15544000000,17672000000,21301000000,21920000000,20689000000,17516000000,14652000000,15921000000,13688000000,12569000000,14665000000
57,Other Non-Current Liabilities,- -,3135000000,3617000000,3964000000,3823000000,3701000000,4567000000,7674000000,7664000000,7841000000,9046000000,11485000000,11287000000,14553000000,15749000000,19456000000,24403000000,24198000000,25960000000,28337000000,9699000000,5968000000,8412000000,7935000000,7216000000,7421000000,6654000000,7866000000,9217000000,6248000000
58,Total Non-Current Liabilities,- -,10133000000,10419000000,10530000000,10324000000,11055000000,12340000000,27173000000,26845000000,22677000000,25576000000,28796000000,29011000000,37946000000,35075000000,37696000000,42025000000,45849000000,49946000000,53693000000,60938000000,70308000000,77909000000,85753000000,81571000000,76750000000,71050000000,65690000000,84881000000,72804000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000000,243000000,239000000,324000000,274000000,406000000,341000000,301000000,286000000,128000000,99000000,97000000,68000000,80000000,93000000,94000000,- -,282000000,447000000,449000000
61,Total Liabilities,- -,20739000000,19811000000,19975000000,19231000000,18001000000,19506000000,44856000000,43506000000,43331000000,45452000000,44907000000,47806000000,62957000000,63484000000,71494000000,74048000000,72060000000,78958000000,87293000000,95150000000,103326000000,109835000000,112217000000,113356000000,104487000000,98221000000,92220000000,107064000000,99595000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1069000000,1069000000,1069000000,1069000000,1069000000,1069000000,1724000000,862000000,853000000,853000000,853000000,1706000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000,1832000000
64,Retained Earnings,- -,13955000000,14457000000,14146000000,15408000000,17185000000,16942000000,27148000000,32206000000,32767000000,30942000000,35315000000,45414000000,55738000000,68464000000,82329000000,101102000000,106289000000,119641000000,140399000000,159730000000,173677000000,184987000000,181578000000,173046000000,174106000000,180987000000,174945000000,160377000000,165546000000
65,Other Comprehensive Income/Loss,- -,-22942000000,-24637000000,-26335000000,-25440000000,-26562000000,-27608000000,-54504000000,-51249000000,-56710000000,-1650000000,-1411000000,-926000000,-918000000,-3092000000,-2470000000,-4358000000,-4321000000,-4466000000,-6022000000,-6651000000,-3819000000,-5099000000,-4531000000,-4083000000,-3829000000,-3784000000,-5230000000,-5852000000,-4129000000
66,Other Total Stockholders Equity,- -,21915000000,23707000000,25475000000,24586000000,25780000000,26631000000,56156000000,52296000000,57331000000,1459000000,- -,-964000000,6024000000,1731000000,-4603000000,-11928000000,-11886000000,-11926000000,-14827000000,-18387000000,-22577000000,-26692000000,-26163000000,-25239000000,-23985000000,-24481000000,-27334000000,-24669000000,-24182000000
67,Total Stockholders Equity,- -,13997000000,14596000000,14355000000,15623000000,17472000000,17034000000,30524000000,34115000000,34241000000,31604000000,36295000000,45230000000,62676000000,68935000000,77088000000,86648000000,91914000000,105081000000,121382000000,136524000000,149113000000,155028000000,152716000000,145556000000,148124000000,154554000000,144213000000,131688000000,139067000000
68,Total Liabilities And Stockholders Equity,- -,34736000000,34407000000,34330000000,34854000000,35473000000,36540000000,75380000000,77621000000,77572000000,77056000000,81202000000,93036000000,125633000000,132419000000,148582000000,160696000000,163974000000,184039000000,208675000000,231674000000,252439000000,264863000000,264933000000,258912000000,252611000000,252775000000,236433000000,238752000000,238662000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000000,268000000,172000000,200000000,209000000,204000000,469000000,647000000,730000000,799000000,1308000000,1314000000,1163000000,1170000000,1166000000,1195000000,1088000000,995000000,1038000000,873000000
70,Total Liabilities & Equity,- -,34736000000,34407000000,34330000000,34854000000,35473000000,36540000000,75380000000,77621000000,77572000000,77359000000,81470000000,93208000000,125833000000,132628000000,148786000000,161165000000,164621000000,184769000000,209474000000,232982000000,253753000000,266026000000,266103000000,260078000000,253806000000,253863000000,237428000000,239790000000,239535000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/93410/000009341095000012/0000093410-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93410/000095014903000567/f87939e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/f04196e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014906000076/f16935e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095014907000074/f27542e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095013408003672/f37829e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/0000891618-09-000054-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012310016846/0000950123-10-016846-index.html,https://www.sec.gov/Archives/edgar/data/93410/000095012311017688/f56670e10vk.htm,https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/0000950123-12-002976-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341013000003/0000093410-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341015000010/cvx-123114x10kdoc.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/0000093410-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/0000093410-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/0000093410-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/0000093410-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1569000000,1265000000,1693000000,930000000,2607000000,3256000000,1339000000,3249000000,7727000000,3288000000,1132000000,7230000000,13328000000,14099000000,17138000000,18688000000,23931000000,10563000000,19136000000,27008000000,26336000000,21597000000,19310000000,4710000000,-431000000,9269000000,14860000000,2845000000,-5561000000,15689000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,4934000000,5321000000,7059000000,5231000000,5384000000,4935000000,5913000000,7506000000,8708000000,9528000000,- -,- -,- -,13413000000,14186000000,16793000000,21037000000,19457000000,19349000000,19419000000,29218000000,19508000000,17925000000
75,Deferred Income Tax,- -,- -,- -,-258000000,359000000,622000000,266000000,23000000,521000000,-768000000,-81000000,164000000,-224000000,1393000000,614000000,261000000,598000000,- -,- -,- -,2015000000,1876000000,1572000000,-1861000000,-3835000000,-3203000000,1050000000,-1966000000,-3604000000,700000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,82000000,463000000,-1773000000,40000000,641000000,-288000000,-809000000,266000000,91000000,643000000,1125000000,162000000,430000000,477000000,376000000,73000000,-1918000000,-2358000000,112000000,2509000000,363000000,-1331000000,-540000000,-1979000000,-550000000,476000000,-718000000,1494000000,-1652000000,-1361000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,292000000,288000000,-57000000,-162000000,60000000,-11000000,- -,32000000,120000000,-294000000,185000000,115000000,-298000000,- -,-536000000,-749000000,-1545000000,1213000000,15000000,-404000000,-233000000,-237000000,-146000000,85000000,603000000,-267000000,-424000000,7000000,284000000,-530000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000000,160000000,-3737000000,-5769000000,533000000,875000000,-494000000,-109000000,-3576000000,5475000000
81,Other Working Capital,- -,- -,- -,-16000000,167000000,-90000000,- -,- -,- -,- -,- -,- -,- -,- -,-668000000,-612000000,-245000000,201000000,48000000,341000000,878000000,-138000000,254000000,-34000000,104000000,-567000000,418000000,433000000,48000000,- -
82,Other Non-Cash Items,2263000000,2493000000,2976000000,3363000000,2190000000,993000000,2935000000,-701000000,-193000000,1235000000,2534000000,-625000000,-3779000000,-1777000000,-1311000000,-2753000000,-2507000000,11168000000,12111000000,11581000000,-3315000000,-1326000000,-5660000000,-2451000000,-1795000000,-5376000000,-3993000000,-4277000000,1886000000,-3766000000
83,Cash Provided by Operating Activities,3914000000,4221000000,2896000000,4075000000,5797000000,4583000000,3731000000,7771000000,13467000000,11457000000,9941000000,12315000000,14690000000,20105000000,24323000000,24977000000,29632000000,19373000000,31359000000,41098000000,38812000000,35002000000,31475000000,19456000000,12846000000,20515000000,30618000000,27314000000,10577000000,29187000000
84,CAPEX,-3352000000,-3323000000,-3405000000,-3529000000,-3424000000,-3899000000,-3880000000,-7895000000,-7629000000,-9713000000,-7597000000,-5625000000,-6310000000,-8701000000,-13813000000,-16678000000,-19666000000,-19843000000,-19612000000,-26500000000,-30938000000,-37985000000,-35407000000,-29504000000,-18109000000,-13404000000,-13792000000,-14116000000,-8922000000,-8056000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5934000000,- -,- -,- -,- -,- -,-3009000000,- -,- -,- -,- -,- -,- -,392000000,142000000,450000000,439000000
