,https://roic.ai/company/RH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
31,Cash and Cash Equivalents,8201000,4627000,2610000,22285000,1630000,2003000,1904000,1990000,1461000,1229000,- -,13186000,13364000,8511000,8400000,13400000,148934000,331467000,87023000,17907000,5803000,47658000,100446000,2177889000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62168000,130801000,142677000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8201000,4627000,2610000,22285000,1630000,2003000,1904000,1990000,1461000,1229000,- -,13186000,13364000,8511000,8400000,13400000,211102000,462268000,229700000,17907000,5803000,47658000,100446000,2177889000
34,Net Receivables,5176000,6551000,8069000,3278000,3352000,5745000,6945000,5884000,7164000,8399000,- -,4539000,4462000,11759000,17000000,22000000,25965000,28567000,47315000,31412000,95086000,49176000,73043000,57914000
35,Inventory,65398000,85902000,81123000,62070000,94500000,102926000,144185000,158647000,192805000,200386000,- -,149026000,206406000,245876000,353300000,453800000,559297000,725392000,752304000,527026000,531947000,438696000,544227000,734289000
36,Other Current Assets,5873000,7608000,7954000,13800000,12445000,16968000,19574000,9590000,18984000,18500000,- -,18778000,20361000,56731000,114100000,124600000,115880000,79020000,108938000,68585000,71131000,61422000,83768000,121350000
37,Total Current Assets,84648000,104688000,99756000,101433000,111927000,127642000,172608000,176111000,220414000,228514000,- -,185529000,244593000,322877000,492800000,613800000,912244000,1295247000,1138257000,644930000,703967000,596952000,801484000,3091442000
38,PP&E,72680000,108706000,117186000,87934000,90038000,83518000,81886000,92360000,87961000,110271000,- -,62192000,76450000,83558000,111400000,214900000,390844000,515605000,682056000,800698000,1393461000,1378503000,1668893000,1778965000
39,Goodwill,4512000,4910000,4776000,4560000,4560000,4560000,4560000,4560000,4560000,- -,- -,122493000,122603000,122595000,122600000,122400000,124424000,124301000,173603000,141893000,124379000,124367000,141100000,141100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59822000,55893000,52526000,50100000,48700000,48554000,48536000,100757000,100702000,86022000,86022000,71663000,73161000
41,Intangible Assets,4512000,4910000,4776000,4560000,4560000,4560000,4560000,4560000,4560000,- -,- -,182315000,178496000,175121000,172700000,171100000,172978000,172837000,274360000,242595000,210401000,210389000,212763000,214261000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18338000,22054000,33212000,- -,- -,- -,100603000,100810000
43,Tax Assets,- -,- -,- -,- -,- -,15138000,18745000,- -,1911000,2311000,- -,- -,- -,- -,- -,- -,8689000,- -,- -,- -,- -,- -,49924000,56843000
44,Other Non-Current Assets,2405000,4057000,7217000,12817000,19703000,1422000,1464000,1237000,1521000,1450000,- -,1492000,2452000,5253000,12700000,25300000,22906000,62201000,64635000,44643000,115189000,259850000,64646000,298149000
45,Total Non-Current Assets,79597000,117673000,129179000,105311000,114301000,104638000,106655000,98157000,95953000,114032000,- -,245999000,257398000,263932000,296800000,411300000,613755000,772697000,1054263000,1087936000,1719051000,1848742000,2096829000,2449028000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,164245000,222361000,228935000,206744000,226228000,232280000,279263000,274268000,316367000,342546000,- -,431528000,501991000,586809000,789600000,1025100000,1525999000,2067944000,2192520000,1732866000,2423018000,2445694000,2898313000,5540470000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47440000,81600000,116300000,133063000,156594000,134720000,195313000,183039000,180714000,224906000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,108942000,73834000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73245000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11498000,14001000,25419000,41643000,48927000,96554000,106769000,145918000,149404000,152595000,162433000,299814000,387933000
52,Other Current Liabilities,50231000,55669000,62120000,51454000,50841000,74247000,120817000,88628000,110588000,126004000,- -,105731000,115726000,89115000,96157000,152173000,114812000,170762000,135531000,174618000,656952000,586765000,287970000,601991000
53,Total Current Liabilities,50231000,55669000,62120000,51454000,50841000,74247000,120817000,88628000,110588000,126004000,- -,117229000,129727000,161974000,219400000,317400000,344429000,434125000,416169000,519335000,992586000,982912000,921632000,1063758000
54,Long-Term Debt,458000,37791000,33740000,3236000,14053000,352000,143000,58177000,68384000,- -,- -,57442000,111837000,122300000,82500000,121700000,303673000,691246000,777991000,1141907000,1017794000,1024422000,1513227000,549902000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9357000,18130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18280000,17853000,22153000,37006000,145000,- -,36739000,28466000,- -,- -,- -,4461000,- -
57,Other Non-Current Liabilities,29801000,46019000,52731000,63910000,66600000,56995000,59017000,47331000,45287000,172712000,- -,8141000,8640000,29920000,-906000,40555000,174981000,19674000,50025000,78960000,451328000,419709000,11967000,2756533000
58,Total Non-Current Liabilities,30259000,83810000,86471000,67146000,80653000,57347000,59160000,105508000,113671000,172712000,- -,93220000,156460000,174373000,118600000,162400000,478654000,747659000,856482000,1220867000,1469122000,1444131000,1529655000,3306435000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2925000,1807000,132512000,154202000,210257000,236832000,236648000,921030000,1019845000,- -
61,Total Liabilities,80490000,139479000,148591000,118600000,131494000,131594000,179977000,194136000,224259000,298716000,- -,210449000,286187000,336347000,338000000,479800000,823083000,1181784000,1272651000,1740202000,2461708000,2427043000,2451287000,4370193000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,92169000,94318000,94901000,143059000,150881000,3000,3000,4000,4000,4000,- -,- -,- -,- -,- -,- -,4000,4000,4000,2000,2000,2000,2000,2000
64,Retained Earnings,-8414000,-11462000,-14553000,-52706000,-55356000,-58297000,-60762000,-90069000,-86817000,-139662000,- -,-56235000,-64309000,-42698000,-55500000,-37300000,53710000,144813000,150214000,152394000,-392538000,-409253000,-137438000,551108000
