,https://roic.ai/company/ATRC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,4827615,772778,850653,569153,287653,89375,44791,32000,10299000,8878000,53775000,52131000,50764000,49254000,129881000,128199000,42992000
41,Intangible Assets,- -,- -,- -,- -,4827615,4613615,7613912,7381542,287653,89375,44791,32000,45685000,44264000,159032000,157388000,156021000,154511000,364662000,362980000,277773000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7914000,8894000,7706000,3000000,- -,- -,12675000,14178000,104338000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,424623,205531,183486,129001,6201359,334756,254707,270613,430000,218000,186000,323000,321000,676000,495000,705000,440000,955000
45,Total Non-Current Assets,- -,- -,- -,2834674,8392695,8440170,12208973,17265720,3631108,3067309,2666164,3892000,59460000,64896000,198340000,190704000,185446000,182086000,414720000,407802000,419236000
46,Other Assets,2051000,17586000,14759000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2051000,17586000,14759000,12730620,50040415,39128065,46071496,43368832,34982336,33715714,33858890,32431000,111947000,158404000,273092000,276421000,267704000,356759000,557880000,714539000,615312000
48,Accounts Payable,- -,- -,- -,733444,1243365,1929983,4651201,5150033,3599943,4511516,5270084,5103000,8605000,7621000,12744000,10673000,12431000,9659000,14948000,12736000,18597000
49,Short-Term Debt,- -,- -,- -,- -,397960,391460,825146,34004,2227431,2193356,1542848,2029000,2038000,3981000,450000,1688000,561000,4717000,2218000,8417000,1756000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449243,366000,1453000,1272000,912000,1289000,634000,886000,1658000,1256000,1452000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,2572329,4131633,5335441,3762455,2922563,5979176,6330405,3995880,5073000,16070000,14041000,18394000,16467000,18911000,25840000,32750000,27984000,36092000
53,Total Current Liabilities,- -,- -,- -,3305773,5772958,7656884,9238802,8106600,11806550,13035277,10808812,12205000,26713000,25643000,31588000,28828000,31903000,40216000,49916000,49137000,56445000
54,Long-Term Debt,- -,- -,- -,- -,1045150,692544,282475,6036605,2669666,661624,4925775,6407000,4412000,74000,- -,23886000,24100000,35571000,59634000,53435000,73891000
