,https://roic.ai/company/DCI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,35800000,28900000,7300000,6200000,38400000,35100000,31100000,32100000,22900000,28600000,30900000,14300000,16100000,41900000,24149000,36136000,45586000,67070000,99504000,134066000,45467000,55237000,83357000,143687000,232000000,273494000,318151000,323888000,423619000,217368000,243200000,308400000,204700000,177800000,236600000,222800000
34,Net Receivables,54600000,57400000,66000000,70900000,76400000,83900000,99100000,103300000,122200000,137200000,137100000,161400000,161900000,178400000,202361000,230046000,251417000,226815000,274120000,294016000,312214000,357341000,413863000,280187000,358917000,445700000,438796000,430766000,474157000,460027000,452400000,497700000,534600000,529500000,455300000,552700000
35,Inventory,25700000,29300000,44400000,46100000,44900000,38400000,46000000,48900000,60200000,73400000,72000000,85900000,102000000,82100000,119363000,112634000,117691000,114890000,143418000,151599000,153165000,201221000,264129000,180238000,203631000,271476000,256116000,234820000,253351000,264955000,234100000,293500000,334100000,332800000,322700000,384500000
36,Other Current Assets,9500000,12800000,4900000,7600000,8800000,12000000,11200000,11700000,15000000,8700000,10800000,7200000,7300000,9100000,29606000,28411000,41790000,45930000,40338000,39141000,50559000,59845000,92408000,72655000,65667000,75912000,72599000,66188000,74150000,88366000,80000000,51400000,52300000,82500000,82100000,84000000
37,Total Current Assets,125600000,128400000,122600000,130800000,168500000,169400000,187400000,196000000,220300000,247900000,250800000,268800000,287300000,311500000,375479000,407227000,456484000,454705000,557380000,618822000,561405000,673644000,853757000,676767000,860215000,1066582000,1085662000,1055662000,1225277000,1030716000,1009700000,1151000000,1125700000,1122600000,1096700000,1244000000
38,PP&E,54400000,62600000,62200000,61900000,68300000,72900000,84900000,90500000,99600000,110600000,124900000,154600000,178900000,182200000,204545000,207658000,240913000,255436000,261529000,275493000,317364000,364433000,415159000,381068000,365892000,391502000,384909000,419280000,451665000,470611000,469800000,484600000,509300000,588900000,705300000,617800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110609000,124607000,134162000,169027000,165315000,171741000,162949000,165568000,166406000,223732000,229300000,238100000,238400000,303100000,316800000,322500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61658000,103681000,109331000,115701000,128470000,22129000,46301000,46317000,65386000,58292000,53496000,46200000,41307000,36045000,37870000,38500000,40600000,35600000,70900000,67300000,61600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61658000,103681000,109331000,115701000,128470000,132738000,170908000,180479000,234413000,223607000,225237000,209149000,206875000,202451000,261602000,267800000,278700000,274000000,374000000,384100000,384100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268009000,259511000,- -,- -,- -,- -,30300000,19200000,14200000,16800000,- -
44,Other Non-Current Assets,11300000,9800000,8700000,12100000,9100000,10900000,14000000,13700000,17500000,22500000,27200000,31000000,33100000,34700000,89633000,30287000,49053000,62525000,66999000,88988000,112560000,110032000,99227000,41748000,49792000,-225237000,-209149000,61739000,63018000,46605000,41300000,35100000,48400000,42900000,41700000,154300000
45,Total Non-Current Assets,65700000,72400000,70900000,74000000,77400000,83800000,98900000,104200000,117100000,133100000,152100000,185600000,212000000,216900000,294178000,299603000,393647000,427292000,444229000,492951000,562662000,645373000,694865000,657229000,639291000,659511000,644420000,687894000,717134000,778818000,778900000,828700000,850900000,1020000000,1147900000,1156200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,191300000,200800000,193500000,204800000,245900000,253200000,286300000,300200000,337400000,381000000,402900000,454400000,499300000,528400000,669657000,706830000,850131000,881997000,1001609000,1111773000,1124067000,1319017000,1548622000,1333996000,1499506000,1726093000,1730082000,1743556000,1942411000,1809534000,1788600000,1979700000,1976600000,2142600000,2244600000,2400200000
48,Accounts Payable,- -,- -,- -,- -,30300000,32300000,40200000,38200000,44500000,53600000,62000000,68300000,59300000,63400000,82320000,100287000,115299000,122759000,124401000,134063000,163783000,173862000,200967000,123063000,165907000,215918000,199182000,186460000,216603000,179174000,143300000,194000000,201300000,237500000,187700000,293900000
49,Short-Term Debt,4600000,4300000,3900000,8600000,11400000,6400000,11400000,7600000,17000000,20800000,13100000,42700000,45900000,20700000,85313000,59416000,60394000,14798000,54082000,109776000,79909000,156781000,145073000,35054000,55536000,61000000,97493000,107854000,187041000,189169000,216700000,73900000,43500000,52300000,35200000,66600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,45900000,40300000,48300000,49400000,38200000,38800000,38400000,47900000,54300000,49300000,63500000,65300000,62300000,67000000,68089000,57576000,97097000,76519000,97041000,110363000,116177000,128301000,170667000,141967000,167813000,219326000,201848000,182121000,205936000,192304000,183800000,216200000,224600000,193100000,183900000,246100000
53,Total Current Liabilities,50500000,44600000,52200000,58000000,79900000,77500000,90000000,93700000,115800000,123700000,138600000,176300000,167500000,151100000,235722000,217279000,272790000,214076000,275524000,354202000,359869000,458944000,516707000,300084000,389256000,496244000,498523000,476435000,609580000,560647000,543800000,484100000,469400000,482900000,406800000,606600000
54,Long-Term Debt,16700000,35400000,33800000,30800000,28300000,25700000,23500000,18900000,16000000,10200000,10000000,4200000,50300000,86700000,92645000,99259000,105019000,105156000,70856000,103302000,100495000,129004000,176475000,253674000,256192000,205748000,203483000,102774000,243726000,389218000,351800000,537300000,499600000,584400000,665500000,461000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,800000,2100000,2200000,5200000,600000,1400000,1600000,1200000,- -,9189000,13376000,21316000,25981000,29468000,40890000,37624000,35738000,9416000,7076000,11196000,4611000,23604000,22386000,12493000,3100000,3600000,4200000,13200000,16700000,26600000
57,Other Non-Current Liabilities,10500000,10300000,10200000,8500000,8900000,11100000,11700000,11500000,13700000,20700000,24800000,28600000,24200000,26600000,61125000,62010000,76325000,94056000,79955000,100185000,76011000,68747000,79667000,82204000,100349000,78194000,113451000,55556000,64236000,68525000,118500000,100200000,145600000,169400000,162700000,168900000
58,Total Non-Current Liabilities,27200000,45700000,44000000,39300000,37200000,36800000,36000000,32500000,31900000,36100000,35400000,34200000,76100000,114500000,153770000,170458000,194720000,220528000,176792000,232955000,217396000,235375000,291880000,345294000,363617000,295138000,321545000,181934000,330348000,470236000,473400000,641100000,649400000,767000000,844900000,656500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5496000,5536000,- -,- -,- -,- -,- -,- -,- -,- -,- -,73800000,18100000
