,https://roic.ai/company/DCI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710194000152/0000897101-94-000152-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710195000394/0000897101-95-000394-index.html,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710197001109/0000897101-97-001109-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710198001038/0000897101-98-001038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710102000744/0000897101-02-000744-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710103001226/0000897101-03-001226-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710104002072/0000897101-04-002072-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710105002127/0000897101-05-002127-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710106002011/0000897101-06-002011-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710107002019/0000897101-07-002019-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710108001967/0000897101-08-001967-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710109001930/0000897101-09-001930-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710110001864/0000897101-10-001864-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710111001630/0000897101-11-001630-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710112001641/0000897101-12-001641-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710113001411/0000897101-13-001411-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710114001376/0000897101-14-001376-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710115001507/0000897101-15-001507-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000162828016019746/0001628280-16-019746-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964417000019/0000029644-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964418000024/0000029644-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964419000023/0000029644-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964420000046/0000029644-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964421000029/0000029644-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,21000000,24000000,25800000,28200000,34100000,38500000,43400000,50600000,57100000,62400000,70233000,75548000,86883000,95314000,106317000,110554000,132307000,150717000,171953000,131907000,166163000,225291000,264301000,247377000,260224000,208111000,190800000,232800000,180300000,267200000,257000000,286900000
74,Depreciation and Amortization,- -,- -,- -,- -,10900000,12200000,14000000,14800000,16400000,20500000,21700000,21500000,25300000,27700000,34326000,38577000,31751000,37557000,41555000,44284000,44700000,49566000,56732000,58597000,59232000,60491000,61165000,64290000,67163000,74298000,74900000,75200000,76700000,81100000,87600000,95300000
75,Deferred Income Tax,- -,- -,- -,- -,-1600000,-2200000,-400000,700000,-2800000,-200000,-5700000,1000000,4200000,500000,-449000,7093000,-5266000,637000,-1598000,2957000,6868000,-4628000,-5012000,-4726000,3025000,1957000,6344000,8347000,-7762000,-5611000,-3300000,-10600000,7000000,10200000,2700000,-5900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,8253000,9234000,10553000,9148000,11640000,10694000,7300000,9100000,16700000,15000000,15200000,14200000
77,Change in Working Capital,- -,- -,- -,- -,16400000,3300000,5500000,4900000,2200000,19700000,-12000000,-19700000,27300000,40600000,-20643000,50191000,-6254000,56935000,41227000,-17236000,-63084000,13164000,122350000,39633000,94276000,99379000,16801000,-7912000,36470000,-145628000,-4169000,201000000,-10600000,-16600000,50200000,-6100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116983000,-79308000,-62274000,-17877000,3705000,-44851000,-20641000,8500000,-31800000,-41700000,1400000,77100000,-92700000
79,Inventory,- -,- -,- -,- -,2300000,6100000,-3400000,-4300000,-10000000,-9800000,-2000000,-14500000,-20000000,21400000,-26227000,2816000,13608000,5795000,-20734000,-6745000,587000,-36469000,-49400000,66145000,-25826000,-52999000,-4149000,20142000,-19273000,-26232000,29100000,-42400000,-43800000,-5500000,11900000,-56300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78738000,85988000,81571000,-6205000,-34852000,59686000,-17175000,-30700000,65500000,6500000,-3100000,-74000000,151800000
81,Other Working Capital,- -,- -,- -,- -,88600000,91900000,97400000,102300000,104500000,124200000,112200000,92500000,119800000,160400000,139757000,189948000,183694000,240629000,281856000,264620000,201536000,214700000,337050000,376683000,470959000,570338000,587139000,579227000,615697000,470069000,465900000,666900000,656300000,639700000,689900000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,3000000,-3000000,-13900000,-6000000,-18500000,-25600000,29500000,1200000,-77800000,-30800000,4851000,-88610000,47198000,-43725000,-69449000,2029000,35883000,-91774000,-172489000,49616000,-127944000,-150297000,-99452000,-5327000,-49896000,70979000,20569000,-197200000,-7200000,-11100000,-25700000,17500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,49700000,34300000,31000000,42600000,31400000,52900000,76900000,54600000,36100000,100400000,88318000,82799000,154312000,146718000,118052000,142588000,156674000,117045000,173534000,276927000,203005000,246055000,259712000,315923000,317839000,212843000,286100000,310300000,262900000,345800000,387000000,401900000
84,CAPEX,- -,- -,- -,- -,-16100000,-16200000,-15500000,-15000000,-24600000,-25300000,-39300000,-47300000,-55600000,-29500000,-36417000,-38924000,-40529000,-47748000,-47738000,-54979000,-81272000,-77440000,-72152000,-46080000,-43149000,-60633000,-78139000,-94895000,-97210000,-93739000,-72900000,-65900000,-97500000,-150700000,-124400000,-59000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68349000,-1577000,-4397000,-13362000,-4560000,-40615000,-2377000,-74318000,-250000,3493000,- -,- -,- -,-105636000,-12900000,-32200000,500000,-96000000,-6500000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74318000,-250000,- -,-99298000,-99339000,-108793000,-27039000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97365000,81486000,114514000,28000000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,-300000,-6600000,-3400000,-2900000,-3900000,-1500000,-19900000,1700000,-300000,-88220000,- -,- -,14455000,4708000,4781000,3688000,857000,1330000,74829000,740000,782000,969000,558000,395000,172000,2200000,2400000,1600000,300000,2000000,700000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16300000,-16500000,-22100000,-18400000,-27500000,-29200000,-40800000,-67200000,-53900000,-29800000,-124637000,-38924000,-108878000,-34870000,-47427000,-63560000,-82144000,-117198000,-73199000,-119887000,-42909000,-56358000,-176468000,-96311000,-124122000,-111728000,-55600000,-95700000,-95400000,-246400000,-128900000,-58300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111440000,-5508000,-13353000,-46205000,-1353000,-81898000,-4161000,-1400000,-81700000,-272400000,-45900000,-281000000,-184200000
91,Common Stock Issued,- -,- -,- -,- -,500000,800000,400000,- -,- -,3200000,100000,1800000,2600000,1600000,326000,525000,- -,1083000,3298000,2703000,4774000,7346000,9308000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-13500000,-9700000,-13100000,-17600000,-14700000,-23100000,-24900000,-33300000,-44500000,-35923000,-10297000,-22605000,-24874000,-29765000,-116268000,-118909000,-76898000,-92202000,-32773000,-66696000,-108929000,-130233000,-102572000,-279395000,-256267000,-84300000,-140400000,-122000000,-129200000,-94300000,-142200000
93,Dividends Paid,- -,- -,- -,- -,-3800000,-4200000,-5200000,-5700000,-6700000,-7400000,-7700000,-8800000,-9600000,-10800000,-12384000,-13092000,-13713000,-15263000,-17779000,-19757000,-26443000,-28806000,-33003000,-35166000,-36242000,-41013000,-47684000,-60320000,-83070000,-91220000,-91200000,-92400000,-94700000,-99700000,-106400000,-107200000
94,Other Financing Activites,- -,- -,- -,- -,1300000,-5700000,200000,-5400000,7900000,-1600000,-6200000,23700000,53600000,10000000,67558000,-16091000,4528000,-53189000,3322000,87973000,-23920000,106198000,38879000,87610000,38922000,-4057000,120722000,-59723000,323562000,172614000,1900000,156800000,220300000,151500000,282200000,70300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2000000,-22600000,-14300000,-24200000,-16400000,-20500000,-36900000,-8200000,13300000,-43700000,19577000,-38955000,-31790000,-92243000,-40924000,-45349000,-164498000,7840000,-77018000,-91769000,-69524000,-167352000,-103400000,-223968000,-120801000,-179034000,-175000000,-157700000,-268800000,-123300000,-199500000,-363300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,800000,1500000,1400000,1100000,3400000,2500000,3200000,4200000,6200000,-1100000,-1053000,-801000,-4194000,1879000,2733000,883000,1369000,2083000,4803000,-4941000,-2259000,19149000,-27549000,2705000,-636000,-28601000,-2200000,8300000,-2400000,-3000000,200000,5900000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25800000,-17795000,4119000,9450000,21484000,32434000,34562000,-88599000,9770000,28120000,60330000,88313000,41494000,-47705000,-1651000,72280000,-106520000,53300000,65200000,-103700000,-26900000,58800000,-13800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,24149000,36136000,45586000,67070000,99504000,134066000,45467000,55237000,83357000,143687000,232000000,273494000,225789000,224138000,296418000,189898000,243200000,308400000,204700000,177800000,236600000,222800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6200000,38400000,35100000,31100000,32100000,22900000,28600000,30900000,14300000,16100000,41944000,32017000,36136000,45586000,67070000,99504000,134066000,45467000,55237000,83357000,143687000,232000000,273494000,225789000,224138000,296418000,189900000,243200000,308400000,204700000,177800000,236600000
100,Free Cash Flow,- -,- -,- -,- -,33600000,18100000,15500000,27600000,6800000,27600000,37600000,7300000,-19500000,70900000,51901000,43875000,113783000,98970000,70314000,87609000,75402000,39605000,101382000,230847000,159856000,185422000,181573000,221028000,220629000,119104000,213200000,244400000,165400000,195100000,262600000,342900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710194000152/0000897101-94-000152-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710195000394/0000897101-95-000394-index.html,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710197001109/0000897101-97-001109-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710198001038/0000897101-98-001038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29644/000089710102000744/0000897101-02-000744-index.html,https://www.sec.gov/Archives/edgar/data/29644/000089710103001226/0000897101-03-001226-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710104002072/0000897101-04-002072-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710105002127/0000897101-05-002127-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710106002011/0000897101-06-002011-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710107002019/0000897101-07-002019-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710108001967/0000897101-08-001967-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710109001930/0000897101-09-001930-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710110001864/0000897101-10-001864-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710111001630/0000897101-11-001630-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710112001641/0000897101-12-001641-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710113001411/0000897101-13-001411-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710114001376/0000897101-14-001376-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000089710115001507/0000897101-15-001507-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000162828016019746/0001628280-16-019746-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964417000019/0000029644-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964418000024/0000029644-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964419000023/0000029644-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964420000046/0000029644-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/29644/000002964421000029/0000029644-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
