,https://roic.ai/company/OPY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,109800000,- -,- -,- -,162906000,197677000,221997000,210950000,257800000,283377000,247190000,274954000,653921000,635204000,640010000,737956000,857754000,881072000,970383000,1009158000,920966000,952612000,1019714000,1004464000,928385000,857779000,920338000,958154000,1033379000,1198667000,1394035000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650161000,700417000,689350000,649248000,609836000,625683000,630177000,679676000,793975000,909146000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302451000,319297000,315114000,279137000,247943000,294655000,327977000,353703000,404692000,484889000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3175,0.3131,0.3137,0.3007,0.2891,0.3202,0.3423,0.3423,0.3376,0.3478
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,88260000,102059000,119785000,130064000,143600000,154881000,148838000,169810000,435160000,428247000,421052000,473350000,540200000,701389000,761797000,762698000,714431000,126177000,132575000,130182000,130054000,131181000,133142000,135650000,143786000,144484000,140589000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,88260000,102059000,119785000,130064000,143600000,154881000,148838000,169810000,435160000,428247000,421052000,473350000,540200000,701389000,761797000,762698000,714431000,126177000,132575000,130182000,130054000,131181000,133142000,135650000,143786000,144484000,140589000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126177000,132575000,130182000,130054000,131181000,133142000,135650000,143786000,144484000,140589000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776338000,832992000,819532000,779302000,741017000,758825000,765827000,823462000,938459000,1049735000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,98637000,32981000,40123000,42028000,43800000,63696000,34309000,27622000,42600000,45418000,76805000,108336000,110114000,61793000,35960000,45871000,56779000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,6400000,- -,- -,- -,21527000,16311000,20161000,21831000,21300000,33122000,14071000,8379000,14322000,19936000,39736000,62867000,56643000,38998000,21050000,25914000,38026000,35086000,26142000,17801000,17323000,19437000,28354000,46396000,45687000,15680000,9855000
14,Depreciation and Amortization,- -,- -,- -,- -,700000,- -,- -,- -,579000,955000,1357000,2905000,3500000,3472000,3974000,4864000,9518000,39948000,33223000,31346000,31063000,16532000,17444000,16772000,17289000,14355000,11286000,10567000,7915000,8074000,5657000,6871000,32821000,33293000,34119000
15,EBITDA,- -,- -,- -,- -,22000000,- -,- -,- -,56937000,71168000,68002000,46459000,75300000,108306000,49657000,27934000,74443000,98246000,114648000,174663000,215100000,19487000,73307000,111204000,70862000,46152000,80245000,53369000,31013000,14088000,54693000,98136000,153420000,217973000,268615000
