,https://roic.ai/company/WOR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,754300000,818800000,904200000,1006100000,915900000,874900000,974200000,1115700000,1285100000,1483600000,1477800000,1911700000,1624400000,1763100000,1962606000,1826100000,1744961000,2219891000,2379104000,3078884000,2897179000,2971808000,3067161000,2631267000,1943034000,2442624000,2534701000,2612244000,3126426000,3384234000,2819714000,3014108000,3581620000,3759556000,3059119000,3171429000
2,COGS,602300000,667600000,737400000,822900000,748200000,718800000,793700000,909100000,1061000000,1210500000,1217400000,1582800000,1310300000,1390400000,1558458000,1581178000,1480184000,1916990000,2003734000,2580011000,2525545000,2610176000,2711414000,2456533000,1663104000,2086467000,2201833000,2215601000,2633907000,2920701000,2367121000,2478203000,3018763000,3279601000,2615782000,2532351000
3,Gross Profit,152000000,151200000,166800000,183200000,167700000,156100000,180500000,206600000,224100000,273100000,260400000,328900000,314100000,372700000,404148000,244922000,264777000,302901000,375370000,498873000,371634000,361632000,355747000,174734000,279930000,356157000,332868000,396643000,492519000,463533000,452593000,535905000,562857000,479955000,443337000,639078000
4,Gross Profit Ratio,0.2015,0.1847,0.1845,0.1821,0.1831,0.1784,0.1853,0.1852,0.1744,0.1841,0.1762,0.1720,0.1934,0.2114,0.2059,0.1341,0.1517,0.1364,0.1578,0.1620,0.1283,0.1217,0.1160,0.0664,0.1441,0.1458,0.1313,0.1518,0.1575,0.1370,0.1605,0.1778,0.1572,0.1277,0.1449,0.2015
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,72400000,85100000,95100000,123300000,117100000,148000000,163662000,173264000,165885000,182692000,195785000,225915000,214030000,232487000,231602000,210046000,218315000,235198000,225069000,258324000,300396000,295920000,297402000,316373000,367460000,338392000,328110000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50200000,51100000,53100000,56200000,55100000,57500000,62400000,68800000,72400000,85100000,95100000,123300000,117100000,148000000,163662000,173264000,165885000,182692000,195785000,225915000,214030000,232487000,231602000,210046000,218315000,235198000,225069000,258324000,300396000,295920000,297402000,316373000,367460000,338392000,328110000,351145000
9,Other Expenses,16500000,17600000,19000000,20400000,20800000,23800000,26900000,29200000,32400000,34100000,39200000,51400000,61500000,78500000,70997000,- -,-21223000,-5500000,- -,- -,26609000,- -,- -,- -,- -,-10436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,66700000,68700000,72100000,76600000,75900000,81300000,89300000,98000000,104800000,119200000,134300000,174700000,178600000,226500000,234659000,173264000,144662000,177192000,195785000,225915000,240639000,232487000,231602000,210046000,218315000,224762000,225069000,258324000,300396000,295920000,297402000,316373000,367460000,338392000,328110000,351145000
11,COGS and Expenses,669000000,736300000,809500000,899500000,824100000,800100000,883000000,1007100000,1165800000,1329700000,1351700000,1757500000,1488900000,1616900000,1793117000,1754442000,1624846000,2094182000,2199519000,2805926000,2766184000,2842663000,2943016000,2666579000,1881419000,2311229000,2426902000,2473925000,2934303000,3216621000,2664523000,2794576000,3386223000,3617993000,2943892000,2883496000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20734000,9534000,18756000,19497000,23918000,26671000,35800000,31670000,29796000,38675000,38063000,31616000,30346000
14,Depreciation and Amortization,16500000,17600000,19000000,20400000,20800000,23800000,26900000,29200000,32400000,34100000,39200000,51400000,61500000,78500000,70997000,70582000,68887000,69419000,67302000,57874000,59116000,61469000,63413000,64073000,64653000,61058000,55873000,66469000,79730000,85089000,84699000,86793000,103359000,95602000,92678000,87654000
15,EBITDA,96900000,95700000,109500000,122300000,106400000,93800000,114000000,134300000,168100000,220800000,187000000,201900000,228200000,182500000,221639000,126590000,79127000,187817000,194766000,346343000,271865000,227486000,209106000,-61161000,146078000,253376000,242869000,291294000,315050000,223446000,319071000,400294000,345048000,330303000,229432000,1018062000
16,EBITDA ratio,0.1285,0.1169,0.1211,0.1216,0.1162,0.1072,0.1170,0.1204,0.1308,0.1488,0.1265,0.1056,0.1405,0.1035,0.1129,0.0693,0.0453,0.0846,0.0819,0.1125,0.0938,0.0765,0.0682,-0.0232,0.0752,0.1037,0.0958,0.1115,0.1008,0.0660,0.1132,0.1328,0.0963,0.0879,0.0750,0.3210
17,Operating Income,85300000,82500000,94700000,106600000,91800000,74800000,91200000,108600000,119300000,153900000,126100000,154200000,135500000,146200000,160936000,65184000,34317000,125931000,110187000,267350000,157604000,129145000,106034000,-175296000,21963000,124356000,101610000,129142000,135753000,60557000,122052000,213121000,141610000,144764000,22489000,167473000
18,Operating Income ratio,0.1131,0.1008,0.1047,0.1060,0.1002,0.0855,0.0936,0.0973,0.0928,0.1037,0.0853,0.0807,0.0834,0.0829,0.0820,0.0357,0.0197,0.0567,0.0463,0.0868,0.0544,0.0435,0.0346,-0.0666,0.0113,0.0509,0.0401,0.0494,0.0434,0.0179,0.0433,0.0707,0.0395,0.0385,0.0074,0.0528
19,Total Other Income Expenses (Gains),-4900000,-4400000,-4200000,-4700000,-4200000,-4800000,-4100000,-3500000,16400000,32800000,21700000,-3700000,-4900000,-13500000,-10294000,-9176000,-24077000,-7533000,17277000,21119000,55145000,36872000,39659000,29328000,56194000,58174000,75647000,72158000,81748000,52471000,94563000,84006000,67460000,61692000,88297000,750244000
20,Income Before Tax,80400000,78100000,90500000,101900000,87600000,70000000,87100000,105100000,135700000,186700000,147800000,150500000,130600000,132700000,150642000,56008000,10240000,118398000,127464000,288469000,212749000,166017000,145693000,-145968000,78157000,182530000,177257000,201300000,217501000,113028000,216615000,297127000,209070000,206456000,110786000,917717000
21,Income Before Tax Ratio,0.1066,0.0954,0.1001,0.1013,0.0956,0.0800,0.0894,0.0942,0.1056,0.1258,0.1000,0.0787,0.0804,0.0753,0.0768,0.0307,0.0059,0.0533,0.0536,0.0937,0.0734,0.0559,0.0475,-0.0555,0.0402,0.0747,0.0699,0.0771,0.0696,0.0334,0.0768,0.0986,0.0584,0.0549,0.0362,0.2894
22,Income Tax expense (Gain),38400000,36000000,34400000,37700000,32400000,25400000,31600000,38900000,50800000,70000000,56500000,57200000,48300000,49100000,56491000,20443000,3738000,43215000,40712000,109057000,66759000,52112000,38616000,-37754000,26650000,58496000,51904000,64465000,57349000,25772000,58987000,79190000,8220000,43183000,26342000,176267000
23,Net Income,42000000,42100000,56100000,64200000,53200000,44600000,55500000,66200000,84900000,116700000,91300000,93300000,118400000,54900000,94151000,35565000,6502000,75183000,86752000,179412000,145990000,113905000,107077000,-108214000,45241000,115066000,115595000,136442000,151300000,76785000,143715000,204515000,194794000,153455000,78796000,723795000
24,Net Income ratio,0.0557,0.0514,0.0620,0.0638,0.0581,0.0510,0.0570,0.0593,0.0661,0.0787,0.0618,0.0488,0.0729,0.0311,0.0480,0.0195,0.0037,0.0339,0.0365,0.0583,0.0504,0.0383,0.0349,-0.0411,0.0233,0.0471,0.0456,0.0522,0.0484,0.0227,0.0510,0.0679,0.0544,0.0408,0.0258,0.2282
25,EPS,0.45,0.45,0.61,0.70,0.59,0.50,0.63,0.74,0.94,1.29,1.01,0.96,1.22,0.59,1.06,0.42,0.08,0.88,1.01,2.05,1.65,1.32,1.32,-1.37,0.57,1.54,1.66,1.97,2.19,1.16,2.30,3.28,3.20,2.68,1.43,13.73
26,EPS Diluted,0.45,0.45,0.61,0.70,0.59,0.50,0.63,0.74,0.94,1.29,1.01,0.96,1.22,0.59,1.06,0.42,0.08,0.87,1.00,2.03,1.64,1.31,1.31,-1.37,0.57,1.53,1.65,1.91,2.11,1.12,2.22,3.15,3.09,2.61,1.41,13.42
27,Weighted Average Shares Outstanding,93333333,93555556,91967213,91714286,90169492,89200000,88095238,89459459,90378000,90730000,90812000,97187500,96751000,93016000,88411000,85590000,85408000,85785000,86312000,87646000,88288000,86351000,81232000,78903000,79127000,74803000,69651000,69301000,68944000,66309000,62469000,62443000,60923000,57196000,54958000,52701000
