,https://roic.ai/company/AIZ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,1750000000,996000000,996000000,994000000,993000000,983000000,980000000,977000000,972000000,972000000,1638000000,1171000000,1164656000,1067020000,1068200000,2006000000,2006900000,- -,2202500000
59,Other Liabilities,21024823000,20979007000,20079410000,22625832000,- -,- -,- -,- -,1966081000,- -,1954481000,- -,1944241000,3276210000,2342159000,2336038000,- -,- -,- -,- -,- -,30624300000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,21024823000,20979007000,20079410000,20875832000,20844305000,21641734000,21310391000,22640253000,20805081000,20988547000,21616481000,22088509000,23761241000,24881210000,26381159000,25519161000,25611028000,27561500000,35955400000,38609100000,2557000000,28421800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,2900000,2900000,- -
63,Common Stock,- -,- -,- -,1092000,1423000,1426000,1430000,1438000,1443000,1447000,1453000,1464000,1474000,1482000,1490000,1497000,1504000,1500000,1600000,1600000,- -,700000
64,Retained Earnings,- -,- -,- -,248721000,569605000,1006910000,1676171000,2269107000,2650371000,3054466000,3264025000,3742479000,4001096000,4415875000,4809287000,4856674000,5296678000,5697300000,5759700000,5966400000,3548000000,4066800000
65,Other Comprehensive Income/Loss,- -,- -,- -,318527000,338163000,219499000,88064000,53911000,-670946000,65925000,285524000,554867000,830403000,426830000,555767000,118549000,94602000,234000000,-155400000,411500000,709800000,-150000000
66,Other Total Stockholders Equity,3367713000,3452405000,2555059000,2063763000,2726240000,2471724000,2066932000,1764447000,1728637000,1731411000,1229535000,728126000,352393000,-10708000,-185237000,-452753000,-1294684000,-1662200000,-496800000,-729600000,1697800000,1572200000
67,Total Stockholders Equity,3367713000,3452405000,2555059000,2632103000,3635431000,3699559000,3832597000,4088903000,3709505000,4853249000,4780537000,5026936000,5185366000,4833479000,5181307000,4523967000,4098100000,4270600000,5112000000,5652800000,5951400000,5489700000
68,Total Liabilities And Stockholders Equity,24392536000,24431412000,22634469000,23507935000,24479736000,25341293000,25142988000,26729156000,24514586000,25841796000,26397018000,27115445000,28946607000,29714689000,31562466000,30043128000,29709128000,31832100000,41067400000,44261900000,8508400000,33911500000
69,Minority Interest,- -,- -,- -,220384000,24160000,-22958351000,-23089596000,-24235378000,-21680201000,-22813493000,-13109620000,-13530826000,-14295323000,-13309033000,-12824690000,-11863798000,-8354176000,-8415500000,-9592200000,29300000,9636600000,- -
70,Total Liabilities & Equity,24392536000,24431412000,22634469000,23728319000,24503896000,2382942000,2053392000,2493778000,2834385000,3028303000,13287398000,13584619000,14651284000,16405656000,18737776000,18179330000,21354952000,23416600000,31475200000,44291200000,18145000000,33911500000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1267238/000095012305003934/0000950123-05-003934-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312506051258/0001193125-06-051258-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312507044409/0001193125-07-044409-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312508044379/0001193125-08-044379-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312509040498/0001193125-09-040498-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312510040943/0001193125-10-040943-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312511043706/0001193125-11-043706-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312512075371/0001193125-12-075371-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312513067448/0001193125-13-067448-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312514057434/0001193125-14-057434-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312515054288/0001193125-15-054288-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828016011239/0001628280-16-011239-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828017001320/0001628280-17-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828018001695/0001628280-18-001695-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828019001767/0001628280-19-001767-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723820000004/0001267238-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723821000010/0001267238-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723822000006/0001267238-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1001199000,185652000,350560000,479355000,717418000,653746000,447796000,430574000,279177000,545839000,483705000,488907000,470907000,141555000,565350000,519600000,251000000,382600000,442000000,1372400000
74,Depreciation and Amortization,- -,- -,46867000,48117000,45675000,7393000,93305000,94307000,62197000,91338000,116196000,108931000,124387000,124851000,132217000,137105000,125143000,115700000,126900000,125800000,144300000,171600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3267000,- -,- -,- -,- -,- -,-4200000,20400000,89500000,191600000,131700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,24129000,30288000,34591000,36888000,37589000,50004000,49354000,38773000,41614000,35500000,57100000,55900000,57900000,66700000
77,Change in Working Capital,- -,- -,-141839000,22616034000,1200050966000,-1242026642000,8314000,-931329000,2014522000,85620000,-763042000,-355608000,-1748404000,603924000,-2000069000,646957000,-495311000,-1977132000,-6803100000,-1998200000,46219500000,-243300000
78,Accounts Receivable,- -,- -,- -,117084000,256542000,637692000,420380000,883121000,109870000,2657000,-35318000,-105171000,-911705000,233642000,-763473000,-106727000,34441000,-916100000,388700000,-460600000,-47200000,-869700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,499299000,314886000,225402000,25825000,-26804000,-20965000,-137791000,-58361000,150388000,85583000,294012000,401508000,-189898000,-77987000,17200000,3800000,127100000,172800000,38300000
81,Other Working Capital,- -,- -,- -,22616034000,1222667000000,-19359642000,-19351328000,-20282657000,-18268135000,-18182515000,-18945557000,-19301165000,-21049569000,-20445645000,-22445714000,-21798757000,-22294068000,-24271200000,-31074300000,-33072500000,13147000000,163200000
82,Other Non-Cash Items,- -,- -,1461134000,-22108575000,-1199613036000,1242560046000,103960000,1386837000,-1549509000,-367895000,873820000,515987000,1782421000,-240125000,1741407000,-709818000,-102270000,1840932000,7004400000,2757800000,-45713300000,-717400000
83,Cash Provided by Operating Activities,- -,- -,364963000,741228000,834165000,1020152000,922997000,1203561000,999135000,269925000,540742000,855304000,679698000,1027561000,393816000,254572000,134526000,530400000,656700000,1413400000,1342000000,781700000
84,CAPEX,- -,- -,-74667000,-81751000,-58409000,-55200000,-74706000,-58676000,-56068000,-55885000,-51211000,-35747000,-56457000,-52326000,-83603000,-114896000,-85233000,-62100000,-82800000,-110300000,-121200000,-187400000
85,Acquisitions Net,- -,- -,12000000,- -,3536000,- -,-47514000,-161985000,-333545000,4923000,-11560000,- -,-2136000,-273285000,-173808000,33062000,810677000,-129100000,-1050100000,-7600000,-531900000,1299000000
86,Purchases of Investments,- -,- -,-4915670000,-3523189000,-3310936000,-2895786000,-3315566000,-3812636000,-3027010000,-2191168000,-2944777000,-2834700000,-3957918000,-3843073000,-2646895000,-3158469000,-4558984000,-4335800000,-6317800000,-4341500000,-2586200000,-3202200000
87,Sales/Maturities of Investments,- -,- -,4588424000,3852763000,2713267000,2344068000,3360839000,2372278000,2894747000,2271736000,2808983000,2774441000,3561938000,3751076000,2956572000,3296726000,4281083000,3997200000,5340400000,3883600000,2445600000,2504300000
88,Other Investing Activites,- -,- -,10488000,-959048000,8817000,-61105000,-7564000,452434000,192873000,111861000,189689000,-100582000,4690000,24870000,11623000,207870000,278078000,-11400000,-92200000,-44000000,58500000,-256100000
89,Cash Used for Investing Activites,- -,- -,-379425000,-711225000,-643725000,-668023000,-84511000,-1208585000,-329003000,141467000,-8876000,-196588000,-449883000,-392738000,63889000,264293000,725621000,-541200000,-2202500000,-619800000,-735200000,157600000
90,Debt Repayment,- -,- -,- -,-724991000,-1750000000,-135000000,-304704000,-80000000,- -,- -,- -,- -,- -,-33634000,-467330000,- -,-373031000,-221100000,-941600000,-698900000,-201200000,-419800000
91,Common Stock Issued,- -,- -,- -,- -,725491000,5404000,419717000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-500000,-1250350000,-259852000,-342148000,-424451000,-316570000,-69000000,-34949000,-525706000,-538848000,-412196000,-393012000,-215183000,-292906000,-863051000,-388900000,-139300000,-271800000,-297000000,-839300000
93,Dividends Paid,- -,- -,-41876000,-181187000,-29676000,-42050000,-48157000,-55038000,-63672000,-69596000,-69618000,-67385000,-69393000,-74128000,-77495000,-94168000,-125346000,-119000000,-148000000,-170000000,-173300000,-162300000
94,Other Financing Activites,- -,- -,-1052000,2474028000,972482000,210152000,-359949000,265031000,-279462000,-38017000,-104149000,-30615000,948000,697473000,-16191000,-100053000,255235000,702300000,3066900000,961500000,406700000,331600000
95,Cash Used/Provided by Financing Activities,- -,- -,-43428000,317500000,-341555000,-303642000,-717544000,-186577000,-412134000,-142562000,-699473000,-636848000,-480641000,196699000,-776199000,-487127000,-1106193000,-26700000,1838000000,-179200000,-264800000,-1089800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,11161000,8893000,-22278000,9038000,-429000,-5671000,-6483000,-23742000,-28126000,-56231000,-16146000,2300000,-35000000,-1300000,19500000,-23300000
97,Net Change In Cash,- -,- -,-57890000,347503000,-151115000,48487000,132103000,-182708000,235720000,277868000,-168036000,16197000,-257309000,807780000,-398528000,-30351000,-256334000,-35200000,257200000,613100000,361500000,-173800000
98,Cash at the End of Period,- -,- -,610694000,958197000,807082000,855569000,987672000,804964000,1040684000,1318552000,1150516000,1166713000,909404000,1717184000,1318656000,1288305000,1031971000,996800000,1254000000,1867100000,2228600000,2054800000
99,Cash at the Beginning of Period,- -,- -,668584000,610694000,958197000,807082000,855569000,987672000,804964000,1040684000,1318552000,1150516000,1166713000,909404000,1717184000,1318656000,1288305000,1032000000,996800000,1254000000,1867100000,2228600000
100,Free Cash Flow,- -,- -,290296000,659477000,775756000,964952000,848291000,1144885000,943067000,214040000,489531000,819557000,623241000,975235000,310213000,139676000,49293000,468300000,573900000,1303100000,1220800000,594300000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1267238/000095012305003934/0000950123-05-003934-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312506051258/0001193125-06-051258-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312507044409/0001193125-07-044409-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312508044379/0001193125-08-044379-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312509040498/0001193125-09-040498-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312510040943/0001193125-10-040943-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312511043706/0001193125-11-043706-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312512075371/0001193125-12-075371-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312513067448/0001193125-13-067448-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312514057434/0001193125-14-057434-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312515054288/0001193125-15-054288-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828016011239/0001628280-16-011239-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828017001320/0001628280-17-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828018001695/0001628280-18-001695-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828019001767/0001628280-19-001767-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723820000004/0001267238-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723821000010/0001267238-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723822000006/0001267238-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
