,https://roic.ai/company/NKE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1069200000,877400000,1203400000,1710800000,2235200000,3003600000,3405200000,3931000000,3789700000,4760800000,6470600000,9186500000,9553100000,8776900000,8995100000,9488800000,9893000000,10697000000,12253100000,13739700000,14954900000,16325900000,18627000000,19176100000,19014000000,20862000000,24128000000,25313000000,27799000000,30601000000,32376000000,34350000000,36397000000,39117000000,37403000000,44538000000
2,COGS,712400000,584600000,789400000,1060100000,1367000000,1816100000,2041400000,2326600000,2236900000,2775100000,3774300000,5334700000,5832000000,5264700000,5180200000,5784900000,6004700000,6313600000,7001400000,7624300000,8367900000,9165400000,10239600000,10571700000,10213600000,11354000000,13657000000,14279000000,15353000000,16534000000,17405000000,19038000000,20441000000,21643000000,21162000000,24576000000
3,Gross Profit,356800000,292800000,414000000,650700000,868200000,1187500000,1363800000,1604400000,1552800000,1985700000,2696300000,3851800000,3721100000,3512200000,3814900000,3703900000,3888300000,4383400000,5251700000,6115400000,6587000000,7160500000,8387400000,8604400000,8800400000,9508000000,10471000000,11034000000,12446000000,14067000000,14971000000,15312000000,15956000000,17474000000,16241000000,19962000000
4,Gross Profit Ratio,0.3337,0.3337,0.3440,0.3803,0.3884,0.3954,0.4005,0.4081,0.4097,0.4171,0.4167,0.4193,0.3895,0.4002,0.4241,0.3903,0.3930,0.4098,0.4286,0.4451,0.4405,0.4386,0.4503,0.4487,0.4628,0.4558,0.4340,0.4359,0.4477,0.4597,0.4624,0.4458,0.4384,0.4467,0.4342,0.4482
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1209800000,1588600000,2303700000,2623800000,2426600000,2606400000,2689700000,2820400000,3137600000,3702000000,4221700000,4477800000,5028700000,5953700000,- -,6326400000,6693000000,7431000000,5035000000,5735000000,6679000000,7191000000,7222000000,7934000000,8949000000,9534000000,9911000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2745000000,3031000000,3213000000,3278000000,3341000000,3577000000,3753000000,3592000000,3114000000
8,"Selling, General and Administrative Exp.",209200000,204700000,246600000,354800000,454500000,664100000,761500000,922300000,974100000,1209800000,1588600000,2303700000,2623800000,2426600000,2606400000,2689700000,2820400000,3137600000,3702000000,4221700000,4477800000,5028700000,5953700000,6149600000,6326400000,6693000000,7431000000,7780000000,8766000000,9892000000,10469000000,10563000000,11511000000,12702000000,13126000000,13025000000
9,Other Expenses,10500000,12100000,14000000,14800000,17100000,34500000,47700000,60400000,64500000,90200000,132400000,168300000,233500000,228800000,223600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,219700000,216800000,260600000,369600000,471600000,698600000,809200000,982700000,1038600000,1300000000,1721000000,2472000000,2857300000,2655400000,2830000000,2689700000,2820400000,3137600000,3702000000,4221700000,4477800000,5028700000,5953700000,6149600000,6326400000,6693000000,7431000000,7780000000,8766000000,9892000000,10469000000,10563000000,11511000000,12702000000,13126000000,13025000000
11,COGS and Expenses,932100000,801400000,1050000000,1429700000,1838600000,2514700000,2850600000,3309300000,3275500000,4075100000,5495300000,7806700000,8689300000,7920100000,8010200000,8474600000,8825100000,9451200000,10703400000,11846000000,12845700000,14194100000,16193300000,16721300000,16540000000,18047000000,21088000000,22059000000,24119000000,26426000000,27874000000,29601000000,31952000000,34345000000,34288000000,37601000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,14800000,17100000,34500000,47700000,60400000,64500000,90200000,132400000,168300000,233500000,228800000,223600000,214100000,276600000,262500000,310400000,287700000,290900000,270200000,321500000,383300000,395500000,358000000,405000000,513000000,632000000,649000000,662000000,716000000,774000000,720000000,1119000000,797000000
15,EBITDA,117000000,73700000,166200000,285400000,410500000,496200000,569500000,654900000,555100000,740100000,1031500000,1463500000,886500000,974900000,1142800000,1135500000,1288900000,1119400000,1760400000,2147500000,2432500000,2470100000,2824400000,2339800000,2912400000,3206000000,3391000000,3806000000,4176000000,4854000000,5285000000,5602000000,5099000000,5521000000,4006000000,7458000000
16,EBITDA ratio,0.1094,0.0840,0.1381,0.1668,0.1837,0.1652,0.1672,0.1666,0.1465,0.1555,0.1594,0.1593,0.0928,0.1111,0.1270,0.1197,0.1303,0.1046,0.1437,0.1563,0.1627,0.1513,0.1516,0.1220,0.1532,0.1537,0.1405,0.1504,0.1502,0.1586,0.1632,0.1631,0.1401,0.1411,0.1071,0.1675
17,Operating Income,137100000,76000000,153400000,281100000,396600000,488900000,554600000,621700000,514200000,685700000,975300000,1379800000,863800000,856800000,984900000,1014200000,1067900000,1245800000,1549700000,1893700000,2109200000,2131800000,2433700000,2454800000,2474000000,2815000000,3040000000,3254000000,3680000000,4175000000,4502000000,4749000000,4445000000,4772000000,3115000000,6937000000
18,Operating Income ratio,0.1282,0.0866,0.1275,0.1643,0.1774,0.1628,0.1629,0.1582,0.1357,0.1440,0.1507,0.1502,0.0904,0.0976,0.1095,0.1069,0.1079,0.1165,0.1265,0.1378,0.1410,0.1306,0.1307,0.1280,0.1301,0.1349,0.1260,0.1286,0.1324,0.1364,0.1391,0.1383,0.1221,0.1220,0.0833,0.1558
19,Total Other Income Expenses (Gains),-20100000,-2300000,12800000,-10500000,-3200000,-27200000,-32800000,-27200000,-23600000,-35800000,-76200000,-84600000,-210800000,-110700000,-65700000,-92800000,-50600000,-122800000,-99700000,-33900000,32400000,68100000,69200000,-498300000,42900000,29000000,-57000000,18000000,-136000000,30000000,121000000,137000000,-120000000,29000000,-228000000,-276000000
20,Income Before Tax,117000000,73700000,166200000,270600000,393400000,461700000,521800000,594500000,490600000,649900000,899100000,1295200000,653000000,746100000,919200000,921400000,1017300000,1123000000,1450000000,1859800000,2141600000,2199900000,2502900000,1956500000,2516900000,2844000000,2983000000,3272000000,3544000000,4205000000,4623000000,4886000000,4325000000,4801000000,2887000000,6661000000
21,Income Before Tax Ratio,0.1094,0.0840,0.1381,0.1582,0.1760,0.1537,0.1532,0.1512,0.1295,0.1365,0.1390,0.1410,0.0684,0.0850,0.1022,0.0971,0.1028,0.1050,0.1183,0.1354,0.1432,0.1347,0.1344,0.1020,0.1324,0.1363,0.1236,0.1293,0.1275,0.1374,0.1428,0.1422,0.1188,0.1227,0.0772,0.1496
