,https://roic.ai/company/NEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2118,0.2141,0.1939,0.1928,0.1880,0.1828,0.1751,0.1648,0.1420,0.1590,0.1399,0.1236,0.1335,0.1496,0.1722,0.1658,0.2117,0.2202,0.2298,0.2141,0.2576,0.2649,0.2852,0.3097,0.2559,0.2787,0.2843,0.1707
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-322500000,-315300000,-297400000,-306000000,-309000000,-157000000,-200000000,-237000000,-241000000,-270000000,-318000000,-307000000,-419000000,-603000000,-736000000,-652000000,-754000000,-926000000,-673000000,-720000000,-739000000,-642000000,-220000000,-659000000,3072000000,-1517000000,-2703000000,262000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,826000000,881900000,873400000,922000000,943000000,1020000000,1040000000,1160000000,939000000,1261000000,1154000000,1157000000,1678000000,1680000000,2089000000,1942000000,2489000000,2452000000,2603000000,2521000000,3645000000,3990000000,4388000000,4667000000,7352000000,3836000000,2413000000,3175000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1523,0.1577,0.1447,0.1448,0.1416,0.1584,0.1469,0.1369,0.1130,0.1309,0.1097,0.0977,0.1068,0.1101,0.1273,0.1241,0.1625,0.1598,0.1826,0.1666,0.2141,0.2282,0.2716,0.2714,0.4395,0.1998,0.1341,0.1860
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,307300000,328600000,293900000,304000000,279000000,323000000,336000000,379000000,244000000,368000000,267000000,272000000,397000000,368000000,450000000,327000000,532000000,529000000,692000000,801000000,1176000000,1228000000,1383000000,-653000000,1576000000,448000000,44000000,348000000
23,Net Income,372300000,365400000,402900000,447800000,410400000,-391000000,240500000,466900000,428700000,518700000,553300000,579500000,618000000,664000000,697000000,704000000,781000000,473000000,890000000,887000000,885000000,1281000000,1312000000,1639000000,1615000000,1957000000,1923000000,1911000000,1908000000,2465000000,2752000000,2912000000,5378000000,6638000000,3769000000,2919000000,3573000000
24,Net Income ratio,0.0856,0.0893,0.0908,0.0765,0.0664,-0.0622,0.0458,0.0899,0.0806,0.0957,0.0989,0.0960,0.0970,0.0997,0.1083,0.0994,0.0922,0.0569,0.0924,0.0843,0.0747,0.0815,0.0860,0.0999,0.1032,0.1278,0.1254,0.1340,0.1261,0.1448,0.1574,0.1803,0.3128,0.3968,0.1963,0.1622,0.2093
25,EPS,0.19,0.18,0.19,0.21,0.20,-0.18,0.09,0.17,0.14,0.36,0.40,0.42,0.45,0.48,0.51,0.52,0.58,0.34,0.63,0.62,0.58,0.81,0.82,1.02,0.99,1.19,1.10,1.13,1.10,1.40,1.49,1.56,2.85,3.47,1.93,1.49,1.82
26,EPS Diluted,0.19,0.18,0.19,0.21,0.20,-0.18,0.09,0.17,0.14,0.36,0.40,0.42,0.45,0.48,0.51,0.52,0.58,0.34,0.63,0.61,0.57,0.81,0.82,1.02,0.99,1.19,1.10,1.13,1.10,1.40,1.49,1.56,2.85,3.47,1.93,1.48,1.81
27,Weighted Average Shares Outstanding,968400000,1040248000,1040248000,1048976000,1057752000,1288520000,1366048000,1462304000,1520528000,1424072000,1402680000,1392576000,1384000000,1384000000,1368000000,1360000000,1349600000,1383200000,1420000000,1434400000,1520400000,1574000000,1590800000,1600400000,1628000000,1641200000,1676000000,1696000000,1740000000,1760714286,1844000000,1863680000,1884000000,1912000000,1956000000,1960000000,1962500000
28,Weighted Average Shares Outstanding Diluted,968400000,1040248000,1040248000,1048976000,1057752000,1288520000,1366048000,1462304000,1520528000,1424072000,1402680000,1392576000,1384000000,1384000000,1368000000,1368000000,1351200000,1386400000,1425600000,1446400000,1542800000,1586000000,1602400000,1610800000,1628000000,1652000000,1676000000,1696000000,1740000000,1760714286,1844000000,1864000000,1892000000,1912000000,1956000000,1969000000,1972200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330896000005/0000753308-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330801500013/0000753308-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330802000021/file10k2001.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330803000017/file10k2002.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330804000017/file10k2003.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330805000017/file10k2004.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330806000032/file10k2005.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330807000016/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330808000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330809000025/form10k123108.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330810000025/form10k123109.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330811000025/form10k123110.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330812000025/nee-12312011x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/nee-12312012x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/nee-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330815000079/nee-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330816000337/nee-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330817000060/nee-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/nee-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/nee-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/37634/000075330820000021/0000753308-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330821000014/0000753308-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330822000014/0000753308-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,46200000,195900000,54000000,187000000,361000000,129000000,82000000,266000000,129000000,225000000,530000000,620000000,290000000,535000000,238000000,302000000,377000000,329000000,438000000,577000000,571000000,1292000000,1714000000,638000000,600000000,1105000000,639000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,46200000,195900000,54000000,187000000,361000000,129000000,82000000,266000000,129000000,225000000,530000000,620000000,290000000,535000000,238000000,302000000,377000000,329000000,438000000,577000000,571000000,1292000000,1714000000,638000000,600000000,1105000000,639000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,464700000,482300000,461500000,501000000,559000000,482000000,637000000,780000000,865000000,1187000000,1044000000,1430000000,1656000000,1721000000,1707000000,2247000000,2582000000,1802000000,2056000000,2289000000,2159000000,2265000000,2439000000,2737000000,2969000000,2807000000,2974000000,4108000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,309300000,247300000,268200000,302000000,282000000,343000000,370000000,349000000,448000000,458000000,394000000,567000000,785000000,857000000,968000000,877000000,857000000,1074000000,1073000000,1153000000,1292000000,1259000000,1289000000,1273000000,1223000000,1328000000,1552000000,1561000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,89800000,209500000,247900000,244000000,238000000,187000000,645000000,391000000,329000000,696000000,864000000,2460000000,1938000000,911000000,2182000000,975000000,1517000000,1619000000,1779000000,1962000000,2916000000,2700000000,2389000000,1433000000,1563000000,2673000000,1751000000,2980000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,949600000,985300000,1173500000,1101000000,1266000000,1373000000,1781000000,1602000000,1908000000,2470000000,2527000000,4987000000,4999000000,3779000000,5392000000,4337000000,5258000000,4872000000,5237000000,5842000000,6944000000,6795000000,7409000000,7157000000,6393000000,7408000000,7382000000,9288000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,10202800000,9852000000,9383900000,9354000000,8555000000,9264000000,9934000000,11662000000,14304000000,20297000000,21226000000,22463000000,24499000000,28652000000,32411000000,36078000000,39075000000,42490000000,49413000000,52720000000,55705000000,61386000000,66912000000,72416000000,70334000000,82010000000,91803000000,99348000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,891000000,4204000000,4254000000,4844000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,708000000,552000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1599000000,4756000000,4254000000,4844000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4325000000,4713000000,4774000000,5166000000,5901000000,6565000000,6924000000,7916000000,8962000000,12634000000,14407000000,13507000000,15081000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1465200000,1621900000,1661900000,1994000000,2208000000,2804000000,3585000000,4199000000,3578000000,4168000000,4580000000,5554000000,6493000000,7692000000,7018000000,3718000000,3948000000,5052000000,4623000000,4843000000,5715000000,7374000000,7756000000,9292000000,12742000000,9110000000,10738000000,12351000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11668000000,11473900000,11045800000,11348000000,10763000000,12068000000,13519000000,15861000000,17882000000,24465000000,25806000000,28017000000,30992000000,36344000000,39429000000,44121000000,47736000000,52316000000,59202000000,63464000000,67985000000,75684000000,82584000000,90670000000,97309000000,110283000000,120302000000,131624000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12617600000,12459200000,12219300000,12449000000,12029000000,13441000000,15300000000,17463000000,19790000000,26935000000,28333000000,33004000000,35991000000,40123000000,44821000000,48458000000,52994000000,57188000000,64439000000,69306000000,74929000000,82479000000,89993000000,97827000000,103702000000,117691000000,127684000000,140912000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,311300000,305100000,307800000,368000000,338000000,407000000,564000000,473000000,458000000,542000000,762000000,1245000000,1060000000,1204000000,1062000000,992000000,1124000000,1191000000,1281000000,1200000000,1354000000,2529000000,3447000000,3235000000,2386000000,3631000000,4615000000,6935000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,122100000,390400000,154600000,332000000,469000000,464000000,1223000000,1982000000,2302000000,1287000000,1717000000,2563000000,2742000000,2418000000,3253000000,2589000000,2809000000,2157000000,4182000000,4457000000,4657000000,3006000000,3022000000,3618000000,10930000000,5040000000,6147000000,3867000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377000000,47000000,547000000,508000000,452000000,462000000,473000000,470000000,448000000,445000000,499000000,474000000,485000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,728200000,808600000,812100000,799000000,834000000,999000000,976000000,1184000000,1151000000,1524000000,1769000000,3459000000,2691000000,2136000000,3374000000,2491000000,2924000000,2824000000,2908000000,3080000000,3190000000,4099000000,3980000000,3931000000,3802000000,4683000000,4322000000,6150000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161600000,1504100000,1274500000,1499000000,1641000000,1870000000,2763000000,3639000000,3911000000,3353000000,4248000000,7267000000,6493000000,5758000000,7689000000,6449000000,6904000000,6719000000,8879000000,9189000000,9663000000,10107000000,10919000000,11232000000,17563000000,13853000000,15558000000,17437000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3864500000,3376600000,3144300000,2949000000,2347000000,3478000000,3976000000,4858000000,5790000000,8723000000,8027000000,8039000000,9591000000,11280000000,13833000000,16300000000,18013000000,20810000000,23177000000,23969000000,24367000000,26681000000,27818000000,31463000000,26782000000,37543000000,41944000000,50960000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1928300000,1869400000,1781100000,1473000000,1255000000,1079000000,1378000000,1442000000,1667000000,2155000000,2766000000,3077000000,3432000000,3821000000,4231000000,4860000000,5109000000,5681000000,6703000000,8144000000,9261000000,9827000000,11101000000,5754000000,7367000000,8361000000,8020000000,8310000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,920200000,977000000,1096600000,1457000000,1434000000,1418000000,1364000000,1283000000,1806000000,5732000000,5755000000,6122000000,6545000000,8529000000,7387000000,7882000000,8507000000,9035000000,9612000000,9964000000,11470000000,12752000000,14824000000,19880000000,14577000000,16574000000,17233000000,18781000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6713000000,6223000000,6022000000,5879000000,5036000000,5975000000,6718000000,7583000000,9263000000,16610000000,16548000000,17238000000,19568000000,23630000000,25451000000,29042000000,31629000000,35526000000,39492000000,42077000000,45098000000,49260000000,53743000000,57097000000,48726000000,62478000000,67197000000,78051000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13426500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7875100000,7727100000,7295600000,7378000000,6677000000,7845000000,9481000000,11222000000,13174000000,19963000000,20796000000,24505000000,26061000000,29388000000,33140000000,35491000000,38533000000,42245000000,48371000000,51266000000,54761000000,59367000000,64662000000,68329000000,66289000000,76331000000,82755000000,95488000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1800000,1800000,- -,- -,- -,- -,2000000,2000000,2000000,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,5000000,5000000,5000000,5000000,5000000,20000000,20000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1013800000,1258500000,1517700000,- -,- -,- -,- -,3207000000,3280000000,3745000000,4166000000,4506000000,5256000000,5945000000,6885000000,7739000000,8873000000,9876000000,10783000000,11569000000,12773000000,14140000000,15458000000,18992000000,23837000000,25199000000,25363000000,25911000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6186700000,-6873300000,-7649700000,-8466000000,-9397000000,-10290000000,-11088000000,-11726000000,-12201000000,-9975000000,-10494000000,-193000000,115000000,116000000,-13000000,169000000,166000000,-154000000,-255000000,56000000,-40000000,-167000000,-70000000,111000000,-188000000,-169000000,-92000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9913500000,10345100000,11053900000,13537000000,14749000000,15886000000,16907000000,14758000000,15309000000,13195000000,13863000000,4182000000,4555000000,4670000000,4805000000,5055000000,5418000000,5217000000,5536000000,6411000000,7179000000,8596000000,8948000000,9100000000,10490000000,11970000000,11222000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4742500000,4732100000,4923700000,5071000000,5352000000,5596000000,5819000000,6241000000,6616000000,6972000000,7537000000,8499000000,9930000000,10735000000,11681000000,12967000000,14461000000,14943000000,16068000000,18040000000,19916000000,22574000000,24341000000,28208000000,34144000000,37005000000,36513000000,37202000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12617600000,12459200000,12219300000,12449000000,12029000000,13441000000,15300000000,17463000000,19790000000,26935000000,28333000000,33004000000,35991000000,40123000000,44821000000,48458000000,52994000000,57188000000,64439000000,69306000000,74677000000,81941000000,89003000000,96537000000,100433000000,113336000000,119268000000,132690000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000000,538000000,990000000,1290000000,3269000000,4355000000,8416000000,8222000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12617600000,12459200000,12219300000,12449000000,12029000000,13441000000,15300000000,17463000000,19790000000,26935000000,28333000000,33004000000,35991000000,40123000000,44821000000,48458000000,52994000000,57188000000,64439000000,69306000000,74929000000,82479000000,89993000000,97827000000,103702000000,117691000000,127684000000,140912000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330896000005/0000753308-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330801500013/0000753308-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330802000021/file10k2001.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330803000017/file10k2002.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330804000017/file10k2003.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330805000017/file10k2004.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330806000032/file10k2005.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330807000016/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330808000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330809000025/form10k123108.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330810000025/form10k123109.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330811000025/form10k123110.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330812000025/nee-12312011x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/nee-12312012x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/nee-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330815000079/nee-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330816000337/nee-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330817000060/nee-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/nee-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/nee-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/37634/000075330820000021/0000753308-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330821000014/0000753308-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330822000014/0000753308-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,518700000,553300000,579500000,618000000,664000000,697000000,704000000,781000000,473000000,890000000,887000000,885000000,1281000000,1312000000,1639000000,1615000000,1957000000,1923000000,1911000000,1908000000,2465000000,2752000000,2912000000,5378000000,6638000000,3769000000,2919000000,3573000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2004000000,2092000000,1844000000,1772000000,2521000000,2896000000,3203000000,3377000000,2629000000,4147000000,4478000000,4315000000,4214000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,92800000,-89600000,-75700000,-30000000,-237000000,-198000000,283000000,-91000000,219000000,588000000,428000000,333000000,393000000,402000000,569000000,273000000,511000000,553000000,682000000,877000000,1205000000,1162000000,1230000000,-875000000,1463000000,258000000,-78000000,436000000
