,https://roic.ai/company/CNO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,400000000,341900000,239300000,79500000,58300000,73500000,117300000,97800000,117900000,113200000,114100000,114600000,105300000,92800000,94900000,116400000,123700000,149800000,152300000,108800000,95400000
14,Depreciation and Amortization,- -,- -,822900000,474300000,371200000,388400000,423400000,483200000,412000000,460900000,465300000,458600000,315000000,324600000,274200000,283400000,275000000,265400000,292200000,267900000,303900000,319500000
15,EBITDA,-1191200000,-5900000,-6617800000,3051300000,904800000,950100000,649200000,427500000,-200500000,752400000,872000000,951900000,585300000,734700000,542100000,746000000,744600000,869600000,177200000,694400000,757000000,982600000
16,EBITDA ratio,-0.2134,-0.0011,-1.4870,0.6482,0.2090,0.2196,0.1453,0.0935,-0.0479,0.1733,0.2135,0.2308,0.1348,0.1641,0.1308,0.1963,0.1865,0.2022,0.0411,0.1729,0.1981,0.2384
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),137400000,289300000,70100000,47600000,21500000,24700000,19200000,23800000,19700000,15600000,16800000,18200000,- -,- -,- -,- -,- -,- -,- -,- -,-2534700000,97100000
20,Income Before Tax,-777500000,-243400000,-1632200000,2321700000,454100000,503400000,152300000,-173000000,12400000,173600000,293500000,379200000,155700000,304800000,175100000,367700000,353200000,480500000,-264800000,274200000,344300000,567700000
21,Income Before Tax Ratio,-0.1393,-0.0443,-0.3668,0.4932,0.1049,0.1164,0.0341,-0.0378,0.0030,0.0400,0.0719,0.0919,0.0359,0.0681,0.0422,0.0967,0.0885,0.1117,-0.0614,0.0683,0.0901,0.1377
22,Income Tax expense (Gain),- -,- -,53100000,39700000,159300000,178500000,55800000,6900000,416400000,87900000,8900000,-3300000,-65300000,-173200000,123700000,97000000,-5000000,304900000,50200000,-135200000,42500000,126700000
23,Net Income,-1191200000,-405900000,-7835700000,2298000000,294800000,324900000,96500000,-179900000,-1126700000,85700000,284600000,382500000,221000000,478000000,51400000,270700000,358200000,175600000,-315000000,409400000,301800000,441000000
24,Net Income ratio,-0.2134,-0.0739,-1.7607,0.4881,0.0681,0.0751,0.0216,-0.0393,-0.2689,0.0197,0.0697,0.0927,0.0509,0.1068,0.0124,0.0712,0.0897,0.0408,-0.0730,0.1019,0.0790,0.1070
25,EPS,-12.01,-4.18,-78.30,22.68,1.73,1.90,0.39,-1.12,-6.10,0.45,1.13,1.54,0.95,2.16,0.24,1.40,2.03,1.03,-1.90,2.62,2.12,0.02
26,EPS Diluted,-12.01,-4.18,-78.30,22.68,1.63,1.76,0.38,-1.12,-6.10,0.45,0.99,0.26,0.83,2.06,0.24,1.39,2.01,1.02,-1.90,2.61,2.11,0.02
27,Weighted Average Shares Outstanding,100098119,100098119,100098119,100115772,132280000,151160000,151690000,173374000,184704000,188365000,250973000,247952000,233685000,221628000,212917000,193054000,176638000,170025000,165456900,156039900,142096000,126429000
28,Weighted Average Shares Outstanding Diluted,100098119,100098119,100098119,100115772,155930000,185040000,152509000,173374000,184704000,193340000,301858000,304081200,281427000,232702000,217655000,195166000,178323000,172144000,165456900,157147600,143164000,129018000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224608/000122460809000012/0001224608-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1224608/000122460810000008/0001224608-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460811000009/0001224608-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460812000011/0001224608-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460813000017/0001224608-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460814000006/0001224608-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460815000007/0001224608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460816000053/0001224608-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460817000013/0001224608-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460818000011/0001224608-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460819000010/0001224608-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460820000009/0001224608-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460821000008/0001224608-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460822000012/0001224608-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1268900000,1260600000,795500000,273000000,409900000,428600000,894500000,523400000,598700000,510400000,582500000,699000000,611600000,432300000,478900000,578400000,594200000,580000000,991900000,99600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24614100000,23178300000,20634900000,19882900000,21096200000,22910900000,18447700000,21295200000,23383600000,24805400000
33,Cash and Short-Term Investments,- -,- -,1268900000,1260600000,795500000,273000000,409900000,428600000,894500000,523400000,598700000,510400000,25196600000,23877300000,21246500000,20315200000,21575100000,23489300000,19041900000,21875200000,24375500000,24905000000
34,Net Receivables,- -,- -,934200000,930500000,975700000,887500000,850800000,3592800000,- -,- -,- -,- -,3644600000,4539300000,3749800000,3758100000,3050100000,2542100000,5555400000,5218300000,4783700000,4472600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-27700000,-74400000,-28259200000,-27717600000,-24385300000,-23641300000,-24147200000,-25453400000,-24003300000,-26513500000,-23638200000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,523000000,571000000,436000000,582000000,699000000,611000000,432000000,478000000,578000000,594000000,580000000,5521000000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,3800800000,- -,100000000,952200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,155200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
