,https://roic.ai/company/OSTK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,8004000,14248000,-19580000,15154000,16344000,13205000,3115000,20545000,-47734000,-219954000,-134535000,47160000,123016000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0091,0.0131,-0.0186,0.0138,0.0125,0.0088,0.0019,0.0114,-0.0274,-0.1207,-0.0922,0.0185,0.0446
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,257000,359000,-142000,485000,-72165000,4404000,1895000,9297000,64188000,-2384000,185000,989000,-48775000
23,Net Income,-21312000,-13806000,-4560000,-11887000,-5002000,-24918000,-101706000,-45015000,-12658000,7747000,13889000,-19438000,14669000,88509000,8854000,2446000,12522000,-109878000,-206070000,-121841000,56001000,389372000
24,Net Income ratio,-0.8350,-0.3451,-0.0497,-0.0497,-0.0101,-0.0310,-0.1290,-0.0592,-0.0152,0.0088,0.0127,-0.0184,0.0133,0.0679,0.0059,0.0015,0.0070,-0.0630,-0.1131,-0.0835,0.0220,0.1413
25,EPS,-3.63,-1.29,-0.88,-0.75,-0.29,-1.29,-5.00,-1.90,-0.55,0.34,0.60,-0.84,0.63,3.72,0.37,0.10,0.49,-4.28,-6.83,-3.46,1.25,8.18
26,EPS Diluted,-3.63,-1.29,-0.88,-0.75,-0.29,-1.29,-5.00,-1.90,-0.55,0.33,0.59,-0.84,0.62,3.63,0.36,0.10,0.49,-4.28,-6.83,-3.46,1.24,8.11
27,Weighted Average Shares Outstanding,5936076,11024142,13139157,16236502,17888419,19475182,20380329,23760344,22955435,22875245,23073716,23314286,23442590,23770368,24056045,24670502,25342000,25044000,29976000,34865000,41217000,42981000
28,Weighted Average Shares Outstanding Diluted,5936076,11024142,13139157,16236502,17888419,19475182,20380329,23760344,22955435,23121830,23421540,23314286,23728268,24351746,24374801,24761719,25426000,25044000,29976000,34865000,41607000,43332000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1130713/000104746903006454/0001047469-03-006454-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746904005489/a2129464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746905006713/a2153715z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465906017414/a06-2931_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465907019224/a07-5835_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746908002930/a2183892z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465909011509/0001104659-09-011509-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746910003040/0001047469-10-003040-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746911001488/a2202311z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746912002034/0001047469-12-002034-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746913001400/0001047469-13-001400-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071314000014/ostk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071315000009/ostk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071316000071/0001130713-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071317000013/0001130713-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071318000019/0001130713-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071319000016/0001130713-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071320000014/0001130713-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071321000019/0001130713-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071322000009/0001130713-22-000009-index.htm
