,https://roic.ai/company/IRBT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13512000,14817000,54316000,95043149,141968000,189000000,249100000,307600000,- -,298600000,465500000,436200000,487400000,556800000,- -,660604000,883911000,1092584000,1214010000,- -,1430390000
2,COGS,9714000,16757000,37337000,67691725,94298000,119200000,166500000,214200000,- -,207400000,273382000,241900000,266200000,298800000,- -,341289000,450752000,537156000,670083000,- -,760161000
3,Gross Profit,3798000,-1940000,16979000,27351424,47670000,69800000,82600000,93400000,- -,91200000,192118000,194300000,221200000,258000000,- -,319315000,433159000,555428000,543927000,- -,670229000
4,Gross Profit Ratio,0.2811,-0.1309,0.3126,0.2878,0.3358,0.3693,0.3316,0.3036,- -,0.3054,0.4127,0.4454,0.4538,0.4634,- -,0.4834,0.4900,0.5084,0.4480,- -,0.4686
5,Research and Development Exp.,1846000,1736000,3848000,5504321,11506000,17000000,17100000,17600000,- -,14700000,36498000,57100000,63600000,69400000,- -,79805000,113149000,140629000,141607000,- -,156670000
6,General and Administrative Exp.,4669000,- -,- -,- -,- -,18731000,20906000,28834000,- -,30098000,43753000,40469000,53371000,49409000,- -,66828000,84771000,97501000,83103000,- -,100770000
7,Selling and Marketing Exp.,- -,1911000,12757000,- -,- -,33969000,44894000,46866000,- -,40902000,58544000,71631000,71529000,86091000,- -,115125000,162110000,210411000,231548000,- -,265475000
8,"Selling, General and Administrative Exp.",4669000,1911000,12757000,- -,- -,52700000,65800000,75700000,- -,71000000,102297000,112100000,124900000,135500000,- -,181953000,246881000,307912000,314651000,- -,366245000
9,Other Expenses,- -,5217000,7764000,21404106,34054000,- -,2300000,-100000,- -,100000,- -,0,100000,-0,- -,- -,436800,1065000,1051000,- -,992000
10,Operating Expenses,6515000,8864000,24369000,26908427,45560000,69700000,85200000,93200000,- -,85800000,138795000,169200000,188600000,204900000,- -,261758000,360466800,449606000,457309000,- -,523907000
11,COGS and Expenses,16229000,25621000,61706000,94600152,139858000,188900000,251700000,307400000,- -,293200000,412177000,411100000,454800000,503700000,- -,603047000,811218800,986762000,1127392000,- -,1284068000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
