,https://roic.ai/company/XEL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1788700000,1781600000,1770300000,2006500000,1989700000,2064500000,2201200000,2159500000,2404000000,2486500000,2568600000,2654200000,2733800000,2819200000,2869000000,11409082000,14811134000,9524372000,7937516000,8345259000,9625477000,9840304000,10034170000,11203156000,9644303000,10310947000,10654770000,10128223000,10914922000,11686135000,11024486000,11106920000,11404000000,11537000000,11529000000,11526000000,13431000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,834300000,827000000,876700000,927500000,956300000,1051900000,6580839000,9443340000,4412552000,2710455000,3040759000,3922163000,4103055000,5684616000,6780678000,4961037000,5203126000,5186067000,6710036000,7408278000,7951352000,7033633000,6813007000,6917000000,7084000000,6806000000,6562000000,8173000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1652200000,1741600000,1777500000,1806300000,1862900000,1817100000,4828243000,5367794000,5111820000,5227061000,5304500000,5703314000,5737249000,4349554000,4422478000,4683266000,5107821000,5468703000,3418187000,3506644000,3734783000,3990853000,4293913000,4487000000,4453000000,4723000000,4964000000,5258000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6645,0.6780,0.6697,0.6607,0.6608,0.6334,0.4232,0.3624,0.5367,0.6585,0.6356,0.5925,0.5830,0.4335,0.3948,0.4856,0.4954,0.5133,0.3375,0.3213,0.3196,0.3620,0.3866,0.3935,0.3860,0.4097,0.4307,0.3915
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141800000,150100000,127400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7365000,8292000,6923000,3851000,3373000,3000000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,193800000,186100000,148700000,141800000,150100000,127400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,182112000,239827000,281378000,7365000,8292000,6923000,3851000,3373000,3000000,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020900000,1062400000,1101400000,1186800000,1203100000,1232900000,3439817000,3641916000,6544153000,4141814000,4231284000,4610595000,4560255000,2998481000,3031687000,3032582000,3248025000,3405723000,1595504000,1659089000,1786653000,1990341000,2080058000,2297000000,2488000000,2619000000,2848000000,3055000000
