,https://roic.ai/company/CBZ,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46600000,44500000,35800000,109200000,352800000,546400000,528730000,526867000,504335000,512762000,520057000,559269000,601125000,643899000,704263000,739700000,732505000,733805000,766094000,692033000,719483000,750422000,799832000,855340000,922003000,948424000,963897000,1104925000
2,COGS,30900000,30400000,- -,- -,- -,- -,- -,460555000,445666000,448707000,459357000,485295000,519230000,563540000,607573000,651311000,646793000,643867000,680195000,608730000,629804000,653944000,697726000,755584000,790283000,823496000,825351000,945635000
3,Gross Profit,15700000,14100000,- -,- -,- -,- -,- -,66312000,58669000,64055000,60700000,73974000,81895000,80359000,96690000,88389000,85712000,89938000,85899000,83303000,89679000,96478000,102106000,99756000,131720000,124928000,138546000,159290000
4,Gross Profit Ratio,0.3369,0.3169,- -,- -,- -,- -,- -,0.1259,0.1163,0.1249,0.1167,0.1323,0.1362,0.1248,0.1373,0.1195,0.1170,0.1226,0.1121,0.1204,0.1246,0.1286,0.1277,0.1166,0.1429,0.1317,0.1437,0.1442
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10300000,9800000,- -,- -,- -,- -,- -,19797000,19672000,19647000,24773000,24911000,24675000,30609000,28691000,30722000,29614000,31985000,30422000,34398000,34183000,32594000,36319000,33295000,39173000,44406000,46066000,56150000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10300000,9800000,- -,- -,- -,- -,- -,19797000,19672000,19647000,24773000,24911000,24675000,30609000,28691000,30722000,29614000,31985000,30422000,34398000,34183000,32594000,36319000,33295000,39173000,44406000,46066000,56150000
9,Other Expenses,2500000,2300000,29700000,90200000,292200000,513800000,627256000,34971000,21587000,19680000,17424000,15477000,16446000,144000,745000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12800000,12100000,29700000,90200000,292200000,513800000,627256000,54768000,41259000,39327000,42197000,40388000,41121000,30753000,29436000,30722000,29614000,31985000,30422000,34398000,34183000,32594000,36319000,33295000,39173000,44406000,46066000,56150000
