,https://roic.ai/company/FSLR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,490000,3210000,13522000,48063000,134974000,503976000,1246301000,2066200000,2563515000,2766207000,3368545000,3308989000,3391814000,3578995000,2951328000,2941324000,2244044000,3063117000,2711332000,2923377000
2,COGS,14271000,7007000,- -,18851000,31483000,80730000,252573000,567908000,1021618000,1378669000,1794456000,2515796000,2446235000,2564709000,2659728000,2247349000,2392377000,1851867000,2513905000,2030659000,2193423000
3,Gross Profit,-14271000,-6517000,- -,-5329000,16580000,54244000,251403000,678393000,1044582000,1184846000,971751000,852749000,862754000,827105000,919267000,703979000,548947000,392177000,549212000,680673000,729954000
4,Gross Profit Ratio,-Infinity,-13.3000,- -,-0.3941,0.3450,0.4019,0.4988,0.5443,0.5056,0.4622,0.3513,0.2532,0.2607,0.2439,0.2569,0.2385,0.1866,0.1748,0.1793,0.2510,0.2497
5,Research and Development Exp.,3766000,6029000,- -,1240000,2372000,6361000,15107000,33517000,78161000,94797000,140523000,132460000,134300000,143969000,130593000,124762000,88573000,84472000,96611000,93738000,99115000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,82248000,174039000,- -,341146000,446161000,280928000,270261000,253827000,255192000,261994000,202699000,176857000,205471000,222918000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7570000,9588000,- -,10212000,18998000,45073000,99115000,206537000,286806000,341146000,446161000,280928000,270261000,253827000,255192000,261994000,202699000,176857000,205471000,222918000,170320000
9,Other Expenses,119000,- -,- -,- -,- -,- -,-16867000,- -,- -,- -,- -,7823000,2768000,5146000,16818000,1021000,42643000,90735000,45915000,46528000,21052000
