,https://roic.ai/company/CMG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,131598000,204645000,315520000,470721000,627695000,822930000,1085782000,1331968000,1518417000,1835922000,2269548000,2731224000,3214591000,4108269000,4501223000,3904384000,4476412000,4864985000,5586369000,5984634000,7547061000
2,COGS,- -,- -,- -,218422000,511621000,650681000,843213000,1045041000,1139898000,1346517000,1680321000,1990884000,2359822000,2990513000,3326936000,3406170000,3720196000,3953993000,4443879000,4943553000,5840052000
3,Gross Profit,- -,- -,- -,252299000,116074000,172249000,242569000,286927000,378519000,489405000,589227000,740340000,854769000,1117756000,1174287000,498214000,756216000,910992000,1142490000,1041081000,1707009000
4,Gross Profit Ratio,- -,- -,- -,0.5360,0.1849,0.2093,0.2234,0.2154,0.2493,0.2666,0.2596,0.2711,0.2659,0.2721,0.2609,0.1276,0.1689,0.1873,0.2045,0.1740,0.2262
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20687000,25803000,34189000,222713000,53935000,65284000,75038000,100779000,107550000,126357000,157921000,183409000,203733000,273897000,250214000,276240000,296388000,375460000,451552000,466291000,606854000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20687000,25803000,34189000,222713000,53935000,65284000,75038000,100779000,107550000,126357000,157921000,183409000,203733000,273897000,250214000,276240000,296388000,375460000,451552000,466291000,606854000
9,Other Expenses,8730000,11260000,15090000,23480000,31145000,45013000,49763000,62109000,67264000,75217000,74938000,96039000,111565000,126083000,147290000,163530000,175689000,210525000,223886000,254049000,275921000
10,Operating Expenses,29417000,37063000,49279000,246193000,85080000,110297000,124801000,162888000,174814000,201574000,232859000,279448000,315298000,399980000,397504000,439770000,472077000,585985000,675438000,720340000,882775000
11,COGS and Expenses,29417000,37063000,49279000,464615000,596701000,760978000,968014000,1207929000,1314712000,1548091000,1913180000,2270332000,2675120000,3390493000,3724440000,3845940000,4192273000,4539978000,5119317000,5663893000,6722827000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,3469000,925000,1499000,2088000,- -,- -,- -,- -,- -,- -,- -,- -,3617000,7820000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,302000,405000,269000,2945000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,8730000,11260000,15090000,21802000,28026000,34253000,43595000,52770000,61308000,68921000,74938000,84130000,96054000,110474000,130368000,146368000,163348000,201979000,376730000,423072000,254657000
15,EBITDA,-15270000,-6029000,7376000,27928000,58266000,102508000,157597000,180278000,265938000,358251000,427588000,541815000,630525000,824777000,900235000,185107000,439091000,470415000,835015000,716853000,1067420000
16,EBITDA ratio,-0.1160,-0.0295,0.0234,0.0593,0.0928,0.1246,0.1451,0.1353,0.1751,0.1951,0.1884,0.1984,0.1961,0.2008,0.2000,0.0474,0.0981,0.0967,0.1495,0.1198,0.1414
17,Operating Income,-24722000,-17632000,-7935000,6106000,30994000,61952000,108183000,124039000,203705000,287831000,350562000,455865000,532720000,710800000,763589000,34567000,270794000,258368000,443958000,290164000,804943000
18,Operating Income ratio,-0.1879,-0.0862,-0.0251,0.0130,0.0494,0.0753,0.0996,0.0931,0.1342,0.1568,0.1545,0.1669,0.1657,0.1730,0.1696,0.0089,0.0605,0.0531,0.0795,0.0485,0.1067
19,Total Other Income Expenses (Gains),722000,343000,221000,20000,-754000,6303000,5819000,3167000,520000,1230000,-857000,1820000,1751000,3503000,6278000,4172000,4949000,10068000,14327000,3617000,7820000
20,Income Before Tax,-24000000,-17289000,-7714000,6126000,30240000,68255000,114002000,127206000,204225000,289061000,349705000,457685000,534471000,714303000,769867000,38739000,275743000,268436000,458285000,293781000,812763000
21,Income Before Tax Ratio,-0.1824,-0.0845,-0.0244,0.0130,0.0482,0.0829,0.1050,0.0955,0.1345,0.1574,0.1541,0.1676,0.1663,0.1739,0.1710,0.0099,0.0616,0.0552,0.0820,0.0491,0.1077
22,Income Tax expense (Gain),- -,- -,- -,- -,-7456000,26832000,43439000,49004000,77380000,110080000,134760000,179685000,207033000,268929000,294265000,15801000,99490000,91883000,108127000,-61985000,159779000
23,Net Income,-24000000,-17289000,-7714000,6126000,37696000,41423000,70563000,78202000,126845000,178981000,214945000,278000000,327438000,445374000,475602000,22938000,176253000,176553000,350158000,355766000,652984000
24,Net Income ratio,-0.1824,-0.0845,-0.0244,0.0130,0.0601,0.0503,0.0650,0.0587,0.0835,0.0975,0.0947,0.1018,0.1019,0.1084,0.1057,0.0059,0.0394,0.0363,0.0627,0.0594,0.0865
25,EPS,-1.49,-0.87,-0.34,0.08,1.43,1.29,2.16,2.39,3.99,5.73,6.89,8.82,10.58,14.35,15.30,0.78,6.19,6.35,12.62,12.74,23.21
26,EPS Diluted,-1.49,-0.87,-0.34,0.08,1.43,1.28,2.13,2.36,3.95,5.64,6.76,8.75,10.47,14.13,15.10,0.77,6.17,6.31,12.38,12.52,22.90
27,Weighted Average Shares Outstanding,16063000,19931000,22384000,55893078,26281000,32051000,32672000,32766000,31766000,31234000,31217000,31513000,30957000,31038000,31092000,29265000,28491000,27823000,27740000,27917000,28132000
28,Weighted Average Shares Outstanding Diluted,16063000,19931000,22384000,56090651,26374000,32465000,33146000,33146000,32102000,31735000,31775000,31783000,31281000,31512000,31494000,29770000,28561000,27962000,28295000,28416000,28511000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058090/000119312507038325/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312508038764/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312509033199/0001193125-09-033199-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312510035029/0001193125-10-035029-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312511039010/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312512052969/0001193125-12-052969-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312513046377/0001193125-13-046377-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312514035451/d629534d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312515033771/d861905d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809016000058/0001058090-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809017000009/0001058090-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809018000018/0001058090-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809019000007/0001058090-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809020000010/0001058090-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809021000010/0001058090-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809022000011/0001058090-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,61000,153642000,151176000,88044000,219566000,224838000,401243000,322553000,323203000,419465000,248005000,87880000,184569000,249953000,480626000,607987000,815374000
