,https://roic.ai/company/AJRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015295000207/0000950152-95-000207-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015205001227/0000950152-05-001227-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013406002602/0000950134-06-002602-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013407001318/0000950134-07-001318-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013408001135/0000950134-08-001135-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013409002645/0000950134-09-002645-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012310008422/0000950123-10-008422-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012311008303/0000950123-11-008303-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312512041886/0001193125-12-041886-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312513049466/0001193125-13-049466-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312514040681/0001193125-14-040681-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088815000004/0000040888-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088816000027/0000040888-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088817000004/0000040888-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088818000003/0000040888-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088819000004/0000040888-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088820000003/0000040888-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088821000006/0000040888-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088822000005/0000040888-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,210000000,63000000,32000000,22000000,42800000,-226000000,38000000,42000000,137000000,84000000,72000000,129000000,128000000,30000000,22000000,-398000000,-230000000,-38500000,69000000,1500000,59300000,6800000,2900000,-2600000,167900000,-53000000,-16200000,18000000,-9200000,137300000,141000000,137700000,143700000
74,Depreciation and Amortization,- -,- -,- -,- -,72000000,76000000,79000000,84000000,86000000,77000000,76000000,65000000,60000000,55000000,44000000,50000000,77000000,66000000,81000000,31000000,28000000,27200000,28400000,28300000,31300000,27900000,24600000,22300000,43800000,63700000,65100000,64900000,72600000,72300000,74500000,65300000,61400000
75,Deferred Income Tax,- -,- -,- -,- -,11000000,13000000,3000000,- -,-5000000,-30000000,15000000,-30000000,13000000,13000000,-12000000,14000000,66000000,12000000,-9000000,28000000,- -,- -,300000,8000000,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,400000,3700000,6500000,14100000,5700000,8600000,12900000,22000000,20500000,27300000,31400000,20700000
77,Change in Working Capital,- -,- -,- -,- -,-60000000,-86000000,7000000,-28000000,60000000,-35000000,35000000,-7000000,12000000,5000000,-107000000,26000000,-65000000,57000000,19000000,107000000,-127000000,-5000000,73100000,8500000,25600000,-39800000,29700000,-51600000,66800000,-17100000,9300000,162500000,150900000,-65900000,192100000,-343600000,-53600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,9600000,-300000,-4500000,-37600000,41000000,-1000000,33100000,-67600000,-47300000,28800000,36900000,15000000
79,Inventory,- -,- -,- -,- -,15000000,31000000,15000000,-33000000,5000000,35000000,-6000000,-18000000,1000000,14000000,-43000000,-38000000,33000000,5000000,-19000000,-17000000,102000000,-12400000,2000000,-2900000,8600000,10700000,1600000,2600000,-25500000,-33900000,-19500000,-28900000,48600000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14300000,8700000,6700000,22300000,50100000,-19000000,-5100000,27000000,1600000,-39400000,20300000,-36800000,24300000
81,Other Working Capital,- -,- -,- -,- -,136000000,50000000,57000000,29000000,89000000,54000000,89000000,82000000,94000000,99000000,-8000000,18000000,-47000000,10000000,29000000,136000000,9000000,4000000,77100000,85600000,111200000,71400000,101100000,49500000,116300000,99200000,108500000,271000000,421900000,356000000,548100000,204500000,-62900000
82,Other Non-Cash Items,- -,- -,- -,- -,71000000,129000000,-9000000,50000000,-157800000,347000000,-81000000,-11000000,-53000000,-23000000,157000000,-196000000,-275000000,-188000000,-69000000,202000000,245000000,3200000,-147000000,-18300000,-68800000,152800000,16100000,111600000,-215000000,151100000,-1700000,-99900000,-23500000,88500000,-173700000,473000000,27400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,304000000,195000000,112000000,128000000,26000000,133000000,83000000,59000000,169000000,134000000,154000000,23000000,-69000000,-23000000,44000000,-30000000,-84000000,-13100000,23800000,28000000,50300000,148100000,76800000,86200000,77600000,150400000,65100000,158400000,212800000,252700000,261200000,363800000,199600000
84,CAPEX,- -,- -,- -,- -,-111000000,-79000000,-93000000,-96000000,-124000000,-63000000,-63000000,-47000000,-58000000,-382000000,-97000000,-82000000,-49000000,-51000000,-49000000,-21000000,-20000000,-19000000,-21800000,-21300000,-14300000,-16900000,-21100000,-37200000,-63200000,-43400000,-36800000,-47600000,-46400000,-43200000,-42900000,-54600000,-37300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184000000,-91000000,-138000000,- -,-38000000,1100000,- -,- -,- -,- -,- -,- -,-411200000,200000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-3000000,-5000000,- -,- -,-1000000,- -,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154200000,-15000000,- -,-500000,- -,- -,- -,-24000000,-47700000,- -,-31700000,-1900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4000000,8000000,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127600000,41700000,- -,- -,- -,- -,- -,4000000,68100000,- -,25000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,5000000,1000000,-6000000,4000000,7000000,27000000,121000000,-21000000,19000000,-29000000,25000000,327000000,1000000,7000000,-98000000,309000000,-19800000,49500000,- -,-14300000,-16900000,-21100000,-36600000,-63200000,-35900000,-35800000,-47100000,-29400000,-41300000,-41800000,-54300000,-37300000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-107000000,-69000000,-97000000,-88000000,-120000000,-57000000,-36000000,65000000,-79000000,-363000000,-126000000,-57000000,94000000,-141000000,-180000000,-119000000,251000000,-37700000,27700000,-21300000,-14300000,-43500000,5600000,-36600000,-474900000,-35700000,-35800000,-47100000,-66400000,-20900000,-41800000,-61000000,-39200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,-247900000,-70100000,-78500000,-12800000,-166300000,-81200000,-700600000,-20000000,-25300000,-20800000,-21700000,-182600000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,1000000,- -,- -,- -,131000000,5000000,- -,400000,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000000,- -,- -,- -,- -,- -,- -,- -,- -,-64500000,- -,- -,- -,- -,- -,-51700000,- -
93,Dividends Paid,- -,- -,- -,- -,-20000000,-19000000,-19000000,-19000000,- -,-19000000,-20000000,-20000000,-22000000,-25000000,-20000000,-5000000,-5000000,-5000000,-5000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-428800000
94,Other Financing Activites,- -,- -,- -,- -,-169000000,-124000000,9000000,-14000000,102000000,-51000000,-32000000,-99000000,-72000000,261000000,-9000000,32000000,7000000,170000000,149000000,29000000,-27000000,20300000,-20800000,-6300000,- -,198500000,-5800000,2000000,445600000,184400000,-2900000,791100000,-1700000,-1200000,-3300000,-12500000,1900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-189000000,-143000000,-10000000,-33000000,83000000,-70000000,-52000000,-119000000,-94000000,240000000,-29000000,28000000,2000000,165000000,144000000,157000000,-144000000,20300000,-20400000,-6300000,-2400000,-49400000,-75900000,-75500000,432800000,-46400000,-84100000,90500000,-21700000,-26500000,-24100000,-85900000,-609500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,8000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-6000000,27000000,4000000,16000000,4000000,23000000,-30500000,31100000,400000,33600000,55200000,6500000,-25900000,35500000,68300000,-54800000,201800000,124700000,205300000,195300000,216900000,-449100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,17000000,44000000,48000000,64000000,68000000,91000000,61200000,92300000,92700000,126300000,181500000,188000000,162100000,197600000,265900000,211100000,410300000,535000000,740300000,935600000,1152500000,703400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,24000000,32000000,15000000,20000000,27000000,16000000,22000000,17000000,22000000,18000000,24000000,23000000,17000000,44000000,48000000,64000000,68000000,91700000,61200000,92300000,92700000,126300000,181500000,188000000,162100000,197600000,265900000,208500000,410300000,535000000,740300000,935600000,1152500000
100,Free Cash Flow,- -,- -,- -,- -,193000000,116000000,19000000,32000000,-98000000,70000000,20000000,12000000,111000000,-248000000,57000000,-59000000,-118000000,-74000000,-5000000,-51000000,-104000000,-32100000,2000000,6700000,36000000,131200000,55700000,49000000,14400000,107000000,28300000,110800000,166400000,209500000,218300000,309200000,162300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015295000207/0000950152-95-000207-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015205001227/0000950152-05-001227-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013406002602/0000950134-06-002602-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013407001318/0000950134-07-001318-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013408001135/0000950134-08-001135-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013409002645/0000950134-09-002645-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012310008422/0000950123-10-008422-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012311008303/0000950123-11-008303-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312512041886/0001193125-12-041886-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312513049466/0001193125-13-049466-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312514040681/0001193125-14-040681-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088815000004/0000040888-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088816000027/0000040888-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088817000004/0000040888-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088818000003/0000040888-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088819000004/0000040888-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088820000003/0000040888-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088821000006/0000040888-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088822000005/0000040888-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
