,https://roic.ai/company/AJRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72400000,37500000,38800000,34900000,22300000,13200000,33300000,61200000,114300000,270600000,238200000,240600000,257000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0910,0.0437,0.0423,0.0351,0.0161,0.0083,0.0195,0.0347,0.0609,0.1427,0.1202,0.1161,0.1175
19,Total Other Income Expenses (Gains),-92000000,14000000,-86000000,-59000000,-25000000,-17000000,-42000000,-72000000,-31200000,-119000000,-34000000,-45000000,-4000000,-11000000,13000000,-10000000,100000000,-37000000,-28000000,-29000000,148000000,-43800000,-21800000,-64200000,-24000000,-35400000,-29800000,-21700000,-48500000,-52600000,-50100000,-31900000,-27400000,-82000000,-46300000,-60400000,-62000000
20,Income Before Tax,75600000,225000000,39000000,73000000,- -,82000000,49000000,37000000,69800000,-22000000,64000000,- -,118000000,136000000,76000000,92000000,187000000,42000000,17000000,-57000000,-25000000,-43700000,23000000,2500000,48400000,2100000,9000000,13200000,-26200000,-39400000,-16800000,29300000,86900000,188600000,191900000,180200000,195000000
21,Income Before Tax Ratio,0.0250,0.0726,0.0241,0.0386,- -,0.0462,0.0246,0.0191,0.0366,-0.0126,0.0361,- -,0.0753,0.0783,0.0710,0.0879,0.1258,0.0370,0.0143,-0.1142,-0.0401,-0.0704,0.0309,0.0034,0.0608,0.0024,0.0098,0.0133,-0.0189,-0.0247,-0.0098,0.0166,0.0463,0.0995,0.0968,0.0869,0.0891
22,Income Tax expense (Gain),26800000,95000000,21000000,18000000,- -,31000000,17000000,15000000,27000000,-9000000,26000000,- -,-19000000,52000000,30000000,37000000,59000000,12000000,-5000000,29000000,-29000000,-4700000,-18100000,900000,-17600000,-3900000,6100000,18900000,-193900000,12900000,300000,11200000,96100000,51300000,50900000,42500000,51300000
23,Net Income,75300000,130000000,475000000,67000000,210000000,63000000,32000000,22000000,42800000,-226000000,38000000,42000000,137000000,84000000,72000000,129000000,128000000,30000000,22000000,-398000000,-230000000,-38500000,69000000,1500000,59300000,6800000,2900000,-2600000,167900000,-53000000,-16200000,18000000,-9200000,137300000,141000000,137700000,143700000
24,Net Income ratio,0.0249,0.0419,0.2934,0.0354,0.1084,0.0355,0.0161,0.0114,0.0225,-0.1299,0.0214,0.0277,0.0874,0.0484,0.0672,0.1232,0.0861,0.0264,0.0185,-0.7976,-0.3686,-0.0620,0.0926,0.0020,0.0746,0.0079,0.0032,-0.0026,0.1214,-0.0332,-0.0095,0.0102,-0.0049,0.0724,0.0712,0.0664,0.0657
25,EPS,1.13,1.94,9.87,2.09,6.61,1.99,1.00,0.70,1.35,-7.10,1.17,1.24,3.63,2.02,1.74,3.07,3.03,0.71,0.50,-8.82,-4.21,-0.69,1.23,0.03,1.01,0.12,0.05,-0.04,2.76,-0.92,-0.27,0.27,-0.13,1.80,1.79,1.76,1.86
26,EPS Diluted,1.13,1.94,9.87,2.09,6.61,1.99,1.00,0.70,1.24,-7.10,1.10,1.15,3.36,1.99,1.72,3.07,3.00,0.69,0.50,-8.82,-4.21,-0.69,1.14,0.03,0.97,0.12,0.05,-0.04,2.11,-0.92,-0.27,0.27,-0.13,1.75,1.69,1.66,1.75
27,Weighted Average Shares Outstanding,66637168,67010309,31730000,32057416,31770045,31658291,32000000,31428571,31703704,31830986,32478632,33870968,37741047,41584158,41379310,42019544,42244224,42800000,43300000,45100000,54600000,55400000,56200000,57200000,58500000,58500000,58700000,59000000,59600000,57900000,61100000,65600000,73000000,74800000,77200000,77400000,77400000
28,Weighted Average Shares Outstanding Diluted,66637168,67010309,31730000,32057416,31770045,31658291,32000000,31428571,34516129,31830986,34545455,36521739,40773810,42211055,41860465,42019544,42666667,48600000,43400000,45100000,54600000,55400000,64600000,57200000,66600000,58600000,58700000,59000000,81900000,57900000,61100000,65700000,73000000,76800000,81700000,81900000,81900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015295000207/0000950152-95-000207-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40888/000095015205001227/0000950152-05-001227-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013406002602/0000950134-06-002602-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013407001318/0000950134-07-001318-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013408001135/0000950134-08-001135-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095013409002645/0000950134-09-002645-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012310008422/0000950123-10-008422-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000095012311008303/0000950123-11-008303-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312512041886/0001193125-12-041886-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312513049466/0001193125-13-049466-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000119312514040681/0001193125-14-040681-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088815000004/0000040888-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088816000027/0000040888-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088817000004/0000040888-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088818000003/0000040888-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088819000004/0000040888-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088820000003/0000040888-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088821000006/0000040888-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088822000005/0000040888-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,253300000,192000000,41000000,41000000,32000000,15000000,20000000,27000000,16000000,22000000,17000000,22000000,18000000,29000000,23000000,17000000,44000000,48000000,64000000,68000000,91000000,61200000,92300000,92700000,126300000,181500000,188000000,162100000,197600000,265900000,211100000,410300000,535000000,735300000,932600000,1149500000,700400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,- -,- -,- -,- -,- -,- -,20000000,- -,- -,7000000,10600000
33,Cash and Short-Term Investments,253300000,192000000,41000000,41000000,32000000,15000000,20000000,27000000,16000000,22000000,17000000,22000000,18000000,29000000,23000000,17000000,44000000,48000000,64000000,68000000,91000000,61200000,92300000,92700000,126300000,208200000,188000000,162100000,197600000,265900000,211100000,410300000,555000000,735300000,932600000,1156500000,711000000
34,Net Receivables,463600000,531000000,210000000,235000000,264000000,145000000,169000000,156000000,166000000,190000000,242000000,207000000,252000000,276000000,139000000,135000000,189000000,139000000,213000000,88000000,82000000,108700000,145700000,151600000,182100000,171500000,162100000,159100000,275500000,216300000,248700000,237200000,300900000,460300000,427100000,411100000,436900000
