,https://roic.ai/company/ANTM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,206176000,206176000,206176000,206767372,238221258,276535714,276506239,611364764,627768763,593156028,524300000,483200000,377736929,339372680,304715144,293273830,268109932,261238188,263747395,256084913,257395577,252922161,245401430,245401430
28,Weighted Average Shares Outstanding Diluted,206176000,206176000,206176000,207393939,243503326,284146789,285672192,625329949,642095436,601690647,524300000,483200000,415800000,365100000,324800000,303800000,285900000,272900000,268100000,267800000,264200000,260300000,254300000,254300000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1156039/000095013103001203/0000950131-03-001203-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312504030877/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312505049418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312506037706/0001193125-06-037706-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312507039867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312508035367/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312509033022/0001193125-09-033022-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312510034180/0001193125-10-034180-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312511039172/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312512072739/0001193125-12-072739-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312513071165/0001193125-13-071165-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603914000003/wlp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603915000003/antm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603916000018/0001156039-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603917000002/0001156039-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603918000003/0001156039-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603919000004/0001156039-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603920000003/0001156039-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603921000012/0001156039-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000009/0001156039-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,406400000,694900000,464500000,1457200000,2740200000,2602100000,2767900000,2183900000,4816100000,1788800000,2201600000,2484600000,1582100000,2151700000,2113500000,4075300000,3608900000,3934000000,4937000000,5741000000,4880000000
32,Short-Term Investments,- -,- -,- -,4071800000,5948100000,6915200000,13586900000,16780400000,2449900000,3726300000,2652800000,- -,17326800000,17116000000,18140100000,18790000000,19394200000,18380900000,18647400000,20993700000,18206000000,20698000000,23433000000,26267000000
33,Cash and Short-Term Investments,- -,- -,- -,4478200000,6643000000,7379700000,15044100000,19520600000,5052000000,6494200000,4836700000,4816100000,19115600000,19317600000,20624700000,20372100000,21545900000,20494400000,22722700000,24602600000,22140000000,25635000000,29174000000,31147000000
34,Net Receivables,- -,- -,- -,790900000,1173200000,1427900000,3109500000,4516500000,4597600000,4721500000,4576700000,4160500000,3952500000,4452600000,4844700000,5267700000,7251400000,7340800000,8566100000,8793300000,9311000000,10553000000,10958000000,13440000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,137800000,181900000,444000000,2311800000,3135100000,18343200000,17194300000,15647800000,20526800000,3072700000,3327200000,5136000000,4106000000,3431600000,3026900000,3026100000,2866900000,2870000000,2845000000,-13650000000,-14669000000
37,Total Current Assets,- -,- -,- -,5406900000,7998100000,9251600000,20465400000,27172200000,27992800000,28410000000,25061200000,29503400000,26140800000,27097400000,30605400000,29745800000,32228900000,30862100000,34314900000,36262800000,34321000000,39033000000,26482000000,29918000000
38,PP&E,- -,- -,- -,402300000,537400000,510500000,1045200000,1078600000,988600000,995900000,1054500000,1099600000,1155500000,1418100000,1738300000,1801500000,1944300000,2019800000,1977900000,2174900000,2735000000,3133000000,3483000000,3919000000
39,Goodwill,- -,- -,- -,- -,2484900000,2450100000,10017900000,13469100000,13383500000,13435400000,13461300000,13264600000,13264900000,13858700000,17510500000,16917200000,17082000000,17562200000,17561200000,19231200000,20504000000,20500000000,21691000000,24228000000
40,Intangible Assets,- -,- -,- -,467400000,1274600000,1227000000,8211600000,9686400000,9396200000,9220800000,22288500000,8259300000,7996800000,7931700000,9102800000,8441000000,7958100000,8158000000,7964900000,8368400000,9007000000,8674000000,9405000000,10615000000
41,Intangible Assets,- -,- -,- -,467400000,3759500000,3677100000,18229500000,23155500000,22779700000,22656200000,22288500000,21523900000,21261700000,21790400000,26613300000,25358200000,25040100000,25720200000,25526100000,27599600000,29511000000,29174000000,31096000000,34843000000
42,Investments,- -,- -,- -,- -,5948100000,6915200000,13586900000,16780400000,2449900000,3726300000,14491900000,16970500000,17582000000,17391600000,18601700000,19271200000,19930100000,18970100000,19203200000,21587300000,18726000000,21233000000,25554000000,28780000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-5950000000,-6915800000,-13588600000,-16781500000,-2451200000,-3728400000,-14492900000,-16972000000,-15973100000,-15678700000,-18603300000,-16602200000,-17078400000,-15854400000,-15939000000,-17084600000,-13722000000,-15120000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,869700000,4295000000,4187000000,19273000000,24233000000,23767000000,23650000000,23342000000,22622000000,24026100000,24921400000,28350000000,29828700000,29836100000,30855700000,30768200000,34277200000,37250000000,38420000000,60133000000,67542000000
46,Other Assets,4359200000,4816200000,5708500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146748000000,165002000000
47,Total Assets,4359200000,4816200000,5708500000,6276600000,12293100000,13438600000,39738400000,51405200000,51759800000,52060000000,48403200000,52125400000,50166900000,52018800000,58955400000,59574500000,62065000000,61717800000,65083100000,70540000000,71571000000,77453000000,86615000000,97460000000
48,Accounts Payable,- -,- -,- -,331000000,471800000,493400000,2965000000,4432100000,2704000000,2909600000,2856500000,2994100000,2942200000,3124100000,9307000000,9553500000,10513000000,10888600000,11907500000,13015900000,12413000000,13040000000,16852000000,18488000000
49,Short-Term Debt,- -,- -,- -,310700000,357900000,401700000,- -,481200000,521000000,20400000,1007700000,60800000,805900000,1374500000,807100000,918000000,1025000000,540000000,1368400000,2549600000,1994000000,2298000000,700000000,1874000000
50,Tax Payable,- -,- -,- -,- -,109800000,147600000,418800000,833400000,538200000,- -,- -,1228700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000000,891400000,926500000,968300000,822700000,1078100000,1145500000,971900000,860300000,902000000,1017000000,1259000000,1153000000
52,Other Current Liabilities,- -,- -,- -,2757300000,4442300000,4880900000,13037000000,15173700000,17466000000,17116000000,15273800000,14819100000,13566500000,14884900000,9899600000,9940800000,11070900000,10775100000,11376400000,10229100000,10504000000,11583000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,3399000000,5272000000,5776000000,16002000000,20087000000,20691000000,20046000000,19138000000,18924000000,18206000000,20310000000,20982000000,21235000000,23687000000,23349200000,25624200000,26654900000,25813000000,27938000000,18811000000,21515000000
54,Long-Term Debt,301900000,522000000,597500000,818000000,1659400000,1662800000,4276700000,6324700000,6493200000,9023500000,7833900000,8338300000,8147800000,8420900000,14170800000,13573600000,14127200000,15324500000,14358500000,17382200000,17217000000,17787000000,19335000000,21157000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,389900000,524800000,2596400000,3306300000,3350200000,3004400000,2098900000,2470400000,2586900000,2724000000,3381000000,3325200000,3226000000,2630600000,2779900000,1726500000,1960000000,2227000000,2019000000,2805000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-390300000,-524600000,-2596100000,-3306000000,-3350400000,-3003900000,-2098800000,-2470700000,-2586700000,-2723900000,-3380800000,-3324800000,-3226200000,-2630600000,-2779900000,-1726500000,-1960000000,-2227000000,- -,- -
58,Total Non-Current Liabilities,301900000,522000000,597500000,818000000,1659000000,1663000000,4277000000,6325000000,6493000000,9024000000,7834000000,8338000000,8148000000,8421000000,14171000000,13574000000,14127000000,15324500000,14358500000,17382200000,17217000000,17787000000,21354000000,23962000000
59,Other Liabilities,2958600000,3677300000,4386200000,- -,- -,- -,8554400000,12650100000,- -,- -,- -,16676100000,16296300000,- -,- -,27148300000,- -,- -,- -,- -,- -,- -,55959000000,63779000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2656700000,3155300000,3788700000,4216600000,6930800000,7438700000,20279400000,26412100000,27184000000,29069600000,26971500000,27262100000,26354300000,28730600000,35152700000,34809300000,37813700000,38673700000,39982700000,44037100000,43030000000,45725000000,53416000000,61332000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1100000,1400000,1400000,3000000,6600000,6100000,5600000,5000000,4500000,3800000,3400000,3000000,2900000,2700000,2600000,2600000,2600000,3000000,3000000,3000000,2000000
64,Retained Earnings,- -,- -,- -,55700000,481300000,1154300000,1960100000,4173500000,4656100000,4387600000,5479400000,9598500000,10721600000,11490700000,12647100000,13813900000,14014400000,14778500000,16560600000,18054400000,19988000000,22573000000,23802000000,27088000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,122700000,138700000,145800000,-20300000,50100000,156100000,-895700000,68100000,224600000,114900000,299100000,183200000,171900000,-292600000,-267900000,-101500000,-986000000,-296000000,150000000,-178000000
66,Other Total Stockholders Equity,1702500000,1660900000,1919800000,2003200000,4756900000,4705500000,17350100000,20833300000,19863500000,18441100000,16843000000,15192200000,12862600000,11679200000,10853500000,10765200000,10062300000,8555600000,8805100000,8547400000,9536000000,9448000000,9244000000,9148000000
67,Total Stockholders Equity,1702500000,1660900000,1919800000,2060000000,5362300000,5999900000,19459000000,24993100000,24575800000,22990400000,21431700000,24863300000,23812600000,23288200000,23802700000,24765200000,24251300000,23044100000,25100400000,26502900000,28541000000,31728000000,33199000000,36060000000
68,Total Liabilities And Stockholders Equity,4359200000,4816200000,5708500000,6276600000,12293100000,13438600000,39738400000,51405200000,51759800000,52060000000,48403200000,52125400000,50166900000,52018800000,58955400000,59574500000,62065000000,61717800000,65083100000,70540000000,71571000000,77453000000,86615000000,97392000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000
70,Total Liabilities & Equity,4359200000,4816200000,5708500000,6276600000,12293100000,13438600000,39738400000,51405200000,51759800000,52060000000,48403200000,52125400000,50166900000,52018800000,58955400000,59574500000,62065000000,61717800000,65083100000,70540000000,71571000000,77453000000,86615000000,97460000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1156039/000095013103001203/0000950131-03-001203-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312504030877/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312505049418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312506037706/0001193125-06-037706-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312507039867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312508035367/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312509033022/0001193125-09-033022-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312510034180/0001193125-10-034180-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312511039172/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312512072739/0001193125-12-072739-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312513071165/0001193125-13-071165-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603914000003/wlp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603915000003/antm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603916000018/0001156039-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603917000002/0001156039-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603918000003/0001156039-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603919000004/0001156039-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603920000003/0001156039-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603921000012/0001156039-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000009/0001156039-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,342200000,549100000,774300000,960100000,2463800000,3094900000,3345400000,2490700000,4745900000,2887100000,2646700000,2655500000,2489700000,2569700000,2560000000,2469800000,3842800000,3750000000,4807000000,4572000000,6104000000
74,Depreciation and Amortization,- -,- -,- -,120500000,157000000,245000000,279100000,633800000,604900000,586200000,105400000,107100000,600800000,637200000,740700000,908800000,851000000,907900000,911800000,890400000,1132000000,1133000000,1154000000,1302000000
75,Deferred Income Tax,- -,- -,- -,71400000,63300000,64400000,-103400000,-102600000,273700000,-105500000,-481400000,61300000,101800000,74300000,127500000,59100000,30700000,-65900000,126900000,-1272100000,91000000,81000000,-540000000,326000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,153600000,136000000,134800000,146500000,146000000,168900000,148200000,164600000,169600000,226000000,294000000,283000000,255000000
77,Change in Working Capital,- -,- -,- -,-60800000,718200000,749500000,987800000,2621800000,216600000,1062200000,-2440800000,4656200000,-2644600000,-1147400000,2836000000,-1112600000,31100000,-1029000000,1177800000,917200000,-1099900000,2587000000,-11095000000,1193000000
78,Accounts Receivable,- -,- -,- -,-44700000,-108100000,-251100000,-91200000,-399700000,-776900000,-247300000,- -,- -,- -,- -,189900000,-418300000,-1899700000,-42900000,-1380500000,-22200000,-695000000,-1053000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-15900000,333400000,265100000,279700000,188900000,847200000,324500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1978000000,719000000
81,Other Working Capital,- -,- -,- -,2007900000,2726100000,3475600000,4463400000,7085200000,7301800000,8364000000,5923200000,10579400000,7934800000,6787400000,9623400000,8510800000,8541900000,7512900000,8690700000,9607900000,8508000000,11095000000,- -,48000000
82,Other Non-Cash Items,- -,- -,- -,181300000,-496500000,-689800000,-820400000,-2360100000,-145900000,-543700000,2705500000,-6685200000,335600000,1028800000,-3761600000,561300000,-282100000,1594800000,-1646400000,-363100000,-272100000,-2841000000,16314000000,-816000000
83,Cash Provided by Operating Activities,- -,- -,- -,654600000,991100000,1143400000,1303200000,3256700000,4044200000,4344600000,2535400000,3038900000,1416700000,3374400000,2744600000,3052300000,3369300000,4116000000,3204500000,4184800000,3827000000,6061000000,10688000000,8364000000
84,CAPEX,- -,- -,- -,-70400000,-123300000,-110700000,-136800000,-161800000,-193900000,-322000000,-345600000,-378400000,-451400000,-519500000,-544900000,-646500000,-714600000,-638200000,-583600000,-799500000,-1208000000,-1077000000,-1021000000,-1087000000
85,Acquisitions Net,- -,- -,- -,-4100000,-789600000,-3500000,-2239900000,-2589700000,-25400000,-298500000,-192700000,4606000000,-300000,-600000000,-4597000000,- -,740000000,-638900000,- -,-2079600000,-1760000000,- -,-1976000000,-3476000000
86,Purchases of Investments,- -,- -,- -,-3957300000,-5059800000,-5120700000,-7249300000,-21987600000,-13632500000,-9901200000,-7163700000,-7554700000,-11009500000,-12478300000,-15636700000,-14886100000,-10798500000,-11895700000,-12101600000,-16374700000,-9671000000,-22954000000,-19492000000,-18669000000
87,Sales/Maturities of Investments,- -,- -,- -,3484600000,4546200000,4115000000,7227300000,4480000000,13302600000,9739100000,8305500000,6229100000,10769200000,12654300000,15915600000,13662800000,10255900000,11779800000,11952300000,13525700000,11600000000,21035000000,16059000000,14613000000
88,Other Investing Activites,- -,- -,- -,49100000,14600000,6300000,24800000,15838900000,91900000,13700000,12700000,100800000,-579500000,1500000,311400000,-364600000,-457700000,241500000,219000000,645700000,-220000000,204000000,-894000000,-1019000000
89,Cash Used for Investing Activites,- -,- -,- -,-498100000,-1411900000,-1113600000,-2373900000,-4420200000,-457300000,-768900000,616200000,3002800000,-1271500000,-942000000,-4551600000,-2234400000,-974900000,-1151500000,-513900000,-5082400000,-1259000000,-2792000000,-7324000000,-9638000000
90,Debt Repayment,- -,- -,- -,- -,- -,-100000000,-798500000,-155100000,-2162100000,-509700000,-1264400000,-1890800000,-646100000,-805100000,-1989900000,-2943600000,-4159300000,-5561000000,-2553200000,-7815100000,-11251000000,-9624000000,-3752000000,-2118000000
91,Common Stock Issued,- -,- -,- -,2110200000,30900000,57000000,389000000,430400000,559500000,784500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-256200000,-217200000,-82200000,-767400000,-5109700000,-6151400000,-3276200000,-2638400000,-4360300000,-3039800000,-2496800000,-1620100000,-2998800000,-1515800000,- -,-1997700000,-1685000000,-1701000000,-2700000000,-1900000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-357800000,-367100000,-448000000,-480700000,-656600000,-684000000,-704900000,-776000000,-818000000,-954000000,-1104000000
94,Other Financing Activites,- -,- -,- -,-2063600000,934600000,- -,2555100000,2938600000,2987300000,2466700000,805000000,1126400000,1837100000,2183500000,6942700000,3293900000,5816300000,4736000000,2504300000,10944600000,10221000000,9877000000,4839000000,5545000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,46600000,709300000,-260200000,2063400000,2446500000,-3725000000,-3409900000,-3735600000,-3402800000,-3169300000,-2019200000,2088900000,-1717800000,-1822500000,-2997400000,-732900000,426900000,-2241000000,-2266000000,-2567000000,423000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6700000,-3200000,-400000,1100000,2200000,-7100000,-5300000,4100000,4300000,-2000000,- -,7000000,-10000000
97,Net Change In Cash,- -,- -,- -,203100000,288500000,-230400000,992700000,1283000000,-138100000,165800000,-584000000,2632200000,-3027300000,412800000,283000000,-897700000,564800000,-38200000,1961800000,-466400000,325000000,1003000000,804000000,-861000000
98,Cash at the End of Period,- -,- -,- -,406400000,694900000,464500000,1457200000,2740200000,2602100000,2767900000,2183900000,4816100000,1788800000,2201600000,2484600000,1586900000,2151700000,2113500000,4075300000,3608900000,3934000000,4937000000,5741000000,4880000000
99,Cash at the Beginning of Period,- -,- -,- -,203300000,406400000,694900000,464500000,1457200000,2740200000,2602100000,2767900000,2183900000,4816100000,1788800000,2201600000,2484600000,1586900000,2151700000,2113500000,4075300000,3609000000,3934000000,4937000000,5741000000
100,Free Cash Flow,- -,- -,- -,584200000,867800000,1032700000,1166400000,3094900000,3850300000,4022600000,2189800000,2660500000,965300000,2854900000,2199700000,2405800000,2654700000,3477800000,2620900000,3385300000,2619000000,4984000000,9667000000,7277000000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1156039/000095013103001203/0000950131-03-001203-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312504030877/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312505049418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312506037706/0001193125-06-037706-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312507039867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312508035367/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312509033022/0001193125-09-033022-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312510034180/0001193125-10-034180-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312511039172/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312512072739/0001193125-12-072739-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000119312513071165/0001193125-13-071165-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603914000003/wlp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603915000003/antm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603916000018/0001156039-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603917000002/0001156039-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603918000003/0001156039-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603919000004/0001156039-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603920000003/0001156039-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1156039/000115603921000012/0001156039-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000009/0001156039-22-000009-index.htm
