,https://roic.ai/company/FARO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14600000,23500000,27500000,33105740,40452913,35113596,46246372,71785980,97019875,125590000,152405000,191617000,209249000,147703000,191775000,254164000,273395000,291784000,341826000,317548000,325584000,360917000,403627000,381765000,303768000,337814000
2,COGS,6500000,9600000,11100000,14160938,14748628,14304083,21109609,29520249,37023704,52658000,62947000,76574000,84023000,66995000,78377000,110475000,123776000,129891000,152912000,149871000,147624000,156280000,175282000,183633000,143921000,153887000
3,Gross Profit,8100000,13900000,16400000,18944802,25704285,20809513,25136763,42265731,59996171,72932000,89458000,115043000,125226000,80708000,113398000,143689000,149619000,161893000,188914000,167677000,177960000,204637000,228345000,198132000,159847000,183927000
4,Gross Profit Ratio,0.5548,0.5915,0.5964,0.5723,0.6354,0.5926,0.5435,0.5888,0.6184,0.5807,0.5870,0.6004,0.5985,0.5464,0.5913,0.5653,0.5473,0.5548,0.5527,0.5280,0.5466,0.5670,0.5657,0.5190,0.5262,0.5445
5,Research and Development Exp.,700000,1100000,2600000,3828801,3549670,3370716,4033462,4530467,5441048,6440000,7228000,10256000,12625000,12613000,12690000,15196000,17578000,22412000,27510000,26558000,30125000,35376000,39706000,44175000,42896000,48761000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24956000,26776000,26806000,29065000,30600000,36479000,37474000,40813000,43807000,47652000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48598000,50679000,62117000,64446000,71689000,80157000,79306000,79870000,103544000,116920000,- -,- -,- -
8,"Selling, General and Administrative Exp.",4500000,7600000,13300000,17114125,19920169,19249012,21765255,27457575,37631795,52813000,69836000,81642000,89159000,73554000,77455000,88923000,93511000,102289000,116636000,116780000,120683000,147351000,164572000,177378000,131827000,136234000
9,Other Expenses,200000,300000,3000000,4465441,2931546,2559495,2277289,2837554,2339496,3453000,4135000,4034000,4505000,5530000,6326000,6712000,6976000,7038000,7428000,11217000,13868000,16588000,18313000,- -,- -,- -
10,Operating Expenses,5400000,9000000,18900000,25408367,26401385,25179223,28076006,34825596,45412339,62706000,81199000,95932000,106289000,91697000,96471000,110831000,118065000,131739000,151574000,154555000,164676000,199315000,222591000,221553000,174723000,184995000
11,COGS and Expenses,11900000,18600000,30000000,39569305,41150013,39483306,49185615,64345845,82436043,115364000,144146000,172506000,190312000,158692000,174848000,221306000,241841000,261630000,304486000,304426000,312300000,355595000,397873000,405186000,318644000,338882000
