,https://roic.ai/company/AERG,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-20000,-300000,-70000,-20000,-1490000,-1890000,-3310000,-3120000,-8800000,-7524000,-7334000,-7289000,-12285000,-168987,695977,800220,1419084,635008,55726,6007,-576,4362,2267,1869,1473,2559,-37790,-245346,-384533,2009165,- -
20,Income Before Tax,-130000,-1000000,-470000,-5220000,1610000,1810000,7390000,10580000,3400000,-2550000,-17650000,360000,-7519000,-3251428,-3590000,-17560000,-13660000,-8720000,-9440000,-2930000,-6360000,-3500000,-1420000,-718830,-223850,-492610,-790050,-3007750,-5556340,-3230494,-5425453000
21,Income Before Tax Ratio,-3.2500,-100.0000,-0.1615,-1.7059,0.0818,0.0670,0.1420,0.1576,0.0381,-0.0284,-0.2185,0.0046,-0.0986,-0.2975,-0.1901,-1.7507,-1.1016,-0.5250,-1.2654,-0.2238,-1.2544,-2.6119,-35.5000,-23.4682,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-18.3634,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,40000,-720000,3200000,3600000,1350000,-560000,-3900000,230000,133000,9577,40000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34005000
23,Net Income,-130000,-1000000,-80000,-5220000,1570000,2520000,3180000,5530000,2050000,-350000,-25430000,-11490000,-9137000,-3261005,-3620000,-17510000,-13660000,-8720000,-9440000,-2930000,-6360000,-3500000,-1420000,-718830,-223850,-492610,-790050,-3007750,-5556340,-3230494,-5459458000
24,Net Income ratio,-3.2500,-100.0000,-0.0275,-1.7059,0.0797,0.0932,0.0611,0.0824,0.0229,-0.0039,-0.3148,-0.1455,-0.1198,-0.2983,-0.1917,-1.7458,-1.1016,-0.5250,-1.2654,-0.2238,-1.2544,-2.6119,-35.5000,-23.4682,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-18.3634,-Infinity
25,EPS,-0.11,-0.70,-0.04,-1.31,0.19,0.25,0.20,0.31,0.10,-0.02,-1.40,-0.66,-0.51,-0.05,-0.05,-0.25,-0.19,-0.16,-0.11,-0.04,-0.07,-0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.02,-28.21
26,EPS Diluted,-0.11,-0.70,-0.04,-1.31,0.16,0.24,0.18,0.24,0.09,-0.02,-1.40,-0.66,-0.51,-0.05,-0.05,-0.25,-0.19,-0.16,-0.11,-0.04,-0.07,-0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.02,-28.21
27,Weighted Average Shares Outstanding,1150000,1320755,2307692,3969466,8421053,10000000,16000000,17741935,20000000,17250000,18212000,17412121,17915686,65264393,71334830,74933913,78931255,81528544,86794287,89211315,90992496,91719288,91735662,91761915,91785520,93207438,155034836,191593774,204486058,193505618,193505618
28,Weighted Average Shares Outstanding Diluted,1150000,1320755,2307692,3969466,10000000,10206000,17908000,22916667,22222222,17250000,18212000,17956250,17915686,65264393,71334830,74933913,78931255,81528544,86794287,89211315,90992496,91719288,91735662,91761915,91785520,93207438,155034836,191593774,204486058,193505618,193505618
