,https://roic.ai/company/AERG,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-5200000,-7600000,-5886000,-2142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,- -,-1300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-275437,-129125,- -,- -,-174155,-87077,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,- -,-100000,-500000,8500000,-300000,15200000,33300000,15100000,1500000,-1774000,264000,1421000,9315028,-4241381,-42251,-61545,- -,- -,623131,23975,- -,- -,- -,-57500,- -,140000,149750,2350000,4532010,3652487
95,Cash Used/Provided by Financing Activities,300000,4100000,600000,3300000,16000000,1200000,20500000,47100000,7600000,307000,-3916000,265000,1421000,10539506,14589619,27371386,52292,-289374,-131153,623131,23975,-174155,-87063,- -,-57500,- -,202500,2006282,3172423,3395159,3760487
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4100000,600000,3300000,16000000,1200000,20500000,47100000,-24200000,4402000,-750000,-2522000,603000,3392387,-2124531,21752544,-7142600,486194,-5637743,-621362,-5046146,-1314993,-1542806,-715104,-227392,-136160,2084,175788,-90137,3234875,339325
98,Cash at the End of Period,178550,- -,- -,- -,- -,- -,- -,- -,2900000,7338000,2724000,219000,822000,3495779,371248,22123792,14981192,15467386,9604643,8983281,3937135,2622142,1079336,364232,136840,680,2764,178552,88415,3323290,3662615
99,Cash at the Beginning of Period,178550,- -,800000,100000,100000,1000000,700000,2100000,27100000,2936000,3474000,2741000,219000,103392,2495779,371248,22123792,14981192,15242386,9604643,8983281,3937135,2622142,1079336,364232,136840,680,2764,178552,88415,3323290
100,Free Cash Flow,-300000,-1000000,-1700000,-2700000,200000,300000,10000000,-21300000,-29200000,5862000,-501000,-2326000,-246000,-6684575,-5714150,-9125589,-8212072,-6724432,-5508423,-1483554,-5074121,-2646533,-1460943,-724054,-170892,-136160,-200416,-1830494,-3262560,-160284,-3213794
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000089155400500063/0000891554-00-500063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420409014274/0001144204-09-014274-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420410013621/0001144204-10-013621-index.html,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420412018030/0001144204-12-018030-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420413018747/0001144204-13-018747-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420414022417/0001144204-14-022417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420416091316/0001144204-16-091316-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420417018119/0001144204-17-018119-index.html,https://www.sec.gov/Archives/edgar/data/879911/000161577418002699/0001615774-18-002699-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000161577419005086/0001615774-19-005086-index.html,https://www.sec.gov/Archives/edgar/data/879911/000121390020008513/0001213900-20-008513-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390021021158/0001213900-21-021158-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390022016299/0001213900-22-016299-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
