,https://roic.ai/company/MPAA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,28300000,44913000,86872000,112952000,- -,194293000,160699000,172040000,167566000,152636000,95785000,112103000,136323000,133337000,134866000,147225000,161285000,363687000,406266000,258669000,301711000,368970000,421253000,428072000,472797000,535831000,540782000
2,COGS,19400000,31520000,69255000,91317000,- -,188097000,148731000,151465000,150175000,129500000,68732000,84188000,115040000,96117000,95319000,105898000,109903000,335980000,350538000,177103000,220138000,268046000,306207000,322199000,383623000,417431000,431321000
3,Gross Profit,8900000,13393000,17617000,21635000,- -,6196000,11968000,20575000,17391000,23136000,27053000,27915000,21283000,37220000,39547000,41327000,51382000,27707000,55728000,81566000,81573000,100924000,115046000,105873000,89174000,118400000,109461000
4,Gross Profit Ratio,0.3145,0.2982,0.2028,0.1915,- -,0.0319,0.0745,0.1196,0.1038,0.1516,0.2824,0.2490,0.1561,0.2791,0.2932,0.2807,0.3186,0.0762,0.1372,0.3153,0.2704,0.2735,0.2731,0.2473,0.1886,0.2210,0.2024
5,Research and Development Exp.,- -,- -,185000,549000,- -,714000,472000,552000,564000,565000,836000,1234000,1457000,1267000,1993000,1421000,1549000,1765000,2628000,1940000,2273000,3008000,3824000,5692000,8014000,9200000,8563000
6,General and Administrative Exp.,- -,4577000,4974000,6298000,- -,11832000,8291000,8370000,9987000,11593000,14381000,17873000,22301000,23202000,19479000,15580000,17033000,38881000,44526000,39684000,37863000,49665000,31124000,35527000,45972000,71425000,53847000
7,Selling and Marketing Exp.,- -,1984000,2305000,2417000,- -,1864000,1216000,- -,- -,- -,- -,- -,- -,- -,5242000,6019000,6537000,12804000,12713000,7838000,7851000,9965000,12126000,15030000,19542000,21037000,18024000
8,"Selling, General and Administrative Exp.",5200000,6561000,7279000,8715000,- -,13696000,9507000,8370000,9987000,11593000,14381000,17873000,22301000,23202000,24721000,21599000,23570000,51685000,57239000,47522000,45714000,59630000,43250000,50557000,65514000,92462000,71871000
9,Other Expenses,300000,- -,- -,- -,- -,321000,1464000,412000,-104000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5500000,6561000,7464000,9264000,- -,14731000,11443000,9334000,10447000,12171000,15217000,19107000,23758000,24469000,26714000,23020000,25119000,53450000,59867000,49462000,47987000,62638000,47074000,56249000,73528000,101662000,80434000
11,COGS and Expenses,24900000,38081000,76719000,100581000,- -,202828000,160174000,160799000,160622000,141671000,83949000,103295000,138798000,120586000,122033000,128918000,135022000,389430000,410405000,226565000,268125000,330684000,353281000,378448000,457151000,519093000,511755000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,- -,240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4215000,4710000,5595000,14255000,24406000,18289000,13065000,16244000,13094000,15445000,23227000,25039000,15770000
14,Depreciation and Amortization,-300000,429000,717000,1237000,- -,3011000,2971000,2889000,2384000,2369000,1932000,1962000,1805000,2442000,2941000,3882000,3900000,7350000,5285000,2742000,2521000,2936000,3714000,4508000,7329000,9561000,11144000
15,EBITDA,2500000,6428000,9780000,12031000,- -,-26406000,-1118000,10574000,7984000,12403000,12076000,7816000,-6583000,9745000,13602000,23520000,29524000,-20137000,-83540000,135723000,36107000,41222000,71686000,54132000,22975000,26299000,57777000
16,EBITDA ratio,0.0883,0.1431,0.1126,0.1065,- -,-0.1359,-0.0070,0.0615,0.0476,0.0813,0.1261,0.0697,-0.0483,0.0731,0.1009,0.1598,0.1831,-0.0554,-0.2056,0.5247,0.1197,0.1117,0.1702,0.1265,0.0486,0.0491,0.1068
17,Operating Income,3400000,6832000,10153000,12371000,- -,-8535000,-389000,11241000,6944000,10965000,11836000,8808000,-2475000,12751000,10642000,18307000,25384000,-27487000,-88825000,32104000,33586000,38286000,67972000,49624000,15646000,16738000,46633000
18,Operating Income ratio,0.1201,0.1521,0.1169,0.1095,- -,-0.0439,-0.0024,0.0653,0.0414,0.0718,0.1236,0.0786,-0.0182,0.0956,0.0789,0.1243,0.1574,-0.0756,-0.2186,0.1241,0.1113,0.1038,0.1614,0.1159,0.0331,0.0312,0.0862
19,Total Other Income Expenses (Gains),-600000,-833000,-1090000,-1577000,- -,-3180000,-3700000,-3556000,-1344000,-931000,-1692000,-2954000,1636200,-5448000,-4196000,-3379000,-5355000,-14255000,-24406000,-18289000,-13065000,-16244000,-13094000,-15445000,-23227000,-25039000,-15770000
20,Income Before Tax,2800000,5999000,9063000,10794000,- -,-11715000,-4089000,7685000,5600000,10034000,10144000,5854000,-838800,7303000,6446000,14928000,20029000,-41742000,-113231000,13815000,20521000,22042000,54878000,34179000,-7581000,-8301000,30863000
21,Income Before Tax Ratio,0.0989,0.1336,0.1043,0.0956,- -,-0.0603,-0.0254,0.0447,0.0334,0.0657,0.1059,0.0522,-0.0062,0.0548,0.0478,0.1014,0.1242,-0.1148,-0.2787,0.0534,0.0680,0.0597,0.1303,0.0798,-0.0160,-0.0155,0.0571
22,Income Tax expense (Gain),1200000,2353000,3529000,4192000,- -,-1173000,13000,-4004000,-5025000,3552000,3856000,2186000,-3432000,2696000,2589000,5282000,7809000,6772000,-21720000,7333000,9068000,11479000,17305000,17863000,268000,-1011000,9387000
23,Net Income,1600000,3646000,5534000,6602000,- -,-28244000,-4102000,11689000,10625000,6482000,6288000,3668000,-4956000,4607000,3857000,9646000,12220000,-48514000,-91511000,107359000,11453000,10563000,37573000,16316000,-7849000,-7290000,21476000
